source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-04 06:44:46,"""TIME'S UP MITCH!!!"" I have 15 questions for ADDISON ""MOSCOW MIDNIGHT MITCH"" McCONNELL: 1. During your brief military experience in 1967, were you separated from duty due to one of the following?  A. A situation involving another soldier on Fort Knox base B. Optic Neuritis C. To attend NYU 2. Who requested and Why was a letter written by Senator John Sherman Cooper dated August 10, 1967 to the Fort Knox Commanding General  A. D. Surles? https://www.hillbillyreport.org/senator-mitch-mcconnells-military-service/ 3. Why did you request an ""urgent"" dismissal from your U.S. ARMY RESERVES Unit to attend NYU right at the height of troops being deployed to Vietnam...especially when you just completed UK LAW SCHOOL? 4. Why didn't you enroll and attend NYU as a condition for your ""urgent"" release from your military duties per the letter from Senator John Sherman Cooper? 5. Whose 90 pounds of cocaine was aboard THE CHAO FAMILY ship when it was stopped? What happened to the cocaine? Did you get involved or intervene in any way, shape or fashion? https://waragainstallpuertoricans-com.cdn.ampproject.org/v/s/waragainstallpuertoricans.com/2016/07/09/90-pounds-of-cocaine-discovered-on-a-boat-owned-by-the-family-of-mitch-mcconnell-the-majority-leader-of-the-u-s-senate/amp/?amp_js_v=a2&amp_gsa=1&usqp=mq331AQEKAFwAQ%3D%3D#aoh=15683071911712&referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s&ampshare=https%3A%2F%2Fwaragainstallpuertoricans.com%2F2016%2F07%2F09%2F90-pounds-of-cocaine-discovered-on-a-boat-owned-by-the-family-of-mitch-mcconnell-the-majority-leader-of-the-u-s-senate%2F 6. Why did your father-in-law lavish you with between $5 - $25 million? 7. Why did Transportation Secretary Chao lavish you with $78 million for your campaign re-election bid? 8. Why did you deliberately block President Obama's Supreme Court nominee Merrick Garland and vow to fill a vacancy in 2020 for President Trump?!? 9. Why did you accept campaign donations from two Voting Machine Manufacturers just prior to your re-election bid and choose to block Elections Security legislation that would ensure protection against further Russian interference into our 2020 elections? 10. Why did you accept donations from Russian Oligarchs in which one, OLEG DERIPASKA, was-is owner of the same company the U.S. TREASURY had sanctions against? 11. Why did you help ease sanctions against a Russian company that has a history of money laundering and mob ties as it attempts to build an Aluminum plant in Ashland, KY? Did you really have to sell your soul and sell out KENTUCKY and AMERICA to the RUSSIANS??? How much was your take???  12. Why are you not showing true leadership and concern for the safety and welfare of American citizens by refusing to take up Common Sense Gun Control legislation like A. Universal Background Checks on all gun sales, including at retail stores, online, gun shows and private sales B. Ban on all or most Military-Style Assault Weapons and C. Limited Magazine Capacity? 13. Why did you deliberately LIE to the Coal Miners blaming the decline on the coal industry on Democrats and President Obama? And why did our COAL MINERS have to take a 10-hour bus ride to DC to get your attention about the BLACK LUNG DISEASE FUND?  14. How is it that you became one of the wealthiest Senators in the 5th poorest state and we still rank at or near the bottom when it comes to education, economic, health and environmental concerns? Final question: 15. Why haven't you or President Trump visited the Coal Miners in Cumberland, KY to address their concerns when you are home campaigning? benniejsmith.com https://ballotpedia.org/Bennie_Smith",,,,,,,,,645895295978660,/story.php?story_fbid=645895295978660&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-03 22:06:43,"BE SURE TO MARK YOUR CALENDARS AND COME OUT AND JOIN US!!! ***MONDAY APRIL 20 @ 7P EST*** 5153 POPLAR LEVEL ROAD LOUISVILLE, KY 40219 ***KY U.S. SENATE CANDIDATE  FORUM*** https://www.facebook.com/events/2841913355887364/?ti=cl *****PLEASE SHARE*****",,,,,,,,,645694425998747,/story.php?story_fbid=645694425998747&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-02 19:30:24,U.S. SENATE CANDIDATE BENNIE J. SMITH ENDORSED PRESIDENTIAL CANDIDATE JOE BIDEN EARLY ON...,,,,,,,,,645024166065773,/story.php?story_fbid=645024166065773&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-04 04:39:32,"Bennie J. Smith is running for U.S. SENATOR 2020 (D-KY) as a change agent to repair the damage ADDISON MITCHELL McCONNELL aka ""MOSCOW MITCH"" and ""THE GRIM REAPER"" has caused. He also wants to offer the citizens in the Commonwealth of Kentucky a more positive and upbeat representative who has all their best interests at heart. At an early age growing up in the housing projects of Charlotte Court on the west side of Lexington, Kentucky, Bennie J. knew he wanted to do and be something more. He experienced a two-parent setting until he was 10 years old, whereas, his parents separated and divorced. The family then moved to Danville and as a way to address his aggressions, he learned to play the alto saxophone in the 5th grade at Toliver Elementary School. He credits music as being lifesaving. He drew inspiration from his visually impaired mother as she raised 4 kids to adulthood while on public assistance and food stamps. She also sacrificed a portion of her SSI check to make monthly payments on a horn rental while he was in the 5th through 7th grades to ensure he had an instrument to practice and play on. So he credits his mother for instilling compassion while overcoming any and all life obstacles and credits his father for instilling the work ethic he so passionately attained. He also credits summer camps (YMCA CAMP DANIEL BOONE and TROOPER ISLAND) and the association of mentors from Big Brothers/Big Sisters as other lifechanging experiences. As the eldest of four, he was always the adventurous one as he met no strangers during his life's journey. Bennie J. is a 1976 graduate of Lafayette High School and earned college credit hours after attending Kentucky State University and Eastern Kentucky University. He was also the first male graduate from the Lexington Urban League's Word Processing Training Program. He hopes his work as a civil and human rights activist as well as his roles as a parent and grandparent will give him an edge in being more empathetic to other people's needs and concerns as well as gain the support of Kentucky voters. Bennie J. Smith (D-KY) Candidate for U.S. Senator 2020 TEAM ONE KENTUCKY P.O. Box 11593 Louisville, KY 40251 Cell: 502.322.3166 Email: smith4ussenate20@gmail.com Website: benniejsmith.com Ballotpedia: https://ballotpedia.org/Bennie_Smith",1,1,,,,,,,645840782650778,/story.php?story_fbid=645840782650778&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-04 03:44:38,"Team, because of you we had an incredible Super Tuesday.  Now, it's time to focus on beating Donald Trump. We can get him out of the White House with your help. Please chip in a few dollars to help us win this thing: https://joe.link/39ntDUz",2,1,,1,,,,1,645819312652925,/story.php?story_fbid=645819312652925&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-02 18:25:05,"In commemoration of the ""55th ANNIVERSARY of THE MARCH ON SELMA""... I share a few images of two courageous souls who actually participated in ""BLOODY SUNDAY"" while trying to cross the EDMUND PETTUS BRIDGE back on March 7, 1965: MRS. AMELIA BOYNTON ROBINSON https://en.m.wikipedia.org/wiki/Amelia_Boynton_Robinson and CONGRESSMAN JOHN LEWIS (D-GA) https://en.m.wikipedia.org/wiki/John_Lewis_(civil_rights_leader) SAAAAAAAAAA-LUTE!!!",1,1,,,,,,,645000129401510,/story.php?story_fbid=645000129401510&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-02 12:39:14,,8,8,,,,,,,644858449415678,/BJSMITH4US20/photos/a.396578160910376/644858449415678
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-02 00:44:51,"IF YOU HAVEN'T TASTED ANY OF THE MENU ITEMS FROM THE BLACK ITALIAN...YOU ARE MISSING OUT ON THE MOST DELICIOUS AND TASTIEST ITALIAN SOUL FOOD EVER!!! I TOOK THE OPPORTUNITY TO VISIT THEM FOR LUNCH LAST FRIDAY. BE SURE TO CHECK THEM OUT AT THEIR NEW LOCATION AT 2009 HIGHLANDS AVENUE RIGHT AROUND THE CORNER FROM WICK'S PIZZA NEXT DOOR TO THE JAZZ SALON. OPEN TUESDAY - FRIDAY FROM 11A - 3P *OPEN ON SATURDAYS STARTING MARCH 7* PAULA, ANTHONY & NICOLE WILL GIVE YOU THAT FAMILY LOVE AND HOSPITALITY MISSED IN MOST FOOD ESTABLISHMENTS!!! AND TELL 'EM BENNIE J. SENT 'CHA!!!",5,5,,,,,,,644538982780958,/story.php?story_fbid=644538982780958&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-03-01 11:55:25,ROOTS 101: AFRICAN AMERICAN MUSEUM DESIGN RECOGNIZED AS ONE OF TOP 20 NEW MUSEUMS IN THE WORLD DOWNTOWN LOUISVILLE 819 W. MAIN STREET https://www.wdrb.com/news/louisville-s-new-african-american-museum-named-among-best-new/article_ef274428-5518-11ea-913b-1ffb1c1a633b.html *****PLEASE SHARE*****,4,2,,2,,,,,644217709479752,/story.php?story_fbid=644217709479752&id=396578117577047
Bennie J. Smith D-KY 4 US Senator 2020,,2020-02-29 05:16:06,"Tickets now available online here for the Louisville Premiere of RIVER CITY DRUMBEAT presented by Louisville Film Society's Flyover Film Festival! WHEN: SUNDAY MARCH 15, 2020  DOORS OPEN AT 2P * MOVIE STARTS AT 3P WHERE: LOUISVILLE PALACE Please join us for this very special screening event with post screening celebration hosted by Louisville River City Drum Corp and Owsley Brown Presents. https://www.universe.com/events/flyover-film-festival-presents-river-city-drumbeat-premiere-tickets-5X6GLR *****PLEASE SHARE*****",,,,,,,,,643353596232830,/story.php?story_fbid=643353596232830&id=396578117577047
