source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Barbara Bollier,,2020-03-04 17:57:24,"Happy Women's History Month! Each week I'll be highlighting one of the many amazing Kansas women who’ve made history, starting with Amelia Earhart. Born in Atchison, she became a groundbreaking aviator and the first woman to fly solo across the Atlantic Ocean.",83,80,,3,,,,1,188375629243640,/story.php?story_fbid=188375629243640&id=102617961152741
Barbara Bollier,,2020-03-04 10:56:36,"Healthcare is on the ballot this election, and if GOP leadership gets its way, Kansans with pre-existing conditions will no longer be protected. It's time to send a doctor to Washington.",77,54,1,4,2,12,4,2,188167802597756,/story.php?story_fbid=188167802597756&id=102617961152741
Barbara Bollier,,2020-03-02 14:28:09,"Just like Gov. Brownback’s tax experiment failed to generate significant economic growth in Kansas, the national GOP’s huge giveaways aren’t working either.  We can’t just bankrupt our children’s future so special interests can keep extra cash in their accounts.",37,34,,1,2,,,1,186842022730334,/story.php?story_fbid=186842022730334&id=102617961152741
Barbara Bollier,,2020-03-01 12:00:14,"The prospect of helping 130,000 Kansans get health insurance is worth far more than a politician trying to score political points.",118,115,,3,,,,6,185741262840410,/story.php?story_fbid=185741262840410&id=102617961152741
Barbara Bollier,,2020-02-28 11:09:55,Mitch McConnell has a bill on his desk right now that would lower prices on insulin and other prescription drugs for all Americans. We need to do this now.,14,9,1,2,,,2,2,184540482960488,/story.php?story_fbid=184540482960488&id=102617961152741
Barbara Bollier,,2020-02-27 16:44:17,"There’s a role for government to play in helping address this tragic trend. As a doctor, I promise to bring compassion and facts to policymaking in the U.S. Senate.",166,100,1,3,5,56,1,6,184000993014437,/story.php?story_fbid=184000993014437&id=102617961152741
"Barbara Bollier,Steve Breen",Steve Breen,2020-02-26 12:46:43,Katherine Johnson was a trailblazer for women in science and showed especially that black women can do anything they set their mind to. I remember when I was at University of Kansas Medical School in the 1980s being constantly confronted by classmates and professors who didn't think a woman belonged there. It must have been all the more difficult for Ms. Johnson 30 years prior when she began at NASA's precursor. She faced down sexism and racism and became one of the foundations of our space program. She will be missed.,143,113,,30,,,,3,183172559763947,/story.php?story_fbid=183172559763947&id=102617961152741
Barbara Bollier,,2020-02-25 15:17:38,"Kansas is one of the worst states for surprise medical billing. This often happens when health insurance and providers can’t agree on pricing, so the patient gets stuck with the difference. My legislation would require them to leave the patient out of it. It’s a commonsense solution that will keep working families out of medical debt.",158,139,,18,1,,,8,182545086493361,/story.php?story_fbid=182545086493361&id=102617961152741
Barbara Bollier,,2020-02-24 19:15:32,"Republican leadership in the state legislature is playing games with Kansas families' healthcare. There is a bipartisan majority to expand Medicaid so 130,000 more Kansans can get covered, but GOP leaders will stop at nothing to block it.",67,18,,1,1,6,41,8,181963059884897,/story.php?story_fbid=181963059884897&id=102617961152741
Barbara Bollier,,2020-02-24 19:03:54,"Republican leadership in the state legislature is playing games with Kansas families' healthcare. There is a bipartisan majority to expand Medicaid so 130,000 more Kansans can get covered, but GOP leaders will stop at nothing to block it.",97,29,,,4,10,54,12,181958363218700,/story.php?story_fbid=181958363218700&id=102617961152741
Barbara Bollier,,2020-02-24 14:06:14,"When I think about what public service really means to me, I always come back to the legacy of Senator Nancy Kassebaum. For those who don’t know, she was the first woman elected to a full term in the U.S. Senate in her own right, and the first female Senator from Kansas. My mom was a big supporter of Nancy’s, and did some work to help her get elected. We discussed her leadership a lot in my house growing up, and she’s someone I admire to this day.  In the Senate, Nancy was an independent thinker who worked across the aisle to get things done for Kansans.  She always put us first. That’s the kind of Senator I’ll be, too. She was an original co-sponsor of HIPAA, the landmark bipartisan legislation that protects patients’ private health information. As a doctor, I’ve seen firsthand just how important Nancy’s work is to people all over the country. And that’s only the beginning.  We’re all tired of career politicians — Nancy wasn’t one. When she felt she could help Kansans, she put her hat in the ring. And when she felt her time could be better spent as a grandmother, she gracefully retired. With Nancy as a trailblazer, Kansas is ready to elect the first female physician to the U.S. Senate.",208,180,,28,,,,9,181828339898369,/story.php?story_fbid=181828339898369&id=102617961152741
Barbara Bollier,,2020-02-23 19:08:31,"In Wichita this afternoon, we discussed how important it is to think of climate change as a public health issue. If we don’t take immediate steps to address it, folks with asthma will see worsening symptoms, for example. Thanks to everyone that came out!",174,166,1,7,,,,5,181254419955761,/story.php?story_fbid=181254419955761&id=102617961152741
Barbara Bollier,,2020-02-22 20:50:03,"Today I visited with Kansans in El Dorado and Hutchinson. I heard about the importance of international trade for our ag producers, social security for our seniors and healthcare for all of us. In the U.S. Senate, I‘ll work to protect and expand all of those.",116,109,,7,,,,2,180596476688222,/story.php?story_fbid=180596476688222&id=102617961152741
Barbara Bollier,,2020-02-21 13:23:12,"Kansas' GOP leadership is continuing their lawsuit to eliminate protections for pre-existing conditions, the ban on lifetime limits and the ability to keep dependents on health insurance until they're 26, even as the law that enacted them is now at record high popularity. As a doctor, I'll never play politics with your healthcare.",65,45,,2,,1,17,5,179648843449652,/story.php?story_fbid=179648843449652&id=102617961152741
Barbara Bollier,,2020-02-19 19:38:05,"Even with health insurance, I once ended up with a $30,000 medical bill — way more than I expected and than my out-of-pocket maximum. That’s outrageous and costs like it are a reason why I’m sponsoring legislation to end surprise medical billing in Kansas.",107,95,,2,,9,1,5,178361490245054,/story.php?story_fbid=178361490245054&id=102617961152741
Barbara Bollier,,2020-02-19 14:06:24,"Wichitans, let's chat over coffee this weekend!",29,28,,1,,,,,178214623593074,/story.php?story_fbid=178214623593074&id=102617961152741
Barbara Bollier,,2020-02-19 12:22:49,,22,22,,,,,,1,494813788136568,/events/494813788136568?view=permalink&id=494816628136284
