source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Cora Neumann,,2020-03-06 09:55:15,"PUT DOWN THE SCISSORS by Jael Kampfe, Bearcreek, MT A beautiful tribute to women leaders and our Montana foremothers. Thank you Jael for including me. So honored.  PUT DOWN THE SCISSORS Jeanette, What did you do  as you campaigned  before women could vote  knowing that you were breaking the glass ceiling  with a sledge hammer You had whittled  With a Montana woman’s hands Muscled by our cold winters And rugged landscapes What did you do  as you shook hands and they asked about your personal life your delicate  disability  of being female What did you do as your leadership your clarity Viewed as un-electable Too cold Too loud Un- approachable What did you do As your intellect Was dismantled  As shrill Not relatable You took  Those same hands Guiding the needlepoint Of gender bias Misogyny And sewed it  Into a shield Elected Twice To lead Make History And be the vital Critical voice Of reason  And peace Elizabeth, Whitney, Cora,  Kathleen, Melissa Every woman running: Sew with fierceness Use every bold Brash  Intelligent  Color  Sew with steel lace Everything in between And we, Your daughters, sisters, mothers Granddaughters Brothers, uncles, aunts and fathers Discard this false narrative Of “women can’t be elected” No longer participate In the sweat shop  Of factory work Mass producing Clothes designed  For a Right That is terrified Of your very hands That can  Will And do Move adeptly between Sledge hammer And needle Sew The most beautiful textiles That protects And reflects All of us And let us  Hold a part of this Fabric For you No longer bringing Scissors To your electability Jael Kampfe 4th Generation Retired Montana Rancher Bearcreek, MT",1,1,,,,,,,222021882523280,/story.php?story_fbid=222021882523280&id=123433462382123
Cora Neumann,,2020-03-05 20:29:47,"Thank you Elizabeth Warren. I know women across Montana and the country are feeling heavy-hearted today. You brought incredible heart, experience, and fierce commitment to this race. I stand proudly on the path you, and all women before me, paved. Thank you, and together we will continue to build. #womenleaders @teamwarren",34,21,,10,,3,,,221552929236842,/story.php?story_fbid=221552929236842&id=123433462382123
Cora Neumann,,2020-03-05 18:45:34,"A New York Times article today shared that if ‘American women earned minimum wage for the unpaid work they do around the house and caring for relatives, they would have made $1.5 trillion last year.’ Here I talk about the lasting solutions women leaders can tackle, together with our allies, from climate change to parental leave to caregiver rights. #mtsen #mtpol  https://www.nytimes.com/interactive/2020/03/04/opinion/women-unpaid-labor.html",5,5,,,,,,,221508529241282,/story.php?story_fbid=221508529241282&id=123433462382123
Cora Neumann,,2020-03-05 15:28:00,"Why I’m in this fight. Montana’s ranchers and farmers. • • • Montana’s top two industries are outdoor recreation and agriculture. Both are being seriously impacted by climate change. I look forward to working with our farming and ranching communities to develop and support resolutions like the recently introduced Agriculture Resilience Act (H.R. 5861), which ‘addresses the role of agriculture in combating climate change with a comprehensive suite of practical, science-based, farmer-driven policy solutions.’ #mtsen #mtpol",8,8,,,,,,,221414919250643,/story.php?story_fbid=221414919250643&id=123433462382123
Cora Neumann,,2020-03-05 12:50:03,Expanding access to health care in Montana’s rural communities is one of my top priorities. But my GOP opponent Steve Daines is putting our rural hospitals at risk with his efforts to overturn the Affordable Care Act and roll back Medicaid expansion in our state. Unacceptable.,3,3,,,,,,,221334039258731,/CoraForMontana/photos/a.132994608092675/221334039258731
Cora Neumann,,2020-03-05 12:22:54,"Thank you Senator Tester. 'Sen. Jon Tester (D-Mont.) said Pendley is “not just bad, but horrible on public lands. I think you know it, I know it.”  “Do not deny — do not deny — the fact that he has been front and center on selling our public lands,” Tester said.'",11,11,,,,,,,221317232593745,/story.php?story_fbid=221317232593745&id=123433462382123
Cora Neumann,,2020-03-04 20:14:16,We can solve the big problems facing our state when we ensure that all Montanans have a voice and a seat at the table. The most powerful solutions are the ones we develop together.,10,7,,3,,,,,220747765984025,/story.php?story_fbid=220747765984025&id=123433462382123
Cora Neumann,,2020-03-04 12:13:03,"At every campaign stop, I hear from Montanans that they are ready for a Senator who will put our families and our values, not corporate special interest and personal gain, first.  ",42,36,,6,,,,,220509599341175,/CoraForMontana/photos/a.132994608092675/220509599341175
Cora Neumann,,2020-03-03 13:55:29,"My own family’s story has been tragically shaped by lack of access to health care in rural communities. As Montana’s next Senator, I will fight as hard as I can to protect the Medicaid expansion that one in ten Montanans rely on and ensure rural families have affordable care.",9,5,,4,,,,,219778616080940,/story.php?story_fbid=219778616080940&id=123433462382123
Cora Neumann,,2020-03-03 09:56:22,"Why I’m in this fight. Our Native brothers and sisters • • • Growing up in Montana, there was a glaring gap in our school curriculum: we learned very little about our Native communities. When I set off to pursue public health, I made it a priority to engage Native leaders as partners in global health programs, including in my work with First Ladies. These collaborations led to some incredible breakthroughs in maternal mortality, primary care and more. Native leaders across Montana are critical partners in our work to deliver effective, integrated care to all our communities. #mtsen #mtpol",45,31,,14,,,,,219630169429118,/story.php?story_fbid=219630169429118&id=123433462382123
Cora Neumann,,2020-03-02 20:54:40,"Why I’m in this fight. Our daughters and our mothers • • • One thing that brings me endless joy and inspiration as I travel the state is how women and girls, especially ages 8 - 28 and 55+, respond to me running. That I’ll just stand up, despite all of the questions: are you old enough, qualified enough, strong enough to withstand the opposition, etc., and run. My courage to just keep saying yes I can, yes we can, and forge on, is like a jolt of energy to their hearts. I am in this for the young women and girls who’ve been told to wait, to tone it down, to jump through a few more hoops first. And for the older women who’ve laid the groundwork, on whose shoulders I stand. I would not and could not be here without you. #womenleaders",41,27,,14,,,,4,219190482806420,/story.php?story_fbid=219190482806420&id=123433462382123
Cora Neumann,,2020-03-02 15:41:17,"The Montana Democratic Party’s annual Mansfield Metcalf dinner. I was proud to speak alongside all statewide candidates, and to hear from Governor Bullock, Senator Tester and Senator Hassan on the critical importance of turning out the vote this year. Every vote counts, and thank you to all Montana Democrats and our incredible central committees for being the true engine of our democracy. We appreciate you!",16,13,,3,,,,,219053332820135,/story.php?story_fbid=219053332820135&id=123433462382123
Cora Neumann,,2020-03-02 15:39:41,"A day to celebrate and honor the grit and determination of Montana women! And a reminder that we must never again leave our Native sisters and communities behind. #montanawomen #womenlead  ‘On Nov. 3, 1914, Montana men went to the polls, where they voted 53% to 47% in favor of women’s suffrage. Along with Nevada, which also passed a suffrage amendment that year, Montana joined nine other western states in extending voting rights to non-Native women. (Indian women would have to wait until passage of the 1924 Indian Citizenship Act to gain the ballot.) Montana suffrage supporters rejoiced, and in 1916 followed up their victory by electing Maggie Smith Hathaway (D) and Emma Ingalls (R) to the state Legislature and Jeannette Rankin (R) to the U.S. Congress. In this seeming wave of feminism, May Trumper (R) also became the state superintendent of public instruction.’",15,12,,3,,,,,219052442820224,/story.php?story_fbid=219052442820224&id=123433462382123
Cora Neumann,,2020-03-01 18:35:02,"GOP Senator Steve Daines’ corporate PAC contributions from drug companies speak for themselves and demonstrate whose side he is truly on. When I’m in the Senate, the people of Montana will be my constituents and I’ll fight for them, not corporations and Big Pharma.",6,5,,,,,1,,218348952890573,/CoraForMontana/photos/a.132994608092675/218348952890573
Cora Neumann,,2020-02-29 15:41:36,"I’m running for U.S. Senate because Montana deserves an independent senator who will fight for our families, not corporate special interests.",51,41,,10,,,,2,217444606314341,/story.php?story_fbid=217444606314341&id=123433462382123
Cora Neumann,,2020-02-29 11:33:01,"We have a big fundraising goal to hit before midnight tonight and we don’t have corporate donors coming to our rescue. Instead, I’m counting on supporters like you. Can you chip in before midnight?  If you've saved payment information with ActBlue Express, your donation will go through immediately: EXPRESS DONATE $5 → https://bit.ly/2TcPNTU EXPRESS DONATE $10 → https://bit.ly/3aenrhC EXPRESS DONATE $25 → https://bit.ly/3cjyCaM",2,2,,,,,,,217305669661568,/story.php?story_fbid=217305669661568&id=123433462382123
