source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Cory Gardner,,2020-03-07 11:00:01,Today is the day to #CaucusForCory. Please arrive at your precinct by 10am. Find your location here: caucus.cologop.org,16,12,3,1,,,,2,2575777959200020,/story.php?story_fbid=2575777959200020&id=257019421075897
Cory Gardner,,2020-03-06 18:19:25,"It’s no secret that the radical Left's fracking ban would devastate CO's energy industry, eliminating more than 300,000 jobs or 5% of CO’s total workforce. We must continue to fight back against this assault on Colorado jobs. (via Longmont Times-Call) https://www.timescall.com/2020/03/06/colorado-american-petroleum-institute-analysis-fracking-bans/",189,137,10,3,2,7,31,50,2575154362595713,/story.php?story_fbid=2575154362595713&id=257019421075897
Cory Gardner,,2020-03-06 14:31:27,"REMINDER: Caucus Day is tomorrow, March 7 at 10 am! Find your precinct location here: caucus.cologop.org #CaucusForCory",36,35,1,,,,,1,2574850222626127,/story.php?story_fbid=2574850222626127&id=257019421075897
Cory Gardner,,2020-03-05 14:49:49,We cannot ignore the growing threat of socialism. We must stand together to preserve the ideals we believe in. Sign your name to join me in the fight for freedom.,453,366,46,34,2,3,2,116,2572825276161955,/story.php?story_fbid=2572825276161955&id=257019421075897
Cory Gardner,,2020-03-05 12:39:36,2️⃣ days until Caucus Day. Find your precinct location here: caucus.cologop.org #CaucusforCory,57,48,8,1,,,,9,2572615906182892,/story.php?story_fbid=2572615906182892&id=257019421075897
Cory Gardner,,2020-03-04 15:00:37,Only 3️⃣ days till Caucus Day. Find your precinct location here: caucus.cologop.org #CaucusforCory,74,63,9,2,,,,6,2570536566390826,/story.php?story_fbid=2570536566390826&id=257019421075897
Cory Gardner,,2020-03-04 12:11:22,"ICYMI: ""U.S. Sen. Cory Gardner scored a big win on the conservation front Tuesday by landing the support of President Trump to fully fund the Land and Water Conservation Fund."" - Colorado Politics  http://bit.ly/LWCFWin",399,344,13,36,,,6,31,2570483566396126,/story.php?story_fbid=2570483566396126&id=257019421075897
Cory Gardner,,2020-03-03 16:19:23,Only 4️⃣ days until Caucus Day. Find your precinct location here: caucus.cologop.org #CaucusforCory,120,96,13,11,,,,25,2568803759897440,/story.php?story_fbid=2568803759897440&id=257019421075897
Cory Gardner,,2020-03-03 13:05:10,"On this Super Tuesday, exercise your right to vote for the America we all know and believe in. Stand up for freedom. Fight back against socialism. #BelieveInAmerica. #BelieveInColorado.",147,115,16,15,,,1,37,2568514069926409,/story.php?story_fbid=2568514069926409&id=257019421075897
Cory Gardner,,2020-03-02 20:02:21,I need your help to power me to victory in November! Chip in today to help me win this race and defeat the radical Democrats!,288,233,36,17,,1,1,56,2567042013406948,/story.php?story_fbid=2567042013406948&id=257019421075897
