source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-05 14:43:27,"Unfortunately I just got this today in the mail? This would have been a great function for me to attend, however I will be at another function tomorrow.",,,,,,,,,1075854356108335,/DOCPAULKENTUCKYUSSENATE2020/photos/a.927273047633134/1075854356108335
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-05 11:07:45,"People have been asking about RIGHT TO WORK. I can tell you while doing my pre med I worked in tool and die. I was a sweeper, I swept the whole factory until I was permitted to be trained on machines and reading blue prints. I cleaned and worked on the machines so I would be able to operate them properly. I know factory work and what blue collar people do. The way I see it would be that this is an issue for the voter's of Kentucky to vote on. It should be a ballot issue and in my own opinion I feel if you work hard and do a good job you shouldn't have any worries. Contractually for company's with many employees a union who negotiates their contract is a benefit.",,,,,,,,,1075738632786574,/story.php?story_fbid=1075738632786574&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-04 22:49:06,Questions on my platform please go to docpaulfrangedakis.weebly.com You can message me also. WHY not...my patients do all the time....,,,,,,,,,1075347709492333,/story.php?story_fbid=1075347709492333&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-04 16:03:05,Way ahead in polls.,,,,,,,,,1075160929511011,/story.php?story_fbid=1075160929511011&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-04 16:05:39,"ACTIVE DUTY, VETERANS, TEACHERS, DOCTORS, NURSES, FIREMAN, POLICE AND EVERYONE SUPPORTS DOCPAUL FOR SENATE!",1,1,,,,,,,1075161916177579,/story.php?story_fbid=1075161916177579&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-04 11:38:36,I'm running against Mitch McConnell for SENATE this year. When POLITICIANS tell you that they can fix Healthcare and Education don't believe them. They say whatever you want to hear for a vote. But I can tell you not one person would put their lives in the hands of a POLITICIAN. But they will put their lives literally in the hands of us most educated and compassionate Doctors.  Docpaulfrangedakis.weebly.com,,,,,,,,,1075014126192358,/story.php?story_fbid=1075014126192358&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-03 11:54:31,NEWS STATIONS. LET'S FLOOD THEM WITH CALLS AND EMAILS TO GET MY NAME OUT MORE. (WKYT 27)  1-859-299-0411 SWITCH BOARD 1-859-299-2727 NEWS ROOM Robert.Thomas@wkyt.com NEWSTIP@WKYT.COM (WLEX18) 1-859-381-1801 NEWS TIPS 1-859-259-1818 SWITCH BOARD BRIAN.NEAL@WLEX.TV (ABC 36) 1-859-294-3636 SWITCH BOARD 1-859-299-3636 NEWS TIPS news36@wtvq.com (WDKY FOX 56) 1-859-299-8630 NEWS TIPS 1-859-269-5656 SWITCH BOARD news@foxlexington.com HERE ARE THE STATIONS YOU CAN CALL OR EMAIL ABOUT GETTING ALL THE CANDIDATES AND MY NAME OUT. THIS SHOULDN'T BE ABOUT WHO HAS THE MOST MONEY. LIGHT THEM UP!!!,2,2,,,,,,,1074230426270728,/story.php?story_fbid=1074230426270728&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-03 10:59:46,"ALL the news stations have been contacted in writing to the news directors. If you would like to contact them by phone and leave them a message, I will leave their contact information. Remember I want ALL running to get airtime. Not just the two millionaire, special interest money candidates. This needs to be an even playing field.",1,1,,,,,,,1074197892940648,/story.php?story_fbid=1074197892940648&id=234107196949726
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-03 10:09:27,"These two expensive watches (Piaget and Omega Seamaster) that I am fully restoring, remind me of the two expensive bought and paid for by special interest money running CANDIDATES  also. They look nice, expensive BUT DO NOT WORK. They are like having these expensive watches on your wrist and not working. Just something nice and expensive that are not working for you, Kentucky and the country. Isn't it TIME that we elect someone who can help fix the problem. That's me.",4,3,,1,,,,,1074165792943858,/DOCPAULKENTUCKYUSSENATE2020/photos/a.927273047633134/1074165792943858
Dr. Paul John Frangedakis DC For Kentucky United States Senate,,2020-03-02 22:31:11,"NON CAMPAIGN STATUS : Please look into these gifts made by veterans. Eli Crane Navy Seal Team 3 makes these and helps about 50 veteran based CHARITIES. NEVER STOP, WORK HARD. https://bottlebreacher.com/specials/",,,,,,,,,1073817129645391,/story.php?story_fbid=1073817129645391&id=234107196949726
