source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Daniel McCarthy for US Senate,,2020-03-07 11:08:32,Appointed U.S. Senator in Arizona scores horrible 20% “F” grade on voting with the Constitution. Worse than Ilhan Omar. Who is making these appointments anyway? #DemandDaniel #DemandTheConstitution https://us16.campaign-archive.com/?u=f34069ceabca00b27a47bcafa&id=8e418fc83f,33,20,,1,2,,10,5,218519496191488,/story.php?story_fbid=218519496191488&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-06 18:50:04,,19,19,,,,,,,235268420964995,/events/235268420964995?view=permalink&id=235268424298328
Daniel McCarthy for US Senate,,2020-03-06 18:48:41,,23,22,,1,,,,,663077224527730,/events/663077224527730?view=permalink&id=663077227861063
Daniel McCarthy for US Senate,,2020-03-06 14:00:21,"America, we cannot continue to allow Swamp Bureaucrats to LIE, CHEAT, and STEAL.  Despite promises to PROTECT OUR NATION, there are massive gaps in the Border Wall that cannot be built until the Swamp is made to stop weaponizing these phony ""National Monuments,"" which are nothing more than waist-high slabs of concrete.  See for yourself, mile for mile, how your government is allowing our nation to be INVADED.  https://www.usatoday.com/border-wall/us-mexico-interactive-border-map/   """,72,63,,8,,,1,9,217866319590139,/story.php?story_fbid=217866319590139&id=107899067253532
"Daniel McCarthy for US Senate,Daniel McCarthy",Daniel McCarthy,2020-03-06 13:15:45,"We are turning in a huge amount of signatures on Monday 3/9! But if you haven't added your name yet, there's still time... The shortcut link to sign is http://DemandDan.com  Let's be FIRST on the ballot to send the establishment a message that the grassroots is fired up and ready to fight for this seat!⛔ 3 days left to sign my petition with  Arizona State.⛔ 45,000 miles traveled in ARIZONA. 20,000+ handshakes. 400+ speaking engagements. 1000s of voter's questions answered. We have relentlessly worked at exposing the public to the dangers with Red Flag Laws. Send Washington DC a message.  Please sign and have everyone you know sign our online Arizona state petition link below. www.demanddan.com",147,132,1,14,,,,13,217841752925929,/story.php?story_fbid=217841752925929&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-05 14:00:19,"Mini Mike proves being a billionaire means nothing if you don't have the good of our nation as the foundation of your campaign!  Bloomberg, thanks for reminding Americans that money can't buy everything! https://www.nationalreview.com/2020/03/bloomberg-slayed-the-myth-that-money-buys-elections/",161,118,40,2,,,1,14,217101202999984,/story.php?story_fbid=217101202999984&id=107899067253532
"Daniel McCarthy for US Senate,Daniel McCarthy",Daniel McCarthy,2020-03-04 23:26:10,"ALERT! ⚠️⚠️ The Border Wall construction is being sabotaged by D.C. Swamp Creature bureaucrats! We witnessed it today in person! This message must get to the President.⚠️ BREAKING NEWS ⚠️ The Border Wall is Under Attack by the Swamp Elitist.  We cannot believe what we witnessed today at the US-Mexico Border... Today I saw first-hand how the Swamp has neutralized the Border Wall to allow for the all-out invasion of this country to continue! We must warn President Trump NOW.  There are massive gaps in the Border Wall that cannot be built until the Swamp is made to stop weaponizing these phony ""National Monuments"" which are nothing more than waist-high slabs of concrete. See the picture below. My jaw dropped when we were shown one of the gaps and the tiny concrete slab that marked where the wall had to stop. The gaps are wide enough to drive several semi trucks through at the same time - just imagine how many people run through them...I'm being told a lot more than reported. We cannot tolerate this and we absolutely WILL NOT let this stand when you hire me to be your next Senator. This is yet another failure of our leadership who should have been warning all of us about this major deception taking place in our own state.",100,41,1,1,8,2,47,11,216607863049318,/story.php?story_fbid=216607863049318&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-04 14:00:31,Stand for the voiceless! Life begins at CONCEPTION!    ,87,66,,21,,,,2,216336913076413,/DemandDanielAZ/photos/a.121602352549870/216336913076413
Daniel McCarthy for US Senate,,2020-03-03 21:02:33,,120,106,,14,,,,1,215769849799786,/DemandDanielAZ/photos/a.107899113920194/215769849799786
Daniel McCarthy for US Senate,,2020-03-03 14:30:52,"People are fleeing to AZ from CA because government OVER-REGULATION makes it impossible to be a successful investor, entrepreneur, or business owner. The Arizona market is making HUGE strides. Do you want a candidate who's going to suffocate our economy, or one that's going to unleash its power by standing AGAINST government wealth confiscation? https://www.ksbw.com/article/more-americans-leaving-california-than-ever-before/30905768",221,174,8,4,4,5,26,68,215568823153222,/story.php?story_fbid=215568823153222&id=107899067253532
"Daniel McCarthy for US Senate,Daniel McCarthy",Daniel McCarthy,2020-03-02 21:17:53,Daniel is live now!,58,48,,10,,,,3,214988709877900,/story.php?story_fbid=214988709877900&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-02 17:59:57,"Don’t forget about our volunteer meeting tonight at Campaign HQ in Glendale. If you can’t attend in person, we will live stream the meeting from this page! Dinner for the meeting starts at 6:00 pm; Live Stream starts at 7:15!",17,16,,1,,,,,214900276553410,/story.php?story_fbid=214900276553410&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-02 16:55:19,"Most of you know I'm running for Senate here in ARIZONA. I've been ALL OVER the state these last few months, putting tens of thousands of miles under my tires.  Meanwhile Martha McSally is passionately campaigning for the WASHINGTON D.C. endorsement and Captain Mark Kelly stridently pursues the CALIFORNIA vote.  Share this if you want a Senator for Arizona to CARE ABOUT ARIZONA.",65,57,,7,1,,,4,214871206556317,/story.php?story_fbid=214871206556317&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-02 14:00:24,"The LIBERALS, DEMS, SOCIALISTS, MARXISTS and COMMUNISTS would love to pull in a big win on revoking our Second Amendment... One victory AGAINST our Constitutional Rights would open the floodgates for other devastating blows to the rights of the American people.    ",74,66,,8,,,,3,214770323233072,/DemandDanielAZ/photos/a.121602352549870/214770323233072
Daniel McCarthy for US Senate,,2020-03-02 12:29:53,"Support the candidate who respects your Constitutional rights and will DEMAND that others do the same. No more unchecked regulation, no more red flags, no more RINOs! You deserve better, Arizona! https://www.youtube.com/watch?v=-8vEj7Pwz28",71,66,,2,1,,2,2,214700303240074,/story.php?story_fbid=214700303240074&id=107899067253532
Daniel McCarthy for US Senate,,2020-03-02 11:31:24,"INCREDIBLE. In case you missed it, it was such an honor to receive an endorsement from PATRIOT Michelle Malkin at the College Republicans United event! Michelle is a WARRIOR for free speech and recognizes what it'll take to take back AMERICA from the corrupt establishment. THANK YOU, MICHELLE! #DemandDaniel",117,96,,21,,,,2,214667579910013,/story.php?story_fbid=214667579910013&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-28 14:00:24,"I'm willing to do my part standing up against the MARXISTS, LEFTISTS, SOCIALISTS, AND COMMUNISTS to protect our nation.     ",72,60,,12,,,,3,212448550131916,/DemandDanielAZ/photos/a.121602352549870/212448550131916
Daniel McCarthy for US Senate,,2020-02-27 14:00:30,See when Daniel will be in your area:  ,46,36,,10,,,,,211652376878200,/DemandDanielAZ/photos/a.121602352549870/211652376878200
Daniel McCarthy for US Senate,,2020-02-27 13:23:04,Last night our campaign was endorsed by Constitutional Conservative ROCKSTAR Michelle Malkin at the College Republicans United Event! Are you ready to take back this Senate seat from D.C. and deliver it to the people of Arizona? Thank you Michelle!,865,711,,150,3,,1,41,211631673546937,/story.php?story_fbid=211631673546937&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-26 14:00:25,"Don't let the gun-snatchers fool you... Guns help hundreds of thousands of Americans protect themselves, their families, and their homes EVERY YEAR. #2A #GoodGuywithaGun  https://www.nationalreview.com/magazine/2019/09/30/do-guns-help-people-defend-themselves/",167,138,1,28,,,,18,210898593620245,/story.php?story_fbid=210898593620245&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-26 12:22:43,"Support the candidate who respects your Constitutional rights and will DEMAND that others do the same. No more unchecked regulation, no more red flags, no more RINOs! You deserve better, Arizona! https://www.youtube.com/watch?v=-8vEj7Pwz28",145,125,,20,,,,14,210833493626755,/story.php?story_fbid=210833493626755&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-26 11:36:11,"The Democrat Party has become socialist or even communist. Their ""frontrunner"" for the Presidential nomination is an admitted socialist. Now a national news reporter for ABC is admitting on video by Project Veritas that he's a socialist. Folks, this threat is real and it's in our faces - no longer hiding. BREAKING: https://www.youtube.com/watch?v=SZG1v5EcwUI",168,57,2,,5,4,100,15,210801420296629,/story.php?story_fbid=210801420296629&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-25 16:36:36,"I predict that Maricopa County will add its name to the 2nd Amendment Sanctuary County list. This is going to keep happening all over. The RINOs and gun grabbing marxists will regret their bravado in coming after the guns of law abiding Arizonans. We've seen your response on this issue, Arizona voters, and rest assured it's giving us all great hope and energy to continue fighting! https://www.azcentral.com/story/news/local/phoenix/2020/02/25/maricopa-county-could-become-second-amendment-preservation-county/4869900002/",444,338,,93,1,,12,43,210155540361217,/story.php?story_fbid=210155540361217&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-25 14:00:22,The fight to take Arizona back from RINOs and Communist Democrats is no where near over! We need YOUR help... People who are passionate about preserving what makes America GREAT.  Volunteer and show our state that you #DEMANDDANIEL! https://www.mccarthyarizonasenate.com/volunteer,113,97,,16,,,,5,210076077035830,/story.php?story_fbid=210076077035830&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-24 14:00:36,WE WILL NEVER BACK DOWN! Our Constitutional Rights MUST be protected from the COMMUNIST PARTY and RINOS alike!     ,85,73,,12,,,,4,209289277114510,/DemandDanielAZ/photos/a.121602352549870/209289277114510
Daniel McCarthy for US Senate,,2020-02-24 12:33:16,,241,208,3,30,,,,2,209236417119796,/story.php?story_fbid=209236417119796&id=107899067253532
Daniel McCarthy for US Senate,,2020-02-21 14:01:05,TING Communist Democrats... The American people have RIGHTS that SHALL NOT BE INFRINGED.,150,122,,28,,,,20,206882594021845,/DemandDanielAZ/photos/a.121602352549870/206882594021845
