source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Dr. Roger Marshall,,2020-03-05 12:46:35,Glad to join Kennedy last night on Fox Business to talk about what we as communities and individuals can do to prevent the spread of coronavirus:,23,23,,,,,,,1445911642256384,/story.php?story_fbid=1445911642256384&id=111324359048459
Dr. Roger Marshall,,2020-03-04 18:42:13,"...and then President Donald J. Trump reached down and hit the red button. 🚨🚨🚨 The joke was on me that day, but there's still a great takeaway. Enjoy a lighthearted story that I shared with the Conservative Republicans of Southern Johnson County.",32,30,,2,,,,2,1444432065737675,/story.php?story_fbid=1444432065737675&id=111324359048459
Dr. Roger Marshall,,2020-03-04 13:06:38,"There’s a clear choice for Kansas — and all of America — in November.  Joe Biden and Bernie Sanders have spent 86 years in elected office. They’ve supported failed liberal policies that hurt working Americans, raised your taxes, and diminished our country's standing in the world. And they’ve made it clear they have nothing but contempt for our Kansas values and way of life.  No matter who becomes the Democrat nominee, there will be a clear choice between decades of failure and four more years of results under President Trump. Here in Kansas, my Republican opponents have spent a combined 68 years running for or holding office. They have all lost elections to Democrats. Chuck Schumer and his hand-picked candidate would rather face any of them than me.  Unlike them, I’ve spent my career in medicine, delivering more than 5,000 babies and always protecting life. I’ve served our country in the military and worked in agriculture and business.  And just like President Trump, I was elected in 2016 to make a difference.  In the House, I’ve stood with our President, helped negotiate the USMCA, fought for our Kansas values, and defended life. Unlike Joe Biden, Bernie Sanders, and all of my opponents in this Senate race, politics is not my career and the next election isn’t my focus — results are.  At the end of the day, it doesn’t matter who the Democrats nominate… but that’s not the case for Kansas Republicans. Chuck Schumer is doing everything he can to buy our Senate seat, and it gets a lot easier for him if we nominate a career politician who has proven they can’t win a general election.  You deserve a Senator who hasn’t spent their career looking for the next taxpayer-funded office to run for.  You deserve a Senator who understands your struggles, who has signed a paycheck and built a business, who is focused on results, and who shares your values.  You deserve a Senator who has and will stand with our President, hold the radical left accountable, and make a positive difference for Kansas and all of America.  That’s what I’ve done in the House and that’s what I’m ready to do on day one in the Senate. I hope you'll join us at kansansformarshall.com.",259,245,5,9,,,,22,1445147805666101,/story.php?story_fbid=1445147805666101&id=111324359048459
Dr. Roger Marshall,,2020-03-03 19:05:24,"POLL: It's Super Tuesday, which means Democrats around the country are voting right now. A SOCIALIST is currently in the lead.  I'm fighting the Left's march toward socialism every single day, and I want to hear from YOU. Tell me which of Bernie's policies is the scariest:",107,68,6,,3,5,25,89,1444485345732347,/story.php?story_fbid=1444485345732347&id=111324359048459
Dr. Roger Marshall,,2020-03-03 13:15:10,We need to know. Will Barbara Bollier support socialist Senator Bernie Sanders if he gets the nomination? Sign our letter to Bollier demanding an answer HERE:,16,8,4,,,,4,8,1444154765765405,/story.php?story_fbid=1444154765765405&id=111324359048459
Dr. Roger Marshall,,2020-03-03 09:45:43,"""On the eve of a potentially global pandemic, this situation underscores how imperative it is for our country to be able to prevent unidentified individuals from entering the country. Border security is national security, and families in Kansas deserve a home safe from unvetted individuals who may knowingly or unknowingly be carrying contagious diseases."" Read more of my op-ed in the Wichita Eagle:",92,82,,8,,,2,11,1443460742501474,/story.php?story_fbid=1443460742501474&id=111324359048459
Dr. Roger Marshall,,2020-03-02 16:30:08,"It's time to demand an answer. Chuck Schumer's candidate in Kansas, Barbara Bollier, has refused to answer whether she'd support Bernie Sanders if he is the Democrat nominee. SIGN A LETTER to Bollier demanding an answer, not another dodge or flip flop when convenient:",69,32,8,,2,,27,36,1443565009157714,/story.php?story_fbid=1443565009157714&id=111324359048459
Dr. Roger Marshall,,2020-03-02 13:45:35,"President Trump is doing everything in his power to protect Americans. Consulting with top medical experts, this administration is prepared to swiftly mitigate an outbreak of coronavirus here at home. Attempts by the national media and Democrats in Congress to place blame on the president for the outbreak are laughable. Anything President Trump can possibly do to expedite the development of testing, antivirals and vaccines is already being done.  This event also underscores what an absolute disaster a government takeover of our medical system would be. America’s health care capabilities are second to none because of competition and innovation. Radical socialist policies would effectively eliminate private investment in new medicines and technologies. That would be unacceptable.",216,203,6,3,,,4,19,1443457189168496,/story.php?story_fbid=1443457189168496&id=111324359048459
Dr. Roger Marshall,,2020-03-02 12:16:32,"Always great to see Willie, and to spend time with friends in the KSU Alumni community.  The Wabash CannonBall, which was this past weekend, is a tremendous event that raises money for KSU student scholarships. Happy every year to be a part of this great event. #EMAW",55,55,,,,,,,1443434655837416,/story.php?story_fbid=1443434655837416&id=111324359048459
Dr. Roger Marshall,,2020-03-01 10:35:55,"‪Laina and I had a great time at the Benedictine College Annual Scholarship Ball in Overland Park! Great to see John Holt - FOX 4 News, Archbishop Naumann, and meet so many new friends. ‬",41,39,,2,,,,,1442557852591763,/story.php?story_fbid=1442557852591763&id=111324359048459
