source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Gavin Clarkson for Senate,,2020-03-06 09:33:25,"Dr. John R. Lott, Jr. nails it: ""Given the civil rights protections found in Baker Act statutes, as well as the mental health evaluation requirements, let’s make use of these laws before enacting others that won’t address the real issue.""",9,9,,,,,,1,828265717678147,/story.php?story_fbid=828265717678147&id=322043381633719
Gavin Clarkson for Senate,,2020-03-05 13:49:55,"""Warren promised to have a transgender child vet her education secretary and said her administration would feature affirmative action for “non-binary” people.""",194,112,69,4,3,2,4,35,827700617734657,/story.php?story_fbid=827700617734657&id=322043381633719
Gavin Clarkson for Senate,,2020-03-05 11:18:53,This is #WhyTheSenateMatters.  I'm the only Christian conservative constitutionalist capitalist finance professor with a Harvard Law degree running. Put me on the Judiciary Committee!,197,76,,3,3,,115,39,827625031075549,/story.php?story_fbid=827625031075549&id=322043381633719
Gavin Clarkson for Senate,,2020-03-04 19:48:26,"Satire, or real??",603,90,486,5,12,2,8,52,827175521120500,/story.php?story_fbid=827175521120500&id=322043381633719
Gavin Clarkson for Senate,,2020-03-03 19:52:52,We need a battle-tested swamp warrior as our nominee for U.S. Senate to help FLIP NM RED.,485,400,,85,,,,20,826507854520600,/story.php?story_fbid=826507854520600&id=322043381633719
Gavin Clarkson for Senate,,2020-03-02 16:36:24,Update on Federal Courts....,54,51,,3,,,,,825748371263215,/story.php?story_fbid=825748371263215&id=322043381633719
Gavin Clarkson for Senate,,2020-03-02 15:11:40,This won't go over well with New Mexico voters....,613,106,48,,38,14,407,140,825709634600422,/story.php?story_fbid=825709634600422&id=322043381633719
Gavin Clarkson for Senate,,2020-03-02 15:06:22,A nation without borders is a nation more prone to pandemics. Political correctness could prove to be deadly.,232,211,2,17,1,1,,8,825706361267416,/story.php?story_fbid=825706361267416&id=322043381633719
Gavin Clarkson for Senate,,2020-02-28 12:46:15,Gavin is the only Republican with the firepower to defend our fundamental constitutional rights.,573,254,3,3,5,43,265,114,823620668142652,/story.php?story_fbid=823620668142652&id=322043381633719
Gavin Clarkson for Senate,,2020-02-27 14:15:34,"This is #WhyTheSenateMatters...to confirm President Trump's conservative judges to the federal bench. GOP appointees on the 2nd Circuit demonstrated greater fidelity to the law than the flawed decision by Democrat-dominated 3rd Circuit panel. SCOTUS will now resolve the conflict, and I predict that the ""sanctuary cities"" will lose. The Constitution clearly puts immigration policy in the hands of the federal government. ""An unconstitutional law is no law at all.""",379,320,1,58,,,,20,822879564883429,/story.php?story_fbid=822879564883429&id=322043381633719
Gavin Clarkson for Senate,,2020-02-27 13:51:56,"""It's International Polar Bear Day, and the story of a resurgent polar bear population deserves to be told and applauded."" #FrackChina",66,58,,1,4,3,,4,822958774875508,/story.php?story_fbid=822958774875508&id=322043381633719
Gavin Clarkson for Senate,,2020-02-27 10:49:49,#CoronavirusOutbreak is now in Latin America & could spread to NM. Illegal aliens from Brazil surrendered to me at our border last year. Governor Lujan Grisham should be held accountable for pulling our National Guard from the border and opposing #TheWall.,249,99,2,1,38,24,85,22,822846298220089,/story.php?story_fbid=822846298220089&id=322043381633719
Gavin Clarkson for Senate,,2020-02-26 20:21:32,"Shutting down reliable energy sources like New Mexico's Democrats want to do with the Green New Deal hurts real people, especially in Indian Country. Private property rights and tribal sovereignty are two sides of the same conservative coin....",71,35,,,5,17,14,3,822250084946377,/story.php?story_fbid=822250084946377&id=322043381633719
Gavin Clarkson for Senate,,2020-02-26 15:52:51,"Communist China is the biggest longterm menace we face, and American Energy Dominance is the answer. #FrackChina!",195,98,19,,1,5,72,26,822177921620260,/story.php?story_fbid=822177921620260&id=322043381633719
Gavin Clarkson for Senate,,2020-02-26 12:27:57,My position on the Second Amendment is simple: “shall not be infringed” means “shall not be infringed.” I fully support any New Mexico sheriff’s refusal to enforce an unconstitutional law and applaud the creativity of the Second Amendment Sanctuary movement.,1.5K,656,28,38,39,11,749,459,822180911619961,/story.php?story_fbid=822180911619961&id=322043381633719
Gavin Clarkson for Senate,,2020-02-25 15:55:51,Senate Democrats are showing just how extreme they’ve become by opposing against the Pain-Capable Unborn Child Protection Act & the Born-Alive Abortion Survivors Protection Act.,1.3K,128,,1,8,256,1K,296,821578588346860,/story.php?story_fbid=821578588346860&id=322043381633719
Gavin Clarkson for Senate,,2020-02-24 21:01:03,This latest decision is proof that President Trump's greatest lasting impact will be to return jurisprudential balance to the federal courts. #NMPol #NMSen,728,599,1,128,,,,13,821037451734307,/story.php?story_fbid=821037451734307&id=322043381633719
Gavin Clarkson for Senate,,2020-02-23 18:53:59,"After I was Hired by President Trump, I was fired by the radical Socialists running NMSU....",154,43,,,11,21,79,15,820276301810422,/story.php?story_fbid=820276301810422&id=322043381633719
Gavin Clarkson for Senate,,2020-02-23 17:14:58,Bet mainstream media doesn't highlight left-wing hatred and intolerance like this....,1.5K,205,1,3,32,104,1.2K,271,820236525147733,/story.php?story_fbid=820236525147733&id=322043381633719
Gavin Clarkson for Senate,,2020-02-22 23:34:36,#BossyBloomberg had a rough debate night....,283,90,187,5,,,1,25,819701255201260,/story.php?story_fbid=819701255201260&id=322043381633719
Gavin Clarkson for Senate,,2020-02-21 16:30:38,MLG is about to sign the most extreme “Red Flag” law in the nation. Join Gun Owners for Gavin to protect our fundamental rights!,162,157,,5,,,,2,818838181954234,/story.php?story_fbid=818838181954234&id=322043381633719
Gavin Clarkson for Senate,,2020-02-21 11:36:33,President Trump doesn't have to buy organic engagement on social media because his content is authentic.,407,121,81,4,8,9,184,112,818657485305637,/story.php?story_fbid=818657485305637&id=322043381633719
Gavin Clarkson for Senate,,2020-02-20 17:20:39,#BossyBloomberg's nanny-state socialism lite still leads exactly where Bernie's caffeinated version does. Would you rather go over the cliff at 60mph or 80?,194,79,106,3,2,2,2,39,818082135363172,/story.php?story_fbid=818082135363172&id=322043381633719
Gavin Clarkson for Senate,,2020-02-20 12:14:04,It's National Cherry Pie Day!,93,43,47,2,1,,,9,817986228706096,/story.php?story_fbid=817986228706096&id=322043381633719
Gavin Clarkson for Senate,,2020-02-19 23:31:30,#GunsSaveLives,120,104,2,14,,,,3,817610098743709,/story.php?story_fbid=817610098743709&id=322043381633719
Gavin Clarkson for Senate,,2020-02-19 19:14:11,"Together with President Trump,  we can FLIP NEW MEXICO RED!",576,484,1,90,1,,,20,817442688760450,/story.php?story_fbid=817442688760450&id=322043381633719
Gavin Clarkson for Senate,,2020-02-19 14:26:02,Paging Mike Bloomberg.....,758,664,15,77,1,,1,15,817370372101015,/story.php?story_fbid=817370372101015&id=322043381633719
Gavin Clarkson for Senate,,2020-02-19 10:22:13,"Like my Harvard Law classmate Tom Cotton, I am also highly suspicious of Wuhan coronavirus' origins. My family has a long history of viewing China as a growing strategic threat ever since my mother first wrote about China's weapons programs as an intelligence analyst in 1962....",170,149,2,3,15,,1,13,817243232113729,/story.php?story_fbid=817243232113729&id=322043381633719
"Gavin Clarkson for Senate,Gavin Clarkson",Gavin Clarkson,2020-02-18 17:26:28,"About a year ago.... New Mexico's border is still mostly defenselessPOTUS visited the border in El Paso Monday, Feb 11th, where #TheWall keeps everyone safe. For those who don't think we need additional #PrimaryBarrier here, I created an aerial video tour of New Mexico's border with Mexico. 180 miles in 140 seconds.  Thanks to Bob Pelham for several of the included photos.",22,18,,1,,2,1,1,816782782159774,/story.php?story_fbid=816782782159774&id=322043381633719
Gavin Clarkson for Senate,,2020-02-18 15:37:41,"""Farming looks mighty easy when your plow is a pencil & you're 1,000 miles from the cornfield."" - Dwight D. Eisenhower Every economy needs folks who can build, fix, make, raise, & grow things. I taught vocational classes for years in addition to university courses.",492,158,9,8,15,10,292,92,816738462164206,/story.php?story_fbid=816738462164206&id=322043381633719
