source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Dave Goldfischer for U.S. Senate,,2020-02-21 19:50:39,https://secure.actblue.com/donate/dg-for-colorado-1,,,,,,,,,135038328035621,/story.php?story_fbid=135038328035621&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-02-21 15:52:44,Thank you @UCCSforBernie for calling Democrats to action! It was a pleasure to protest Trump & Gardner outside of the Broadmoor World Arena with you!,,,,,,,,,134992354706885,/story.php?story_fbid=134992354706885&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-02-18 19:40:36,David calls on Coloradans to protest Trump & Gardner’s suppression of the truth as the two fundraise in Colorado Springs on February 20th.,,,,,,,,,133969551475832,/story.php?story_fbid=133969551475832&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-01-27 14:34:03,,1,1,,,,,,,117943789745075,/story.php?story_fbid=117943789745075&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-01-27 01:19:54,,,,,,,,,,117656349773819,/GoldfischerforColorado/photos/a.107117854161002/117656349773819
Dave Goldfischer for U.S. Senate,,2020-01-27 01:17:27,,,,,,,,,,117655179773936,/GoldfischerforColorado/photos/a.117655396440581/117655179773936
Dave Goldfischer for U.S. Senate,,2020-01-27 02:03:00,Dave shares his views on inclusion and what's at stake in the 2020 election cycle at the Latinx Candidate Forum.,2,2,,,,,,,117668053105982,/story.php?story_fbid=117668053105982&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-02-21 19:50:39,https://secure.actblue.com/donate/dg-for-colorado-1,,,,,,,,,135038328035621,/story.php?story_fbid=135038328035621&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-02-21 15:52:44,Thank you @UCCSforBernie for calling Democrats to action! It was a pleasure to protest Trump & Gardner outside of the Broadmoor World Arena with you!,,,,,,,,,134992354706885,/story.php?story_fbid=134992354706885&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-02-18 19:40:36,David calls on Coloradans to protest Trump & Gardner’s suppression of the truth as the two fundraise in Colorado Springs on February 20th.,,,,,,,,,133969551475832,/story.php?story_fbid=133969551475832&id=107117810827673
Dave Goldfischer for U.S. Senate,,2020-01-27 14:34:03,,1,1,,,,,,,117943789745075,/story.php?story_fbid=117943789745075&id=107117810827673
