source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Theresa Greenfield,,2020-03-05 09:29:55,"Iowa is the greatest thing since sliced bread! No really, sliced bread was invented in Davenport. That’s just one of my favorite Iowa history tidbits I’m thinking about this #IowaHistoryMonth. What’s yours?",16,14,,2,,,,1,1328434970701024,/story.php?story_fbid=1328434970701024&id=683872625157265
Theresa Greenfield,,2020-03-04 21:05:34,"This scrappy farm kid, mom, and small business woman turned in over 20,000 signatures today from all 99 counties to qualify for the ballot. Now that it’s official, we need your support more than ever before. Give what you can to flip this #IASen seat: https://secure.actblue.com/donate/tg-march-2020?refcode=fb0304&amount=17",81,74,,6,1,,,2,1328037927407395,/story.php?story_fbid=1328037927407395&id=683872625157265
Theresa Greenfield,,2020-03-04 15:10:54,"Senator Ernst asked the Supreme Court to reconsider Roe v. Wade. Now, it’s on the line. It’s never been more urgent to flip this #IASen seat and elect a senator who will always fight for reproductive freedom.  All hands on deck: greenfieldforiowa.com  #MyRightMyDecision",64,46,,6,1,,11,5,1327856190758902,/story.php?story_fbid=1327856190758902&id=683872625157265
Theresa Greenfield,,2020-03-04 11:30:02,"🚨Breaking News 🚨 #TeamTheresa just turned in 20,000+ signatures from all 99 Iowa counties. This grassroots team went above and beyond: swing counties, rural areas and small towns - we’re fighting for every vote! This is how we win in November.",63,56,,6,1,,,,1327714987439689,/story.php?story_fbid=1327714987439689&id=683872625157265
Theresa Greenfield,,2020-03-03 21:44:04,Hearing from Iowans from all corners of the state is a privilege I don’t take for granted. I’m so lucky to be in this fight and can’t thank you all enough for having my back. Great meeting everyone in Madison County today!,34,29,,5,,,,,1327254014152453,/story.php?story_fbid=1327254014152453&id=683872625157265
Theresa Greenfield,,2020-03-03 19:46:13,"I kicked off my Hear it from the Heartland tour at the Boone County Hospital. Why? Because everywhere I go in our state, health care is the number one issue I hear about. I’ll work every day in the Senate to #ProtectOurCare because I’ll never forget who I’m fighting for.  #IASen",63,56,,5,,1,1,4,1327185480825973,/story.php?story_fbid=1327185480825973&id=683872625157265
Theresa Greenfield,,2020-03-02 19:05:39,"“One of the things I’ve learned growing up in a small town is if you’ve been to one small town, you’ve been to one small town.”  What’s better than traveling to one small town? Getting to know hundreds of them across Iowa on the campaign trail! Everywhere I go I meet countless Iowans, taste the food, and experience the sights that make our state's small towns so special. Thanks for talking with me, Carroll Times Herald! Take a look 👇",87,75,,12,,,,,1326310957580092,/story.php?story_fbid=1326310957580092&id=683872625157265
Theresa Greenfield,,2020-03-02 13:38:01,"What a weekend! I spent yesterday crisscrossing the state on my Hear it from the Heartland tour in Mason City, Mitchell County, and Boone County. Here are some highlights: 🔘 Listening to Iowans at a family-owned local brewery in Mason City. Check out Mason City Brewing - great beer, great people.  🔘 Being surprised by my aunties who came to see me. 🔘 Chatting with folks at the beautiful home of Kurt and Paula. They even served us homemade butter cake. I never say no to cake! 🔘 Hearing from all the people who turned out at the Boone County Democrats of Iowa Chili Cookoff. What a great (and delicious) way to end the day.  We are getting up early and staying up late to flip this #IASen seat. Thanks for being on this journey with me, today and everyday.",72,64,,8,,,,,1326134960931025,/story.php?story_fbid=1326134960931025&id=683872625157265
Theresa Greenfield,,2020-03-02 11:26:18,It’s no secret: Senator Ernst wants to repeal the Affordable Care Act. That would rip health care away from Iowans with preexisting conditions and Iowans on Medicaid.  She’s fighting to take your care away. I’ll always fight to protect it. #IASen,99,64,,1,2,2,30,13,1326059030938618,/story.php?story_fbid=1326059030938618&id=683872625157265
Theresa Greenfield,,2020-03-01 16:34:00,"What a surprise! My aunties drove down to Mason City this morning to say hi. I loved seeing them (including my very stylish Aunt Teita - in the polka dots!), as well as so many Iowans at Mason City Brewing. I got lots of great questions about health care (still the number one issue I hear about), Social Security, and what we can do to #FlipTheSenate.",120,101,,19,,,,6,1325390361005485,/story.php?story_fbid=1325390361005485&id=683872625157265
Theresa Greenfield,,2020-02-29 12:31:23,"Can a “scrappy farm kid” beat the third most unpopular senator? You betcha, but only with your help. Today’s our last day to hit our February fundraising goal and we’re behind. Can I count on you to chip in and tell your friends to do the same? ▶️ https://secure.actblue.com/donate/tg-february-eom?refcode=fb0229&amount=17",79,70,,9,,,,2,1324362284441626,/story.php?story_fbid=1324362284441626&id=683872625157265
Theresa Greenfield,,2020-02-28 15:38:31,Senator Ernst and the dark money group she illegally coordinated with are now the subject of IRS and FEC complaints.  Senator Ernst is certainly familiar with the definition of dark money. Read my plan to ban it: https://bit.ly/2SZQS19,51,40,,2,,,9,1,1323624001182121,/story.php?story_fbid=1323624001182121&id=683872625157265
Theresa Greenfield,,2020-02-27 21:22:54,"Energy and momentum. That’s what I’m sensing as I travel across the state talking to Iowans.  There are so many new faces at county meetings, folks who are stepping up to volunteer, donate and work together to flip this seat. Nobody wins by themselves. Our campaign is only as strong as our supporters. Thank you all for being with me in this fight: greenfieldforiowa.com #IASen",69,60,,9,,,,1,1322883241256197,/story.php?story_fbid=1322883241256197&id=683872625157265
Theresa Greenfield,,2020-02-27 13:48:11,"My first husband was a union electrical worker. When Rod died of a workplace accident, and I became a single mom with a 13-month-old and another one on the way, Social Security and hard-earned union benefits helped my young family survive. That’s one of the many reasons that this fight is personal for me. I will always stand tall with our unions because I’ll never forget how union members helped shovel our driveway and take care of my kids. I will always fight to protect Social Security because it gave my family a hand up when we needed it most. We need to continue working together to #FlipTheSenate in Iowa to stand up for our unions, protect Social Security, and so much more. #IASen #IApolitics",196,156,,36,1,3,,8,1322609224616932,/story.php?story_fbid=1322609224616932&id=683872625157265
"Theresa Greenfield,Joni Ernst",Joni Ernst,2020-02-25 13:29:47,"Senator Ernst—America’s 3rd most unpopular senator—is running from her record after supporting Big Pharma for years. We're going to keep calling her out.  Iowa deserves a senator who works for us, not Big Pharma. Chip in to help me flip this #IASen seat: https://bit.ly/2wNAU1mPrescription drug costs are too high, and it’s an issue I hear about across all 99 counties in Iowa. We’re taking action in the Senate to lower prescription drug prices.",105,67,1,6,5,3,23,23,1322516667959521,/story.php?story_fbid=1322516667959521&id=683872625157265
Theresa Greenfield,,2020-02-26 14:48:50,"I’m a proud farm kid with farm kid values. Growing up, there were always lots of chores to do, but helping my dad with our family's crop dusting business was my favorite. I’ll never forget who I am, where I’m from, and who I’m fighting for: greenfieldforiowa.com",116,98,,18,,,,5,1321795548031633,/story.php?story_fbid=1321795548031633&id=683872625157265
Theresa Greenfield,,2020-02-25 19:27:53,"Let’s be clear: these two bills are extreme, dangerous, and unnecessary. And my Republican opponent supports both. I will always defend a woman's right to make her own health care decisions. These attacks should be off the table.  We need to defend these rights in Iowa, too. Iowa Republicans are trying to pass an amendment that would devastate women’s health care in our state. Join me to protect reproductive freedom ➡️ greenfieldforiowa.com",213,100,,3,5,1,104,24,1321025974775257,/story.php?story_fbid=1321025974775257&id=683872625157265
"Theresa Greenfield,Joni Ernst",Joni Ernst,2020-02-24 12:03:19,"America’s 3rd most unpopular senator is rewriting her record now that she's up for reelection after siding with Big Pharma for years.  Let’s elect a new senator who will actually fight to lower the cost of prescription drugs. Help flip this seat: http://greenfieldforiowa.comWe’ve heard a lot of talk about bringing down prescription drug prices, now it’s time for action. I’m currently working on 8 bills in the Senate which, along with the CREATES act signed in December, will: Increase competition in the marketplace Streamline the FDA approval process Close loopholes that drive up prescription costs",72,63,1,8,,,,14,1320229828188205,/story.php?story_fbid=1320229828188205&id=683872625157265
Theresa Greenfield,,2020-02-24 16:30:58,"Our campaign is #UnionStrong.  Endorsements like these are personal for me. When my first husband died on the job, his union helped save my young family. I’ll always fight for our unions and I’m so proud to have the support of AFGE.  AFGE represents the dedicated men and women who make our government work, from taking care of our veterans, maintaining our infrastructure, keeping us safe and so much more. It’s always a good day to thank a union member!  #IASen #iapolitics",39,37,,1,1,,,,1320077411536780,/story.php?story_fbid=1320077411536780&id=683872625157265
Theresa Greenfield,,2020-02-24 14:28:35,"Growing up in a town of 500, we always looked out for each other. That’s what they do at Siouxland Community Health Center. We must keep fighting to expand access to affordable health care. Thanks for the tour today!",39,39,,,,,,,1320005524877302,/story.php?story_fbid=1320005524877302&id=683872625157265
Theresa Greenfield,,2020-02-23 21:46:01,"Senator Ernst takes money from corporate PACs. I don’t.  She’s fighting for wealthy, corporate special interests. I’m fighting for you.  Here's my full plan to #EndPoliticalCorruption like Ernst's:",53,50,,3,,,,4,1319424524935402,/story.php?story_fbid=1319424524935402&id=683872625157265
Theresa Greenfield,,2020-02-23 17:32:42,"I am so lucky — traveling across this state, meeting Iowans, and getting to know what makes each county unique is my absolute favorite thing about this campaign.  Today, I had the chance to visit Ida and Carroll Counties. Everywhere I go I continue to be inspired by the hard work and dedication of Iowans. I loved listening to and answering everyone’s thoughtful questions on health care, Social Security, and more, all topics that are very dear to my heart.  Thank you to Kathy and Richard in Carroll and Deb, Thad, and their daughter Maureen in Ida for opening your homes to me and many others today. And thank YOU for being a part of this journey with me.",75,66,,9,,,,,1319290641615457,/story.php?story_fbid=1319290641615457&id=683872625157265
Theresa Greenfield,,2020-02-23 12:24:07,"Next up on my Hear it from the Heartland tour: Carroll, Ida and Woodbury Counties.  If you have a favorite coffee shop or small business we should check out, let me know in the comments and we’ll try our darnedest to get there👇",47,46,,1,,,,3,1319066171637904,/story.php?story_fbid=1319066171637904&id=683872625157265
Theresa Greenfield,,2020-02-22 17:05:22,What a fun afternoon speaking with and listening to Iowans from the Linn County Phoenix Club! Working together to elect Democrats up and down the ballot has never been more important. Thanks for having me 👋,45,43,,2,,,,1,1318412241703297,/story.php?story_fbid=1318412241703297&id=683872625157265
Theresa Greenfield,,2020-02-22 12:08:52,"Growing up on a farm, my dad always said there are no boy jobs or girl jobs, just jobs that need to get done. Flipping the Senate is a job that needs to get done. Chip in to fund my grassroots campaign and help us get this job done ▶️",23,21,,2,,,,1,1318232778387910,/story.php?story_fbid=1318232778387910&id=683872625157265
Theresa Greenfield,,2020-02-21 20:04:07,"I’ve met folks all over Iowa who are worried about these devastating floods. This is what climate change looks like here in the Midwest and we need to take action, including investing in infrastructure and home repairs.",51,43,,1,,7,,4,1317647961779725,/story.php?story_fbid=1317647961779725&id=683872625157265
