source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Matt Innis for US Senate, Inc.",,2020-03-05 17:05:24,Tomorrow morning I'll be in North Platte and on KODY radio (1240 AM / 106.1 FM) at 8am - make sure to tune in! You can live stream here: http://bit.ly/2VNGWcJ,23,23,,,,,,1,204380367573488,/story.php?story_fbid=204380367573488&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-27 14:25:06,I am stunned and humbled by the amount of donations that I've seen coming in through the campaign. Your continued support via donations is what will help get the word out to those throughout the state that they no longer have to settle for Sasse. http://bit.ly/31Pi8SQ,74,69,,5,,,,3,199140398097485,/story.php?story_fbid=199140398097485&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-26 10:05:12,,44,44,,,,,,1,198215711523287,/story.php?story_fbid=198215711523287&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-25 12:40:52,"Throughout these last few months of campaigning around the state I've gained so much support and encouragement everywhere I go, especially in rural Nebraska! This morning I officially filed for office to run against Ben Sasse as Republican candidate for U.S. Senate.",133,119,,14,,,,16,197582318253293,/story.php?story_fbid=197582318253293&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-24 10:50:09," I will proudly serve on the Senate Agriculture Committee, unlike my opponent who abandoned Nebraska’s farmers and quit the Agriculture Committee.",76,75,,1,,,,5,196760051668853,/MattInnisForSenate/photos/a.108438780500981/196760051668853
"Matt Innis for US Senate, Inc.",,2020-02-21 15:59:02,,57,54,,3,,,,,194792155198976,/MattInnisForSenate/photos/a.106014884076704/194792155198976
"Matt Innis for US Senate, Inc.",,2020-02-21 13:30:28,Keep up with campaign news and events by subscribing to our newsletter! ,86,83,,3,,,,3,194723328539192,/MattInnisForSenate/photos/a.108438780500981/194723328539192
"Matt Innis for US Senate, Inc.",,2020-02-18 08:55:11,"Interested in getting yard signs for your community, hosting a fundraiser, or having Matt speak at a function? Contact the campaign! http://bit.ly/3bAu13w",66,61,,5,,,,1,192262265451965,/story.php?story_fbid=192262265451965&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-15 10:50:09,Stopped by 21st Century John Deere last week - great group of folks there!,45,44,,1,,,,4,190330328978492,/MattInnisForSenate/photos/a.108438780500981/190330328978492
"Matt Innis for US Senate, Inc.",,2020-02-13 18:11:08,Here's the most recent interview that aired today on KCNI 1280 AM and KBBN 96.3 FM out of Broken Bow! http://bit.ly/2HhLLTb,55,50,,5,,,,3,188922072452651,/story.php?story_fbid=188922072452651&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-13 15:21:09,My interview on KCNI 1280 AM and KBBN 96.3 FM out of Broken Bow is starting here in just a few minutes - make sure to tune in!,10,10,,,,,,,188845402460318,/story.php?story_fbid=188845402460318&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-13 08:03:25,Innis for Senate signs are popping up all over the state! It's a great sight to see!!!,94,82,1,11,,,,7,188517215826470,/story.php?story_fbid=188517215826470&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-12 10:10:11,In the Custer County area? Make sure to tune in tomorrow (2/13/20) at 2:30pm to hear my latest interview - it will be airing on KCNI 1280 AM and KBBN 96.3 FM out of Broken Bow!,50,45,,5,,,,3,187910612553797,/MattInnisForSenate/photos/a.108438780500981/187910612553797
"Matt Innis for US Senate, Inc.",,2020-02-10 19:51:47,Had the opportunity to chat with some pretty amazing folks in Sidney at Points West Bank fundraiser!,65,58,,7,,,,1,186775369333988,/story.php?story_fbid=186775369333988&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-02-07 13:14:35,Heading back out west and had a chance to swing by the USDA office Farm Service Agency - what a great group of people!!!,84,80,,4,,,,7,184550832889775,/MattInnisForSenate/photos/a.108438780500981/184550832889775
"Matt Innis for US Senate, Inc.",,2020-02-04 19:11:36,"Show us your sign! Do you have a Matt Innis for US Senate sign in your yard, on your fence, on your barn, or displayed somewhere else for everyone to see? We'd love to see where all around the state the signs are at!",35,35,,,,,,11,182622579749267,/story.php?story_fbid=182622579749267&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-01-30 20:09:34,"Did you get a chance to catch my interview on the Scott Voorhees show on KFAB? If not, why not take a listen now! https://ihr.fm/38TMqGc",43,41,,2,,,,7,179349710076554,/story.php?story_fbid=179349710076554&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-01-27 08:40:10,Last week I had a great opportunity to chat with the folks at the Homestead Market in Dalton! So glad I had the chance to meet with them!,53,52,,1,,,,,177070630304462,/MattInnisForSenate/photos/a.108438780500981/177070630304462
"Matt Innis for US Senate, Inc.",,2020-01-24 18:02:52,Had the opportunity to meet with Mrs. Bartling's 5th grade class at Leyton Elementary in Gurley - what an amazing group of kids! We had a wonderful time chatting and I had the opportunity to answer lot really great questions!,78,74,,4,,,,3,175339927144199,/MattInnisForSenate/photos/a.108438780500981/175339927144199
"Matt Innis for US Senate, Inc.",,2020-01-23 16:11:55,"I'll be in Scottsbluff TONIGHT!!! Join me from 6 – 7:30pm MST at the Gering Runza (on M Street, across from the Civic Center). I'm looking forward to all who can make it out...see you tonight!",25,25,,,,,,1,174516137226578,/story.php?story_fbid=174516137226578&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-01-19 10:07:03,"I will be speaking at the Hall County GOP Meeting in Grand Island (at the Chicken Coop, Inc, 120 E 3rd St)  tomorrow, Monday, January the 20th, at noon. Hope to see you there!",67,64,,3,,,,4,171608480850677,/MattInnisForSenate/photos/a.108438780500981/171608480850677
"Matt Innis for US Senate, Inc.",,2020-01-18 17:10:07,I was proud to join the Nebraska Walk for Life event today in Lincoln! I am proud to stand with President Trump and support his appointment of pro-life judges.,67,55,,12,,,,3,171142080897317,/story.php?story_fbid=171142080897317&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-01-17 19:23:17,"It was great seeing Legislature candidate for LD 15 in Fremont, Dave Rogers, at the Celebration of Life dinner in Omaha Thursday night! What a wonderful event! Made lots of new pro-life friends and supporters! #ProLife",44,43,,1,,,,1,170502787627913,/story.php?story_fbid=170502787627913&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-01-13 12:53:11,Productive weekend! Had the opportunity to chat with a lot of Nebraska republicans on Saturday at the State Central Committee meeting in Fremont!,67,59,,8,,,,5,168916431119882,/MattInnisForSenate/photos/a.108438780500981/168916431119882
"Matt Innis for US Senate, Inc.",,2020-01-06 14:47:08,The outpouring of support for our campaign is so humbling to me. We are giving out yard signs as fast as we have money to print them! If you're able to support the campaign financially as well it would be much appreciated! ,81,72,,9,,,,6,166852521326273,/MattInnisForSenate/photos/a.108438780500981/166852521326273
"Matt Innis for US Senate, Inc.",,2020-01-03 16:16:05,"According to Rep. Al Green (D-Texas), “…the genesis of impeachment, to be very candid with you, was when the president was running for office and he had members of his own party to talk about his unfitness to hold office.” Who was one of those “members of his own party” calling the president unfit? That’s right - Ben Sasse. Sasse repeatedly called Trump “unfit” while on Jake Tappers’ CNN show during the 2016 campaign and after Trump was elected, giving Democrats the incentive for the flawed impeachment process.  Sasse also gave cover to the Democrats and liberal media regarding the whistleblower report - prior to the release of the transcript - when he stated that “Republicans ought not to be rushing to circle the wagons…when there’s obviously lots troubling in there.” It’s obvious that the liberals are taking their cues from people like Ben Sasse; his lack of respect for the President certainly doesn’t reflect my values and, from what I’ve been hearing from virtually everyone I talk with as I travel the state, he doesn’t reflect the values of conservative Nebraskans, either. Clearly, it’s time for Nebraskans to make a change.",93,79,,6,,,8,21,166058454739013,/story.php?story_fbid=166058454739013&id=102865027725023
"Matt Innis for US Senate, Inc.",,2020-01-01 06:00:13,Happy New Year! Here's to a great 2020!,73,69,,4,,,,8,165442914800567,/MattInnisForSenate/photos/a.108438780500981/165442914800567
"Matt Innis for US Senate, Inc.",,2019-12-25 09:15:02,Wishing you and yours a very Merry Christmas!,46,42,,4,,,,8,163533228324869,/MattInnisForSenate/photos/a.108438780500981/163533228324869
"Matt Innis for US Senate, Inc.",,2019-12-22 18:39:11,"We'd love to be able to put out radio and TV ads, but we can't do it without your help! If you'd like to make a donation to the campaign, you can do so online - it's quick, easy, and secure. http://bit.ly/356t1Rp",53,50,,3,,,,2,162742481737277,/story.php?story_fbid=162742481737277&id=102865027725023
"Matt Innis for US Senate, Inc.",,2019-12-19 10:45:31,"Made another trip to Sidney again yesterday - great, great people there! Another full day of travel again today - I'll be stopping in Imperial, Benkelman, McCook, and Holdrege for more meetings and interviews.",89,85,,4,,,,10,161732898504902,/MattInnisForSenate/photos/a.108438780500981/161732898504902
"Matt Innis for US Senate, Inc.",,2019-12-18 07:35:03,For those in the Hastings area - tune in to 1230 KHAS at 7:35am and 12:45pm today and tomorrow to catch my 2-part interview with Mike Spataro.,19,18,,1,,,,,161383675206491,/story.php?story_fbid=161383675206491&id=102865027725023
"Matt Innis for US Senate, Inc.",,2019-12-16 09:55:18,"Unlike Ben Sasse, I’ve been traveling through the rural communities of Nebraska and actually speaking with Nebraska’s farmers and ranchers. I've met some amazing and resilient folks on my trips around the state - people I'm proud to call fellow Nebraskans!",95,87,,8,,,,12,160898958588296,/story.php?story_fbid=160898958588296&id=102865027725023
