source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Gary Peters,,2020-03-11 11:29:49,"In 2016, 1.2 million Democrats voted in Michigan's primary. Yesterday, the number grew to 1.6 million -- more than any Michigan presidential primary since 1976. Michiganders know this year's elections up and down the ballot will determine our future. This is our moment. Let's win.",30,26,1,4,,,,4,10157295197708789,/story.php?story_fbid=10157295197708789&id=6713653788
Gary Peters,,2020-03-10 12:02:50,Michigan votes today! Make sure you get out and make your voice heard. Here's your comprehensive guide to what you need to vote!,110,95,1,14,,,,7,10157292478553789,/story.php?story_fbid=10157292478553789&id=6713653788
Gary Peters,,2020-03-09 16:59:31,It's officially been more than a year since the House passed the For the People Act to curb the influence of big money in politics and expand voting rights. Mitch McConnell still won’t bring it to the Senate floor for a vote.,184,119,9,5,3,4,44,18,10157290517743789,/story.php?story_fbid=10157290517743789&id=6713653788
Gary Peters,,2020-03-09 10:51:24,"As I've said again and again, the road to the White House runs right through Michigan.  With tomorrow's presidential primary, the eyes of the nation are on Michigan -- make sure you have a plan to vote and make your voice heard.",135,130,1,3,1,,,28,10157289690108789,/story.php?story_fbid=10157289690108789&id=6713653788
Gary Peters,,2020-03-08 12:18:38,"On this International Women's Day, I want to recognize my partner in the Senate, Debbie Stabenow, who fights tirelessly for Michigan every day. I’m honored to work alongside you and so many other powerful women for the state we love, and your leadership is a constant inspiration.",474,375,13,85,1,,,21,10157287112823789,/story.php?story_fbid=10157287112823789&id=6713653788
Gary Peters,,2020-03-07 16:32:38,The fate of affordable health care and coverage for pre-existing conditions will once again be in the hands of the Supreme Court. The consequences for Michiganders if we lose the ACA would be devastating.,124,33,7,1,7,44,32,20,10157284837423789,/story.php?story_fbid=10157284837423789&id=6713653788
Gary Peters,,2020-03-04 17:43:22,"One in four Michigan jobs are in agriculture, and our hardworking farmers deserve to be recognized for their crucial contributions to not only feeding our state, but the country as whole.",107,92,2,12,1,,,6,10157276939898789,/story.php?story_fbid=10157276939898789&id=6713653788
Gary Peters,,2020-03-03 13:29:06,This is well-earned recognition for the men and women who work tirelessly to keep Michigan safe every single day.,134,122,,11,1,,,7,10157273769473789,/story.php?story_fbid=10157273769473789&id=6713653788
Gary Peters,,2020-03-02 18:15:18,Rural schools have enough to worry about without Betsy DeVos yanking away their funding.,369,126,4,1,4,39,195,40,10157270861843789,/story.php?story_fbid=10157270861843789&id=6713653788
Gary Peters,,2020-03-02 11:15:25,"Make no mistake — this year, the ACA is on the ballot. Protections for pre-existing conditions are on the ballot. Access to quality, affordable health care is on the ballot. Winning back the Senate just became more important than ever. Help us fight back: https://bit.ly/2x3rpeJ",186,153,16,5,4,4,4,38,10157270583878789,/story.php?story_fbid=10157270583878789&id=6713653788
Gary Peters,,2020-03-01 15:29:59,"Women throughout history have overcome innumerable boundaries, and their impact can't be overstated. Today kicks off Women's History Month -- I encourage you to take some time today to read about the incredible Michigan women whose lives and work have shaped our state and nation.",78,66,3,9,,,,13,10157268409203789,/story.php?story_fbid=10157268409203789&id=6713653788
Gary Peters,,2020-02-28 12:58:28,Here's how Betsy DeVos celebrates National Public School week -- by trying to gut millions in education funding from Michigan schools.,338,52,4,1,7,21,253,70,10157262073958789,/story.php?story_fbid=10157262073958789&id=6713653788
Gary Peters,,2020-02-26 15:38:59,It’s on ALL of us to be active in the fight against climate change. So encouraging to see this momentous pledge to reduce carbon emissions coming from Michigan businesses.,128,105,9,13,,,1,15,10157256809078789,/story.php?story_fbid=10157256809078789&id=6713653788
Gary Peters,,2020-02-25 09:48:39,Fat Tuesday means one thing in Michigan...it's Pączki Day!,443,382,7,52,1,,1,23,10157253478903789,/story.php?story_fbid=10157253478903789&id=6713653788
"Gary Peters,Congressional Black Caucus PAC",Congressional Black Caucus PAC,2020-02-24 11:06:23,"I'm honored to receive this endorsement from Congressional Black Caucus PAC!“Set politics and party aside: If it's not right for Michigan's small businesses and middle class, it's never been right with me.” - Sen. Gary Peters. ⠀ ⠀ Senator Peters is a Michigan native who is a strong advocate for the people of his state. Throughout his time in the US Senate, he has strived to put their interests above Washington politics. Senator Peters is a Navy Reserve veteran who is committed to ensuring other vets have a fair shot at jobs and adequate care. He believes in strengthening the middle class, making sure all Americans have access to affordable health care, and supporting the interests of small business owners. ⠀ ⠀ The #CBCPAC is proud to endorse Senator Gary Peters for re-election in the U.S. Senate! Visit petersformichigan.com or click the link in our bio to support Senator Gary Peters!",447,388,8,46,3,,2,26,10157251120938789,/story.php?story_fbid=10157251120938789&id=6713653788
Gary Peters,,2020-02-23 14:43:48,"Night school changed my life, so I know firsthand the “traditional” path doesn’t work for everyone -- but we all deserve the opportunity to get the kind of good-paying job that builds Michigan’s economy.",227,204,3,20,,,,17,10157248909763789,/story.php?story_fbid=10157248909763789&id=6713653788
Gary Peters,,2020-02-20 11:53:50,"Not everyone's path is the same. But in Michigan, everyone's path should begin with the same opportunity.",164,144,6,14,,,,18,10157240174238789,/story.php?story_fbid=10157240174238789&id=6713653788
Gary Peters,,2020-02-18 13:42:14,"I used to be an investment advisor helping families save for retirement, so I know the important role credit unions play to help Michiganders and small businesses achieve their dreams. Proud to continue working with Michigan Credit Union League so we can better serve our communities.",245,209,6,29,1,,,23,10157235105223789,/story.php?story_fbid=10157235105223789&id=6713653788
Gary Peters,,2020-02-17 18:28:11,Betsy DeVos is the worst thing to happen to public education. Pass it on.,530,389,7,6,5,14,109,99,10157232664838789,/story.php?story_fbid=10157232664838789&id=6713653788
Gary Peters,,2020-02-17 12:16:00,The Michigan cherry industry has suffered years of unfair competition from foreign countries who flood the market and hurt our producers. I’ll continue leading the charge to hold these bad actors accountable.,197,188,3,5,1,,,24,10157232098983789,/story.php?story_fbid=10157232098983789&id=6713653788
Gary Peters,,2020-02-16 15:33:32,Skilled trades programs have literally built Michigan's economy. Making good-paying jobs accessible for all is more than just good policy to me -- it's common sense.,139,120,4,14,1,,,15,10157229714048789,/story.php?story_fbid=10157229714048789&id=6713653788
Gary Peters,,2020-02-15 15:14:25,"Our veterans have served and sacrificed for our country, and we owe them a debt of gratitude. We must ensure they can easily access the VA resources and benefits they’ve earned.",305,265,2,35,2,1,,26,10157226925008789,/story.php?story_fbid=10157226925008789&id=6713653788
Gary Peters,,2020-02-14 18:15:06,"Happy Valentine's Day to my amazing wife and closest advisor, Colleen. I couldn't do this without you!",370,308,3,58,1,,,22,10157223916453789,/story.php?story_fbid=10157223916453789&id=6713653788
Gary Peters,,2020-02-14 12:08:52,Two years since the horrific mass shooting in Parkland. Two years of unprecedented action from young people calling for commonsense actions. Two years of Mitch McConnell blocking any attempt at addressing gun safety. I say this as a gun owner: we have to do better.,235,190,5,21,,15,4,46,10157223494928789,/story.php?story_fbid=10157223494928789&id=6713653788
Gary Peters,,2020-02-13 20:24:37,"Well if Betsy DeVos’ family is this scared of me, I must be doing something right. Join our fight → https://bit.ly/37rxhuO",1.4K,989,37,106,42,14,220,366,10157221789788789,/story.php?story_fbid=10157221789788789&id=6713653788
Gary Peters,,2020-02-12 12:36:28,"I’ve spent my life fighting for Michigan because to me, service is about giving back to your community. Whether fighting to protect our Great Lakes or lowering the cost of prescription drugs, I will always stand up for the issues that matter most to us.",244,206,6,29,1,,2,32,10157217796573789,/story.php?story_fbid=10157217796573789&id=6713653788
