source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Ross LaJeunesse for Maine,,2020-03-06 16:25:31,I’ll be on WMTW/ABC News Portland at 5 & 6 pm tonight discussing my call for Democratic debates. Tune in!,22,21,1,,,,,1,181281303296294,/story.php?story_fbid=181281303296294&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-06 14:08:24,Do you think this guy should be able to use facial recognition to keep tabs on his adult daughter?  I don't either. We need to regulate this technology and do it now.  check out my tech reform agenda here: https://medium.com/@rossformaine/my-tech-reform-agenda-d36119afa29a,6,3,,,1,,2,1,181214479969643,/story.php?story_fbid=181214479969643&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-05 14:43:57,"This is a great piece.  Big Tobacco, Big Oil, Big Tech -- they all use the same corporate playbook: SAY you care about the environment, SAY you care about people, SAY you care about doing the right thing. DO anything to maximize profits. Greed and corruption have infected American corporations -- and Washington. It's time to elect new leaders who aren't afraid to stand up and do the right thing. I've done it my whole life and I'll do it in the US Senate.  More about how I've spent my career here: https://www.newyorker.com/news/q-and-a/a-former-google-executive-calls-for-a-new-emphasis-on-human-rights",11,11,,,,,,3,180552000035891,/story.php?story_fbid=180552000035891&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-04 15:42:38,"I’m happy to share with you that two of my fellow Democratic candidates for Senate have agreed to the debate challenge we issued yesterday.  Sara Gideon has not. And I don’t think that’s acceptable. Mainers deserve to see their candidates for U.S. Senate on stage, in public, in their communities, debating the issues that matter.  If you’re with me, share this message on social media with the hashtag #MainersWantDebates.",33,29,1,3,,,,1,179885300102561,/story.php?story_fbid=179885300102561&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-04 15:25:58,Great news! 👍🏻 https://twitter.com/newscentermaine/status/1235289962184151040?s=20,19,17,1,1,,,,3,179877823436642,/story.php?story_fbid=179877823436642&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-03 16:10:18,"As Mainers head to the polls to cast their votes in the presidential primary on Super Tuesday, U.S. Sen. Democratic candidate Ross LaJeunesse is looking ahead to the state primary in June.  There are currently no debates scheduled ahead of the primary. ""Voters deserve better,"" LaJeunesse told NEWS CENTER Maine.",35,31,,4,,,,6,179214926836265,/story.php?story_fbid=179214926836265&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-03 13:16:20,"I think we all know why #SusanCollins is the most unpopular Senator in the country. It’s because she stopped listening to us. As Democrats, we can't criticize her and then do the same thing. That’s why today, I’ve called on my fellow Democratic candidates for U.S. Senate to participate in a series of 16 debates before the June 9 primary -- one in each one of Maine’s counties.  Voters deserve to hear our ideas for getting Maine and the country back on track, and they deserve to hear those ideas directly from us. If you agree with me, please share this message. https://www.centralmaine.com/2020/03/03/lajeunesse-calls-for-debates-among-collins-democratic-challengers/",24,24,,,,,,3,179134583510966,/story.php?story_fbid=179134583510966&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-03 11:25:11,"U.S. Senate candidate Ross LaJeunesse is calling for a series of 16 public debates between Maine’s Democratic candidates seeking to challenge Republican U.S. Sen. Susan Collins in November. “Maine voters have a right to hear from the candidates,” said LaJeunesse, a former executive at Google. “Any candidate asking for a Maine voter’s vote should get in front of voters and explain why they’re running and what ideas they have for getting Maine and the country back on track.”",48,43,,5,,,,6,179071463517278,/story.php?story_fbid=179071463517278&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-03 10:26:53,I'll be here all day! #RossForMaine,38,33,,5,,,,,179039056853852,/story.php?story_fbid=179039056853852&id=104853560939069
Ross LaJeunesse for Maine,,2020-03-03 09:07:43,"We can’t beat Susan Collins with another career politician. And we won't get the change we need with another career politician. I’ve never run for office before, but I have the experience to get things done. Maine needs an independent voice to deliver affordable healthcare, take action on the climate crisis, and tackle income inequality. When elected to the U.S. Senate, I'll take on the the D.C. establishment and make sure our government and our economy work for ALL of us. Join me. #RossForMaine",56,49,,7,,,,4,178993016858456,/story.php?story_fbid=178993016858456&id=104853560939069
