source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-03-01 13:48:04,,14,12,,2,,,,2,187163672590191,/story.php?story_fbid=187163672590191&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-03-01 10:51:55,,6,5,,1,,,,,504594656926019,/story.php?story_fbid=504594656926019&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-29 10:20:53,,38,30,,8,,,,9,795317254324414,/story.php?story_fbid=795317254324414&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-29 08:09:55,This is Eileen. Eileen voted for me. Be like Eileen. 😁,25,18,2,4,1,,,1,140937294063284,/story.php?story_fbid=140937294063284&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-26 21:02:09,She looks how I feel.,12,10,,1,1,,,,140183894138624,/story.php?story_fbid=140183894138624&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-26 20:45:33,#charrodays,40,34,,6,,,,3,140180380805642,/story.php?story_fbid=140180380805642&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-26 20:37:45,,7,5,,2,,,,2,1028509454195996,/story.php?story_fbid=1028509454195996&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-24 16:59:46,"Oh, yes I did.",38,31,,7,,,,1,139613187529028,/story.php?story_fbid=139613187529028&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-23 17:22:30,,16,15,,1,,,,,572981166621637,/story.php?story_fbid=572981166621637&id=107413274082353
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-23 12:44:09,,4,4,,,,,,,545713182724015,/events/545713182724015?view=permalink&id=545713199390680
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-23 12:39:01,,1,1,,,,,,,220066899147337,/events/220066899147337?view=permalink&id=220066902480670
"Annie ""Mamá"" Garcia for U.S. Senate",,2020-02-23 10:27:13,,17,12,,5,,,,1,139248334232180,/RunAnnieRun/photos/a.107413310749016/139248334232180
