source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Sarah Riggs Amico,,2020-03-05 10:01:27,Officially on the ballot! I'm running for Senate so everyone can have an equal chance at the American dream. I'm running so working families can feel seen and valued. I'm running to help create a more just world we can leave behind for our future generations.  Join us. http://bit.ly/FaithinGeorgia,260,178,,82,,,,13,3097792776917856,/story.php?story_fbid=3097792776917856&id=1751850481512099
Sarah Riggs Amico,,2020-03-05 09:27:12,"I'm so proud to have your support Communications Workers of America Local 3204! Trump's trade wars & David Perdue's betrayal of working Georgians have put families’ economic security on the line — we need someone in the Senate who will protect union jobs, pensions, health care, and the right to organize.",36,27,,9,,,,,3097663416930792,/story.php?story_fbid=3097663416930792&id=1751850481512099
Sarah Riggs Amico,,2020-03-05 09:22:30,I'm honored to receive the support of Georgia’s carpenters in this critical race. These workers have been on the front lines of the fight for economic justice for generations — I’m proud to stand by the Southeastern Carpenters.,51,42,,9,,,,,3097648816932252,/story.php?story_fbid=3097648816932252&id=1751850481512099
Sarah Riggs Amico,,2020-03-04 18:59:19,"I had such a great time touring the Carpenters Local # 255 training facility and speaking with their members on the importance of strong labor unions, protecting pensions, and worker's rights.",30,26,,4,,,,1,3096401680390299,/story.php?story_fbid=3096401680390299&id=1751850481512099
Sarah Riggs Amico,,2020-03-04 08:24:07,"After the 2018 election, I traveled throughout Georgia advocating for #HandMarkedPaperBallots — a more reliable, less expensive alternative to Georgia’s new voting machines.  Voter-verifiable ballots are a win for democracy. Bravo Athens-Clarke Co! #gapol https://apnews.com/2085d559d623d03f5e4d5ae89562e24a",123,100,,21,2,,,6,3095354867161647,/story.php?story_fbid=3095354867161647&id=1751850481512099
Sarah Riggs Amico,,2020-03-03 13:37:32,🗣️ Affordable housing should be a basic human right.,38,29,,4,,4,1,3,3093219490708518,/story.php?story_fbid=3093219490708518&id=1751850481512099
Sarah Riggs Amico,,2020-03-02 12:56:21,Spoiler alert: Senator David Perdue wants to take away Georgians' healthcare and strike down the Affordable Care Act.  Not me — I'll champion your right to affordable healthcare. Why? 🔵 581k Georgians gained health insurance through the ACA. 🔵 486k MORE Georgians could gain insurance if we expanded Medicaid. 🔵 1.8 million Georgians have a pre-existing medical condition. Your healthcare is on the ballot in 2020.,115,54,,2,2,16,41,5,3091545124209288,/story.php?story_fbid=3091545124209288&id=1751850481512099
Sarah Riggs Amico,,2020-03-02 11:01:01,Georgia residents: Early voting for the Presidential Primary election begins TODAY! 🗳 Vote early now through March 20th 🗳 Election day is March 24th 🗳 Report any shenanigans to Fair Fight Action,34,27,,7,,,,,3091347700895697,/story.php?story_fbid=3091347700895697&id=1751850481512099
Sarah Riggs Amico,,2020-03-01 22:08:00,"This week marked the beginning of Lent, and I want to share my first Lenten Season Sunday Reflection with you.  Today is the 55th anniversary of Bloody Sunday — a pivotal day in the Civil Rights Movement. The activists who marched on this day were seeking equal voting rights — something we are still struggling to win today. Here in our state of Georgia, we still see voter suppression, perpetuated by our own Governor.  5 and a half decades after the historical march in Selma, Black people are still fighting for equal rights. As I reflect on the gruesome acts of that day in 1965, I feel inspired by the great courage those marchers had, how they stood up for injustice and helped galvanize Congress to pass the Voting Rights Act.  Georgia’s recent voter suppression tactics have proved that we need to do more to ensure all Georgians have equal opportunity —  and I hope you'll join me in this fight.",28,28,,,,,,,3090218884341912,/story.php?story_fbid=3090218884341912&id=1751850481512099
Sarah Riggs Amico,,2020-03-01 16:35:09,"Kicking off Women's History Month celebrating the Black women who led and served as the backbone of the U.S. Labor movement. As a staunch supporter of worker's rights, I commend these women for their tireless work.",91,62,,29,,,,2,3089311397765994,/story.php?story_fbid=3089311397765994&id=1751850481512099
Sarah Riggs Amico,,2020-03-01 14:25:30,"Governor Brian Kemp doesn’t believe we need hate-crime legislation, but he's in denial.  We've seen a major rise in hate crimes towards communities of color, and we must take the right measures to put an end to it.",93,76,,11,5,1,,1,3089294624434338,/story.php?story_fbid=3089294624434338&id=1751850481512099
Sarah Riggs Amico,,2020-03-01 12:01:49,We 💙our supporters.,29,23,,6,,,,,3089298557767278,/story.php?story_fbid=3089298557767278&id=1751850481512099
Sarah Riggs Amico,,2020-02-29 15:33:50,Raise your hand if you agree. 🙋‍♀️🙋🏽‍♀️🙋🏾‍♀️,238,185,,53,,,,9,3087265781303889,/story.php?story_fbid=3087265781303889&id=1751850481512099
Sarah Riggs Amico,,2020-02-29 12:54:32,I love spending quality time with Georgians.,25,23,,2,,,,,3087207407976393,/story.php?story_fbid=3087207407976393&id=1751850481512099
Sarah Riggs Amico,,2020-02-29 09:02:37,"Georgia has one of the highest rates of people who have had misdemeanor or felony convictions in the nation. That number is a whopping 40% — and these folks face an unemployment rate of 15%, compared to the overall state’s rate of 3.4%. Everyone deserves a second chance.",104,82,,17,5,,,2,3086761901354277,/story.php?story_fbid=3086761901354277&id=1751850481512099
Sarah Riggs Amico,,2020-02-28 14:08:24,The Georgia Legislative Black Caucus is the largest legislative Black caucus in the nation and they sure know how to bring community together for a night of inspiration. I had a wonderful time celebrating at the 2020 GLBC Heritage Dinner last night with family and friends.  I'm excited for all of the work we will accomplish together in Georgia!,53,45,,8,,,,,3084982088198925,/story.php?story_fbid=3084982088198925&id=1751850481512099
