source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Senator Cindy Hyde-Smith,,2020-03-05 12:02:37,"Learn how to protect yourself. According to the Federal Trade Commission, the public reported $153M in losses to government-imposter scams, $37M of which are Social Security related. #NCPW2020 USAGov  https://www.usa.gov/state-consumer/mississippi",1,,1,,,,,,791329464687086,/story.php?story_fbid=791329464687086&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-04 18:25:46,Congress has before it a #coronavirus emergency funding package to confront the possibility of a broader #COVID19 outbreak. I’m pleased this bill includes a #telehealth provision I advocated to help protect Medicare beneficiaries.  https://www.hydesmith.senate.gov/hyde-smith-worked-include-telehealth-provision-coronavirus-emergency-funding-package,50,45,1,4,,,,7,790827748070591,/story.php?story_fbid=790827748070591&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-04 16:37:13,"Much more work needs to be done to restore Vicksburg National Military Park & National Cemetery. Grateful today to receive U.S. Department of the Interior Secretary Bernhardt's commitment to undertake urgent repairs. https://www.hydesmith.senate.gov/hyde-smith-gets-interior-sec-commitment-fix-vicksburg-national-military-park-damages Mayor George Flaggs, Jr. Vicksburg, Mississippi  Vicksburg-Warren County Chamber of Commerce",182,169,,5,5,3,,13,790784878074878,/story.php?story_fbid=790784878074878&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-04 09:06:21,Appreciated a good discussion yesterday with the Adams County Board of Supervisors regarding the county’s infrastructure needs and how we can work together to address those issues.,47,43,,4,,,,2,790554641431235,/story.php?story_fbid=790554641431235&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-03 20:31:05,Senator Roger Wicker and I are pleased Golden Triangle Region aircraft manufacturers have been awarded a $122.6 million contract to build more U-H Lakota Light Utility Helicopters for the U.S. Army.  https://www.hydesmith.senate.gov/miss-senators-announce-1226-million-army-contract-helicopter-production Airbus Airbus Helicopters Inc.,160,156,,4,,,,8,790201788133187,/story.php?story_fbid=790201788133187&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-03 14:30:05,Add to Mississippi’s & @NASAStennis long history with @NASA space program: #BeAnAstronaut. Applications accepted until March 31 for the next class of American astronauts to explore the moon & Mars. Requirements and more at www.nasa.gov/astronauts,12,12,,,,,,,790059034814129,/story.php?story_fbid=790059034814129&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-03 12:46:04,Joined Senator John Thune & others to remind the U.S. Department of Agriculture that due diligence is required to ensure Brazilian beef imports meet U.S. food safety standards. A complete verification process is needed before lifting the beef import ban.  https://www.hydesmith.senate.gov/hyde-smith-concerned-decision-lift-brazilian-beef-ban,48,48,,,,,,1,790006508152715,/story.php?story_fbid=790006508152715&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-02 17:21:06,"Congrats to Charlie Jennings of Greenville MS, the 2020 Southern Cotton Ginners Association's Ginner of the Year! Your good work & your family’s long history ginning cotton helps sustain an industry important to MS.  Farm Press National Cotton Council of America https://www.farmprogress.com/cotton-gins/charlie-jennings-2020-scga-ginner-year",18,18,,,,,,4,789461731540526,/story.php?story_fbid=789461731540526&id=356016438218393
Senator Cindy Hyde-Smith,,2020-03-02 15:11:40,Happy #ReadAcrossAmericaDay! Beloved author Dr. Seuss was born #OnThisDay in 1904. Pick up a good book to celebrate! Mississippi Library Commission Mississippi Library Association Barbara Bush Foundation,26,24,,2,,,,2,789406788212687,/story.php?story_fbid=789406788212687&id=356016438218393
Senator Cindy Hyde-Smith,,2020-02-28 19:25:05,Grateful to have Chief of Naval Operations Adm. Mike Gilday on the Mississippi Gulf Coast to see our world class shipbuilders and shipyards firsthand and all we’re doing to support the U.S. Navy.,76,74,1,1,,,,10,787517465068286,/story.php?story_fbid=787517465068286&id=356016438218393
"Senator Cindy Hyde-Smith,Chief of Naval Operations Adm. Mike Gilday",Chief of Naval Operations Adm. Mike Gilday,2020-02-28 17:48:03,Visited Huntington Ingalls Industries in #Pascagoula MS with Senator Roger Wicker Senator Cindy Hyde-Smith and Office of the Master Chief Petty Officer of the Navy today to see first-hand how our U.S. Navy #Sailors are building the world’s most ready and lethal fleet. #ForceToBeReckonedWith https://www.navy.mil/submit/display.asp?story_id=112240,31,30,,1,,,,,787515718401794,/story.php?story_fbid=787515718401794&id=356016438218393
