source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Senator Ben Sasse,,2020-02-26 13:11:27,"The Born-Alive Abortion Survivors Protection Act simply says that if a baby survives an abortion she should get the same degree of medical care that any other baby would get at the same gestational stage.  Senators are busy, but it's a short bill. Instead of coming to the floor and reciting pre-packaged talking points that Planned Parenthood wrote, they could have read it.",669,484,51,95,5,13,21,126,2705308502900411,/story.php?story_fbid=2705308502900411&id=709959352435346
Senator Ben Sasse,,2020-02-25 15:46:43,Sasse: You can’t defend the indefensible.,838,635,33,141,5,8,16,151,2705192942911967,/story.php?story_fbid=2705192942911967&id=709959352435346
Senator Ben Sasse,,2020-02-25 10:50:59,"Whether she's born in a gold-plated NICU unit at a hospital, or whether she comes into life through a lot more troubling circumstances at an abortion clinic in a strip mall, every baby that's born alive deserves a fighting chance at life. The U.S. Senate should stand up for our babies.",630,455,43,117,2,2,11,129,2704684636296131,/story.php?story_fbid=2704684636296131&id=709959352435346
Senator Ben Sasse,,2020-02-24 20:45:03,"Tomorrow, the Senate will vote on Senator Sasse's Born-Alive Abortion Surviviors Protection Act. Will the Senate vote to protect babies?",759,542,49,121,6,2,39,157,2703470319750896,/story.php?story_fbid=2703470319750896&id=709959352435346
Senator Ben Sasse,,2020-02-22 10:24:22,"Forty years ago today, at the height of the Cold War, a bunch of scrappy American kids beat the number one hockey team in the world, the USSR.",691,559,3,120,2,,7,115,2696201183811143,/story.php?story_fbid=2696201183811143&id=709959352435346
Senator Ben Sasse,,2020-02-13 17:29:04,This isn't just a natural disaster. This is a disaster caused by Chinese Communist Party maladministration and misrule.  People are dying in China and beyond their borders because the Communist Party isn't competent to run a government.,236,169,30,6,6,9,16,146,2679706948793900,/story.php?story_fbid=2679706948793900&id=709959352435346
Senator Ben Sasse,,2020-02-13 12:25:11,"If a baby is born, whether in a gold-plated NICU unit with lots of expensive cars in the parking lot or in an abortion clinic in a strip mall, once that baby is born, we all ought to be able to agree that the baby deserves care and protection and basic care. This is about babies that have already survived an abortion. Once they’ve done that once, you ought to give them a fighting chance to survive to adulthood.",619,462,15,127,1,1,13,154,2679249592172969,/story.php?story_fbid=2679249592172969&id=709959352435346
Senator Ben Sasse,,2020-02-12 10:42:46,"Communism is the perfect incubator for the coronavirus. China’s predatory system preys on its own people. Trials become tragedies, crises become catastrophes, and the bosses in Beijing exploit their own failures as cover for new and worse abuses.",489,360,36,2,17,62,12,222,2676864395744822,/story.php?story_fbid=2676864395744822&id=709959352435346
Senator Ben Sasse,,2020-02-11 17:35:05,"The Born-Alive Abortion Survivors Protection Act is about protecting babies who survive botched abortions. In our hearts, each of us knows that every member of our human family ought to be protected, that every baby is born with dignity. For two centuries, Americans have worked relentlessly to extend basic human rights to more and more of our fellow citizens.  That’s why we’re here today. It’s time to protect these newborn and vulnerable babies.",791,578,13,147,5,2,46,194,2675211252576803,/story.php?story_fbid=2675211252576803&id=709959352435346
"Senator Ben Sasse,Senate Judiciary Committee",Senate Judiciary Committee,2020-02-11 09:19:13,"Senator Ben Sasse leads a hearing titled, ""The Infant Patient: Ensuring Appropriate Medical Care for Children Born Alive.""",303,231,9,52,2,2,7,88,2674870519277543,/story.php?story_fbid=2674870519277543&id=709959352435346
"Senator Ben Sasse,Colby Joe",,2020-02-04 19:06:39,"If you haven’t seen this video, it’s worth a minute of your time to hear the story of James Wilke. He's the Nebraska hero who died trying to rescue a neighbor during the devastating 2019 flood. I want my kids to know about this family. I want them to learn from James' selflessness and courage. He's a guy who loved his family and his neighbors. He got a phone call saying that someone was stuck and needed help. He didn't hesitate, he hopped in his tractor, determined to lend a hand. As he crossed a bridge, it collapsed and James was lost. His death has left a huge hole in the hearts of everyone who loved him. James represented the best of Nebraskans, the kind of everyday faith and courage to rise up during extraordinary circumstances. If there was a problem or someone needed his help — he didn’t make a big deal of it, he just did what needed to be done. Tonight, his widow, Rachel, will be with me at the State of the Union. I can't think of a better ambassador to represent our state and honor James. Join me and Rachel in remembering James tonight.PLEASE READ: Here's how the useless ""Laws""  in Nebraska nearly got my Daughter SHOT in the FACE with a SHOTGUN tonight, it only takes 2 taps/clicks to share...",672,398,1,157,2,110,4,106,2660989093999019,/story.php?story_fbid=2660989093999019&id=709959352435346
Senator Ben Sasse,,2020-02-04 11:39:15,"Rachel and her husband, James, are #NebraskaStrong. This family shows Americans what it means to love your neighbor. James was selfless, hardworking, and our whole state stands behind Rachel and all of the other flood victims as we continue the long process of recovery. Nebraskans have a lot of grit and integrity - that's why we can count on each other when we need it most.",462,358,2,93,2,3,4,95,2660467390717856,/story.php?story_fbid=2660467390717856&id=709959352435346
Senator Ben Sasse,,2020-01-28 10:39:37,"The future is never settled: China’s rise is not fated, nor is the United States’ success. Two things are certain: First, the Chinese Communist Party seeks to be the world’s sole superpower and is advancing an agenda that systematically denigrates human dignity; second, human flourishing depends on the constant rejection of totalitarianism. As a nation founded on the idea of human dignity, the responsibility to counter China’s ambitions falls to us.",414,333,30,34,2,2,13,475,2644383858992876,/story.php?story_fbid=2644383858992876&id=709959352435346
Senator Ben Sasse,,2020-01-24 17:04:44,"Strength doesn’t look like Planned Parenthood’s army of lobbyists. Strength looks like the thousands of moms, dads, brothers, and sisters moving in unison out of love and compassion for babies. Thanks to everyone who came out to the March for Life this year!",1.2K,937,31,240,5,9,56,364,2638802976217631,/story.php?story_fbid=2638802976217631&id=709959352435346
Senator Ben Sasse,,2020-01-07 13:13:57,"Today, Senator Sasse officially joined the Senate Finance Committee and cast his first committee vote to advance the USMCA trade agreement. ""So, here's the bottom line: Nebraska is ready to keep feeding the world and we need open trade markets to do so. We should get the job done.""",346,297,22,23,,,4,425,2603558626408733,/story.php?story_fbid=2603558626408733&id=709959352435346
Senator Ben Sasse,,2020-01-02 22:42:06,"This is very simple: General Soleimani is dead because he was an evil bastard who murdered Americans. The President made the brave and right call, and Americans should be proud of our servicemembers who got the job done. Tehran is on edge - the mullahs have already slaughtered at least a thousand innocent Iranians - and before they lash out further they should know that the U.S. military can bring any and all of these IRGC butchers to their knees.",2.5K,2K,11,295,31,10,167,577,2593468670751062,/story.php?story_fbid=2593468670751062&id=709959352435346
Senator Ben Sasse,,2019-12-10 15:53:53,"It’s about dang time and it took a messy fight, but here’s the great news: we’ve earned a win for Nebraska farmers and ranchers.",320,255,36,24,1,,4,284,2542620645835865,/story.php?story_fbid=2542620645835865&id=709959352435346
Senator Ben Sasse,,2019-12-04 15:59:18,"We have only got 28 days left in 2019. But that is plenty of time to vote on USMCA. That’s plenty of time to get a win for our farmers and ranchers. Speaker Pelosi, schedule the vote.",307,252,26,9,2,1,17,224,2528867480544515,/story.php?story_fbid=2528867480544515&id=709959352435346
Senator Ben Sasse,,2019-12-03 11:06:19,Enough delay. The public needs answers. The DOJ Inspector General should finish this investigation as soon as possible.,407,358,23,22,1,,3,215,2526038747494055,/story.php?story_fbid=2526038747494055&id=709959352435346
Senator Ben Sasse,,2019-11-20 18:00:07,"Jeffrey Epstein died in early August. It's Thanksgiving, and we still don't have answers. That's crazy.",667,606,16,25,6,3,11,205,2495093973921866,/story.php?story_fbid=2495093973921866&id=709959352435346
Senator Ben Sasse,,2019-11-19 12:36:39,Jeffrey Epstein’s death happened in early August. We’re now approaching Thanksgiving and the Bureau of Prisons just said they still can’t talk about it.  That’s crazy.,461,345,5,8,36,3,64,101,2492361084195155,/story.php?story_fbid=2492361084195155&id=709959352435346
Senator Ben Sasse,,2019-11-15 16:12:31,The American people are now looking to the Bureau of Prisons for a public account of what went wrong. Director Sawyer should come to Tuesday's hearing prepared to give some substantial answers.,301,269,12,16,3,,1,75,2483808555050408,/story.php?story_fbid=2483808555050408&id=709959352435346
Senator Ben Sasse,,2019-11-06 18:27:48,"The cornerstone of the Mexican government’s security policy is “hugs, not bullets.” That’s insane, and to the families that just lost their children it is despicably cruel.  The Mexican government needs to get serious and work with American intelligence and law enforcement to bring the hammer down on these drug cartels. It’s time we actually secured our border. If we need to seize money from convicted drug kingpins like El Chapo, let’s do it.",376,314,24,22,5,3,8,186,2463695593728371,/story.php?story_fbid=2463695593728371&id=709959352435346
Senator Ben Sasse,,2019-11-05 15:04:56,"Drug cartels ambushed an innocent family on their way to a wedding and massacred nine Americans, including babies. The hard truth is that Mexico is dangerously close to being a failed state. This is what happens when Mexico’s politicians look the other way and let drug cartels bribe their way to power.  Enough. Mexico’s president hasn’t taken the threat seriously and innocent American lives have been lost again. The Mexican government must partner with U.S. intelligence and law enforcement agencies to wage a full-scale offensive against these butchers.",850,568,1,9,8,169,95,266,2461596453938285,/story.php?story_fbid=2461596453938285&id=709959352435346
