source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Wilmot Collins for Senate,,2020-03-05 14:40:42,"To prepare Montana’s children for the future, we need to make big investments in our education system and that includes helping rural areas and states provide a quality education to our students today, not cutting grants for vulnerable schools.",117,38,1,2,13,13,50,3,819522535188352,/story.php?story_fbid=819522535188352&id=244019182738693
Wilmot Collins for Senate,,2020-03-02 11:45:23,This is excellent news for our tribal nations and our wonderful nurses get more great colleagues!,220,158,,60,2,,,4,816968915443714,/story.php?story_fbid=816968915443714&id=244019182738693
Wilmot Collins for Senate,,2020-03-01 16:08:57,"Great meeting with Congressman Pat Williams, Senator Tester, Big Sky Dems, Progressive Dems, and College Democrats and lots of folks from all over the state this weekend.",157,124,,32,1,,,4,816770788796860,/story.php?story_fbid=816770788796860&id=244019182738693
Wilmot Collins for Senate,,2020-03-01 01:57:14,"As a 22 year military veteran I know we must deliver on the promises we've made to those who've ensured our freedom, peace, and prosperity. We will fight climate change and deliver better jobs for Montanans.  Proud to speak to the largest gathering of Montana Democrats every year at the Mansfield-Metcalf dinner tonight.",109,77,,32,,,,1,816336062173666,/story.php?story_fbid=816336062173666&id=244019182738693
Wilmot Collins for Senate,,2020-02-28 14:47:01,I'm proud to have lived the American dream and I want to repay Montana and America for all they've given me.  That's why I'm running for United States Senate.,479,369,,107,3,,,28,815380388935900,/story.php?story_fbid=815380388935900&id=244019182738693
Wilmot Collins for Senate,,2020-02-27 17:46:35,"When my wife marveled about a place called “Montana” over 30 years ago, at a refugee camp in Ghana—I knew it had to be a very special place.  Today I filed to represent this very special place in the U.S. Senate, with my love by my side.  Montana, I’m ready to fight for you.",367,250,,116,1,,,14,814783842328888,/story.php?story_fbid=814783842328888&id=244019182738693
Wilmot Collins for Senate,,2020-02-26 17:31:44,"Trump's bungling response to the Coronoavirus must be fixed, hundreds of empty jobs at the Centers for Disease Control could cost countless lives.  We can't trust Steve Daines to protect Montanans lives over his loyalty to this inept administration.",120,101,,5,10,1,3,6,814100439063895,/story.php?story_fbid=814100439063895&id=244019182738693
Wilmot Collins for Senate,,2020-02-25 13:46:26,"I want to thank our community for coming together and speaking out, the youth in attendance filled my heart with joy, they are why we are doing this. This is the power of community.",320,233,,85,2,,,12,813359002471372,/story.php?story_fbid=813359002471372&id=244019182738693
Wilmot Collins for Senate,,2020-02-24 20:08:18,I'm voting tonight to move Helena into the 100% renewable energy future.  Join me in fighting for it nationally.,351,269,,81,,,1,18,812846395855966,/story.php?story_fbid=812846395855966&id=244019182738693
Wilmot Collins for Senate,,2020-02-24 17:36:28,"The ignorance and indifference of Trump's budget is idiotic. We must invest more deeply in scientific research from studying coronavirus (covid-19) at the CDC, to cancer research at the NIH, to climate change research at the NOAA.",243,92,,13,11,10,117,15,812789229195016,/story.php?story_fbid=812789229195016&id=244019182738693
Wilmot Collins for Senate,,2020-02-24 12:20:49,"Trump, McConnell and Steve Daines don't represent Montana values by cutting the LWCF 97% in this poorly thought out budget that would gut Montana public lands and harm our way of life.",288,150,22,2,26,15,73,47,812157175924888,/story.php?story_fbid=812157175924888&id=244019182738693
Wilmot Collins for Senate,,2020-02-23 20:54:37,"Lauren Small Rodriguez, a founding member of Women for Wilmot, has a powerful story and fights every day to address the crisis of missing and murdered indigenous women, girls and two spirit people. We must invest more in native communities and funding these projects.",211,156,,54,1,,,3,812191942588078,/story.php?story_fbid=812191942588078&id=244019182738693
Wilmot Collins for Senate,,2020-02-23 13:21:44,🔥🔥🔥🔥🔥🔥,380,280,,99,,,1,13,811955789278360,/story.php?story_fbid=811955789278360&id=244019182738693
Wilmot Collins for Senate,,2020-02-22 13:19:05,"Was Steve Daines 4th of July trip to Russia a diplomatic meeting, townhall, or campaign strategy session?",183,83,5,2,23,6,64,26,811259349348004,/story.php?story_fbid=811259349348004&id=244019182738693
Wilmot Collins for Senate,,2020-02-21 15:22:02,"After being hit by excessive rain and snow, Montana farmers’ crops and land were devastated. Governor Bullock has officially declared a state of natural disaster in 17 Montana counties. Disasters like this will only become more frequent and extreme the longer our leaders in Washington -- like Steve Daines -- fail to act on climate change. To add insult to injury, Steve Daines voted against the bill to help these struggling farmers and ranchers with extreme changes in weather.",154,83,,7,18,6,40,18,810656679408271,/story.php?story_fbid=810656679408271&id=244019182738693
Wilmot Collins for Senate,,2020-02-19 13:38:20,"Duty: (noun), a moral or legal obligation; a responsibility. Mitch McConnell and Steve Daines have refused to do their duty to America and hold an out of control President accountable. Daines has given Trump a free pass to invite foreign election interference.",108,82,3,23,,,,11,809206986219907,/story.php?story_fbid=809206986219907&id=244019182738693
Wilmot Collins for Senate,,2020-02-18 20:48:25,Debate prep U.S. Senate Bozeman debate February 2020.,65,46,,19,,,,,808731052934167,/story.php?story_fbid=808731052934167&id=244019182738693
Wilmot Collins for Senate,,2020-02-18 14:59:40,It's time to give Steve Daines his pink slip and hold President Trump accountable for his corrupt and dangerous behavior.,134,107,,27,,,,7,808566342950638,/story.php?story_fbid=808566342950638&id=244019182738693
Wilmot Collins for Senate,,2020-02-18 12:20:52,"Steve Daines supports Mitch McConnell who has personally killed hundreds of bills that would help the American people like background checks, increasing the minimum wage, fighting climate change, and many more.",220,50,2,,15,7,146,37,808118999662039,/story.php?story_fbid=808118999662039&id=244019182738693
Wilmot Collins for Senate,,2020-02-17 18:15:19,,53,40,,13,,,,,807980976342508,/story.php?story_fbid=807980976342508&id=244019182738693
