source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Craig R. Brittain,,2020-03-06 20:26:01,http://signforbrittain.com Craig R. Brittain Angel Martinelli Angela Brittain,8,5,,3,,,,2,2766542916800164,/story.php?story_fbid=2766542916800164&id=398134743641005
Craig R. Brittain,,2020-03-02 19:36:47,Craig R. Brittain Angela Brittain  Angel Martinelli,53,10,36,,3,4,,,2758162267638229,/story.php?story_fbid=2758162267638229&id=398134743641005
Craig R. Brittain,,2020-02-28 21:21:14,Secretary Katie Hobbs this is unacceptable. Craig R. Brittain Angel Martinelli Angela Brittain,78,8,48,,12,2,8,1,2752023871585402,/story.php?story_fbid=2752023871585402&id=398134743641005
"Craig R. Brittain,Get Craig R. Brittain on the Ballot",Get Craig R. Brittain on the Ballot,2020-02-27 20:09:18,"Supporters - please sign and get a few friends to sign too. Thank you!The April 5th Deadline is coming up. We need 8,000 signatures by April 5th! If you're an Arizona voter, sign at http://signforbrittain.com - if you're from somewhere else in the USA, please donate at http://defeatsocialismagain.com - Thank you",56,7,47,1,,,1,1,2749781401809649,/story.php?story_fbid=2749781401809649&id=398134743641005
Craig R. Brittain,,2020-02-24 18:23:48,,92,25,57,4,1,1,4,1,2743548715766251,/story.php?story_fbid=2743548715766251&id=398134743641005
Craig R. Brittain,,2020-02-21 21:47:47,"Got thrown out of U.S. Senator Martha McSally 20 person event by Mike Crawford for Sheriff who was too ashamed to even give his name. Don't be a coward like this guy. Get some clothes that fit you, Mike.",58,8,28,5,11,,6,2,2737596589694797,/story.php?story_fbid=2737596589694797&id=398134743641005
Craig R. Brittain,,2020-02-20 20:10:41,,168,23,138,5,,1,1,3,2735327759921680,/story.php?story_fbid=2735327759921680&id=398134743641005
Craig R. Brittain,,2020-02-14 18:21:58,,173,90,63,19,,,1,3,2722624351192021,/story.php?story_fbid=2722624351192021&id=398134743641005
Craig R. Brittain,,2020-02-13 15:38:56,,237,48,178,5,3,3,,6,2720196274768162,/story.php?story_fbid=2720196274768162&id=398134743641005
Craig R. Brittain,,2020-02-11 18:33:16,,296,52,223,7,7,5,2,5,2716233381831118,/story.php?story_fbid=2716233381831118&id=398134743641005
Craig R. Brittain,,2020-02-08 17:21:54,,170,44,113,11,,,2,1,2709851812469275,/story.php?story_fbid=2709851812469275&id=398134743641005
Craig R. Brittain,,2020-02-05 16:30:33,,214,89,89,19,,4,13,10,2703396589781464,/story.php?story_fbid=2703396589781464&id=398134743641005
Craig R. Brittain,,2020-02-01 19:34:32,,235,76,140,15,1,,3,6,2695709910550132,/story.php?story_fbid=2695709910550132&id=398134743641005
Craig R. Brittain,,2020-02-01 12:58:54,,98,19,67,5,5,,2,3,2695137977273992,/story.php?story_fbid=2695137977273992&id=398134743641005
Craig R. Brittain,,2020-01-30 21:23:06,The Democrats are trending #ArrestRandPaul on social media including Twitter. This is why! They don't want the American People to know the answer to this question!,93,44,29,12,6,1,1,5,2691815084272948,/story.php?story_fbid=2691815084272948&id=398134743641005
Craig R. Brittain,,2020-01-29 22:36:44,,94,32,36,5,1,2,18,11,2689878051133318,/story.php?story_fbid=2689878051133318&id=398134743641005
Craig R. Brittain,,2020-01-29 18:40:45,,63,30,27,5,1,,,1,2689588611162262,/story.php?story_fbid=2689588611162262&id=398134743641005
Craig R. Brittain,,2020-01-28 15:19:09,,136,33,21,4,11,6,61,4,2687301741390949,/story.php?story_fbid=2687301741390949&id=398134743641005
Craig R. Brittain,,2020-01-27 19:58:44,,132,88,15,27,,1,1,,2685633214891135,/story.php?story_fbid=2685633214891135&id=398134743641005
Craig R. Brittain,,2020-01-26 14:43:04,,69,41,18,8,,1,1,2,2683273971793726,/story.php?story_fbid=2683273971793726&id=398134743641005
Craig R. Brittain,,2020-01-25 16:49:10,,73,45,19,8,,,1,4,2681366571984466,/story.php?story_fbid=2681366571984466&id=398134743641005
Craig R. Brittain,,2020-01-23 20:54:13,,86,49,11,3,3,3,17,4,2677613432359780,/story.php?story_fbid=2677613432359780&id=398134743641005
Craig R. Brittain,,2020-01-22 09:41:54,,58,30,11,1,2,1,13,1,2674767929310997,/story.php?story_fbid=2674767929310997&id=398134743641005
Craig R. Brittain,,2020-01-20 16:16:57,"United We Stand. Virginia Rally - no arrests, no chaos, no disorder. Just Americans loving and respecting each other and the rights and liberties that we enjoy in the USA.",160,108,7,45,,,,6,2671532289634561,/story.php?story_fbid=2671532289634561&id=398134743641005
