source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Susan Collins,,2020-03-07 07:30:02,Shortages of vital medicines can have dire consequences for patients and increase the cost of care. We need to ensure that the FDA has greater visibility into the drug supply chain so it can better assess risks and potential disruptions. That’s why I have partnered with Senator Tina Smith (D-MN) to author bipartisan legislation to require drug makers to report looming shortages of prescription drugs and their ingredients. https://www.washingtonpost.com/health/2020/02/26/coronavirus-raises-fears-us-drug-supply-disruptions/,21,17,,,,2,2,11,2806977859384152,/story.php?story_fbid=2806977859384152&id=419237048158257
Susan Collins,,2020-03-06 12:00:03,"Thank you for your support, Senator Robert Foley!",126,102,7,15,,,2,27,2806986309383307,/story.php?story_fbid=2806986309383307&id=419237048158257
Susan Collins,,2020-03-06 06:38:00,It's brave families like the Sweeneys that have inspired me to advocate for robust funding for diabetes research. We must continue to make treating this disease more affordable and manageable as we continue efforts to find a cure.,48,43,,5,,,,21,2820503231364948,/story.php?story_fbid=2820503231364948&id=419237048158257
Susan Collins,,2020-03-05 14:20:37,"Senator Susan Collins (R-ME) is chairman of the Senate Special Committee on Aging. She says the committee has done a lot of work to try to raise awareness about scams and how dangerous they can be for people, causing them to sometimes lost their life savings. The issue is particularly troubling to Maine, with the oldest median age of any state in the nation.  ""There are so many different scams out there that are pursued by relentless criminals who have absolutely no qualms about ripping off the most vulnerable people in our society,"" Collins told NEWS CENTER Maine in an interview.",22,19,,3,,,,24,2820150284733576,/story.php?story_fbid=2820150284733576&id=419237048158257
Susan Collins,,2020-03-05 12:00:36,"In recent years, the Downeaster has set new records for both ridership and ticket revenue. It is an economic engine for Maine, providing good jobs, supporting Maine vendors of goods and services, and strengthening our tourism industry. That’s why, as Chairman of the Transportation Appropriations Subcommittee, I advocated for additional funding to upgrade existing rail lines and allow for another round trip each day between Brunswick and Wells.",64,62,,2,,,,14,2806969359385002,/story.php?story_fbid=2806969359385002&id=419237048158257
Susan Collins,,2020-03-05 06:41:53,"Social Security Administration employees will never:  -Tell you that your Social Security number has been suspended, or offer to increase your benefits or resolve an identity theft issue for a fee. -Call to threaten you with arrest or legal action if you do not immediately pay a debt, fine, or fee. -Request immediate payment via gift cards, cash, wire transfers, or internet currency like Bitcoin. -Demand secrecy from you in handling a Social Security-related problem, or tell you to make up a story to tell your friends, family, or store/bank employees.",50,49,1,,,,,12,2815939085154696,/story.php?story_fbid=2815939085154696&id=419237048158257
Susan Collins,,2020-03-04 21:00:01,"Two great teams, one amazing game! It will be remembered as one of the best in Maine high school basketball tourney history. Congratulations to Caribou and Maranacook for a great season!",498,465,3,29,,1,,36,2818109931604278,/story.php?story_fbid=2818109931604278&id=419237048158257
Susan Collins,,2020-03-04 18:55:09,"UPDATE: Tonight, the Department of Education has reversed a decision that would have cut funding for more than 800 rural schools, and cost Maine schools $1.2 million.   I want to thank Senator Maggie Hassan (D-NH) and my other colleagues who joined me in convincing the Department to prevent these cuts from taking place.",161,146,1,13,1,,,29,2818439244904680,/story.php?story_fbid=2818439244904680&id=419237048158257
Susan Collins,,2020-03-04 12:00:29,"In honor of Maine’s bicentennial, the USPS will issue a special Maine Statehood Forever Stamp. It was an honor to work with the Maine Delegation on this effort. Happy 200th Birthday, Maine!",34,34,,,,,,3,2806980899383848,/story.php?story_fbid=2806980899383848&id=419237048158257
Susan Collins,,2020-03-04 07:00:00,"""I support Senator Collins because she supports the small towns, the small businesses and the fishermen that help keep us going every day."" Shelly Tinker of Lubec",111,80,18,13,,,,25,2807013419380596,/story.php?story_fbid=2807013419380596&id=419237048158257
Susan Collins,,2020-03-03 21:01:36,"BREAKING NEWS: Tonight, the Senate passed reauthorization of the Supporting Older Americans Act, a bipartisan bill authored by Senators Susan Collins and Bob Casey, leaders of the Senate Aging Committee. This bill funds critical services for older Americans such as senior centers, transportation, caregiver support, and important programs like Meals on Wheels.",231,204,,25,,,2,49,2816479415100663,/story.php?story_fbid=2816479415100663&id=419237048158257
Susan Collins,,2020-03-03 11:30:57,Brooke Giguere of Fairfield is absolutely correct - Maine families are struggling to afford the medications they need to live a full and healthy life. That’s why I have cosponsored the bipartisan Prescription Drug Pricing Reduction Act to lower the cost of prescription medications. https://www.centralmaine.com/2020/02/23/its-time-to-lower-rx-price,86,74,4,5,,,3,32,2806974199384518,/story.php?story_fbid=2806974199384518&id=419237048158257
Susan Collins,,2020-03-03 07:00:00,"It was wonderful to see so many people turn out to enjoy this fabulous event. Congratulations to the 56 mushers who registered to compete this year which, by the way, includes a record 23 women!",51,45,,4,,,2,10,2813496505398954,/story.php?story_fbid=2813496505398954&id=419237048158257
Susan Collins,,2020-03-02 13:23:49,"Reading with your children leads to adventures and a lifetime of learning, which is why each year, I introduce a Resolution declaring March 2 as ""Read Across America Day."" This day is meant to encourage children to read. So be sure to set aside time to read as a family today!",87,75,2,8,,,2,27,2813773502037921,/story.php?story_fbid=2813773502037921&id=419237048158257
Susan Collins,,2020-03-02 11:09:15,"In a recent interview with TJ Tremble at FOX ABC Maine, I shared my thoughts on two important issues, respite care for those who are caring for a sick or aging loved one and the nation’s response to the coronavirus.",61,49,1,7,,,4,21,2813398252075446,/story.php?story_fbid=2813398252075446&id=419237048158257
Susan Collins,,2020-03-02 07:00:30,"Caring for a sick or aging loved one can be demanding both mentally and physically. With the Senate passage of my bill, we will make it easier for family caregivers to take a much-needed break knowing that their loved ones are comfortable and safe.",106,86,,20,,,,22,2806967029385235,/story.php?story_fbid=2806967029385235&id=419237048158257
Susan Collins,,2020-03-01 10:29:52,"The St. John Valley is one of the most beautiful regions of Maine, and the weather was perfect for this year’s Can-Am Crown International sled dog race. What a great day talking to the wonderful people who live here.",128,114,,11,,,3,19,2811472978934640,/story.php?story_fbid=2811472978934640&id=419237048158257
Susan Collins,,2020-03-01 07:00:37,"I grew up in Aroostook County and I know the vital role potato farmers play in Maine’s agricultural economy. It is so important to invest in research that will keep this industry strong for generations to come. That is why I am delighted that the UMaine Cooperative Extension Potato Integrated Pest Management Program is slated to receive more than $550,000 to undertake important potato breeding research in Maine.",111,102,1,5,2,,1,26,2792343214180950,/story.php?story_fbid=2792343214180950&id=419237048158257
Susan Collins,,2020-02-29 07:00:02,"“Senator Collins is well known in the halls of Congress for her tenacity when taking on any issue that impacts the people of Maine,” said ATA President and CEO Chris Spear. “Her support behind this cause is invaluable, and her efforts will save countless lives being destroyed by this unspeakable crime.”",162,119,24,15,1,,3,42,2798870660194872,/story.php?story_fbid=2798870660194872&id=419237048158257
Susan Collins,,2020-02-28 12:00:29,"Scam Alert: Criminals posing at Social Security agents are calling Mainers to say their Social Security number has been suspended due to suspicious activity.  These fraudsters want you to provide private financial information so they can steal your money.  Don’t fall victim!  If you get a call like this, hang up, and call the Maine Bureau of Consumer Credit Protection right away at 207-624-8527.",49,29,5,,1,2,12,21,2792350717513533,/story.php?story_fbid=2792350717513533&id=419237048158257
Susan Collins,,2020-02-28 07:00:11,"Thanks to Ralph ""Doc"" Wallace for his kind words. It's so important to keep an open mind and listen to all sides while making decisions. https://www.sunjournal.com/2020/02/23/purple-politics-primer/",423,332,40,39,1,1,10,116,2798782213537050,/story.php?story_fbid=2798782213537050&id=419237048158257
Susan Collins,,2020-02-27 12:00:16,"Thanks to the knowledge and dedication of the Center for Lyme Action, Lyme disease and other tick borne illnesses are finally receiving the attention this growing health threat deserves. I am grateful for this recognition. With the national effort that the Kay Hagan Tick Act sets into motion, including the allocation of additional federal resources, I am optimistic that we can better protect the health of more Americans.",127,96,7,21,,,3,31,2792414630840475,/story.php?story_fbid=2792414630840475&id=419237048158257
Susan Collins,,2020-02-27 07:00:34,"Thank you, Hon. Michael Thibodeau, for your words of encouragement! Maine truly benefited from your fair and honest leadership in the Maine Senate.",162,129,13,16,1,,3,41,2792348514180420,/story.php?story_fbid=2792348514180420&id=419237048158257
Susan Collins,,2020-02-26 12:00:42,Bath-built is best-built!,107,95,,9,1,1,1,22,2792346884180583,/story.php?story_fbid=2792346884180583&id=419237048158257
Susan Collins,,2020-02-26 07:00:06,"Over the last few years, statistics have shown an alarming uptick in the number of middle and high school students who use e-cigarettes. These products pose serious health risks, which are 100 percent avoidable, and are reversing a hard-fought decline in the percentage of teenagers addicted to nicotine products. The FDA should heed our call to crack down on these harmful products to keep them out of the hands of children.",98,86,2,7,1,,2,42,2792345764180695,/story.php?story_fbid=2792345764180695&id=419237048158257
Susan Collins,,2020-02-25 12:29:54,For more information: https://www.mainepublic.org/post/collins-asks-feds-reverse-funding-changes-would-affect-rural-maine-schools?fbclid=IwAR1uTNSR_Ko6ZiRxLjTIoYcPiwA04rsm3oSgLzYPuEQsZRPJQfVE8Efle2s,81,54,2,13,,2,10,30,2801057783309493,/story.php?story_fbid=2801057783309493&id=419237048158257
Susan Collins,,2020-02-25 06:32:21,"I appreciate that the WGME CBS 13 News, Portland #ITEAM made the effort to investigate this important issue. Because of their research, we now know that the Veterans Crisis Hotline may not always be able to immediately locate veterans who call or text during a time of crisis. I have asked the Secretary of Veterans Affairs to determine what tools or resources are needed to properly help all veterans during their darkest time of need. We must make sure that when our servicemen and women return home, they are well supported.",456,405,1,35,4,7,4,44,2800452376703367,/story.php?story_fbid=2800452376703367&id=419237048158257
Susan Collins,,2020-02-24 19:48:12,"Every day, an estimated 45 million family caregivers attend to loved ones who are experiencing chronic, disabling health conditions. The care they provide is so important, but it also can take a toll on caregivers. Thankfully, help is one step closer for family caregivers with the passage of the Lifespan Respite Care Reauthorization Act, a bipartisan bill I authored. Should it become law, this legislation will provide much-needed funding for the Lifespan Respite Care Program.",156,134,1,17,,,4,49,2799606410121297,/story.php?story_fbid=2799606410121297&id=419237048158257
Susan Collins,,2020-02-24 12:00:57,"The Jackson Laboratory in Bar Harbor is at the cutting edge of biomedical research, creating good jobs and driving the region’s economy. I am pleased to announce that it has been awarded $2.8 million to support important genetics research.",111,96,6,8,,1,,36,2792335040848434,/story.php?story_fbid=2792335040848434&id=419237048158257
Susan Collins,,2020-02-24 07:00:17,"“Congress has an opportunity to work across party lines and deliver results for the American people with The Prescription Drug Reduction Act. This legislation, passed out of the Senate Committee on Finance last summer and backed by Sen. Susan Collins, employs market-based solutions that are supported on both sides of the aisle.” https://www.centralmaine.com/2020/02/05/collins-takes-on-high-rx-prices/",107,82,13,11,,,1,69,2792333677515237,/story.php?story_fbid=2792333677515237&id=419237048158257
Susan Collins,,2020-02-22 07:00:45,"As the Portland Press Herald reports, these funds will go a long way toward training more treatment workers to combat the opioid epidemic here in Maine. https://www.pressherald.com/2020/02/19/maine-gets-6-3-million-for-substance-abuse-job-training/",216,189,6,15,2,1,3,100,2792866327461972,/story.php?story_fbid=2792866327461972&id=419237048158257
"Susan Collins,NEWS CENTER Maine",NEWS CENTER Maine,2020-02-21 11:14:43,"More than 178,000 Mainers are currently caring for loved ones and, far too often, their selfless contributions go unrecognized. The RAISE Family Caregivers Act that I authored will help support all family caregivers who quietly provide such compassionate care.Happy National Caregivers Day! Today is a great opportunity to thank the incredibly hard-working health care professionals who serve people and their families. This work is seriously some of the hardest you can do.  Thank you, caregivers of Maine, for all that you do for our communities. 💕",55,44,1,8,,1,1,43,2792820170799921,/story.php?story_fbid=2792820170799921&id=419237048158257
Susan Collins,,2020-02-21 10:51:47,"UPDATE: Portland International Jetport has been awarded an additional $1.5 million, bringing the total grant up to $6 million, for construction of a new 250-foot taxiway. This will increase efficiency and make this important airport even better.",113,102,2,4,2,,3,63,2792506600831278,/story.php?story_fbid=2792506600831278&id=419237048158257
Susan Collins,,2020-02-21 07:00:24,Far too many Mainers struggle to afford life-saving medications like insulin!,140,111,13,12,2,,2,82,2783404831741455,/story.php?story_fbid=2783404831741455&id=419237048158257
Susan Collins,,2020-02-20 12:00:41,"Elmet Technologies in Lewiston is a leader in the production of tungsten products, and their decades of experience makes them uniquely qualified to support our troops. They are also a valued employer in Androscoggin County, providing more than 160 good jobs. That is why I was proud to secure $4.2 million in federal funding for Elmet to supply various needs of the Department of Defense. I know they will continue to make Maine proud.",111,86,2,11,,,12,69,2783408145074457,/story.php?story_fbid=2783408145074457&id=419237048158257
Susan Collins,,2020-02-20 06:57:22,Tom and I will be sure to give Pepper extra treats today in honor of National Pet Day!,278,218,6,49,,1,4,69,2789056601176278,/story.php?story_fbid=2789056601176278&id=419237048158257
"Susan Collins,Michael Conley",,2020-02-19 07:36:26,RECALL ALERT: The FDA has issued a “Class I” recall of Medtronic's MiniMed 600 Series Insulin Pumps because a serious malfunction could be life-threatening to people living with Type I diabetes. Please help spread the word.,17,16,,,,1,,21,2783403218408283,/story.php?story_fbid=2783403218408283&id=419237048158257
Susan Collins,,2020-02-18 11:43:00,"""It’s increasingly clear that without legislative action in Washington, Big Pharma will always place profits over patients. Thankfully, Sen. Susan Collins has backed an important drug pricing bill that has a real shot of making it to the president’s desk. The Prescription Drug Pricing Reduction Act of 2019 has passed out of the Senate Finance Committee with bipartisan support and includes a number of market-based solutions championed by members in both chambers and on both sides of the aisle.""",78,61,16,,,1,,102,2786064898142115,/story.php?story_fbid=2786064898142115&id=419237048158257
Susan Collins,,2020-02-18 07:29:34,,246,209,3,24,3,2,5,72,2783393715075900,/story.php?story_fbid=2783393715075900&id=419237048158257
Susan Collins,,2020-02-17 12:50:03,,310,240,30,34,1,1,4,151,2783849468363658,/story.php?story_fbid=2783849468363658&id=419237048158257
Susan Collins,,2020-02-17 06:16:14,"Maine’s housing authorities provide a critical supply of affordable housing and an array of vital services to seniors, individuals with disabilities, and low-income individuals and families. This funding will help preserve and modernize homes and meet the needs of the individuals and families who live in them.",73,59,6,3,1,1,3,58,2783389485076323,/story.php?story_fbid=2783389485076323&id=419237048158257
Susan Collins,,2020-02-15 16:40:12,Breakfast at Duffy's Tavern & Grill - Old Orchard Beach is always a hit. Thank you everyone for joining me this morning.,231,190,5,20,,2,14,106,2780278528720752,/story.php?story_fbid=2780278528720752&id=419237048158257
Susan Collins,,2020-02-15 12:00:52,Real Mainers love below zero temps! Thanks to all of the canvassers braving the cold today to collect signatures and knock on doors!  Your dedication and endurance is the heart of our campaign.,364,246,52,38,3,4,21,152,2779620942119844,/story.php?story_fbid=2779620942119844&id=419237048158257
Susan Collins,,2020-02-15 08:15:58,"As Maine’s largest airport, the Portland International Jetport-Maine is an important gateway that connects our state to the rest of the world, and supports economic growth and job creation. This funding will allow the Portland Jetport to make improvements to its airfield, enhancing the safety and efficiency of operations and benefiting residents and visitors alike.",71,67,,3,,,1,30,2779476688800936,/story.php?story_fbid=2779476688800936&id=419237048158257
Susan Collins,,2020-02-14 16:09:46,What a great way to spend a Friday afternoon -- thank you everyone at the Geary Brewing Company!,235,180,2,24,,3,26,97,2778110732270865,/story.php?story_fbid=2778110732270865&id=419237048158257
Susan Collins,,2020-02-14 07:16:53,"Far too many Mainers, like my former staff member Chris Philbrook, are affected by tick-borne illnesses like Lyme disease. The new Tick Act law, which I authored, will devote more resources to our battle against this growing health crisis.",165,120,25,20,,,,104,2777167682365170,/story.php?story_fbid=2777167682365170&id=419237048158257
Susan Collins,,2020-02-13 09:55:39,Our seniors and disabled citizens should be a priority. We must do more to meet the growing needs of these populations.,59,36,1,7,,,15,116,2775251012556837,/story.php?story_fbid=2775251012556837&id=419237048158257
Susan Collins,,2020-02-12 15:19:06,"Over the last decade, the number of Mainers diagnosed with Lyme disease has soared. As Chris Philbrook of Cumberland will tell you, this illness is physically and financially debilitating, and more needs to be done to educate health care professionals and the public about Lyme disease and other tick-borne diseases. Fortunately Senator Susan Collins understands the gravity of this public health crisis, and recently authored the Tick Act to do just that. Under this new law, more resources will be allocated to improve research, prevention, diagnostics and treatment for tick-borne diseases.  Lyme disease takes a toll on far too many Maine families, and according to statistics, this problem will only continue to grow. Fortunately, Senator Collins cares deeply about the health of Mainers and will continue to fight for us in Washington. For more information about the Tick Act, click here: https://lymediseaseassociation.org/government/the-tick-act-is-being-passed-in-house-attached-to-appropriations-bill/",90,67,7,11,2,,3,174,2773714309377174,/story.php?story_fbid=2773714309377174&id=419237048158257
Susan Collins,,2020-02-11 08:46:03,"""Three other Maine senators, with whom I once talked politics, independence, courage and integrity — the late Margaret Chase Smith, late Edmund Muskie, and former Sen. Cohen, all were cut from that cloth. Or perhaps better said, Collins is cut from theirs.""",286,144,63,18,,7,54,449,2770933259655279,/story.php?story_fbid=2770933259655279&id=419237048158257
Susan Collins,,2020-01-06 15:20:32,"It was so nice spending time with fishermen and their families in Lubec. I've been proud to work with them to secure more than $19 million to finally build a breakwater, a project that will make it safer for our hardworking fishermen. I'm so thankful for the warm reception, and especially thankful for the delicious cake!  (Learn more about the safe harbor project: https://www.wabi.tv/content/news/Major-improvements-coming-to-Lubecs-harbor-564630071.html )",606,348,28,36,3,6,185,2199,2698414086907197,/story.php?story_fbid=2698414086907197&id=419237048158257
Susan Collins,,2019-12-18 14:00:43,"One reason why I have been able to pass so many laws is because of the bipartisan, commonsense approach I learned growing up in Maine. My commitment to you remains strong, and I am as determined as ever to keep bringing people together, to speak out for the values that unite our great country, and to deliver results for Maine and America.  That is why, today, I officially announced my intention to seek another term serving you in the United States Senate.  I appreciate your support!  Read my full statement:",983,372,240,55,6,17,293,2266,2657610634320876,/story.php?story_fbid=2657610634320876&id=419237048158257
Susan Collins,,2019-11-28 09:16:24,,118,84,3,8,1,1,21,180,2612953512119922,/story.php?story_fbid=2612953512119922&id=419237048158257
"Susan Collins,Newsradio WGAN",Newsradio WGAN,2019-11-08 10:11:59,"WGAN on Saturday will be broadcasting from Bill Dodge GMC in Westbrook. It's part of our Veterans Day fundraiser with Veterans Count Maine, a program Sen. Susan Collins is praising for their dedication to supporting Maine's veterans.",87,50,3,6,,,28,178,2569517293130211,/story.php?story_fbid=2569517293130211&id=419237048158257
