source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Eric Rothmuller,,2020-03-03 14:30:14,"It seems like the entire establishment just endorsed Joe Biden within the past couple days. Let me make it clear, for whatever my endorsement is worth, I fully endorse Bernie Sanders for President. He is by far our best option in my opinion. #VoteForBernie #SuperTuesday",38,33,,5,,,,,213142276719564,/story.php?story_fbid=213142276719564&id=102699614430498
Eric Rothmuller,,2020-02-17 20:43:46,"I will be speaking in Middlesboro, KY this Thursday, February 20th. Hope to see you all there.",11,10,1,,,,,,199073991459726,/story.php?story_fbid=199073991459726&id=102699614430498
Eric Rothmuller,,2020-02-17 16:46:46,"The ultra-wealthy and large corporations in this country better enjoy the massive tax breaks, tax loop holes, and lax monopoly laws they have right now because we're in a populist era where the people are rising up. Your era of greed and political influence is coming to an end. #Revolution #GetMoneyOutOfPolitics #FairShare #TaxTheRich #EconomicJustice",24,13,1,10,,,,,198946898139102,/story.php?story_fbid=198946898139102&id=102699614430498
Eric Rothmuller,,2020-02-16 20:14:29,I'm happy to announce that next week we'll be launching a podcast in order to be able to discuss issues in a longer format. The first two topics will be Money In Politics and Universal Basic Income. #GetMoneyOutOfPolitics #UBI,18,15,1,2,,,,,198344168199375,/story.php?story_fbid=198344168199375&id=102699614430498
Eric Rothmuller,,2020-02-16 14:48:49,"At the Rally Against McConnell's Corruption event in downtown Louisville, KY yesterday. Wonderful event featuring great speeches on corruption and Mitch McConnell's refusal to hear bills sent over from the House. #DitchMitch #GetMoneyOutOfPolitics",20,20,,,,,,,198201921546933,/story.php?story_fbid=198201921546933&id=102699614430498
Eric Rothmuller,,2020-02-15 21:43:44,Watching mainstream media is often like watching a world where everything is backwards. One where anything that benefits the wealthy is unquestioned and anything that benefits normal Americans is fought against vehemently as they pretend the wealthiest country in the world can't provide its citizens the same things others countries provide.,10,10,,,,,,,197636618270130,/story.php?story_fbid=197636618270130&id=102699614430498
Eric Rothmuller,,2020-02-12 15:28:31,"I'm often told how politically divided America is. I disagree. The truth is that the American people are united on policy. If you go issue for issue, the majority of Americans want to get money out of politics, end corruption, combat climate change, end wars, provide universal healthcare as a right (Medicare For All), make the rich to pay their fair share, provide tuition free public college, raise the minimum wage to a living wage, etc. When we make it about the issues and put policy front and center, we win. After all, politics is about policy. If we're not here to get real legislation passed that solves actual problems and benefits normal American's lives, I'm not sure why any of us would be here. When we stand together and fight against the moneyed interests that run Washington DC, we can pass real legislation that transforms this country into one that works for all of us instead of just the 1%. It starts with all of us. Get involved, vote, and make your voice heard. #Kentucky #DitchMitch #Democracy #DemPrimary",22,18,1,3,,,,1,195094115191047,/story.php?story_fbid=195094115191047&id=102699614430498
Eric Rothmuller,,2020-02-12 12:26:01,"Saddened to see Andrew Yang end his campaign. He was one of the few voices I really admired on the presidential campaign trail with some real trailblazing ideas. Two of my favorites being Democracy Dollars & UBI, both of which I've adopted versions of into my platform and that's directly attributable to Mr. Yang and his advocacy. #UBICaucus #YangGang #DemocracyDollars #UBI",14,13,,1,,,,2,194991605201298,/story.php?story_fbid=194991605201298&id=102699614430498
Eric Rothmuller,,2020-02-03 16:26:02,"Research from the political science field has clearly shown that the bottom 90% of income earners in America have virtually no say in legislation passed by Congress. Why do we have a Congress that doesn't represent the views of normal Americans? It's actually quite simple. In congressional races, the person with the most amount of money wins over 90% of the time. Overwhelmingly that's the corporatist candidate whom is viewed as a good investment from the corporate class and takes all of that big money. And let's be clear, what corporations and the donor class want are inherently against what workers and normal Americans want. We need to get money out of politics and implement a publicly financed election system so politicians are forced to represent their constituents instead of their donors in order to get elected. #GetMoneyOutOfPolitics #Democracy #Congress #PubliclyFinancedElections #USA #Representation",10,9,,1,,,,,188283139205478,/story.php?story_fbid=188283139205478&id=102699614430498
Eric Rothmuller,,2020-01-29 18:39:09,Our fight isn't just us vs Mitch McConnell or Democrats vs Republicans. Our fight is the American people vs corporate and moneyed interests. Our fight is democracy vs oligarchy. #GetMoneyOutOfPolitics #Democracy #DitchMitch #DitchMitch2020,19,13,,6,,,,,184718302895295,/story.php?story_fbid=184718302895295&id=102699614430498
