source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Janicek for Senate,,2020-02-29 21:16:46,,14,14,,,,,,,2594539083988760,/story.php?story_fbid=2594539083988760&id=1465062430269770
"Janicek for Senate,Chris Janicek",Chris Janicek,2020-02-28 14:40:19,More attacks on our education system... ENOUGH,16,12,,,,2,2,3,2591977220911613,/story.php?story_fbid=2591977220911613&id=1465062430269770
Janicek for Senate,,2020-02-28 14:17:04,Hi Everyone !    Thanks for visiting our Facebook page.   Feel free to comment and leave your concerns.  We are all in this together.  - Chris,5,4,,1,,,,,2591943164248352,/story.php?story_fbid=2591943164248352&id=1465062430269770
"Janicek for Senate,Chris Janicek",Chris Janicek,2020-02-28 13:48:35,"This is not just wrong, it is unsettling dangerous.",8,2,,,,,6,3,2591900247585977,/story.php?story_fbid=2591900247585977&id=1465062430269770
Janicek for Senate,,2020-02-28 13:48:07,Our input matters...,7,7,,,,,,,2591899544252714,/story.php?story_fbid=2591899544252714&id=1465062430269770
"Janicek for Senate,American Wind Energy Association (AWEA)",American Wind Energy Association (AWEA),2020-02-27 15:06:03,🚨🚨🚨 NEW: #WindEnergy is now top the top source of renewable electricity in America.  Read our statement from AWEA CEO Tom Kiernan: http://bit.ly/32w1PL3,7,7,,,,,,1,2591897950919540,/story.php?story_fbid=2591897950919540&id=1465062430269770
"Janicek for Senate,Chris Janicek",Chris Janicek,2020-02-28 13:46:27,More than 33% bureaucracy cost in healthcare-,9,4,,,1,1,3,2,2591897294252939,/story.php?story_fbid=2591897294252939&id=1465062430269770
Janicek for Senate,,2020-02-28 13:21:13,Unacceptable.  Our national debt is approaching $24 trillion plus.,23,7,,,,,16,2,2591859360923399,/story.php?story_fbid=2591859360923399&id=1465062430269770
Janicek for Senate,,2020-02-28 13:17:52,www.donatetochris.com,14,7,,,,7,,2,2591853220924013,/story.php?story_fbid=2591853220924013&id=1465062430269770
Janicek for Senate,,2020-02-28 02:30:49,,11,,,,,,11,4,2590720041037331,/story.php?story_fbid=2590720041037331&id=1465062430269770
Janicek for Senate,,2020-02-28 02:28:54,www.donatetochris.com,14,14,,,,,,,2590717027704299,/story.php?story_fbid=2590717027704299&id=1465062430269770
"Janicek for Senate,Chris Janicek",Chris Janicek,2020-02-28 02:22:24,www.donatetochris.com,9,9,,,,,,2,2590709717705030,/story.php?story_fbid=2590709717705030&id=1465062430269770
Janicek for Senate,,2020-02-28 02:21:39,,3,3,,,,,,,2590708894371779,/story.php?story_fbid=2590708894371779&id=1465062430269770
Janicek for Senate,,2020-02-28 02:21:01,,7,2,,,,5,,,2590708031038532,/story.php?story_fbid=2590708031038532&id=1465062430269770
Janicek for Senate,,2020-02-28 02:19:17,,12,12,,,,,,1,2590705977705404,/story.php?story_fbid=2590705977705404&id=1465062430269770
Janicek for Senate,,2020-02-28 02:18:49,,25,19,,6,,,,2,2590705327705469,/story.php?story_fbid=2590705327705469&id=1465062430269770
"Janicek for Senate,Chris Janicek",Chris Janicek,2020-02-28 02:17:54,Women have been cleaning up messes caused by men since the beginning of time.  Give her the job.,17,11,,6,,,,1,2590704147705587,/story.php?story_fbid=2590704147705587&id=1465062430269770
