source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Maya for Georgia,,2020-02-18 12:28:12,The separation of powers condifide in the U.S. Constitution does not permit Executive (Presidenital) interference in judicial matters. This is not normal. The Senate should be up in arms.  Glad to see judges sounding the alarm and organizing resistance to protect our democracy. This is wild! #GaSEN #gapol,1,1,,,,,,,140161170801702,/story.php?story_fbid=140161170801702&id=103049591179527
"Maya for Georgia,Mayor Van Johnson",Mayor Van Johnson,2020-02-09 23:01:16,"The housing crisis is real. Tell everyone you know.  Changing HUD rules could make more affordable #housing available.   #gapol #vote Maya Dillard Smith #may19The Housing Authority of Savannah (HAS) will be accepting pre-applications for the Public Housing three (3) and four (4) four bedroom waiting lists only, for (3) days. The pre-applications will be accepted online ONLY at www.savannahpha.com from: • Wednesday, February 19, 2020, 8:00 a.m., through • Friday, February 21, 2020, 4:30 p.m. Not all households will be eligible for a three (3) or four (4) bedroom unit, as the age, gender and relationships of household members affect the number of bedrooms for which a household is eligible. Pre-applications may be submitted online from any computer, laptop or smartphone with internet access. Applicants may apply any time during the time period listed above. All pre-applications successfully submitted that qualify for a three (3) or four (4) bedroom unit will be taken. Placement on the waiting list will be determined by date and time of application and does not indicate that the family is, in fact, eligible for assistance. A final determination of eligibility will be made when the family is selected from the waiting lists. No pre- applications will be accepted before 8:00 a.m. Wednesday, February 19, 2020, or after 4:30 p.m. on Friday, February 21, 2020.",2,2,,,,,,,138427050975114,/story.php?story_fbid=138427050975114&id=103049591179527
Maya for Georgia,,2020-02-12 12:51:25,As your U.S. Senator I would be advocating for local hire and local contracting guarantees so Georgians yield the economic benefit of this infrasturcture project. #gapol #sav #Georgia Maya Dillard Smith,5,4,,1,,,,1,138358520981967,/story.php?story_fbid=138358520981967&id=103049591179527
Maya for Georgia,,2020-01-28 08:47:36,Breaking: Things are heating up!,,,,,,,,,133708484780304,/story.php?story_fbid=133708484780304&id=103049591179527
Maya for Georgia,,2020-01-31 17:41:05,,1,1,,,,,,,134797361338083,/story.php?story_fbid=134797361338083&id=103049591179527
Maya for Georgia,,2020-01-31 17:39:30,"The DNC has changed its rules for participation in the Democratic primary debates, eliminating the individual donor requirement. This could allow Michael Bloomberg to participate in debates after the February 11 New Hampshire primary. So the rules were changed for Bloomberg, when they could have allowed more inclusivity before the candidates of color were forced out?  #TheMeansHaveToJustifyTheEnds #RulesShouldntBeBentForBillionaires https://www.bloomberg.com/news/articles/2020-01-31/sanders-rivals-biden-for-top-spot-nationally-campaign-update?utm_medium=social&utm_campaign=socialflow-organic&utm_source=facebook&utm_content=business&cmpid=socialflow-facebook-business&fbclid=IwAR3frUQtfC0jrJbV_NuVTdY71Yfr6qfym-wYF30daocgUPB25MDR1u7NWH8",6,3,,,,1,2,,134796944671458,/story.php?story_fbid=134796944671458&id=103049591179527
Maya for Georgia,,2020-01-31 12:43:43,"“When credit reports determine where you can live, work and how much you will have to pay for everything from a car to a college degree, consumers deserve a system that ensures equity, transparency and accountability,” - Rep Ayanna Pressley In order for this to become the law of the land the US Senate has to pass a similar bill. Credit reform is a must now! I’ll champion companion legislation when elected the next US Senator from Georgia. #TheTimeIsNow https://www.boston.com/news/politics/2020/01/30/ayanna-pressley-house-credit-reporting-bill?s_campaign=bcom%3Asocialflow%3Afacebook&fbclid=IwAR0gPueKweISaXJ-luKG7aVP8YYUl4PX5PfiPd-zpuL64kSYSxZXEtbmDuE",3,2,,1,,,,,134726334678519,/story.php?story_fbid=134726334678519&id=103049591179527
Maya for Georgia,,2020-01-31 11:01:41,"‪This is ridiculous! Universal, single payer healthcare NOW! #MedicaidForAll #TheTimeIsNow‬ ‪#PeopleOverProfits #EnoughIsEnough‬ ‪https://www.nytimes.com/2017/06/24/science/medicaid-cutbacks-elderly-nursing-homes.html?smid=fb-share&fbclid=IwAR0SgfQ75u6KZ_j-hPKmspC35x2rdq1YCiIf5m6KalNngwH-N7k3GaXIp2w‬",4,1,,1,,2,,,134703478014138,/story.php?story_fbid=134703478014138&id=103049591179527
Maya for Georgia,,2020-01-30 13:02:28,"In 2020 we are still battling the same issues of the 1960’s. How is that possible? When is enough, enough? #TheTimeIsNow #gapol",3,3,,,,,,,134416334709519,/story.php?story_fbid=134416334709519&id=103049591179527
Maya for Georgia,,2020-01-30 10:06:48,"A new Housing and Urban Development report said Black Americans make up nearly half of the homeless population, despite comprising only 13% of the population. #EnoughIsEnough #TheTimeIsNow  https://www.yahoo.com/news/hud-report-finds-majority-homeless-030638826.html‬",300,79,2,,13,170,36,44,134365971381222,/story.php?story_fbid=134365971381222&id=103049591179527
