source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Mike Broihier for Kentucky,,2020-03-04 18:23:41,"I'm a retired LtCol, teacher, rural journalist, and farmer, but most importantly, I'm one of you. I'll be advocating for the everyday Kentuckian on the Forum tomorrow at 6:30 PM. I know I’m the strongest candidate to go up against Mitch McConnell. Now’s our chance to prove it. Watch the Forum on Indivisible NKY's YouTube Channel. Share and use #MikeForKY in the comments section to show your support!",27,16,,11,,,,,671469580265601,/story.php?story_fbid=671469580265601&id=496341171111777
Mike Broihier for Kentucky,,2020-03-04 12:35:13,Because of the massive growth in our campaign the Chicken Bristle Farm is now overcapacity with staff. If you want to do more than just donate money and have a spare room available please fill out this google form:  https://forms.gle/yVDLLWKXnbiCoGLy7,9,8,,1,,,,,671316750280884,/story.php?story_fbid=671316750280884&id=496341171111777
Mike Broihier for Kentucky,,2020-03-03 19:55:17,,28,21,3,4,,,,28,2622777728006934,/story.php?story_fbid=2622777728006934&id=496341171111777
Mike Broihier for Kentucky,,2020-03-03 14:00:10,See you all tonight!,11,9,,2,,,,,670663947012831,/story.php?story_fbid=670663947012831&id=496341171111777
Mike Broihier for Kentucky,,2020-03-03 10:26:30,"Sorry for the late post, but I wanted to post some pictures from Scott Sykes for Kentucky Senate race in Elkhorn City. Scott’s mom cooked the pulled pork and the desserts were awesome. Also, got to meet BarbiAnn Maynard and talk Eastern Kentucky water.",29,29,,,,,,1,670554077023818,/story.php?story_fbid=670554077023818&id=496341171111777
Mike Broihier for Kentucky,,2020-03-01 08:15:24,"As a Marine and an artilleryman, this makes me happy. It’s been almost 30-years since DACOWITS visited my unit to see what a strenuous and dirty job crewing a cannon is, and we’ve finally got it right.",26,19,,7,,,,1,669157340496825,/story.php?story_fbid=669157340496825&id=496341171111777
Mike Broihier for Kentucky,,2020-02-29 21:12:13,"We set an ambitious goal of $100,000 by midnight tonight. There's less than a few hours left eastern time, but as long as there's time on the clock, I'll keep fighting for our cause because that's the candidate Kentucky needs. Donate $25 now to shock the nation!  www.MikeForKY.com/donate",19,17,,2,,,,,668762447202981,/story.php?story_fbid=668762447202981&id=496341171111777
Mike Broihier for Kentucky,,2020-02-29 17:52:05,"Driving home from Eastern Kentucky and met some amazing folks out here on the campaign trail. We're still in the middle of our fundraising, so if you can, donate $19 to help me put gas in the tank to get back to the Chicken Bristle farm. http://MikeForKY.com/donate   #MikeForKY",38,28,,10,,,,2,668653490547210,/story.php?story_fbid=668653490547210&id=496341171111777
Mike Broihier for Kentucky,,2020-02-29 16:12:10,"We're almost there! If every one of my Facebook followers donates at least $13.87 right now, we could send a clear message that we don't need the establishment handpicking our candidates! We're in this to put a serious fight against Mitch McConnell.  https://secure.actblue.com/donate/broihier",32,24,,8,,,,1,668615990550960,/story.php?story_fbid=668615990550960&id=496341171111777
Mike Broihier for Kentucky,,2020-02-28 21:15:33,I'm honored to be able to have an opportunity to meet and greet the people of this state directly. Please join us on March 8th at 2 PM in Louisville.,19,13,,6,,,,1,668045413941351,/story.php?story_fbid=668045413941351&id=496341171111777
