source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Allen Whitt for U.S. Senate,,2020-03-03 14:03:14,207 Congressmen and Senators signed a brief asking the Supreme Court to use this case to strike down Roe v. Wade. Shelley Moore Capito was not one of them.,12,6,,2,3,1,,,212307016845104,/story.php?story_fbid=212307016845104&id=110759923666481
Allen Whitt for U.S. Senate,,2020-03-03 13:12:05,"Shelley Moore Capito said that she disagrees with the Human Life Protection Act in Alabama--which would save thousands of lives--because it is too ""restrictive."" What does she think of this Louisiana law that would also save countless lives?",3,3,,,,,,,212278870181252,/story.php?story_fbid=212278870181252&id=110759923666481
Allen Whitt for U.S. Senate,,2020-03-03 10:30:40,We wouldn't have to review it or hear challenges if Capito had just voted to repeal.,8,7,,1,,,,1,212184733523999,/story.php?story_fbid=212184733523999&id=110759923666481
Allen Whitt for U.S. Senate,,2020-03-02 11:12:49,"Shelley Moore Capito has voted time and again while in the Senate to increase H2B visas for low-skilled immigrants, as recently as 2019. West Virginia has one of the five worst unemployment rates in the nation. I will never vote for job- and wage-killing amnesty bills or raising rates of low-skilled immigrants. West Virginians first!",8,6,,,,,2,1,211430013599471,/story.php?story_fbid=211430013599471&id=110759923666481
Allen Whitt for U.S. Senate,,2020-02-28 12:06:26,"This is what Shelley Moore Capito said ""makes sense"" to her: abject tyranny that violates rights, harms law enforcement, hurts communities, and allows criminals to thrive.",4,1,,,2,1,,3,209039163838556,/story.php?story_fbid=209039163838556&id=110759923666481
Allen Whitt for U.S. Senate,,2020-02-28 09:11:22,"I am told by establishment Republicans that Shelley Moore Capito  is ""pro-life enough"" to represent West Virginians. Here are some questions I'm left with: Does ""pro-life enough"" include supporting federal funding for abortions and propping up Roe v. Wade? Why won't she bother being pro-life in a non-election year? If she’s really pro-life, why doesn’t she join the pro-life caucus in the Senate? If she’s really pro-life, why didn’t she sign the recent Friend of the Court brief encouraging the Supreme Court to overturn Roe v. Wade that was signed by the largest number of Congressmen and Senators in history? If she’s really pro-life, why doesn’t she tell us when she thinks life begins? Why does she say that laws that protect life from fertilization to natural death are too ""restrictive""? If she’s really pro-life, why has she repeatedly voted to protect funding for Planned Parenthood, and will she pledge never to do so again?",18,13,,,3,,2,4,208925067183299,/story.php?story_fbid=208925067183299&id=110759923666481
Allen Whitt for U.S. Senate,,2020-02-24 15:19:31,"At the pro-life rally at the capitol today. I will ALWAYS stand for the life of an unborn child, no matter how small. I am the only candidate in this race who will say that we must bring an end to abortion in this country.",28,25,,3,,,,,205829740826165,/story.php?story_fbid=205829740826165&id=110759923666481
"Allen Whitt for U.S. Senate,Allen Whitt",Allen Whitt,2020-02-22 11:04:44,West Virginia High School Hoops  Allen Whitt for U.S. Senate Tom Roten Patch AdamsJohn Mandt JrJosiah BattenTom Adsit Greenbrier County Republican Club and Executive Committee Upshur County West Virginia Republican Executive Committee Eric Barber Jefferson County GOP - WV,5,5,,,,,,,204003241008815,/story.php?story_fbid=204003241008815&id=110759923666481
"Allen Whitt for U.S. Senate,Allen Whitt",Allen Whitt,2020-02-22 11:04:26,I learned to weld as a 16-yr-old and it was one of the most empowering skills a young person could have been given. Knowing I could fuse steel to steel with temps nearing those of the sun made me believe I could also build myself a life. #Trades #LifeSkills Allen Whitt for U.S. Senate,11,11,,,,,,,204003004342172,/story.php?story_fbid=204003004342172&id=110759923666481
Allen Whitt for U.S. Senate,,2020-02-21 16:57:06,"Incredible news: Shelley Moore Capito is now SPONSORING the Pain Capable Unborn Child Protection Act. This is huge. It shows just how far our campaign has come that Shelley is moving so far right in an election year. With 80 days to go til the Primary, she knows that her record on life is getting out to voters and she risks a loss to the most pro-family conservative voice in West Virginia. I'm so pleased that she is sponsoring this great bill. But we can't forget her record on life.  Why won't she bother being pro-life in a non-election year? If she’s really pro-life why doesn’t she join the pro-life caucus in the Senate? If she’s really pro-life why didn’t she sign the recent Friend of the Court brief encouraging the Supreme Court to overturn Roe v. Wade that was signed by the largest number of Congressmen and Senators in history? If she’s really pro-life why doesn’t she tell us when she thinks life begins? Why does she say that laws that protect life from conception to natural death are too ""restrictive""? If she’s really pro-life why has she repeatedly voted to protect funding for Planned Parenthood, and will she pledge never to do so again? I wish we could trust this shift from Shelley. But instead of an open acknowledgment of her history of pro-abortion votes and statements and a promise to be sincerely and consistently pro-life in the future, she is simply pretending to be a conservative in an election year. Again. I humbly ask for your vote for a serious pro-life conservative in May.",17,17,,,,,,3,203363301072809,/story.php?story_fbid=203363301072809&id=110759923666481
"Allen Whitt for U.S. Senate,Allen Whitt",Allen Whitt,2020-02-21 10:10:37,A good review of Senator Capito's record on life.Radio interview today with candidate Allen Whitt for U.S. Senate,5,5,,,,,,,203117127764093,/story.php?story_fbid=203117127764093&id=110759923666481
"Allen Whitt for U.S. Senate,Allen Whitt",Allen Whitt,2020-02-21 10:10:19,Allen Whitt for U.S. Senate at the Putnam County WV Lincoln Day Dinner,4,4,,,,,,,203116944430778,/story.php?story_fbid=203116944430778&id=110759923666481
"Allen Whitt for U.S. Senate,Rick Sandlin,West Virginia Rising","Rick Sandlin,West Virginia Rising",2020-02-19 11:58:17,"If your county hasn't yet taken action, get involved, and let us know if we can help!Added Mingo and Greenbrier counties! (update #10)",15,11,,4,,,,1,201477534594719,/story.php?story_fbid=201477534594719&id=110759923666481
Allen Whitt for U.S. Senate,,2020-02-19 09:00:45,"The Pain-Capable Unborn Child Protection Act would ban abortions for pre-born children who can feel pain. This would effectively ban abortions after 5 months. Only radical pro-abortion extremists could vote against such a bill. Please call and urge Senators Capito and Manchin to vote to protect the innocent! Although she refused to support a similar law in West Virginia (Amendment One, which Allen Whitt supported!), Capito always veers to the right in an election year, and as she’s facing a tough challenge from a proven conservative, we're confident she'll vote right on this one. Manchin needs pressure!",23,19,,4,,,,2,201297684612704,/story.php?story_fbid=201297684612704&id=110759923666481
Allen Whitt for U.S. Senate,,2020-02-18 11:37:51,,11,11,,,,,,,200637708012035,/story.php?story_fbid=200637708012035&id=110759923666481
"Allen Whitt for U.S. Senate,Allen Whitt",Allen Whitt,2020-02-17 09:39:32,Honored to speak tonight to fellow members of the West Virginia Civil Defense League in Nitro WV before tomorrow’s lobby day at the Charleston capitol building. #NoRedFlagLaws Patch Adams Tom Roten Josiah Batten Allen Whitt for U.S. Senate Tom Adsit WVCDL Lobby Day 2020 Jefferson County GOP - WV Kathie Hess Crouse for WV Senate Derrick Evans The Family Policy Council of West Virginia,4,4,,,,,,,199669368108869,/story.php?story_fbid=199669368108869&id=110759923666481
