source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Elysabeth Britt for U.S. Senate,,2020-04-28 18:43:28,"As a workforce professional, I find several of the comments by public officials, as quoted in this article, disturbing, particularly those of Don Morris, Executive Director of Workforce Development for the State of Oklahoma, and Teresa Keller, Deputy Director of the Oklahoma Employment Security Commission. Do we need to start preparing to reopen businesses in Oklahoma? Yes, we do.  Will all the jobs come back right away? Certainly not. It will take months, possibly a year, to lower unemployment rates to pre-quarantine levels.  Businesses who terminated their employees during this crisis will likely have to hire many new employees, as opposed to rehiring those let go. Those of us who post jobs and hire people for a living understand all too well that this process can take days or weeks, or even months given the experience level or the number of positions to fill.  Return to work challenges are not a matter of “carrot” or “stick” Mr. Mariska. It’s is a matter of mass corporate culture disenfranchisement, especially when the positions to which you are referring are minimum wage roles. Those who make the least should not have the assistance Congress allotted them petitioned away by non-elected state officials or the governor’s acquaintances.  Employees who have been furloughed, the regulations and guidelines operate a little differently. Yes, if a business opens up and a furloughed employee refuses scheduled hours, then that will negatively impact their unemployment eligibility for that time, or for that portion of income not earned depending on your employment classification, it can also jeopardize your employment status.  Regardless, the idea that the Governor’s Council for Workforce and Economic Development is contemplating requesting the federal government to reduce the unemployment stimulus benefits while 224,000+ Oklahomans are out of work is appalling.  The people of this state did not ask for a pandemic. They did not ask to have their livelihoods put in jeopardy. They did not ask to have their wages reduced or to lose their jobs. And they certainly aren’t asking to be faced with choosing between a paycheck and their health while we are still uncertain as to how the virus will spread in the coming weeks once Oklahoma reopens. What Oklahomans have asked for is rent and eviction protections, and free coronavirus testing statewide. The latter has garnered some discussion, while rent and housing protection had failed to gain momentum. Ms. Keller, ma’am, the funding provided by Congress lasts until July 31st. I encourage you not to send in the 30-day notification requesting an end to the additional $600.00 stimulus assistance. We don’t yet know how Oklahoma’s employment situation will change in the next three months. Be patient. The ramifications of reducing benefits too early could be disastrous. There is still time to study projections and act in the best interest of the public. My counsel to everyone on the governor’s commission, all of who do not live on minimum wage or even lower wages – stop listening to the one or two people who tell you what you want to hear and start looking to the tens of thousands of Oklahomans whose lives may be turned upside down because you think they’re making too much money with an additional $600 per week in the middle of a pandemic. Otherwise, the only “disincentive effect” will be which way the polls swing in the next election, which is fine by me, but not at the expense of unemployed Oklahomans. Elysabeth Britt",43,27,,6,1,,9,,665194880715502,/story.php?story_fbid=665194880715502&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-28 11:42:14,Good things underway and our team is growing. I'm very excited about recent developments that will help enable us to assist more Oklahomans. Stay tuned!,173,132,13,24,1,1,2,,665005434067780,/story.php?story_fbid=665005434067780&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-24 22:44:04,"Earlier, in February 2020, the Oklahoma Democratic Party​ got a burst of new energy and improved office spaces to help Democratic candidates across the state. To see the candidates in your area for both federal and state 2020 elections, go to https://okdemocrats.org/candidates/ to learn more.  I’d like to encourage anyone who is looking to volunteer, please pick a candidate or candidates and reach out. Primary elections are June 30th statewide.  I appreciate your support, as I’m sure all the candidates hoping to represent US do as well. I hope you are sheltered, healthy, and fed.  Elysabeth Britt #Britt2020",39,33,,6,,,,,662782314290092,/story.php?story_fbid=662782314290092&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-23 15:45:44,"Hello Friends! We're excited to have a Facebook frame option available to those supporting Elysabeth Britt for U.S. Senate.  To show your support, here's a link to add the photo frame to your profile.",5,4,,1,,,,,661945781040412,/story.php?story_fbid=661945781040412&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-23 12:31:08,,57,48,,9,,,,,487841021784223,/BrittForUSSenate/photos/a.480085492559776/487841021784223
Elysabeth Britt for U.S. Senate,,2020-04-23 12:30:45,,83,57,,26,,,,,480085369226455,/BrittForUSSenate/photos/a.480085129226479/480085369226455
,,2020-04-21 17:04:33,"Thank you, Watonga! Enjoyed our time together this afternoon. Thank you Pam and Carl. If you’re in the area, the Plant Place gardening shop has a fun cheese and local honey market. I opted to try the Chocolate Cheese Fudge with Walnuts. I’m sure there will be a follow up comment when I get home. I hear good things though.",26,20,,6,,,,,660698484498475,/story.php?story_fbid=660698484498475&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-20 19:44:46,"I made a trip to Agra, OK today. Spent time talking with folks: Met Donnie, the USPS rural route courier, while visiting the area. Sharing what he told me with you. #RuralRoads",19,15,,4,,,,,659984837903173,/story.php?story_fbid=659984837903173&id=480085069226485
,,2020-04-20 16:34:32,"‪Making a little trip with my mini roadies. The kids are learning all about farmin and being out of the city.  #WorldAsASchoolhouse #Roadtrip Agra, OK‬",18,14,,4,,,,,659913534576970,/story.php?story_fbid=659913534576970&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-19 17:46:51,"In the coming months, when people are comfortable and feel safe, millions will return to work. For many, the wage offered will not be sufficient for themselves or a family. Will/Can we all admit now that $1200 a month ($7.25 x 160h = $1,160 - taxes) isn't enough? #RaiseTheWage #LivableWage",28,26,,1,,,1,,659299777971679,/story.php?story_fbid=659299777971679&id=480085069226485
Elysabeth Britt for U.S. Senate,,2020-04-19 10:02:01,"Twenty-five years may have gone by, but for those of us who heard it, who felt it, who mourned our Oklahoma family and friends – you were with us yesterday, you're with us today, and tomorrow. #NeverForget25 #ForeverRemembered",15,10,,4,,1,,,658859301349060,/story.php?story_fbid=658859301349060&id=480085069226485
