source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Daniel Burke For U.S. Senate,,2020-05-01 13:56:27,"In February the USDA announced it would begin allowing imports of raw beef from Brazil. The USDA then welcomed the first shipment of raw beef into the U.S. from Namibia, Africa on April 17. Both countries are known to harbor foot-and-mouth disease (FMD), the most contagious disease known to cattle, hogs, sheep, deer and other cloven-hoofed animals. In addition, in recent years the Brazilian food inspection system was cited for corrupt practices. Bullard said there was a 22% surge in the combined volume of beef and cattle imports from mid-March to early April.  ""While American ranchers are unable to access their own market, importers and meatpackers are increasing the volume of imported beef while simultaneously depriving U.S. cattle farmers and ranchers' access to their own markets. This has to stop and MCOOL will put the choice in consumers' hands as to where they want their beef to be born, raised and harvested,"" said Bullard adding, ""We are confident that most consumers will want USA beef.""   IMPORTANT! When forwarding R-CALF USA e-mails, please use this link Forward this email or copy and paste into a new email then forward to your contacts.        R-CALF United Stockgrowers of America   For Immediate Release   April 29, 2020  R-CALF USA CEO Bill Bullard Phone: 406-252-2516; r-calfusa@r-calfusa.com View and share this news release on Facebook here. Ranch Group's Mandatory Country-of-Origin Labeling Petition Gains 250K Signatures in 7 Days  Billings, Mont. - Launched Thursday morning by R-CALF USA and several of its rancher-members, the petition urging the President and Congress to immediately pass Mandatory Country-of-Origin Labeling (MCOOL) for beef, pork and dairy products has gained 250K signatures in just 7 days. R-CALF USA states in the petition that MCOOL will strengthen national food security and help stimulate economic growth. The petition can be viewed at www.DemandUSABeef.com. R-CALF USA member Kerry Cramton, a Kansas cattle producer who, among several other grassroots cattle producers, was instrumental in launching the petition and said the goal is to demonstrate to the President and Congress that they have been deceived into believing that neither consumers nor cattle producers wanted a mandatory law to provide consumers information as to where their beef, pork and dairy products actually originate. ""There is a handful of very powerful lobbying groups that have held the President and Congress at bay on this critically important initiative and our petition clearly shows that our government has been misled,"" said Cramton. ""Consumers want to know where their beef is produced and they deserve the opportunity to support American ranchers by purchasing beef exclusively born, raised, and harvested in the United States,"" she added. R-CALF USA has strongly supported MCOOL ever since it helped pass the original law in 2002. The meatpacking lobby fought aggressively to repeal MCOOL for beef and pork ever since - failing to do so in a U.S. federal court in 2013, but ultimately succeeding in 2015 with the help of an adverse ruling by the World Trade Organization (WTO). As the COVID-19 pandemic backs up United States cattle due to processing plant slow-downs and shut-downs, leaving many American ranchers with no access to the marketplace, meatpackers are continually sourcing cheaper foreign cattle to the detriment of U.S. cattle producers. The U.S. Department of Agriculture (USDA) reported that during the last two weeks U.S. meatpackers sourced over 12,000 live cattle from Canada to be harvested in the United States. ""This is unconscionable,"" said R-CALF USA CEO Bill Bullard who said his group has members who have not been able to get a bid for their cattle for the past five weeks."" Bullard said if MCOOL were in place today, consumers could immediately correct this situation by choosing to buy beef that is exclusively born, raised, and harvested in the United States, which he said would help American ranchers. Bullard said MCOOL would also help consumers avoid beef produced in foreign countries with ongoing animal disease problems and unknown animal husbandry practices. In February the USDA announced it would begin allowing imports of raw beef from Brazil. The USDA then welcomed the first shipment of raw beef into the U.S. from Namibia, Africa on April 17. Both countries are known to harbor foot-and-mouth disease (FMD), the most contagious disease known to cattle, hogs, sheep, deer and other cloven-hoofed animals. In addition, in recent years the Brazilian food inspection system was cited for corrupt practices. Bullard said there was a 22% surge in the combined volume of beef and cattle imports from mid-March to early April.  ""While American ranchers are unable to access their own market, importers and meatpackers are increasing the volume of imported beef while simultaneously depriving U.S. cattle farmers and ranchers' access to their own markets. This has to stop and MCOOL will put the choice in consumers' hands as to where they want their beef to be born, raised and harvested,"" said Bullard adding, ""We are confident that most consumers will want USA beef."" Given the hugely successful petition drive for MCOOL, R-CALF USA has now established a 'Demand USA Beef' Fundly crowdfunding page in an effort to raise $50,000 so it can bolster the group's promotional and lobbying efforts to secure the passage of MCOOL for beef, pork and dairy products as quickly as possible. Last month, R-CALF USA launched a new Website www.USABeef.org, a free platform for cattle ranchers and farmers who raise and sell cattle or beef that is exclusively USA born, raised, and harvested directly to consumers. The site is growing daily and currently includes 335 farms, ranches and businesses from 41 states. Consumers can call the beef providers on this list to obtain USA beef produced in their state. # # # R-CALF USA (Ranchers-Cattlemen Action Legal Fund United Stockgrowers of America) is the largest producer-only lobbying and trade association representing U.S. cattle producers. It is a national, nonprofit organization dedicated to ensuring the continued profitability and viability of the U.S. cattle industry. Visit www.r-calfusa.com or, call 406-252-2516 for more information.  R-CALF USA | PO Box 30715, Billings, MT 59107   www.r-calfusa.com | r-calfusa@r-calfusa.com   Phone 406-252-2516 | Fax 406-252-3176   STAY CONNECTED:",,,,,,,,,2388831664672635,/story.php?story_fbid=2388831664672635&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-27 07:50:07,"This weekend's Schiller Institute conference gave a glimpse of what a dialogue of cultures in a new paradigm could look like. The conference underscored the need for new ideas, new thinking, shedding current assumptions, and that there are people around the world ready to do just that. Treasury Secretary Mnuchin promises an economic recovery based on exactly the monetary policies that crashed the economy. Meanwhile, the BRICS nations start talking credit. View the full conference: lpac.co/siconf2020 Every weekday morning Harley will brief you on what you need to know to start your day. If you haven't already, sign up for Harley's weekly articles, harley.larouchepac.com/join",,,,,,,,,2385547061667762,/story.php?story_fbid=2385547061667762&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-30 12:24:53,"Tuesday night, President Donald Trump, under the National Defense Production Act, signed an executive order to reopen U.S. meat mega-packing plants, for the purpose of relieving farmers from killing their animals because processing is shut down, and to continue the meat supply. One farm leader, who spoke at the Schiller Institute April 25-26 conference, immediately stressed today: “OK, but only keep the cartel meat packing houses open until you can phase them out forever. It never should have been this way in the first place.” U.S. and international agriculture have been being destructured during recent decades, so that a few Wall Street/City London cartels dominate all food flows. Now the giant packing houses have become COVID-19 hot zones, comprising two dozen out of some 200 major complexes: 6,600 workers are sick or otherwise off the job; 20 workers and 2 inspectors have died. There is rightly worry whether needed federal forces will be sent in to make the plants safe. Plus, the executive order does not address milk now going down the drain. It does not indemnify farmers for their euthanized animals, without which they will be ruined. Today, ranchers who had been at the Schiller Institute’s weekend conference panel on the “Science of Physical Economy,” proposed many specifics for what must happen now. For example, there are about 1,900 smaller meat-processing plants in the U.S. Build them up with credit and other measures. Back the full range of food preservation technologies, including irradiation. This thinking amounts to making concrete, in areas of special knowledge, a new paradigm of economic activity. There is similar momentum in other areas. Two of those farmers who attended the Schiller conference will participate on the April 30 LaRouchePAC Fireside Chat, with activists from all over the country, and an international conference call among farmers is in the process of being organized soon. In the international context, look at such a dramatic specific as how U.S. pork capacity could right now help supply China, where there is a great shortage because China lost up to half its hogs to African swine fever over 2018-2019. The logistics would be worked out, despite the pandemic. But the geopolitical residue of tariffs is still in the way. Moreover, look at the emergency task of how to supply “daily bread” for hundreds of millions of people in Africa, parts of Asia and Latin America/Caribbean, now hit by the pandemic on top of already insufficient food. A work-up of the tonnages and types of emergency foodstuffs required—not just abstract “money” terms—is under preparation for the Schiller Institute for international discussion. It is this “new paradigm” discussion process, exemplified in the food question, but also in other ways, manifest in the April 25-26 Schiller weekend, that is part of the target for attempted obliteration by the frantic British intelligence campaign now underway to demonize China, Russia, Iran and take down the U.S. Presidency. Each hour brings new extremes condemning China for lying and worse, not because of anything China has done or not done, but because time has run out for those behind the dead geopolitical/monetarist system. Yesterday, Federal Reserve Chairman Jerome Powell gave a press conference trying to again pitch his “We will use every tool to save you,” while Americans look on in growing anger at the obvious instantaneous bail-out of any Wall Street bum, but everyday essential businesses and livelihoods are crushed.",1,1,,,,,,,2388073104748491,/story.php?story_fbid=2388073104748491&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-25 10:42:15,"LIVE NOW! Helga Zepp-LaRouche joined by Chinese, Russian , Italian, and French participants. Tune in, and send questions to questions@schillerinstitute.org",1,1,,,,,,,2384182405137561,/story.php?story_fbid=2384182405137561&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-16 07:38:23,"Anti-China hysteria is a creation of geo-politicians, the same people who framed Russia as the biggest enemy of the United States, another lie. What is the real threat to our security and freedom? It's not China. President Trump understands that, why don't you? Every weekday morning Harley will brief you on what you need to know to start your day. If you haven't already, sign up for Harley's weekly articles, harley.larouchepac.com/join",,,,,,,,,2377392009149934,/story.php?story_fbid=2377392009149934&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-12 09:46:04,"""The doctrine of the immortality of the soul has a rich history, from Plato's Socratic dialogues, through the role of the same Platonic notion of the term agape expressed summarily by Paul's I Corinthians 13, and permeating the Gospel of John. It is the concept, translated as promotion of the general welfare of present and future generations, in the U.S. Constitution, and, otherwise, the notion of doing good in service of the common good. Our concern for humanity is not like a farmer's dedication to improving his breed of cattle; our concern is for the benefit to every soul, not only the living and the future, but also the past, in humanity as a whole. Like the true Christian missionary, he acts not to rule, but to serve in ways which enable humanity to rule itself better, for the sake of all souls, past, present, and future. ""The same rule applies to those whose profession is merely to be a hand of Providence. We are motivated by the sense that we are therefore living forever in each moment of mortal life. ""Thus, we see the mission from Jesus Christ, shining out from the site of the crucifixion. It is that radiation of agape, as identified by John and Paul, which has been the continuing benefit of an idea radiating throughout the intervening millennia to us today. So, experience the St. Matthew Passion [this is a piece Bach, very beautiful -APC], and leave that experience better people than you entered. Receive the message, and act accordingly. The outcome, and the present and past meaning of your life, and that of your nation, may depend upon precisely that decision made in perilous moments such as the present world crisis"".",,,,,,,,,2375496902672778,/story.php?story_fbid=2375496902672778&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-22 12:28:18,"The Henry Jackson Society in London, which, together with the Atlantic Council in Washington, represents a core unit in the British Empire’s desperate effort to break President Donald Trump’s effort to build friendly relations with Russia and China, held a virtual forum on Monday under the title: “The Atlantic Alliance During a New Age of Great Power Competition.” The American, British and Czech speakers were not subtle about the intention: Europe and America must build “collective diplomacy” and a “Trans-Atlantic consortium” to win a war—their words—between “the Free World and China.” China is winning, they screamed, using their Belt and Road Initiative to build infrastructure, their Health Silk Road to help fight the pandemic, and their superior technology with Huawei, to infiltrate Western nations, spy on everyone, impose their authoritarian form of government, and destroy the Western liberal system. Serbia, Hungary and Italy have become virtual Chinese puppets, they whine, and more nations are being drawn in every day—if they are not stopped. In the U.S., President Trump partially submitted to the madness from those around him who argue that China intentionally created the virus, infected their own people, and sent those infected around the world, in order to destroy the Western economies through a pandemic. Pressed by the “fake news press” on this claim during his April 18 press briefing, Trump responded: “If it was a mistake, a mistake is a mistake. But if they were knowingly responsible, yeah, then there should be consequences.” Immediately the press issued headlines such as: “Trump Pushes Narrative That China Was Knowingly Responsible for Coronavirus” (Rolling Stone), while Steve Bannon lied to Fox TV that Trump had actually asserted it: “This is about the Chinese Communist Party, and they are ‘knowingly responsible’ for what happened. This is an act of commission.” Military-linked blogs have simply asserted that we are in an undeclared war with China. Former Iraq WMD inspector Scott Ritter, who has been a whistleblower against neo-con lies dragging the U.S. into wars, warned that the accusation against the Wuhan Virology Lab, for which no one—repeat, no one—has provided even a hint of evidence, is no different than Colin Powell’s infamous Feb. 5, 2003 UN speech, holding up a tube of anthrax, and showing pictures of a trailer, as justification for a genocidal war against Iraq, a war which President Trump has rightly declared to be the worst mistake in American history. China is increasingly furious over the lies and open threats of war, as well they should be. But their complaints are always joined by a plea for cooperation, at a time when the world desperately needs the great powers, and especially the U.S., China and Russia, to cooperate in stopping COVID-19. The World Food Program warned today that the number of people suffering from “acute food insecurity” is expected to double, to 265 million souls, in 2020, while their Senior Economist Arif Husain told reporters today: “COVID-19 is potentially catastrophic for millions who are already hanging by a thread. It is a hammer blow for millions more who can only eat if they earn a wage.” Will humanity tolerate such a humanitarian disaster, a Black Death in the 21st century? Or worse, will the human race accept this while being led into a global war between the nations whose cooperation is most essential to prevent such a holocaust? These questions will likely be answered in the coming weeks and months. It is urgent that everyone reading this editorial, from every nation on Earth, attend the International Schiller Institute Conference this coming weekend, April 25-26, beginning at 10:00 a.m. EDT (14:00 UTC), where this question of existential importance for mankind is the only issue on the agenda, from the perspective of strategy, science, culture and economics. If you have not registered already, you can do so at the Schiller Institute website, which includes a description and link to each of the conference panels.",4,3,,,1,,,,2381956725360129,/story.php?story_fbid=2381956725360129&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-21 07:20:50,"Forget parties, think paradigms. The majority of our problems today are due to the majority of people being stuck in an old paradigm. Leave geo-politics behind! Think instead of what mankind will accomplish in the next 100 years, and arrange your present day opinions with that in mind. Every weekday morning Harley will brief you on what you need to know to start your day. If you haven't already, sign up for Harley's weekly articles, harley.larouchepac.com/join",2,2,,,,,,,2381044995451302,/story.php?story_fbid=2381044995451302&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-09 16:07:34,"""None of the Malthusian proposals for healthcare reform since 1971—all developed in the specious systems analysis approach to “healthcare economics” at Stanford University, Jackson Hole, Wyoming, New York City’s Manhattan Institute, Washington D.C.’s Heritage Foundation, and similar dystopian locales—ever mention large scale economic development as the true means to ensure first rate healthcare for all. Lyndon LaRouche insisted, however, that any discussion of healthcare outside the context of massive physical economic development, breakthroughs in fundamental science and our understanding of the laws of the universe, rising productivity and rising wages, is mentally deficient. President Trump clearly has the idea of this when he keeps talking about economic expansion as the prerequisite for any discussion of entitlement reform.""",4,4,,,,,,,2372119283010540,/story.php?story_fbid=2372119283010540&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-06 15:53:39,"In the United States on Sunday its Surgeon-General Dr. Jerome Adams appeared on “Fox News Sunday” program to warn Americans that as the coronavirus pandemic rises toward a peak this week, “it will be a Pearl Harbor shock, a 9/11 shock”—“the hardest and saddest week of most Americans’ lives.” We should remember that for two full years before the original Pearl Harbor shock President Franklin Roosevelt was mobilizing logistics and production aid from America to other nations which were fighting the Axis powers. That aid was accelerated and expanded after the Pearl Harbor attack. Americans should hear President Donald Trump’s statements—almost never reported otherwise—at his daily task force conferences, that he wants to export medical equipment and supplies as soon as it is possible to the “151 countries that have this deadly virus.” Not only must supplies be sent: A new healthcare infrastructure must be built in most underdeveloped nations, which are almost totally unprepared. This will only happen if the President reaches agreements with the leading producer nations China, Russia, India and others, to create credit and mobilize production. As a long-time pandemic researcher, Laurie Garrett, said in an interview April 3, only if the United States and China cooperate to build up the developing countries is there any hope that they will not be completely devastated by this pandemic in coming months, which will then “come back to us.” Schiller Institute President Helga Zepp-LaRouche again on Saturday urged, in an international internet dialogue, “‘All Men Shall Be Brothers’: From COVID-19 to the New Paradigm,” an immediate summit of the heads of those leading producer nations, to accomplish a new credit system and a new paradigm. She said, “I think that you should put yourself also in the shoes of the people in the developing countries who are at the very end of the chain: People who have only one meal a day, or have no clean water, or who suffer from malnutrition. I think it’s really important, because they cannot fight for themselves, it is up to us. And Nicholas of Cusa already said this in the 15th century, that there are so many people who cannot really take responsibility for what comes out of history, because they’re so much under the burden of fighting for their livelihood, for just getting enough food, or living, that they have no additional energy. And people who are suffering hunger, that is the worst violation of human rights. People are in pain. If they die of hunger, it’s the most painful death you can imagine: And I think this is a moment where it really depends on us, who are in the so-called advanced sector—which is not so advanced, after all—but we have certain privileges that we can even have this kind of discussion, that we can have the kind of international communication that we can think about what to do: And out of that comes a tremendous responsibility. “And I think this is a moment where people really have to rethink how they relate to the rest of humanity, by consciously strengthening your sense of empathy. When Friedrich Schiller would say, in his lifetime, looking at the situation around him, he said the most important requirement of my time (meaning his time), is the development of what is in German, the Empfindungsvermögen, which can be roughly translated as ‘empathy,’ as taking the mind and soul of the other person into your heart and making it your own; finding out all the feelings and thinking of the other person, and to develop that passion and compassion and empathy with the people who cannot do it right now. I think if we do that, then we will come out of this crisis as better human beings, and that is, we have to absolutely develop this idea of empathy and love for all of humanity. “And if we do that we will be immortal and invincible.... “I think that that is not a utopia. I think that this present crisis brings us to the test, and also the chance to make that big step forward in the history and in the evolution of the human species.”",,,,,,,,,2369813066574495,/story.php?story_fbid=2369813066574495&id=2162254587330345
"Daniel Burke For U.S. Senate,Lyndon LaRouche PAC",,2020-04-02 13:56:54,Bailing out the system won't 'work' in this crisis as it did in 2008. The solution lies in changing fundamentally our conception of the future and what is possible.,,,,,,,,,2366896350199500,/story.php?story_fbid=2366896350199500&id=2162254587330345
Daniel Burke For U.S. Senate,,2020-04-08 10:00:35,"AN APOLLO PROGRAM FOR MANKIND, or FREE THE USA FROM THE PANDEMIC AND THE WAR PARTY Register at the link below to receive the YouTube link and call-in number to participate in my 7pm online town hall. We will have call-ins! https://action.larouchepac.com/nj-20200406-south-and-central-nj Our country and, in fact, the entire world need a completely new economy based on the highest advances in science and technology. Not merely medical science, but fusion power and space science. Join me in demanding this new future. Daniel Burke Independent Candidate for US Senate",4,4,,,,,,,2371059416449860,/story.php?story_fbid=2371059416449860&id=2162254587330345
