source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
,,2020-05-01 12:26:32,The Homeland Heroes Foundation is hosting an amazing event today in Salem - filling up gas ⛽️ tanks for vets unemployed because of #COVID19. Thanks so much to HHF’s Julie Weymouth for all you do for vets in NH! Campaign Co-Chair Fred Doucette also in attendance! #nhpolitics #NHSen,23,19,,4,,,,,244860806869004,/story.php?story_fbid=244860806869004&id=105368190818267
"Corky Messner for Senate,New Hampshire Republican State Committee",,2020-05-01 09:43:41,Happy Birthday to our GREAT New Hampshire House Republicans Leader Rep. Dick Hinch!,5,5,,,,,,,244822353539516,/story.php?story_fbid=244822353539516&id=105368190818267
"Corky Messner for Senate,Patriot Nissan",,2020-05-01 00:01:04,"I look forward to being there later today! -CorkGetting ready for a big day today (5/1/20)  at Patriot Nissan in Salem!   Thanks to the tanks of Broco Oil in conjunction with The Homeland Heroes Foundation,  they will be filling 100 tankfuls of gas to veterans who are unemployed due to the Covid situation.   Veterans may also invite a member of the medical community for a tank as well, to show them their appreciation.  11am-3pm and it is first come first serve.  Patriot made 100 gift bags - with assorted snacks and personal items - see Brittany Plowman, Joanne Drohan, and Brianna Smith assembling the bags. See you soon!   93 S Broadway, Salem   603-894-4300",19,17,,,,,,,244783976876687,/story.php?story_fbid=244783976876687&id=105368190818267
Corky Messner for Senate,,2020-04-30 15:03:59,"I'm thrilled to have the full support of State Rep. Gates Lucas in my run for U.S. Senate! Gates will chair our Corky for Senate Millennial Steering Committee, and is another stellar addition to our team.",18,17,,1,,,,,244220993599652,/story.php?story_fbid=244220993599652&id=105368190818267
Corky Messner for Senate,,2020-04-30 10:17:14,More great folks joining Team Messner! #nhpolitics #NHSen #KAG2020,30,26,2,2,,,,,244065930281825,/story.php?story_fbid=244065930281825&id=105368190818267
Corky Messner for Senate,,2020-04-30 09:51:02,Good morning Greater Nashua!  Hoping you’ll join us at 1:00pm today for our Granite State Conversations Tele-Town Hall.  Dial 📲 603-506-4097 to participate!  #NHPolitics #NHSen #KAG2020,4,4,,,,,,,244050510283367,/story.php?story_fbid=244050510283367&id=105368190818267
,,2020-04-29 19:30:15,,17,13,,4,,,,,226986205236288,/story.php?story_fbid=226986205236288&id=105368190818267
Corky Messner for Senate,,2020-04-29 16:55:43,"Evidence is increasing that COVID-19 originated in a laboratory in Wuhan, China. The Chinese government has engaged in a massive cover up, and continually lied to the public. China needs to be held accountable. Demand action from Congress right now >>",22,20,,1,1,,,,243572326997852,/story.php?story_fbid=243572326997852&id=105368190818267
,,2020-04-28 16:48:03,"COMMITTED TO CORKY! Proud Laconia 🌊 Resident & N.H. State Representative Peter J. Spanos, member of the N.H. House Finance Committee. #nhpolitics #NHSen #KAG2020",33,29,1,3,,,,,242871733734578,/story.php?story_fbid=242871733734578&id=105368190818267
Corky Messner for Senate,,2020-04-28 14:37:00,"Our ""Granite State Conversations"" tour returns to the Seacoast with tonight's Tele-Town Hall at 6:30PM!  Dial-In From Home: 603-506-4097 RSVP:",5,5,,,,,,,242807767074308,/story.php?story_fbid=242807767074308&id=105368190818267
