source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Kevin O'Connor for US Senate,,2020-05-01 10:37:50,In honor of Military Appreciation Month I wanted to share some of my favorite photos of my favorite people. I am proud to come from a strong family with members in multiple branches of the military. We should show our appreciation for their service everyday.,24,19,,5,,,,,145065187068859,/story.php?story_fbid=145065187068859&id=104346771140701
Kevin O'Connor for US Senate,,2020-04-28 09:28:46,"This year in particular, our health care workers are the real heroes. Thank you for all the work you are doing during this pandemic. #NationalSuperheroDay",49,46,,3,,,,,144002927175085,/story.php?story_fbid=144002927175085&id=104346771140701
Kevin O'Connor for US Senate,,2020-04-25 15:40:47,Please SHARE!  Haven’t signed for Kevin yet? ELECTRONIC SIGNATURES ARE NOW ACCEPTED. Would you please consider going to www.nominateKOC.com and signing so Kevin can make the ballot?,43,43,,,,,,,143063843935660,/story.php?story_fbid=143063843935660&id=104346771140701
Kevin O'Connor for US Senate,,2020-04-23 20:06:58,We wish everyone observing Ramadan a bright and blessed month!,13,13,,,,,,,142426907332687,/story.php?story_fbid=142426907332687&id=104346771140701
Kevin O'Connor for US Senate,,2020-04-23 12:14:15,My condolences and prayers go out to Senator Warren and her family for the loss of her brother.,34,31,2,1,,,,,142308724011172,/story.php?story_fbid=142308724011172&id=104346771140701
"Kevin O'Connor for US Senate,State Representative David Muradian",,2020-04-23 09:37:38,"Thanks, State Representative David Muradian!To all of my Republican and Unenrolled friends, Kevin O'Connor is a candidate for U.S. Senate and needs your help. In order to get on the ballot he needs 5,000 certified signatures. As you can imagine, that is quite challenging in the current environment. The Massachusetts Supreme Judicial Court has ruled that ELECTRONIC SIGNATURES ARE NOW ACCEPTED. Would you please consider going to www.nominateKOC.com and signing so Kevin can make the ballot? Your signature is not a declaration of support, it just ensures that a candidate looking to run can make the required signature threshold in a difficult environment to get signatures through traditional methods. Thanks! Www.nominateKOC.com",14,14,,,,,,,142250254017019,/story.php?story_fbid=142250254017019&id=104346771140701
Kevin O'Connor for US Senate,,2020-04-23 08:00:15,I am joining Ed Lambert on 95 WXTK next! Tune in! https://95wxtk.iheart.com/,14,14,,,,,,,142211577354220,/story.php?story_fbid=142211577354220&id=104346771140701
"Kevin O'Connor for US Senate,Lew Evangelidis",,2020-04-22 22:21:23,"Thanks, Sheriff Lew!To all my Republican and Independent friends. Due to the Coronavirus pandemic and the necessity for social distancing, the Massachusetts Supreme Judical Court recently ruled that electronic signatures are acceptable for candidates running for elected office. If you would like to see a Republican on the ballot in November for U.S. Senate, please take 30 seconds to electronically sign this nomination paper for my friend Kevin O'Connor. I know Kevin would really appreciate your help. Thank you! 🇺🇸",14,14,,,,,,,142081270700584,/story.php?story_fbid=142081270700584&id=104346771140701
"Kevin O'Connor for US Senate,Joe McKenna",,2020-04-22 16:55:19,"Thank you, Rep. Joe McKenna!Hi friends, I've had the chance on several occasions to meet Kevin O'Connor, the Republican candidate running for US Senate in MA. I have been very impressed with his passion and vision for MA. Now he needs our help!  Please take 20-30 seconds to digitally sign his nomination papers by clicking on this link:   www.nominateKOC.com He needs 5,000 certified signatures in order to appear on the ballot, and digital signatures are now allowed!   (This is not a declaration of support, and your name is anonymous, it just ensures that democracy goes on amid COVID-19.) Again, this takes 20-30 seconds and will give MA voters the choice for a positive new direction from our Federal delegation this fall. Stay safe and thank you!",20,20,,,,,,,142015570707154,/story.php?story_fbid=142015570707154&id=104346771140701
"Kevin O'Connor for US Senate,State Representative Hannah Kane",,2020-04-22 16:35:16,"Thank you, State Representative Hannah Kane!Kevin O'Connor, the Republican candidate for U.S. Senate needs your help. In order to get on the ballot he needs 5,000 certified signatures. As you can imagine, that is quite challenging in the current environment. The Massachusetts Supreme Judicial Court has ruled that ELECTRONIC SIGNATURES ARE NOW ACCEPTED. Would you please consider going to www.nominateKOC.com and signing so Kevin can make the ballot? Your signature is not a declaration of support, it just ensures that a candidate looking to run can make the required signature threshold in a difficult environment to get signatures through traditional methods. Thanks! Www.nominateKOC.com",22,20,,2,,,,,142012834040761,/story.php?story_fbid=142012834040761&id=104346771140701
