source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Gary Peters,,2020-05-01 14:17:22,The vast accomplishments of the Class of 2020 deserve to be celebrated. It may look a little different this year but the celebrations will go on. Congratulations to all!,30,24,,7,,,,,10157471645858789,/story.php?story_fbid=10157471645858789&id=6713653788
Gary Peters,,2020-04-30 11:40:11,We're in this together. Every day Michiganders prove how strong we are.,65,52,1,10,1,,,,10157467048503789,/story.php?story_fbid=10157467048503789&id=6713653788
Gary Peters,,2020-04-30 15:22:07,"Okay, team. We’re on track to have our best month of online fundraising to date. I want to cross the finish line, so for every $5K we raise, I’ll post a new motorcycle photo in the comments. Here’s a freebie of my dad and me, and here’s your link to donate: https://secure.actblue.com/donate/peters_email?refcode=20200430_GCP_FB",62,52,2,7,,,1,,10157467718723789,/story.php?story_fbid=10157467718723789&id=6713653788
Gary Peters,,2020-04-25 17:55:11,We all have to come together to get through this pandemic -- that’s exactly what’s happening in this case. We teamed up with military and health care workers to form the TCF Center field hospital to make sure we control the spread of this disease.,77,67,1,7,,,2,,10157450635273789,/story.php?story_fbid=10157450635273789&id=6713653788
Gary Peters,,2020-04-25 12:29:55,Thank you to the brave men and women of the Michigan National Guard!,145,132,,12,,,1,,10157449389893789,/story.php?story_fbid=10157449389893789&id=6713653788
Gary Peters,,2020-04-24 19:19:08,I joined Senator Debbie Stabenow  and Congressman Dan Kildee for the #SupportFlintGenesee Webinar. Every community needs to know what we are confronting while fighting COVID-19.,122,105,5,10,1,,1,,10157447000268789,/story.php?story_fbid=10157447000268789&id=6713653788
Gary Peters,,2020-04-28 19:15:55,"“Don’t just talk about it. Be about it.”  What a powerful sentiment that Tom embodied. His activism and community involvement in Detroit was meaningful to so many people, and I’m heartbroken to hear about his passing.",283,50,,9,1,223,,,10157461356498789,/story.php?story_fbid=10157461356498789&id=6713653788
Gary Peters,,2020-04-29 16:38:29,It's critical that money from the Paycheck Protection Program goes to the small businesses that need it most. That's why I'm calling for an investigation into how the first round of funds were distributed.,192,173,3,14,1,1,,,10157464580318789,/story.php?story_fbid=10157464580318789&id=6713653788
Gary Peters,,2020-04-24 12:58:51,Our veterans put their lives on the line in service to our nation. It's common sense that they should receive their stimulus checks automatically.,64,57,1,6,,,,,10157445774213789,/story.php?story_fbid=10157445774213789&id=6713653788
Gary Peters,,2020-04-24 10:03:30,These are the stories that bring a smile to my face even in the hardest of times. Have you found an uplifting message in your neighborhood? Let me know in the comments!,41,33,1,6,1,,,,10157445243198789,/story.php?story_fbid=10157445243198789&id=6713653788
Gary Peters,,2020-04-20 12:01:19,My heart breaks for Skylar and her family. Behind the numbers on the news are lives that have been irreparably changed.,344,39,,2,2,300,1,,10157430893093789,/story.php?story_fbid=10157430893093789&id=6713653788
Gary Peters,,2020-04-11 11:05:53,"Okay, time to spread some joy -- it's National Pet Day! Here's how Lucy and Sophie are celebrating this Caturday. What are your pets up to today?",252,197,2,52,1,,,,10157398366073789,/story.php?story_fbid=10157398366073789&id=6713653788
Gary Peters,,2020-04-17 21:06:37,In the hardest times the human spirit rises to the challenge.,101,82,,19,,,,,10157421001013789,/story.php?story_fbid=10157421001013789&id=6713653788
Gary Peters,,2020-04-08 16:17:37,Make sure you stay vigilant for online scams as we work to care for each other during these trying times.,42,26,,,2,4,10,,10157389313513789,/story.php?story_fbid=10157389313513789&id=6713653788
Gary Peters,,2020-04-10 21:25:45,Our heroes are fighting on the front lines. We should make sure they get hazard pay.,198,167,4,26,,,1,,10157396744313789,/story.php?story_fbid=10157396744313789&id=6713653788
