source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Yana for Wyo,1 Million Women",,2020-05-01 00:13:33,We are being given the opportunity to stitch a new garment. 🌱,16,10,,6,,,,,563675434524453,/story.php?story_fbid=563675434524453&id=337963610428971
Yana for Wyo,,2020-05-01 21:52:20,Criminal justice reform now.,3,3,,,,,,,563285577896772,/story.php?story_fbid=563285577896772&id=337963610428971
"Yana for Wyo,Michelle Hutt,COVID-19 Community Needs | Laramie",,2020-04-30 17:28:23,"Please don't be this jerk. Servers make less than minimum wage unless you tip them. Folks are putting themselves at risk to bring you your food. Please treat them like human beings who deserve both respect AND to be able to feed themselves.Last night as we were waiting curbside at Born in A Barn, we witnessed the waiter deliver food, CURBSIDE to a large SUV.  As he was walking away, he was shaking his head and chuckling.  We rolled our window down and offered him encouragement and that although he looked exhausted, he was doing a great job running food curbside.  He shared with us that he just delivered $80 worth of food CURBSIDE to that SUV and they didn’t tip him.  He stated that he was still working off of server wages and people just aren’t tipping right now.  When I paid (earlier) I gave a 30% tip and to know that others who are blessed and have the funds to eat “out” during this time are not (especially on an $80 ticket) was heartbreaking.  We covered the tip for that $80 ticket and hope and pray that whomever was in that SUV pays in forward, some how, some way, in the future.  Please remember our servers during this time!  While they’re putting food on our tables (at home), let’s make sure they have enough to put food on their tables too.",20,17,,,3,,,,562501927975137,/story.php?story_fbid=562501927975137&id=337963610428971
,,2020-04-30 14:10:26,"Yana talks about the post office in particular, and the move to privatize all the things in general.",10,5,,4,,1,,,863982477401081,/story.php?story_fbid=863982477401081&id=337963610428971
Yana for Wyo,,2020-04-30 08:55:26,"Join Yana at 12:30 today for our Thursday FB live on why killing the Post Office is a terrible, bad, no good idea, and on Sunday for our 1pm Town Hall looking at the 3 Core Questions that drive our campaign.",1,,,1,,,,,562249404667056,/story.php?story_fbid=562249404667056&id=337963610428971
Yana for Wyo,,2020-04-28 15:46:14,My interview with Destiny. This was fun. https://www.youtube.com/watch?v=aLQUuui7ThA,17,12,,4,1,,,,561168531441810,/story.php?story_fbid=561168531441810&id=337963610428971
Yana for Wyo,,2020-04-28 09:29:44,Jackie Grimes started this petition for Wyoming to use mail in ballots.  Will you join me in signing?,11,10,,1,,,,,560979708127359,/story.php?story_fbid=560979708127359&id=337963610428971
Yana for Wyo,,2020-04-26 16:15:58,"Student loan forgiveness Town Hall.  Note that Yana misread her own notes at one point and said $4.5B instead of $4.5T. Her comment makes a lot more sense with the right number! Here's a quote from the Common Dreams articel she got hat number from: ""More than $4 trillion of that estimate is predicated on using $454 billion of CARES Act money to back Federal Reserve-based corporate loans. The Fed has the magical power to leverage, or multiply, money it receives from the Treasury up to 10 times over. In the end, according to the president, that could mean $4.5 trillion in support for big banks and corporate entities versus something like $1.4 trillion for regular Americans, small businesses, hospitals, and local and state governments. That 3.5 to 1 ratio signals that, as in 2008, the Treasury and the Fed are focused on big banks and large corporations, not everyday Americans.""",15,10,,1,1,,3,,559813351577328,/story.php?story_fbid=559813351577328&id=337963610428971
Yana for Wyo,,2020-04-26 12:01:37,Yana's Town Hall today at 1pm is on student loan forgiveness. Tune in with your questions and stories! https://us02web.zoom.us/j/8480420625,1,1,,,,,,,559690488256281,/story.php?story_fbid=559690488256281&id=337963610428971
Yana for Wyo,,2020-04-23 19:09:16,"This was a fun interview with the Rocket Miner staff. I really appreciate that we were able to have conversations about a lot of real stuff for Wyoming. What does freedom mean, what are the big issues that are ""up"" right now and why is Yana a good match with the current moment? It's all in here.",10,9,,1,,,,,557922555099741,/story.php?story_fbid=557922555099741&id=337963610428971
