source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Abby Broyles,,2020-04-30 11:00:29,"Even fellow Republicans know @jiminhofe is out of touch and his ideas are bad for Oklahoma - they won’t take his side on policy, on mocking the pandemic or selling $400k in stock. #votethemout #insidertrading https://www.tulsaworld.com/opinion/columnists/ernest-istook-inhofes-imported-oil-tariff-is-a-bad-idea-and-it-wont-work/article_b2f8c36f-e4e9-5388-9400-37e5560b6a69.html",141,131,1,7,2,,,,3031845716896393,/story.php?story_fbid=3031845716896393&id=582293558518300
Abby Broyles,,2020-04-29 16:58:19,No one should have to risk their life to exercise their right to vote.  https://medium.com/@abbybroylesforsenate/oklahomans-shouldnt-have-to-risk-their-lives-to-exercise-their-right-to-vote-d8cd0f44f15c,100,89,,10,,,,,3030149717065993,/story.php?story_fbid=3030149717065993&id=582293558518300
Abby Broyles,,2020-04-29 11:42:12,"Unbelievable and jaw dropping - with all his praise of loaning money, Jim Inhofe hasn't said a word about this $500M Fed loan program WITHOUT restrictions on executive compensation or stock buybacks - something that applies to other federal loans. https://www.washingtonpost.com/business/2020/04/28/federal-reserve-bond-corporations/",264,82,,1,27,4,150,,3029599047121060,/story.php?story_fbid=3029599047121060&id=582293558518300
Abby Broyles,,2020-04-24 21:12:11,Please take a moment to thank all of the healthcare workers who are risking their lives everyday in the fight against Coronavirus.,99,80,,19,,,,,3018983071515991,/story.php?story_fbid=3018983071515991&id=582293558518300
Abby Broyles,,2020-04-23 14:05:33,The National Organization for Women endorsed Abby along with the five other candidates they believe will FLIP THE SENATE!!!,127,93,,32,2,,,,3015781668502798,/story.php?story_fbid=3015781668502798&id=582293558518300
Abby Broyles,,2020-04-23 12:21:34,Huge News!!! The National Organization for Women endorsed our campaign today and labeled us one of the six campaigns that will Flip the Senate!,586,420,1,162,3,,,,3015567265190905,/story.php?story_fbid=3015567265190905&id=582293558518300
Abby Broyles,,2020-04-22 20:50:47,"Megan Mullally recorded an Earth Day video for our Zoom call today. Growing up in Oklahoma, she knows the challenges we face - and the fight we are in against the world's leading climate change deiner.",186,137,1,48,,,,,3013947708686194,/story.php?story_fbid=3013947708686194&id=582293558518300
Abby Broyles,,2020-04-22 14:38:42,"A dramatic reading from Jim Inhofe's book: The Greatest Hoax, How the Global Warming Conspircy Threatens Your Future - by Sara Moore, Research & Policy Director on the Abby Broyles for Senate Campaign",134,88,28,18,,,,,3013354625412169,/story.php?story_fbid=3013354625412169&id=582293558518300
Abby Broyles,,2020-04-21 22:09:38,"This is a very unusual campaign season, to say the least - we thought we'd take a moment and ask to hear from you, see how you're dealing with the 'new normal' of staying indoors. Head over to abbybroyles.com and share a video with us. Click on the ""Are you on Team Abby"" and share what's going on at your house. Let's have some fun for a change and not talk politics - come on Oklahoma, show us what you're doing. ~ Team Abby",121,117,,4,,,,,3011746125573019,/story.php?story_fbid=3011746125573019&id=582293558518300
Abby Broyles,,2020-04-19 10:12:04,"April 19th is one of the toughest days for anyone in Oklahoma. It's important that we remember the events of that morning that forever changed our state. It’s a time to remember the selfless acts of courage and bravery from so many who rushed towards the blast to help others. Please join us in a prayer or moment of silence to remember all who lost a loved one that morning, all who helped for the days and weeks after and all who are still hurting today.",208,131,1,22,1,52,1,,3006063729474592,/story.php?story_fbid=3006063729474592&id=582293558518300
Abby Broyles,,2020-04-16 10:51:53,22 million people have lost their job since the virus - the focus should be on helping ALL Americans.,78,61,,3,2,12,,,2999106276837004,/story.php?story_fbid=2999106276837004&id=582293558518300
Abby Broyles,,2020-04-15 11:18:13,Great read about how out of touch Jim Inhofe is - another example of why it's so important we win in November!  Please share.,322,304,2,10,3,,3,,2996843660396599,/story.php?story_fbid=2996843660396599&id=582293558518300
Abby Broyles,,2020-04-14 22:08:01,"Last week, our campaign released my plan restart the economy after COVID-19. Please share and then visit our Medium page for more plans.",73,71,,2,,,,,2995662747181357,/story.php?story_fbid=2995662747181357&id=582293558518300
Abby Broyles,,2020-04-14 19:39:42,Let's show Jim Inhofe how we mobilize - share and invite your friends to like our page tonight!,206,201,,4,1,,,,2995451327202499,/story.php?story_fbid=2995451327202499&id=582293558518300
Abby Broyles,,2020-04-13 13:00:37,It's time for forward thinking and a new generation of leadership in the U.S. Senate. Share the journey of Abby filing for office to take on Jim Inhofe!,372,300,1,70,,,1,,2992575397490092,/story.php?story_fbid=2992575397490092&id=582293558518300
Abby Broyles,,2020-04-12 13:35:28,Resurrection Sunday looked very different this year — many of us watching services online. Missing family & friends. We’ve had a lot of dark days recently. But today represents new beginnings. Hope. Renewal. Brighter days are ahead. Listening to the Hallelujah Chorus being played in my empty church sounded beautiful as ever. Happy Easter from my family to yours. -AB,132,110,,22,,,,,2990391064375192,/story.php?story_fbid=2990391064375192&id=582293558518300
Abby Broyles,,2020-04-10 19:17:05,Something we all could use right now.,154,125,,28,,,1,,2986392254775073,/story.php?story_fbid=2986392254775073&id=582293558518300
Abby Broyles,,2020-04-10 10:29:47,“Broyles said Thursday that Oklahomans following the news during the pandemic were almost as scared by the lack of leadership as by the pandemic itself.” - Please share with your friends!,626,475,,148,2,1,,,2985509714863327,/story.php?story_fbid=2985509714863327&id=582293558518300
,,2020-04-09 22:21:11,"Today was a big day. I filed my paperwork to run for the United States Senate. Taking on an incumbent who’s been in elected office for over half a century is no easy task. I’m ready to take on the challenge. My team and I have been working hard. These are extraordinary times, and I wish I could have shared today’s experience with family and friends. But when I filed for office today, I thought of all the incredible supporters we have across the state — people I look forward to seeing in person before long. I’m honored to have the opportunity to go and work for every Oklahoman. I’m honored to have a chance to be the first woman elected to the U.S. Senate from our state and let every little girl in Oklahoma know she can do the same. I hope to earn your vote. Every generation is asked to lead, and it’s my generation’s time. Keep your family home and healthy — we’ll talk soon.  -AB",1.1K,880,2,280,,,,,2984462331634732,/story.php?story_fbid=2984462331634732&id=582293558518300
Abby Broyles,,2020-04-09 21:17:31,,83,72,,11,,,,,2984366704977628,/story.php?story_fbid=2984366704977628&id=582293558518300
Abby Broyles,,2020-04-09 18:51:33,Great article from the Tulsa World.,471,373,2,96,,,,,2984115978336034,/story.php?story_fbid=2984115978336034&id=582293558518300
Abby Broyles,,2020-04-09 09:50:06,Today is the day we officially file - it's time to imagine what's possible!,508,415,,93,,,,,2983148201766145,/story.php?story_fbid=2983148201766145&id=582293558518300
Abby Broyles,,2020-04-08 23:15:24,Tell us again how the Chairman of the Senate Armed Services committee was unaware the Coronavirus was about to devastate our country and shut down our economy???,221,156,1,,16,4,44,,2982268411854124,/story.php?story_fbid=2982268411854124&id=582293558518300
Abby Broyles,,2020-04-08 09:42:32,"Now we know why Jim led the charge to support the NRA on Monday — he's worried about his PAC check. It's always about the money for Jim, always.",216,184,6,19,4,1,2,,2980949265319372,/story.php?story_fbid=2980949265319372&id=582293558518300
Abby Broyles,,2020-04-08 00:36:56,DOJ investigating Jim Inhofe stock sale.,355,305,2,41,4,,3,,2980202998727332,/story.php?story_fbid=2980202998727332&id=582293558518300
Abby Broyles,,2020-04-07 16:09:57,"Today, our campaign called on Jim Inhofe's friend to recuse himself from the stock sale investigation. Share if you agree.",169,165,,4,,,,,2979534575460841,/story.php?story_fbid=2979534575460841&id=582293558518300
Abby Broyles,,2020-04-06 16:31:06,The Broyles campaign today questioned why Jim Inhofe ignored a dire warning from the U.S. Army on the estimated death toll from COVID-19 and the coronavirus - in early February?,193,156,,13,6,4,14,,2977459582335007,/story.php?story_fbid=2977459582335007&id=582293558518300
Abby Broyles,,2020-04-05 14:22:10,The Violence Against Women Act was reauthorized in the House over a year ago -it's been sitting on the desks of Jim Inhofe and Mitch McConnell ever since. Now is the time for action.,142,86,,,,23,33,,2975152762565689,/story.php?story_fbid=2975152762565689&id=582293558518300
Abby Broyles,,2020-04-03 15:49:27,"This is a serious time, and we need serious leadership. We don’t have time for a senator flying his plane upside down and trying to shake hands with reporters in the middle of a pandemic. It’s time for a change in leadership. Read about my plans & policies here: https://medium.com/@abbybroylesforsenate",372,319,1,52,,,,,2970916159656016,/story.php?story_fbid=2970916159656016&id=582293558518300
Abby Broyles,,2020-04-02 23:02:52,"Thank you to the Tulsa Press Club for hosting a great discussion tonight & to everyone who joined us! As I said earlier, we’ll get through this - Oklahomans are resilient. -AB",81,76,,5,,,,,2969356823145283,/story.php?story_fbid=2969356823145283&id=582293558518300
Abby Broyles,,2020-04-02 10:05:26,,74,67,,7,,,,,2968144559933176,/story.php?story_fbid=2968144559933176&id=582293558518300
Abby Broyles,,2020-04-01 19:32:43,"Politics & Policies: Join the Tulsa Press Club's livestream event tomorrow night, April 2nd, at 6pm! Abby will share her policy platforms, campaign updates, and answer YOUR questions during the live interview with the Tulsa Press Club. RSVP below and see you tomorrow!",65,59,,6,,,,,2966941783386787,/story.php?story_fbid=2966941783386787&id=582293558518300
Abby Broyles,,2020-03-31 11:19:15,Be sure to join us for the End of Quarter Zoom Call. Sign up at the link below:,6,6,,,,,,,2963891270358505,/story.php?story_fbid=2963891270358505&id=582293558518300
Abby Broyles,,2020-03-30 22:01:32,Join Abby tomorrow night for a Zoom Call. Click below to join.,15,14,,1,,,,,2962765843804381,/story.php?story_fbid=2962765843804381&id=582293558518300
Abby Broyles,,2020-03-27 20:39:38,"I'm running for the United States Senate because I believe in the people of Oklahoma. We step up in times of crisis and look out for each other. Right now, people are struggling, and we're going to do what we do best: come together and support each other. That's why my team has compiled a list of resources available across Oklahoma if you need help or know someone who does. There are lots of opportunities to give back to our communities -- if you'd like to add a non-profit's website we haven't listed, feel free to do so in the comments. -AB",225,206,,19,,,,,2956101557804143,/story.php?story_fbid=2956101557804143&id=582293558518300
Abby Broyles,,2020-03-26 15:17:49,Just in case you forgot who Jim Inhofe pals around with...,164,86,1,1,4,2,70,,2953291588085140,/story.php?story_fbid=2953291588085140&id=582293558518300
Abby Broyles,,2020-03-25 23:32:40,Trevor gets it.,108,93,2,11,,,2,,2951833561564276,/story.php?story_fbid=2951833561564276&id=582293558518300
Abby Broyles,,2020-03-24 21:37:42,Ending each day writing thank you notes is a reminder during this difficult time of all the incredible support we have across Oklahoma. I miss the energy walking into a crowded room of people fired up about our campaign — those days will be here again. We’re all in this together 💪🏻.  -AB,198,176,,22,,,,,2949322121815420,/story.php?story_fbid=2949322121815420&id=582293558518300
Abby Broyles,,2020-03-24 16:10:59,New restrictions in place for Oklahoma. Details here. Stay home and stay safe.,81,73,1,1,1,2,3,,2948841888530110,/story.php?story_fbid=2948841888530110&id=582293558518300
Abby Broyles,,2020-03-24 09:51:55,"Jim Inhofe doesn't have a care in the world...He knew, but didn't tell us and sold stock. https://secure.actblue.com/donate/ab-website",181,131,1,2,3,1,43,,2948147585266207,/story.php?story_fbid=2948147585266207&id=582293558518300
Abby Broyles,,2020-03-22 12:08:52,"I saw this earlier this week from Adm. Bill McRaven, the man who oversaw the successful mission to find Osama Bin Laden. We are all in this together. Stay safe, stay vigilant and take care of yourselves and each other.",152,124,,28,,,,,2943981879016111,/story.php?story_fbid=2943981879016111&id=582293558518300
Abby Broyles,,2020-03-22 11:06:06,Are you following us on Twitter too?,81,80,,1,,,,,2943856725695293,/story.php?story_fbid=2943856725695293&id=582293558518300
Abby Broyles,,2020-03-20 21:11:21,"As I told the Tulsa ABC station in an interview today, most Oklahomans don't have $700,000 of stock to sell off. Our families are struggling during this crisis while Jim Inhofe is profiting. He claimed it was a coincidence that he sold off all that stock after a Senate briefing in January on the novel coronavirus outbreak. Unlike my opponent, I think Oklahomans are smart enough to see what's going on here.",530,319,12,12,4,3,180,,2940194579394841,/story.php?story_fbid=2940194579394841&id=582293558518300
Abby Broyles,,2020-03-20 12:22:58,"Recap: My opponent announced he’s running for re-election at age 85 from an upside down airplane, made fun of the coronavirus “hoax,” voted NO on the relief bill, then was implicated in the coronavirus stock scandal. Sold off up to $700,000 in stock after a private briefing about the pandemic. Ready to join our campaign now? abbybroyles.com #InsiderTrading",662,435,2,26,11,6,182,,2939385409475758,/story.php?story_fbid=2939385409475758&id=582293558518300
Abby Broyles,,2020-03-18 19:21:09,Jim Inhofe is playing political games with people’s lives.,401,335,2,50,3,3,8,,2935627363184896,/story.php?story_fbid=2935627363184896&id=582293558518300
Abby Broyles,,2020-03-18 17:39:41,"My opponent voted NO today on the bipartisan coronavirus relief bill, which will provide desperately needed resources for Oklahoma families. My full statement below:",484,302,1,11,18,10,142,,2935463123201320,/story.php?story_fbid=2935463123201320&id=582293558518300
Abby Broyles,,2020-03-18 12:17:53,"It’s our job to do everything we can to prevent community spread, just like it’s Washington’s job to give scientists and healthcare workers everything they need to take care of people. It doesn’t work if we don’t do our part every day. coronavirus.health.ok.gov",70,69,,1,,,,,2934901193257513,/story.php?story_fbid=2934901193257513&id=582293558518300
Abby Broyles,,2020-03-17 20:43:35,"I'm not laughing or making jokes about this pandemic - read, share and join our campaign!",60,58,,2,,,,,2933279943419638,/story.php?story_fbid=2933279943419638&id=582293558518300
Abby Broyles,,2020-03-17 18:39:51,"No matter how many social media posts his staff puts out, it’s clear that when their boss speaks he is out to lunch regarding the Coronavirus.",207,106,2,1,17,10,71,,2933110880103211,/story.php?story_fbid=2933110880103211&id=582293558518300
Abby Broyles,,2020-03-17 17:41:17,"Proud of the proactive steps by the City of Tulsa to protect against community spread of COVID-19. You can read more about the closures here. Grateful for the leadership of Mayor G.T. Bynum. These closures do not affect grocery stores, and remember you can order takeout or delivery from local restaurants.",57,56,,1,,,,,2933013400112959,/story.php?story_fbid=2933013400112959&id=582293558518300
Abby Broyles,,2020-03-17 17:22:56,"Important announcement from the City of OKC impacting bars, gyms, theaters and restaurants. Times are not easy on anyone, but I'm proud of the leadership of Mayor David Holt and the City of Oklahoma City keeping our families safe. Cities across our state are taking similar measures. It's going to be quite some time before we return to ""normal."" Please take this time to check on your elderly neighbors, small business owners, healthcare professionals, and hourly workers, just to name a few. There's a long road ahead. -AB",45,44,,1,,,,,2932985403449092,/story.php?story_fbid=2932985403449092&id=582293558518300
,,2020-03-16 20:31:18,,194,157,,37,,,,,207268620481399,/story.php?story_fbid=207268620481399&id=582293558518300
Abby Broyles,,2020-03-16 17:59:17,Facebook friends - tonight at 7:30 we’ll be doing a Facebook live to address the coronavirus and more. Submit your questions via Facebook messenger and we’ll see you at 7:30!,172,158,1,13,,,,,2930847410329558,/story.php?story_fbid=2930847410329558&id=582293558518300
Abby Broyles,,2020-03-16 15:10:10,"Our campaign began cancelling in-person events over the weekend, and we encourage everyone to continue social distancing. We will be having some virtual town halls and will post updates here. Over the past 24 hours, I’ve talked to my family, friends in healthcare, education & law enforcement, to name a few. One thing we can all do is check on our people. Stay strong, folks. We’ll get through this together. -AB",163,158,,5,,,,,2930583500355949,/story.php?story_fbid=2930583500355949&id=582293558518300
Abby Broyles,,2020-03-14 17:05:34,,311,269,,41,1,,,,2926452747435691,/abbybroylesforsenate/photos/a.582295385184784/2926452747435691
