source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Allen Waters for U.S. Senate,,2020-05-02 01:45:46,"Of course, when you wear a mask you are much more likely to touch your face taking your mask on and off, and adjusting it. So, wearing a mask probably increases your risk of catching Coronavirus. But, for Governors like Raimondo and Baker it's all about control. They can't prevent people from dying, but they can prevent people from living. And, they are doing just that. If maybe 99.5% of people who are infected with Coronavirus will live, how can we cure ourselves of tyrannical Governors? Governors Gina Raimondo and Charlie Baker are way more dangerous to the people than Coronavirus. I am 64, and in elementary school, I missed having to get under my desk to protect me from a nuclear blast. Wearing masks are the 2020 equivalent of foolish government solutions.",9,9,,,,,,,2641031212885818,/story.php?story_fbid=2641031212885818&id=1527563887565895
Allen Waters for U.S. Senate,,2020-05-01 21:40:23,"So many Rhode Islanders think that oppression  is a good job. In time, many will change. I hope when that time comes it is not too late to save us all from economic destruction that awaits most of us because our government chose to force us to shelter instead of fight.",40,38,,2,,,,,2640892422899697,/story.php?story_fbid=2640892422899697&id=1527563887565895
Allen Waters for U.S. Senate,,2020-05-01 21:33:21,We must struggle to save our state.,18,18,,,,,,,2640888302900109,/story.php?story_fbid=2640888302900109&id=1527563887565895
Allen Waters for U.S. Senate,,2020-05-01 15:27:42,Take Rhode Island back. #ReopenRI,113,95,,17,1,,,,2640678629587743,/story.php?story_fbid=2640678629587743&id=1527563887565895
Allen Waters for U.S. Senate,,2020-05-01 14:18:23,Thoughts of liberty that are so easily lost when freedom is taken by a tyrannical government. More Rhode Islanders are now aware today of their rights under the Constitution. Never be ashamed of being a patriot.  Join and donate to our grassroots campaign to elect Allen Waters for U.S. Senate (R) in Rhode Island: WatersforSenate.com,156,131,3,22,,,,,2640629912925948,/story.php?story_fbid=2640629912925948&id=1527563887565895
"Allen Waters for U.S. Senate,USCCA",,2020-03-31 15:29:31,"As the next U.S. Senator for Rhode Island, I support the 2nd Amendment that backs our God given right to defend ourselves.  If you agree join my campaign and make a donation: WatersforSenate.com Comments: Info@WatersforSenate.comYou protect your loved ones, but if you defend them with a gun, who protects you? A USCCA Membership protects you with the best training and legal protection in the country. For only $22 a month you can have access to:  ⚖️ Full legal support  ⏱24/7 Support teams 💼 Training with full access to our online video library 📚Gun laws and gun safety education for YOUR state",7,7,,,,,,,2640562896265983,/story.php?story_fbid=2640562896265983&id=1527563887565895
Allen Waters for U.S. Senate,,2020-05-01 06:03:46,"Let Rhode Island Have Its Big Summer Events! Paul Anthony: So Allen, your position is to just have these events anyway regardless? Or are you insinuating that the governor’s decision to not hold these events over the summer is somehow draconian? Allen Waters for U.S. Senate (R-RI): Regardless of what, Paul Anthony? A Coronavirus pandemic? A Coronavirus pandemic in which the government can't really save anyone because there's no cure? But, fortunately, the infection fatality rate, in some domestic and foreign studies to be in the range of 1/2 of 1%?  So, the Governor has the unilateral power to commit economic devastation on the citizens of Rhode Island, when wonderfully, 99.5% are probably not going to die anyway? That's crazy!  She is off the chain and out the yard. Let my people of Rhode Island people go! People are running scared of the Covid-19 boogeyman, brother. The masked men and women of RI in the fresh air when no one is even close. Not my type of leadership. I believe there is great hope in 95.5% living.  Community immunity is going to happen whether Gov. Raimondo likes it or not. It's a pandemic, and tragically, people are going to die, but the blessed 99%+ will probably live.  But, what will be left of the Rhode Island 99+% when the war against Covid-19 is won? Our own Army, the state government, blew many of us up when it couldn't stop the unseen enemy. Collateral damage against it's own. Now, so many thousands of Rhode Islanders who were doing okay, at least surviving, living their lives, will have nothing, losing businesses, jobs, home, kids aren't getting educated, etc., while Governor Raimondo issues more edicts at her Press Conferences. Enough already. When the smoke clears, Governor Raimondo's supporters will understand what damage she did for the 1/2 of 1% that she could not save anyway because she is not God. Troubling.  The Raimondo administration keeps me up at night. Let the people party in RI this summer. It shouldn't really matter. Their odds of living are pretty damn good. Pray for the rest.  The people  must move forward, come out of our foxholes and bunkers, face the enemy, and get back to work. Join our grassroots campaign. Donate online: WatersforSenate.com",55,46,,9,,,,,2640261979629408,/story.php?story_fbid=2640261979629408&id=1527563887565895
Allen Waters for U.S. Senate,,2020-04-30 22:07:21,"Coronavirus and Whipped Cream  On the lighter side, we still can't whipped cream on our frozen lemonade at Chick-fil-A because the plastic dome cup top has a big straw hole and germs can get in. I kid you not. I took my teen daughters out for a cool treat this evening, and I am a whipped cream on top of my drink kind of guy. Maybe next time.",22,10,4,,5,1,2,,2640009072988032,/story.php?story_fbid=2640009072988032&id=1527563887565895
Allen Waters for U.S. Senate,,2020-04-30 20:48:31,"I'm an independent voter. Are you in lockstep with the president? What would be different about your service compared to Mr. Reed's? Steven Clary, Well, to start, I am neither a socialist nor a crony capitalist. We should end corporate welfare; not that type of Republican. I believe in the principles of free enterprise, personal freedom, limited government, personal property rights, a strong national defense, and a strong personal defense as backed by the 2nd Amendment.  I support the search for fiscally responsible policies like a balanced budget Amendment to the Constitution, and reducing the nation's debt.  I am most concerned with waste, fraud, abuse and corruption of the political class. I support term limits, and getting big money out of our politics.  I am personally pro life, not interested in challenging Roe vs. Wade, but unlike Senator Jack Reed, I believe we should protect the unborn from late term abortion.  A donor wrote me recently telling that Jack Reed hasn't helped the veterans in D.C.; I will.",28,28,,,,,,,2639964732992466,/story.php?story_fbid=2639964732992466&id=1527563887565895
Allen Waters for U.S. Senate,,2020-04-30 15:58:23,"Let Rhode Island Have Its Big Summer Events! Paul Anthony: So Allen, your position is to just have these events anyway regardless? Or are you insinuating that the governor’s decision to not hold these events over the summer is somehow draconian? Allen Waters for U.S. Senate (R-RI): Regardless of what, Paul Anthony? A Coronavirus pandemic? A Coronavirus pandemic in which the government can't really save anyone because there's no cure? But, fortunately, the infection fatality rate, in some domestic and foreign studies to be in the range of 1/2 of 1%?  So, the Governor has the unilateral power to commit economic devastation on the citizens of Rhode Island, when wonderfully, 99.5% are probably not going to die anyway? That's crazy!  She is off the chain and out the yard. Let my people of Rhode Island people go! People are running scared of the Covid-19 boogeyman, brother. The masked men and women of RI in the fresh air when no one is even close. Not my type of leadership. I believe there is great hope in 95.5% living.  Community immunity is going to happen whether Gov. Raimondo likes it or not. It's a pandemic, and tragically, people are going to die, but the blessed 99%+ will probably live.  But, what will be left of the Rhode Island 99+% when the war against Covid-19 is won? Our own Army, the state government, blew many of us up when it couldn't stop the unseen enemy. Collateral damage against it's own. Now, so many thousands of Rhode Islanders who were doing okay, at least surviving, living their lives, will have nothing, losing businesses, jobs, home, kids aren't getting educated, etc., while Governor Raimondo issues more edicts at her Press Conferences. Enough already. When the smoke clears, Governor Raimondo's supporters will understand what damage she did for the 1/2 of 1% that she could not save anyway because she is not God. Troubling.  The Raimondo administration keeps me up at night. Let the people party in RI this summer. It shouldn't really matter. Their odds of living are pretty damn good. Pray for the rest. We have to move forward, come out of our foxholes and bunkers, face the enemy, and get back to work. Join our grassroots campaign. Donate online: WatersforSenate.com",38,31,,6,1,,,,2639794056342867,/story.php?story_fbid=2639794056342867&id=1527563887565895
Allen Waters for U.S. Senate,,2020-04-30 04:18:05,"As the next U.S. Senator from R.I. replacing Jack Reed, a primary role of our government is to protect the American people from external threat. We must stay tough on China.",211,183,,28,,,,,2639268636395409,/story.php?story_fbid=2639268636395409&id=1527563887565895
