source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Ben-David U.S. Senate 2020,,2020-05-02 12:05:30,Want to help spread the word about my campaign? Tag a friend you think should volunteer with us! #voteMerav #WyoDems #forthefutureofwyoming,1,1,,,,,,,146466750207777,/story.php?story_fbid=146466750207777&id=112903096897476
Ben-David U.S. Senate 2020,,2020-05-01 10:35:02,"In so many places around the world, people are looking outside to a city they don't recognize. In #Wyoming, I feel fortunate that our open spaces and #publiclands keep Wyoming looking like Wyoming, even in the time of #socialdistance. What do you have planned for your next adventure when everything is open again? #forthefutureofwyoming #covid19wy #votemerav #wyoming",3,3,,,,,,,146248653562920,/story.php?story_fbid=146248653562920&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-30 17:42:00,Support Ben-David 2020 and enter the RAFFLE to WIN Dave the Polar Bear! More tickets = Better chance of winning! Winner will be drawn at the end of the campaign. Tickets can be purchased this this link or by clicking the photo https://secure.actblue.com/donate/polarbeardave,2,2,,,,,,,150271966493922,/story.php?story_fbid=150271966493922&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-30 16:00:12,Can I count on your support? Donate here: https://secure.actblue.com/donate/bendavid2020-1 #Votemerav #wyodems #forthefutureofwyoming,3,2,,1,,,,,146459330208519,/story.php?story_fbid=146459330208519&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-29 16:05:07,"We need your help, now more than ever! Join our growing group of volunteers to learn how you can help, no matter where you are: facebook.com/groups/611975796024549 #voteMerav #Wyodems #forthefutureofwyoming",1,1,,,,,,,146464866874632,/story.php?story_fbid=146464866874632&id=112903096897476
,,2020-04-29 12:01:31,,1,1,,,,,,,230268944871966,/events/230268944871966?view=permalink&id=230268954871965
Ben-David U.S. Senate 2020,,2020-04-26 19:12:42,"Here is your #socialdistancesunday reminder! As we move into another week, share this message with a friend, coworker, or family member! I'll see you all tonight at my Facebook Live Q&A! #covid19WY #wyoming #forthefutureofwyoming",,,,,,,,,146251443562641,/story.php?story_fbid=146251443562641&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-26 16:00:32,Can I count on your support? Donate here: https://secure.actblue.com/donate/bendavid2020-1 #Votemerav #wyodems #forthefutureofwyoming,,,,,,,,,146459003541885,/story.php?story_fbid=146459003541885&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-29 10:15:09,"No corner of our great state has been left untouched, but #Wyomingites are coming together like never before! How has your community surprised you? Let me know in the comments! #wyoming #covid19wy #forthefutureofwyoming #votemerav",1,1,,,,,,,146425236878595,/story.php?story_fbid=146425236878595&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-28 16:10:25,Can I count on your support? Donate here: https://secure.actblue.com/donate/bendavid2020-1 #Votemerav #wyodems #forthefutureofwyoming,5,5,,,,,,,146459166875202,/story.php?story_fbid=146459166875202&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-28 10:05:44,Did you know you can stay up to date on all things campaign related by signing up for our newsletter? It takes less than a minute! What are you waiting for? http://eepurl.com/gTooEf #votemerav #forthefutureofwyoming,4,4,,,,,,,146528650201587,/story.php?story_fbid=146528650201587&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-27 16:30:57,"Wyoming is a small town with long streets. I am grateful for high quality local news that has kept #wyomingites informed and up to date on the changes the world is experiencing every day. Thank you to WyoFile, Wyoming Public Radio & Media, Casper Star-Tribune, and the dozens of local news outlets around Wyoming that are with us every step of the way. How has local coverage helped you in the age of #coronavirus? #forthefutureofwyoming #covid19wy #votemerav #wyoming",4,4,,,,,,,146247910229661,/story.php?story_fbid=146247910229661&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-27 09:55:51,"Happy #MeetMeravMonday! Merav studies the effects of global change on a variety of animals including the effects of invasive lake trout on river otters in #Yellowstone Lake and population status and distribution of spotted skunks in #Wyoming. The campaign team likes to joke that Merav has a photo with every animal (even this skunk!), so leave a comment with your favorite, and Merav will try to find a photo with it! #forthefutureofwyoming #VoteMerav #ThatsWY",32,25,,7,,,,,147122546808864,/story.php?story_fbid=147122546808864&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-25 12:20:47,Want to help spread the word about my campaign? Tag a friend you think should volunteer with us! #voteMerav #WyoDems #forthefutureofwyoming,,,,,,,,,146466640207788,/story.php?story_fbid=146466640207788&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-24 15:18:19,,,,,,,,,,152649742922811,/story.php?story_fbid=152649742922811&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-24 10:10:40,"While it is hard to plan in uncertain times, thinking to the future can help us ensure that the problems we are facing today are better addressed moving forward. What can I do as U.S. Senator to help and protect you and your family now and in the future? #forthefutureofwyoming #covid19wy #votemerav #wyoming",,,,,,,,,146247223563063,/story.php?story_fbid=146247223563063&id=112903096897476
,,2020-04-26 20:33:45,,18,15,,3,,,,,1359964954205208,/story.php?story_fbid=1359964954205208&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-26 11:10:35,Last week 300 coal miners were laid-off in the Powder River Basin. Oil companies are expected to dismiss at least 100 of their workers in #Wyoming. The economic consequences are hard to predict without understanding of the rate at which stored oil will be used and the prospects of re-opening some of the wells. Our priority should be to protect our workers and their families. #forthefutureofwyoming,2,2,,,,,,,153191319535320,/story.php?story_fbid=153191319535320&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-26 10:30:28,Join us Tonight! SHARE! Tell us! What would you like to discuss?,2,2,,,,,,,153181802869605,/story.php?story_fbid=153181802869605&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-23 16:10:13,Can I count on your support? Donate here: https://secure.actblue.com/donate/bendavid2020-1 #Votemerav #wyodems #forthefutureofwyoming,,,,,,,,,146458766875242,/story.php?story_fbid=146458766875242&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-22 19:57:01,https://secure.actblue.com/donate/polarbeardave,,,,,,,,,150265253161260,/story.php?story_fbid=150265253161260&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-25 16:10:08,Did you know you can stay up to date on all things campaign related by signing up for our newsletter? It takes less than a minute! What are you waiting for? http://eepurl.com/gTooEf #votemerav #forthefutureofwyoming,1,1,,,,,,,146528486868270,/story.php?story_fbid=146528486868270&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-23 14:45:52,Merav Ben-David and the Ben-David 2020 campaign offer our deepest condolences to Senator Warren who lost her brother to COVID19. May he Rest In Peace.,8,5,,,,3,,,152295059624946,/story.php?story_fbid=152295059624946&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-22 10:20:43,#Wyomingites are resilient! What are you doing to stay sane and entertained? Let me know in the comments below! #wyoming #covid19wy #forthefutureofwyoming #votemerav,,,,,,,,,146424146878704,/story.php?story_fbid=146424146878704&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-21 16:56:00,Support Ben-David 2020 and have fun doing it!   https://secure.actblue.com/donate/polarbeardave,,,,,,,,,151135543074231,/story.php?story_fbid=151135543074231&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-23 10:15:32,"Future U.S. Senator Merav Ben David talks about working across the aisle to get the job done. The Sage Grouse Initiative is an amaxing example of sitting down to have a tough conversation that helps us build a better plan for all individuals and industries. We may disagree, but collaboration is key to long term successes! #votemerav #wyoming #publiclands #sagegrouseinitiative",9,8,,1,,,,,151187969735655,/story.php?story_fbid=151187969735655&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-22 19:24:53,"Great News!!! We only need to change the Hearts and Minds of 56,000 voters in Wyoming! We are often asked why run for office as a Democrat in Wyoming? It is such a red state! The reality - in Wyoming we need to reach relatively few people.  The graph displays the number of non-democratic voters needed to vote for a Democratic candidate, in order to win any of these Senate Seats. Wyoming Wins with the lowest number of non-Dem voters needed to convince! But - we still need YOUR help to win the hearts and minds of friends and neighbors. Spread the Word! #forthefutureofwyoming #wyodems #wyoming",22,19,,3,,,,,152034399651012,/story.php?story_fbid=152034399651012&id=112903096897476
Ben-David U.S. Senate 2020,,2020-04-22 16:10:08,"We need your help, now more than ever! Join our growing group of volunteers to learn how you can help, no matter where you are: facebook.com/groups/611975796024549 #voteMerav #Wyodems #forthefutureofwyoming",1,1,,,,,,,146464766874642,/story.php?story_fbid=146464766874642&id=112903096897476
