source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Dwayne ""Duke"" Buckner,Dwayne ""Duke"" Buckner",,2020-05-01 10:42:09,"Which is Sen. Lindsey Graham?  He was CENSURED by the Chesterfield, Charleston, Fairfield, Greenville, Pickens and Lexington county GOPs for taking positions contrary to the  platform of the Republican Party.  I will not.",11,10,,,,,,,244249343590944,/story.php?story_fbid=244249343590944&id=109576973724849
,,2020-04-24 17:12:47,"I was asked to speak at the Open Back Up South Carolina Rally at the State House grounds in Columbia, SC. today!  Now more than ever It is Time for the Righteous to Govern!  Duke Buckner for US Senate!",29,25,,4,,,,,239766694039209,/story.php?story_fbid=239766694039209&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-04-22 11:57:07,"Republican U.S. Senate Candidate Duke Buckner            ""Contract with South Carolina"" 2020 Whereas the South Carolina Republican Party was founded by Robert Smalls, a former slave from Beaufort, SC who breathed into our Grand Old Party the founding principles of Faith, Love and Courage. And for the SCGOP's commitment and application of these principles in the creation of public policy, I believe God has blessed the state of South Carolina. And for God's continued blessings and prosperity be bestowed upon the state of South Carolina and its people, I henceforth pledge to act and vote in a manner that is consistent to the long established fundamental principles of the Republican Party and not compromise our state's conservative values and beliefs for the sake of bi-partisanship or to be ""relevant."" Furthermore, I pledge to work to make into law either by sponsorship or co-sponsorship the following Pro Life, Pro Second Amendment, Pro Fiscal Responsibility Legislative agenda: I)  The Right to Life Act Margaret Sanger, the founder of Planned Parent Hood defined too many children as “any more than the mother can look after and the father make a living for.”  She believed the most merciful thing that the large family does to one of its infant members is to kill it.  In 2018, 10,732 abortions were performed in S.C. (Source: SCDHEC)  I believe that children are a blessing from God, not a burden; they have a right to life.  Thus to reduce the increasing number of abortions, I support that they be prohibited with no exceptions.  II)  The Second Amendment Protection Act I believe we would be British subjects today if the colonists not had muskets when British soldiers came to squelch the rebellion.  Therefore, the right of the people to keep and bear arms shall not be infringed.  Thus, I support the protection of our 2nd Amendment and oppose Red Flag Laws and any additional gun control legislation that infringes upon that right.      III)    2030 Debt Free Act Currently, the United States is estimated to be 19 trillion in debt.  I believe the borrower is servant to the lender.  Thus, in the spirit of President Andrew Jackson, I believe we can pay off our national debt within 10 years.  To achieve this goal, I support 1) a balanced budget amendment  2) reduced government spending  3) eliminating all unnecessary foreign aid  4) end deficit spending  5) a line-item veto  6) stricter enforcement of businesses who are under reporting wages  7) auctioning off unneeded U.S. Assets  8) designate that all budget surpluses, if any, each year go towards paying off the national debt.  IV) The Fatherhood Preservation Act Fathers play an important role in the development of their children.  Research has shown that fathers who are positively involved in the life of their children help promote emotional stability and cognitive development.  Therefore, I support joint custody and standard visitation rights be awarded to fathers who obey the law and are Court ordered to pay child support.   V)  The Natural Food Consumption Act The Republican Party has a history of concern for the Earth and the impact the environment has on the health of our citizens.  President Richard Nixon (R) founded the Environmental Protection Agency in 1970. Subsequently, Congress passed the Clean Air Act and the Clean Water Act.  I believe in the old adage that ""You are what you Eat.” Therefore, I support the promotion, protection and expansion of organic farming and organic livestock farming.  To these ends and in exchange for your vote in the Republican Primary on Tuesday June 9, 2020 and the general election on Tuesday November 3, 2020, I pledge my support by affixing my signature hereto: Duke Buckner Candidate for U.S. Senate ""Time for the Righteous to Govern""   Please Forward this Contract to your friends and Family",34,30,1,3,,,,,238198157529396,/story.php?story_fbid=238198157529396&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-04-11 19:07:06,The Stone was Rolled Away!  He has Risen!                       May God Bless our State and our Nation!    https://m.youtube.com/watch?v=oPRAPKpWdIQ,11,10,,1,,,,,230422254973653,/story.php?story_fbid=230422254973653&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-04-10 11:40:39,,19,18,,1,,,,,229518841730661,/story.php?story_fbid=229518841730661&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-04-03 20:58:21,"This is one of my most cherished photos that I want to share with everyone because there is a lie going around that I am some how a plant from the Democratic party and not a Republican. Pictured here is me and former South Carolina Republican Governor, Governor David Beasley in the late 90’s. When I was in the newspaper business, he came to Walterboro, South Carolina to help dedicate the Tuskegee Airmen Monument at the Walterboro Army Airfield. This is the airfield where the Tuskegee Airmen trained before going off to fly combat missions in World War II. It was a grand occasion and many of the former Tuskegee Airmen were in attendance at the event! I followed closely Governor David Beasley's political career after meeting him that day. He inspired me and I supported him. I use to ride around with a Beasley sticker on the back of my car! And my Dad would say, ""Boy take that sticker off the back of that car!"" My Dad was a staunch Democrat and I was taught to be one as well until I met Governor Beasley that day and began to think differently. It was Governor David Beasley that had the courage to stand up against the video poker industry in South Carolina and say in a state of the state address that ""We are going to end video poker in South Carolina!"" I couldn't afford cable t.v. back then, and all I could catch was ETV. So when I heard him say that, I totally agreed with him. Video poker machines were like a cancer spreading across the state. People were putting their hard earned money into them and mothers were leaving their children unattended in their cars in order to play them. They were bad for South Carolina! The last thing Governor Beasley said that ended his political career was when he said, the Lord told him to take the Confederate Flag down from on top of the State House dome! When he said that, it was over for him. I thought to myself, here was a White male, Republican, who I was taught were suppose to be all racists was now saying, ""God told me at 3:00 am to take the Confederate Flag down!"" I knew then that all the negative things I heard growing up about the Republican Party did not apply to Governor David Beasley. The next election Jim Hodges, Democrat, became Governor of S.C. However, Governor Beasley let me know right then that Republicans stood for principle; Governor Beasley stood for what was right even though it cost him his political career. I want to personally thank Governor David Beasley for what he did to make South Carolina a better place for all people and for setting an example for what the Republican Party Stands for. It is my sincere hope that I will do the same as your next U.S. Senator. Thanks Governor Beasley! May God continue to Bless you and your family and that you have a full recovery from the corona virus. Duke",64,56,,8,,,,,225159545499924,/story.php?story_fbid=225159545499924&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-03-28 21:23:02,"For those who haven't heard, I officially filed last week as a candidate for the U.S. Senate. I believe Senator Lindsey Graham no longer represents the values and beliefs of the majority of the citizens of South Carolina and thus should not be re-elected in the primary election on Tuesday, June 9, 2020. I am asking for your vote and support and need your help. I want everyone to know that I am the kid that use to walk from my house on Bailey Street in Walterboro to St. Anthony's Catholic School on Francis Street from kindergarten through 3rd grade; the little boy who didn't score high enough on the standardized test to be in Group 1 in 4th and 5th grade, but did my best in Group 2; the student who got a paddling by Mrs. Bennie Ordel because I did my math word problems, but didn't write the answers in a complete sentence as we were instructed to do. I am the student that was going to quit band in the 6th grade because we all squeaked so bad, and I got tired of carrying around a huge saxophone case which I would accidentally hit people in the back of the head while trying to get off the bus! I am the middle school student who watched his 4 foot Panda Teddy Bear that he saved and bought for his girlfriend for Valentine's day be tossed around in the bleachers at Colleton Middle School Campus A during assembly! I am the young high school teenager who played in the Band of Blue that won two state Championships in 86 and 90 while working at McDonalds, Pizza Hut, K-Mart, and Wal-Mart. I am the senior in high school that helped to start in 1989 the first fraternity at Walterboro High School called Covert or CVT for short. The Brothers still get together once a year for a reunion some 30 years later! I am the guy who got his B.A. degree in English Education from South Carolina State University in 1994 and came back to my home town and taught 7th and 8th Grade English at Colleton Middle School Campus A and 10th and 11th Grade English at Walterboro high School. I am the guy who resigned from the school district in 1996 and started the first African American owned weekly newspaper in Colleton County that was called the Community Times Dispatch or just the Dispatch for short. Today, the newspaper is called the Colletonian and has had several owners. I am the guy whose older brother, B'wana, died of an asthma attack, whose mother died of heart failure while I was a student in law school in south Florida, and whose father died of lung cancer shortly after returning home and passing the South Carolina Bar. I am the guy who was elected to Walterboro City Council in 2009 and started his own law firm in 2012 helping people get justice under law. Now at 47 years old, I am seeking the South Carolina Republican Party's nomination for the U.S. Senate. However, out of all of the things I just mentioned, the most important is that I am a born again believer of Jesus Christ and want to go to Washington DC as your Senator and do the right thing. I believe its time for the Righteous to Govern! and want to encourage everyone to get involved in the political process. Right now, I need your help to raise $5,000 so that I can purchase the data base of potential voters from the SCGOP. Having access to this information would ""level"" the playing field and increase my chances of winning the nomination in June. I understand that times are hard right now, but a donation of any amount would help. Donations can be made online at the following link. Thanks for your help! May God Bless you and your family! Dwayne ""Duke"" Buckner     https://bucknerforsenate.com/contribute",33,29,,4,,,,,221101849239027,/story.php?story_fbid=221101849239027&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-03-28 21:17:31,"For those who haven't heard, I officially filed last week as a candidate for the U.S. Senate. I believe Senator Lindsey Graham no longer represents the values and beliefs of the majority of the citizens of South Carolina and thus should not be re-elected in the primary election on Tuesday, June 9, 2020. I am asking for your vote and support and need your help. I want everyone to know that I am the kid that use to walk from my house on Bailey Street in Walterboro to St. Anthony's Catholic School on Francis Street from kindergarten through 3rd grade; the little boy who didn't score high enough on the standardized test to be in Group 1 in 4th and 5th grade, but did my best in Group 2; the student who got a paddling by Mrs. Bennie Ordel because I did my math word problems, but didn't write the answers in a complete sentence as we were instructed to do. I am the student that was going to quit band in the 6th grade because we all squeaked so bad, and I got tired of caring around a huge saxophone case which I would accidentally hit people in the back of the head while trying to get off the bus! I am the middle school student who watched his 4 foot Panda Teddy Bear that he saved and bought for his girlfriend for Valentine's day be tossed around in the bleachers at Colleton Middle School Campus A during assembly! I am the young high school teenager who played in the Band of Blue that won two state Championships in 86 and 90 while working at McDonalds, Pizza Hut, K-Mart, and Wal-Mart. I am the senior in high school that helped to start in 1989 the first fraternity at Walterboro High School called Covert or CVT for short. The Brothers still get together once a year for a reunion some 30 years later! I am the guy who got his B.A. degree in English Education from South Carolina State University in 1994 and came back to my home town and taught 7th and 8th Grade English at Colleton Middle School Campus A and 10th and 11th Grade English at Walterboro high School. I am the guy who resigned from the school district in 1996 and started the first African American owned weekly newspaper in Colleton County that was called the Community Times Dispatch or just the Dispatch for short. Today, the newspaper is called the Colletonian and has had several owners. I am the guy whose older brother, B'wana, died of an asthma attack, whose mother died of heart failure while I was a student in law school in south Florida, and whose father died of lung cancer shortly after returning home and passing the South Carolina Bar. I am the guy who was elected to Walterboro City Council in 2009 and started his own law firm in 2012 helping people get justice under law. Now at 47 years old, I am seeking the South Carolina Republican Party's nomination for the U.S. Senate. However, out of all of the things I just mentioned, the most important is that I am a born again believer of Jesus Christ and want to go to Washington DC as your Senator and do the right thing. I believe its time for the Righteous to Govern! and want to encourage everyone to get involved in the political process. Right now, I need your help to raise $5,000 so that I can purchase the data base of potential voters from the SCGOP. Having access to this information would ""level"" the playing field and increase my chances of winning the nomination in June. I understand that times are hard right now, but a donation of any amount would help. Donations can be made online at the following link. Thanks for your help! May God Bless you and your family! Dwayne ""Duke"" Buckner         https://bucknerforsenate.com/contribute",1,1,,,,,,,221099015905977,/story.php?story_fbid=221099015905977&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-03-25 19:56:52,"For the sake of our republic, It's time now to put an end to bias, one sided, inaccurate news reporting!  As your next U.S. Senator, I will support legislation that requires a broadcast licensee to afford reasonable opportunity for the discussion of conflicting views on issues of public importance and to hold news/media organizations liable for distributing information they knew or should have known to be false and misleading to the public. Journalists and reporters have to get back to presenting both sides of the issues because its the right thing to do!",27,23,,3,,1,,,218907616125117,/story.php?story_fbid=218907616125117&id=109576973724849
"Dwayne ""Duke"" Buckner",,2020-03-16 21:02:56,"Today, I filed to become an official candidate for the U.S. Senate for South Carolina! I enjoyed meeting all the nice people at the South Carolina Election Commission.  This campaign is and will always be about YOU the people of South Carolina and what we can accomplish together for our State and nation.  My platform is simple.  I am pro Life, pro Second Amendment and pro Fiscal Responsibility. I believe in Faith, Love and Courage! and that it is Time for the Righteous to Govern our Nation!  Too much is at stake to sit silently by on the side line and allow liberal, progressive socialist policies destroy our Country.  I want to encourage everyone to speak up and speak out and get involved in the political process.  I desire to take our conservative values and beliefs with me to Washington, D.C. and fight for them and not compromise them as Senator Lindsey Graham has done on too many occasions.  However, I need your help!  I can not do this alone.  Sign up to volunteer or make a donation today at bucknerforsenate.com.  Your vote and support are greatly appreciated.  Duke",89,73,,16,,,,,212391966776682,/story.php?story_fbid=212391966776682&id=109576973724849
