source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
George Flinn,,2020-05-01 18:10:05,"Politicians have been focused on fame and one-liners for too long! Tennessee needs a senator that will fight for conservative values and REAL solutions, not just soundbites. To learn more about my Real Solutions, go to ",13,12,,1,,,,,3737483196278728,/george.flinn/photos/a.922528594440883/3737483196278728
George Flinn,,2020-05-01 16:35:05,"This virus has seriously disrupted our way of life. However, it will end and we'll return to normal. We need a plan to get back to normal and ensure we are prepared, should this happen again. I have a plan to do that. Read my detailed, 4-point plan at ",10,9,,,,1,,,3737299362963778,/george.flinn/photos/a.922528594440883/3737299362963778
George Flinn,,2020-05-01 13:28:07, See you there!,1,1,,,,,,,3736907563002958,/george.flinn/photos/a.922528594440883/3736907563002958
,,2020-05-01 12:02:51,"Join me LIVE - next Thursday, May 7th - as we further discuss the actions we can take and what we can do to fix this situation to stop the chokehold of foreign nations.",3,2,,1,,,,,3736724109687970,/story.php?story_fbid=3736724109687970&id=922528564440886
George Flinn,,2020-04-30 18:15:08,"It’s easy for politicians today to point fingers, call people names and get their 15 seconds of fame on TV. It is not getting the job done. We need to implement REAL solutions. Tennessee and our nation need this more than ever. To read my solutions, go to ",9,6,1,1,,,1,,3734624286564619,/george.flinn/photos/a.922528594440883/3734624286564619
George Flinn,,2020-04-30 16:10:07,"China behaved badly during this pandemic. They lied to save face instead of lives, yet will they be punished? It’s time for the U.S. to amend the Sovereign Immunity Act and hold nations accountable if they cause harm to the health of Americans. Help me hold them accountable!",22,20,,2,,,,,3734393193254395,/george.flinn/photos/a.922528594440883/3734393193254395
,,2020-04-30 15:52:42,Join Me LIVE - How the Communist Chinese Government Has Gone TOO Far,123,99,,15,2,,7,,1120272655021966,/story.php?story_fbid=1120272655021966&id=922528564440886
George Flinn,,2020-04-30 13:05:25,"Don't forget, today at 3pm I will be hosting a Facebook Live Q&A about China and how they've gone way too far in this crisis. I will also be answering your questions! Go to  to watch! I am looking forward to it.",4,4,,,,,,,3734013416625706,/george.flinn/photos/a.922528594440883/3734013416625706
George Flinn,,2020-04-29 16:25:05,"With the coronavirus pandemic, our leaders are struggling to balance public safety and the integrity of our nation's economy. I have a clear plan for the future, so that we can return to normal and be ready for the next crisis. Visit  to read my plan!",5,4,,1,,,,,3731550063538708,/george.flinn/photos/a.922528594440883/3731550063538708
George Flinn,,2020-04-29 14:55:14,"China and other foreign nations have a chokehold on our medical supplies, and it must change! Without a strategic reserve and reliable sources for medical supplies, our nation will be beholden to others for critical supplies. I have a plan to change this. ",8,8,,,,,,,3731367953556919,/george.flinn/photos/a.922528594440883/3731367953556919
George Flinn,,2020-04-29 12:49:18,"Don't forget, tomorrow at 3pm I am hosting a Facebook Live Q&A about China and how they have gone too far in this pandemic. Will also be answering submitted questions. Look forward to seeing all of you there!",8,6,,2,,,,,3731131346913913,/george.flinn/photos/a.922528594440883/3731131346913913
George Flinn,,2020-04-28 18:20:02,"I've been getting a lot of calls about disinfectants as a treatment against the virus. As a doctor I am telling you: please do not inject or ingest any disinfectants. They have chemicals in them that are seriously harmful to humans. Continue to rely on medical professionals for treatment advice, and stay safe.",16,9,4,,2,,1,,3728970480463333,/george.flinn/photos/a.922528594440883/3728970480463333
George Flinn,,2020-04-28 14:05:09,"Foreign nations control our medical supply chains, and we have no back up. This pandemic has exposed the chokehold that China and others have on us. We need to establish a strategic supply reserve, so that we can take care of ourselves! Learn more at ",2.8K,1.9K,3,46,27,319,507,,3728443863849328,/george.flinn/photos/a.922528594440883/3728443863849328
George Flinn,,2020-04-27 16:35:08,"We must protect our 2nd Amendment rights! Attached is a great database that tracks all the defensive uses of civilian firearms. The Right to keep and bear arms is an essential one in the United States, and no politician should ever challenge it! ",10,10,,,,,,,3726020737424974,/george.flinn/photos/a.922528594440883/3726020737424974
George Flinn,,2020-04-27 12:40:54,"Do not inject/ingest disinfectants or expose yourself to extreme UV light. In times like this, it's important to listen to the medical professionals. They will provide the public with viable and safe treatments when they are available. Trust the experts, and stay safe.",14,10,2,,1,1,,,3725526230807758,/george.flinn/photos/a.922528594440883/3725526230807758
George Flinn,,2020-04-26 13:55:06,"We know China acted wrongly throughout this pandemic, but there is currently no legal way to punish them. I have a plan to change that: altering sovereign immunity to make an exception for the health and well-being of citizens. This allows the United States to take legal action against other nations that withhold information that could affect the health and safety of Americans. Read more about my plan at ",9,9,,,,,,,3722904587736589,/george.flinn/photos/a.922528594440883/3722904587736589
