source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
V.A. Shiva Ayyadurai,,2020-05-01 11:46:38,"FACT #1 Robert F. Kennedy, Jr. is Pro-Vaccine and Wants to Preserve his Uncle – JFK’s – Vaccine Program and Wants MORE & Bigger Government to Manage a Program that Was Based on  Hear it for YOURSELF from his own mouth.  “I want to say it emphatically. I am PRO-VACCINE. I have been fiercely PRO-VACCINE. I believe that we ought to have policies that encourage full vaccination for all Americans.” – Robert F. Kennedy, Jr.  Reference [1]: Crosby, Jacob, “Robert F. Kennedy Jr. Wants to Preserve Uncle JFK’s Vaccine,” April 13, 2019  ",73,44,2,,2,2,28,,3065776960145468,/va.shiva.ayyadurai/photos/a.214131415310051/3065776960145468
"V.A. Shiva Ayyadurai,Jennifer Gebbie Bennett",,2020-04-30 22:59:03,The Truth is Robby Kennedy IS the #DeepState Establishment. #RFKExposed by V.A. Shiva Ayyadurai. CLICK to Know the Truth - Be The Light - Find Your Way: vashiva.com/rfkexposed https://vashiva.com/rfkexposed,682,556,11,91,6,3,14,,3064495053606992,/story.php?story_fbid=3064495053606992&id=212669305456262
,,2020-04-30 17:46:51,"Dr.SHIVA Ayyadurai, MIT PhD, the Inventor of Email, Scientist, Innovator, U.S. Senate Candidate (R-MA) shares his incredible invention CytoSolve, which is eliminating the need for animal testing,  and its most results in exploring how various naturally occurring compounds such as Vitamin C, Vitamin E, Green Mussel Lipid, Hyaluronic Acid, etc.",3.7K,2.6K,11,1K,18,4,35,,165260941522827,/story.php?story_fbid=165260941522827&id=212669305456262
,,2020-04-29 22:42:29,"Dr.SHIVA Ayyadurai, MIT PhD, the Inventor of Email, Scientist, Inventor, and U.S. Senate Candidate (R-MA) shares the Truth of the the Deep State Kennedy's who now VOMIT BIG LIES to Save ""their"" US Senate Seat in Massachusetts. Too Late!",5.5K,3.8K,53,1.4K,57,23,125,,3053364741396171,/story.php?story_fbid=3053364741396171&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 22:32:08,Deep State Kennedy’s VOMIT BIG LIES after being destroyed & exposed by the movement for Truth Freedom Health. Their response to save “their” US Senate seat in Massachusetts for Joe is too late. The FACTS & THEIR LIES are now HERE for ALL to see. ENJOY!  https://vashiva.com/robert-f-kennedy-jr-vomits-big-lies-when-exposed-with-the-truth-party-over/,327,203,8,9,45,10,52,,3061942870528877,/story.php?story_fbid=3061942870528877&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 20:05:38,"Here’s the Truth about Robert (“Robbie”) F. Kennedy, Jr. - he, NOT I, is PRO-#VACCINES. Hear the words from his OWN MOUTH.  Time for Truth Freedom Health. Time to destroy the Not-So-Obvious-Establishment. More to come.... #TruthFreedomHealth",680,362,21,9,117,16,155,,3061666610556503,/story.php?story_fbid=3061666610556503&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 19:55:41,"Here’s the Truth about Robert (“Robbie”) F. Kennedy, Jr. - he, NOT I, is PRO-#VACCINES. Hear the words from his OWN MOUTH.  Time for Truth Freedom Health. Time to destroy the Not-So-Obvious-Establishment. More to come.... **Entire clip on next post - IG cut this one off... #TruthFreedomHealth",1.6K,900,29,30,285,41,406,,3061645660558598,/story.php?story_fbid=3061645660558598&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 19:31:36,"While Robbie Kennedy was ENDORSING PRO-Monsanto shill, #Vaccine Queen @HillaryClinton, I was unleashing #CytoSolve - revolutionary systems biology platform to EXPOSE #GMO Soy had 250% less Glutathione than Organic Soy. Time for Truth. Party’s OVER Robbie! cytosolve.com/wp-content/ #TruthFreedomHealth #CleanFood #GMOs #Soy #monsanto",2.2K,1.9K,9,158,50,16,113,,3061603303896167,/story.php?story_fbid=3061603303896167&id=212669305456262
,,2020-04-28 22:03:54,"Dr.SHIVA Ayyadurai, Ph.D. the Inventor of Email, Scientist, Inventor, U.S. Senate Candidate (R-MA) and Young Pharaoh DESTROY RACIST Robbie Kennedy, Jr.  Kennedy Was Recently Exposed by Dr.SHIVA as THE Not-So-Obvious-Establishment",6.2K,4K,75,1.7K,125,47,255,,249422729770682,/story.php?story_fbid=249422729770682&id=212669305456262
,,2020-04-28 16:16:00,"THIS interview with an MIT PhD in Biological Engineering is WHY @FoxNation ""Cut Ties"" with @DiamondandSilk",6.1K,3.7K,22,1.9K,200,45,79,,3024098144276960,/story.php?story_fbid=3024098144276960&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-28 16:01:30, anti-Affirmative Action - all aimed at dividing working people of ALL races so we never unite & destroy them. Time to EXPOSE the REAL RACISTS.  ,4.4K,3.9K,7,522,9,11,3,,3058791280844036,/va.shiva.ayyadurai/photos/a.214131415310051/3058791280844036
V.A. Shiva Ayyadurai,,2020-04-28 00:08:04,#TruthFreedomHealth #Science #MentalHealth #anxiety #depression #antidepressants,3.1K,2.5K,8,254,257,53,71,,3057254270997737,/story.php?story_fbid=3057254270997737&id=212669305456262
