source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
,,2020-05-02 18:58:35,,15,14,,1,,,,,712644936148065,/story.php?story_fbid=712644936148065&id=496341171111777
Mike Broihier for Kentucky,,2020-05-02 18:30:17,"Instead of Chicken Bristle Live, we're excited to announce that tonight we're doing a Q&A session with Bluegrass Activist Alliance - a very important organization for promoting progressive values in Kentucky.  If you're a BGAA member, please join us for the conversation on the member page https://www.facebook.com/bgaAlliance/ for the conversation at 7pm ET! #MikeForKY",12,10,,2,,,,,712533236159235,/story.php?story_fbid=712533236159235&id=496341171111777
Mike Broihier for Kentucky,,2020-05-02 15:00:10,"It's not going to be easy to retire Senator Mitch McConnell but we know our movement has the best chance of defeating him. We don't rely on PACs, so we need YOUR help to reach our $30,000 goal before midnight! We're almost there. Join our movement - donate $10 or more today! https://secure.actblue.com/donate/broihier-prove-them-wrong",24,24,,,,,,,712507889495103,/story.php?story_fbid=712507889495103&id=496341171111777
Mike Broihier for Kentucky,,2020-05-02 14:45:02,Excited to make an appearance on the Yang Gang Round Table podcast this afternoon.  We'll be on the show starting at 3 pm. Tune in to the Twitch Live-stream.  #UBI #MikeForKY https://www.twitch.tv/yanggangroundtable,21,18,,3,,,,,712522822826943,/story.php?story_fbid=712522822826943&id=496341171111777
Mike Broihier for Kentucky,,2020-05-02 10:58:35,"The Derby may have been postponed, but we're still very much in the race to defeat Mitch McConnell.  I'm proud of the integrity of our campaign and as a farmer, educator, veteran, and full-time Kentuckian, I'm confident we can go all the way. It's time for Mitch to retire! I'm in - are you? Donate today, join our race. #MikeForKY  http://MikeforKY.com/Donate",45,39,,6,,,,,712403746172184,/story.php?story_fbid=712403746172184&id=496341171111777
,,2020-05-01 18:42:44,,33,20,2,10,,,,,242834310293983,/story.php?story_fbid=242834310293983&id=496341171111777
Mike Broihier for Kentucky,,2020-05-01 18:42:35,Join us at 7pm ET as we go live with Marc Murphy Cartoons! #ChickenBristleLive #MikeForKY,11,10,,1,,,,,711957992883426,/story.php?story_fbid=711957992883426&id=496341171111777
Mike Broihier for Kentucky,,2020-05-01 13:15:11,"We are just inches away from our fundraising goal of $30,000!  Help put us over the top so we can continue our campaign for economic and social justice in Kentucky and rid the republic of Mitch McConnell:  #",8,6,,2,,,,,711794596233099,/MikeBroihierKY/photos/a.498874577525103/711794596233099
Mike Broihier for Kentucky,,2020-05-01 13:03:16,"There are more folks at home nowadays, which means safe firearm storage has never been more important. Let's #BeSmart about safe gun storage like we are in the military.  A gun is only secure if it's locked up, unloaded, and stored away from ammunition.",35,29,,5,,,,,711786822900543,/story.php?story_fbid=711786822900543&id=496341171111777
,,2020-04-30 18:44:42,,22,15,,7,,,,,687958971970813,/story.php?story_fbid=687958971970813&id=496341171111777
Mike Broihier for Kentucky,,2020-04-30 18:43:44,Join us for a special edition of Chicken Bristle Live at 7 PM ET today. The Taylor County Dems and Shannon Cox will have me on the hot seat. Join us on Facebook or Twitter! ,15,15,,,,,,,711243786288180,/MikeBroihierKY/photos/a.498874577525103/711243786288180
Mike Broihier for Kentucky,,2020-04-30 12:10:26,"For the price of a large cup of joe, you could win the chance to sit down for coffee virtually with me and Scott Santens. We can talk UBI, about our campaign, or anything you want! Chip in $3 or more to our campaign to rid the republic of Mitch McConnell: https://t.co/1T6JyVjKTF?amp=1",24,17,,7,,,,,711057329640159,/story.php?story_fbid=711057329640159&id=496341171111777
Mike Broihier for Kentucky,,2020-04-29 21:45:01,"One great way you can help us reach our April fundraising goal is by contributing the cost of a large coffee.  If you do, you'll be entered to win a virtual coffee with me and UBI expert Scott Santens to talk about UBI and our campaign to retire Mitch McConnell.  Donate here:  ",20,12,,8,,,,,710635676348991,/MikeBroihierKY/photos/a.498874577525103/710635676348991
Mike Broihier for Kentucky,,2020-04-29 21:30:22,"Folks, We just set our end-of-month fundraising goal for April. Help us reach our goal of $30,000 by May 1 so that we can have the distinct honor of showing Mitch McConnell the door in November: https://secure.actblue.com/donate/mikebroq2#",35,25,,10,,,,,710629243016301,/story.php?story_fbid=710629243016301&id=496341171111777
,,2020-04-29 18:45:26,,29,16,,13,,,,,177247850112526,/story.php?story_fbid=177247850112526&id=496341171111777
Mike Broihier for Kentucky,,2020-04-29 18:18:15,"Hope you're ready for a good show! We've got Will Barnett, candidate for the Kentucky House in District 58 (Shelby County).  Join us at 7 for Chicken Bristle Live!",22,14,,8,,,,,710534453025780,/story.php?story_fbid=710534453025780&id=496341171111777
