Average entropy for each pages posts controlling for date:
            name            | gender |          avg           
----------------------------+--------+------------------------
 Travis Oler                | M      | 0.00000000000000000000
 Steve Swenson              | M      | 0.00000000000000000000
 Valerie Willis             | F      | 0.00000000000000000000
 Dan Wik                    | M      | 0.00000000000000000000
 James Knox                 | M      | 0.00000000000000000000
 Tharon Chandler            | M      | 0.00000000000000000000
 Louis Grider               | M      | 0.00000000000000000000
 David Goldfischer          | M      | 0.00000000000000000000
 Jeffrey Grunau             | M      | 0.00000000000000000000
 Atul Goel                  | M      | 0.03138817803858096957
 Gaylon Kent                | M      | 0.07378060900209574615
 Wayne Johnson              | M      | 0.08455156082707570000
 Bryan Pruitt               | M      | 0.10691964365864020417
 Glen L. Neal, Jr.          | M      | 0.10707206897441682745
 Adrian Ocegueda            | M      | 0.16250560541208852500
 Michael Knoles             | M      | 0.17190894098724631111
 Aaron Pettigrew            | M      | 0.17340340152880852000
 R. Mark Armstrong          | M      | 0.18471767285776064545
 Stanley Adair              | M      | 0.19205261534531308235
 Paul John Frangedakis      | M      | 0.19556835332331406952
 Daniel Burke               | M      | 0.21043901075914991944
 Maggie Jo Hillard          | F      | 0.21314398156160993333
 Dean Hill                  | M      | 0.21406726103924970000
 Merav Ben-David            | F      | 0.22151332368982392903
 Joseph A. Camp             | M      | 0.22333031404908553701
 Kacey Morgan               | F      | 0.22575272648440701000
 Jo Rae Perkins             | F      | 0.23196571175745367135
 Kevin O'Connor             | M      | 0.24331783690651123960
 Forest Hyatt               | M      | 0.24971931468552818333
 Natalie Rivera             | F      | 0.26687690769636446981
 Richard Dien Winfield      | M      | 0.26914064229714546188
 Robert Marshall            | M      | 0.27915019448113451714
 Jon Henry                  | M      | 0.28741066729991094375
 Jensen Bohren              | M      | 0.29203821240432828667
 Paula Overby               | F      | 0.29543673646970333913
 Roy Dale Cope              | M      | 0.30609861135149646667
 Tiffany Bond               | F      | 0.30969109733938190000
 Michael Franken            | M      | 0.32087668693932831634
 Matt Innis                 | M      | 0.33838858427251037305
 Corky Messner              | M      | 0.34140774487252650185
 Jimmy Ausbrooks            | M      | 0.34391391732154830882
 Doc Bolduc                 | M      | 0.34642126957774212572
 Trevor Fuller              | M      | 0.34726702072447366706
 Rik Mehta                  | M      | 0.36595062271443275813
 Bennie J. Smith            | M      | 0.39076791077741767342
 Victor Hugo Harris         | M      | 0.39716061475724225567
 Susan Wagle                | F      | 0.39874094635154485870
 Michael K. Cooper          | M      | 0.40251693422723392300
 Sharon Hudson              | F      | 0.40987846304461688235
 Allen Whitt                | M      | 0.41349307570831893233
 Duke Buckner               | M      | 0.41866064624386112377
 Madelyn Hoffman            | F      | 0.42271349039405580773
 Tom Tarter                 | M      | 0.42428448918869466787
 Elizabeth McLeod           | F      | 0.43273589310808801795
 Veronica Fernandez         | F      | 0.43353931779582225304
 Rob Barrett Jr.            | M      | 0.43755145422177514338
 Johnny Presley             | M      | 0.44146377275670525051
 Michelle Ferrigno Warren   | F      | 0.44668944550334025270
 Michael LaPierre           | M      | 0.44741040044135473615
 Linda Wooten               | F      | 0.45110721702456957143
 Allen Waters               | M      | 0.45674390318654414607
 Mark Curran                | M      | 0.45963921042386943708
 Royce West                 | M      | 0.46825069334241845892
 Jim Risch                  | M      | 0.46899559358928117000
 Akhenaten Amun             | M      | 0.47044826186524662500
 Ross LaJeunesse            | M      | 0.47493889337377493317
 Diana Bray                 | F      | 0.47787022865395021250
 Andrew Romanoff            | M      | 0.47877130759638731534
 Ricky Dale Harrington Jr.  | M      | 0.48864958289446810267
 Annie "Mama" Garcia        | F      | 0.50298217038221194538
 Bill Hagerty               | M      | 0.50686664971517588345
 Maya Dillard Smith         | F      | 0.51517750175064872500
 Eric Rothmuller            | M      | 0.51524074041552262259
 Arnold Mooney              | M      | 0.51813831226836895787
 Sara Gideon                | F      | 0.52313523671371300742
 Kris Kobach                | M      | 0.52450881743388049273
 Marquita Bradshaw          | F      | 0.52509357003674956667
 Dwayne Stovall             | M      | 0.54297122136188596777
 Tricia Flanagan            | F      | 0.55140469980613422266
 Paul Romero                | M      | 0.56131574198158956375
 Joshua Wheeler             | M      | 0.56504337975448599837
