source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Aaron Pettigrew for U.S. Senate,,2020-04-28 13:08:41,,0,0,0,0,0,0,0,0,153558259499064,AaronPettigrewForTennessee,/story.php?story_fbid=153558259499064&id=109959947192229
"Aaron Pettigrew for U.S. Senate,Dan Bongino",,2020-04-21 18:01:49,Rand Paul is back and he is FIRED UP. Every moment of this explosive speech is worth watching:,0,0,0,0,0,0,0,0,153530532835170,AaronPettigrewForTennessee,/story.php?story_fbid=153530532835170&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-05-01 17:45:24,Service really is it's own reward. #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap  AARONPETTIGREWFORTENNESSEE.COM,5,5,0,0,0,0,0,0,154577416063815,AaronPettigrewForTennessee,/story.php?story_fbid=154577416063815&id=109959947192229
"Aaron Pettigrew for U.S. Senate,Top Choice BBQ",,2020-04-30 10:28:17,** CONTEST CLOSED** BOLOGNA literally coming off the smoker now!! **CONTEST** To win a free Regular Meal Like our PAGE Like this POST COMMENT your guess on how many inches of Bologna we cooked today! (FYI when we say in inches that’s pre sliced in the log) Winner will be chosen at approximately 9pm tonight!,3,3,0,0,0,0,0,0,154227792765444,AaronPettigrewForTennessee,/story.php?story_fbid=154227792765444&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-30 14:19:21,"Liberty is fragile, it is our responsibility to protect it! #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap AARONPETTIGREWFORTENNESSEE.COM",8,8,0,0,0,0,0,0,154223816099175,AaronPettigrewForTennessee,/story.php?story_fbid=154223816099175&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-28 09:03:37,"Buy a book for $65, sell it for $3? You must be an academic. #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap  AARONPETTIGREWFORTENNESSEE.COM",4,4,0,0,0,0,0,0,153502276171329,AaronPettigrewForTennessee,/story.php?story_fbid=153502276171329&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-26 10:16:23,A real Constitutional plan. #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap  AARONPETTIGREWFORTENNESSEE.COM,7,7,0,0,0,0,0,0,152972299557660,AaronPettigrewForTennessee,/story.php?story_fbid=152972299557660&id=109959947192229
"Aaron Pettigrew for U.S. Senate,Harland Stonewall",,2020-04-23 18:53:55,Many people feel this way....,4,3,0,1,0,0,0,0,152109462977277,AaronPettigrewForTennessee,/story.php?story_fbid=152109462977277&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-22 19:20:24,,7,7,0,0,0,0,0,0,151812129673677,AaronPettigrewForTennessee,/story.php?story_fbid=151812129673677&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-21 14:48:10,Never take Liberty for granted! #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap  AARONPETTIGREWFORTENNESSEE.COM,4,4,0,0,0,0,0,0,151425633045660,AaronPettigrewForTennessee,/story.php?story_fbid=151425633045660&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-17 13:43:12,God bless and may you find even greater opportunities than before! #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap  AARONPETTIGREWFORTENNESSEE.COM,3,3,0,0,0,0,0,0,150108579844032,AaronPettigrewForTennessee,/story.php?story_fbid=150108579844032&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-15 21:38:15,"I have read the Federalist  and anti-Federalist papers, every debate from the Convention to write it, through the States ratifying it and every one for all of the Amendments too! #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap AARONPETTIGREWFORTENNESSEE.COM",24,22,0,2,0,0,0,0,149596186561938,AaronPettigrewForTennessee,/story.php?story_fbid=149596186561938&id=109959947192229
Aaron Pettigrew for U.S. Senate,,2020-04-13 15:17:47,The basics! #TNGOP #TNUSSenate #ThatTruckingPolitician #MAGA #KAG2020 #Trump2020 #TWGRP #CutTheCrap  AARONPETTIGREWFORTENNESSEE.COM,11,10,0,1,0,0,0,0,148890426632514,AaronPettigrewForTennessee,/story.php?story_fbid=148890426632514&id=109959947192229
