source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Stanley Adair For Senate,,2020-02-28 13:13:42,I’m asking for your VOTE 🇺🇸 #voteADAIR,2,2,0,0,0,0,0,0,842584459524162,AdairForSenate,/story.php?story_fbid=842584459524162&id=637801703335773
Stanley Adair For Senate,,2020-02-21 00:00:09,,6,5,0,1,0,0,0,0,837489476700327,AdairForSenate,/story.php?story_fbid=837489476700327&id=637801703335773
Stanley Adair For Senate,,2020-02-20 23:56:46,,3,3,0,0,0,0,0,0,837487826700492,AdairForSenate,/AdairForSenate/photos/a.637816370000973/837487826700492
Stanley Adair For Senate,,2020-02-20 23:53:35,We really need your support folks! Let’s make Alabama a brighter future together🇺🇸,3,2,0,1,0,0,0,0,837486353367306,AdairForSenate,/story.php?story_fbid=837486353367306&id=637801703335773
Stanley Adair For Senate,,2020-02-17 12:35:42,The Madison County Republican Men’s club,3,2,0,1,0,0,0,0,835181366931138,AdairForSenate,/story.php?story_fbid=835181366931138&id=637801703335773
Stanley Adair For Senate,,2020-02-17 12:28:12,#VoteAdair,2,2,0,0,0,0,0,0,835177313598210,AdairForSenate,/story.php?story_fbid=835177313598210&id=637801703335773
Stanley Adair For Senate,,2020-02-09 14:20:04,We are working hard for this U.S. Senate seat ! And we need your support.  I’m Fighting for the Alabama people! Let’s send the Swamp home https://www.stanleyadairforsenate.com/about/stanleyadair,7,6,0,1,0,0,0,0,829557487493526,AdairForSenate,/story.php?story_fbid=829557487493526&id=637801703335773
Stanley Adair For Senate,,2020-02-09 13:30:44,Great place to eat in Huntsville Alabama!,6,6,0,0,0,0,0,0,829491424166799,AdairForSenate,/story.php?story_fbid=829491424166799&id=637801703335773
Stanley Adair For Senate,,2020-02-09 11:12:46,Yesterday morning I was the speaker at the Marion county GOP meeting.,2,2,0,0,0,0,0,0,829482820834326,AdairForSenate,/story.php?story_fbid=829482820834326&id=637801703335773
Stanley Adair For Senate,,2020-02-05 17:47:20,Donald J. Trump is one of the greatest! As a Country it’s time to move past this FAKE IMPEACHMENT and make America great 🇺🇸 Congratulations on a win America!  #Trump #VoteAdair,2,1,0,1,0,0,0,0,826907024425239,AdairForSenate,/story.php?story_fbid=826907024425239&id=637801703335773
Stanley Adair For Senate,,2020-02-05 17:07:11,Senator Doug Jones has to go! He does not represent the people of Alabama.,5,5,0,0,0,0,0,2,826891231093485,AdairForSenate,/story.php?story_fbid=826891231093485&id=637801703335773
Stanley Adair For Senate,,2020-02-05 15:31:40,Put the American people first!  Secure the border and support the Second Amendment,3,3,0,0,0,0,0,0,826853127763962,AdairForSenate,/story.php?story_fbid=826853127763962&id=637801703335773
Stanley Adair For Senate,,2020-01-28 15:16:49,Speaking at the Huston County GOP in Dothan Alabama. We are winning votes everywhere we go !,3,3,0,0,0,0,0,0,821648391617769,AdairForSenate,/story.php?story_fbid=821648391617769&id=637801703335773
Stanley Adair For Senate,,2020-01-28 13:13:03,Speaking at the Houston County GOP in Dothan Alabama. We are winning votes everywhere we go !,2,2,0,0,0,0,0,0,821590224956919,AdairForSenate,/story.php?story_fbid=821590224956919&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2020-01-20 13:44:41,I need everyone to get out and VOTE in the primary March 3rd.  Your vote counts! No more career politicians. Here is just a little bit of what I stand for.  #StanleyAdair2020 #Trump #Prolife #Termlimits ,4,4,0,0,0,0,0,0,816242412158367,AdairForSenate,/story.php?story_fbid=816242412158367&id=637801703335773
Stanley Adair For Senate,,2020-01-20 13:27:28,"Today, we honor a great American patriot, Dr. Martin Luther King Jr.",1,1,0,0,0,0,0,0,816233202159288,AdairForSenate,/story.php?story_fbid=816233202159288&id=637801703335773
Stanley Adair For Senate,,2020-01-20 13:21:03,I need everyone to get out and VOTE in the primary March 3rd.  Your vote counts! No more career politicians. Here is just a little bit of what I stand for.  #StanleyAdair2020 #Trump #Prolife #Termlimits https://www.wsfa.com/2020/01/18/candidate-profile-businessman-stanley-adair-seeks-us-senate-seat/?outputType=amp,2,2,0,0,0,0,0,0,816229162159692,AdairForSenate,/story.php?story_fbid=816229162159692&id=637801703335773
Stanley Adair For Senate,,2019-12-14 21:17:51,Great time with the College Republicans! Remember VOTE Adair,5,4,0,1,0,0,0,0,784991665283442,AdairForSenate,/story.php?story_fbid=784991665283442&id=637801703335773
Stanley Adair For Senate,,2019-10-25 22:47:06,I enjoyed being with the College Republicans at the University of Alabama !,6,6,0,0,0,0,0,0,744243902691552,AdairForSenate,/story.php?story_fbid=744243902691552&id=637801703335773
Stanley Adair For Senate,,2019-10-15 13:36:57,The Adair team is gaining support every single day!  We will WIN this seat !  #voteAdair,4,3,0,1,0,0,0,0,735750270207582,AdairForSenate,/story.php?story_fbid=735750270207582&id=637801703335773
Stanley Adair For Senate,,2019-10-08 15:20:50,The Alabama Senate race is extremely important! Let’s take this Senate seat back  #AdairForSenate,3,3,0,0,0,0,0,0,730873200695289,AdairForSenate,/story.php?story_fbid=730873200695289&id=637801703335773
Stanley Adair For Senate,,2019-10-07 21:50:31,I had a wonderful time with the College Republicans at Samford University! I’m proud of them 🇺🇸 #AdairForSenate  #FutureLeaders,3,2,0,1,0,0,0,0,730343180748291,AdairForSenate,/story.php?story_fbid=730343180748291&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-10-02 16:33:59,What a great morning spent celebrating Winston County's bicentennial schools and the state's 200th anniversary. Such an honor to be there with Governor Kay Ivey!  #AdairForSenate,2,2,0,0,0,0,0,0,726686097780666,AdairForSenate,/story.php?story_fbid=726686097780666&id=637801703335773
Stanley Adair For Senate,,2019-09-30 20:56:22,like and share!  We need Common sense in Washington #AdairForSenate,8,8,0,0,0,0,0,1,725472431235366,AdairForSenate,/story.php?story_fbid=725472431235366&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-09-24 22:14:46,Gulf Shores Alabama speaking at the FOREPAC Banquet.  #AdairForSenate,0,0,0,0,0,0,0,0,721239221658687,AdairForSenate,/story.php?story_fbid=721239221658687&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-09-28 20:58:22,Mule day in Winfield Alabama was a huge success! Thank you for all the kind words and support!  #AdairForSenate,2,2,0,0,0,0,0,0,724105101372099,AdairForSenate,/story.php?story_fbid=724105101372099&id=637801703335773
Stanley Adair For Senate,,2019-09-24 12:32:50,These Folks make Alabama Great 🇺🇸,3,3,0,0,0,0,0,0,720987548350521,AdairForSenate,/story.php?story_fbid=720987548350521&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-09-22 19:42:10,We will protect the right to keep and bear arms.  share if you agree ! #AdairForSenate #voteAdair,2,2,0,0,0,0,0,0,719864161796193,AdairForSenate,/story.php?story_fbid=719864161796193&id=637801703335773
Stanley Adair For Senate,,2019-09-21 17:55:53,Huge turn out today! The connection I have with the people of Alabama is like no other. Alabama needs a businessman with common sense not “sellout politicians”.  We need to get DOUG JONES out and Make Alabama Red Again !  #teamAdair #AdairForSenate,3,3,0,0,0,0,0,0,719155428533733,AdairForSenate,/story.php?story_fbid=719155428533733&id=637801703335773
Stanley Adair For Senate,,2019-09-20 12:22:10,Get a yard sign today!! Every Donation helps us take this seat back!   https://www.stanleyadairforsenate.com/donate/adairforsenate,2,2,0,0,0,0,0,0,718299575285985,AdairForSenate,/story.php?story_fbid=718299575285985&id=637801703335773
Stanley Adair For Senate,,2019-09-18 00:31:23,"I love America, May God bless her and keep her path true.  #ConstitutionDay",3,3,0,0,0,0,0,0,716574455458497,AdairForSenate,/story.php?story_fbid=716574455458497&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-09-17 11:46:51,"It was  great to be with my friends in Double Springs, Alabama at the ALFA sponsored event for all the Candidates.",1,1,0,0,0,0,0,0,716253845490558,AdairForSenate,/story.php?story_fbid=716253845490558&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-09-17 11:23:16,It was great visiting the fire department in my home town Haleyville Alabama 🇺🇸 We have good men serving our community!,2,2,0,0,0,0,0,0,716241192158490,AdairForSenate,/story.php?story_fbid=716241192158490&id=637801703335773
Stanley Adair For Senate,,2019-09-11 12:12:23,America First WE WILL NEVER FORGET.,3,3,0,0,0,0,0,0,712291725886770,AdairForSenate,/story.php?story_fbid=712291725886770&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-09-07 21:24:01,Huge thanks to Sara Lazenby White  and the Shoals Republican Club. It Was a great breakfast meeting this morning!  #AdairForSenate #StanleyAdair,3,3,0,0,0,0,0,0,709897489459527,AdairForSenate,/story.php?story_fbid=709897489459527&id=637801703335773
"Stanley Adair For Senate,Stanley Adair",Stanley Adair,2019-08-26 11:01:13,College Republicans! Our young Republicans will be the leaders of the future🇺🇸  #ALGOP #ADAIRForSenate these are some great young men and women. Thank you for all you do for the GOP!,0,0,0,0,0,0,0,0,702166646899278,AdairForSenate,/story.php?story_fbid=702166646899278&id=637801703335773
