source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Arnold Mooney for Alabama,,2020-03-02 08:44:12,Run to the polls tomorrow to vote for your children and grandchildren. We must protect this next generation! Arnold Mooney for U.S. Senate 2020. Please share with family & friends arnoldmooney.com.,44,35,0,9,0,0,0,3,2737077536507338,ArnoldMooneyForAlabama,/story.php?story_fbid=2737077536507338&id=1441934166021688
Arnold Mooney for Alabama,,2020-02-27 22:34:13,,33,33,0,0,0,0,0,1,2734262933455465,ArnoldMooneyForAlabama,/story.php?story_fbid=2734262933455465&id=1441934166021688
Arnold Mooney for Alabama,,2020-02-23 23:34:43,,78,70,0,8,0,0,0,2,2730956693786089,ArnoldMooneyForAlabama,/story.php?story_fbid=2730956693786089&id=1441934166021688
Arnold Mooney for Alabama,,2020-02-22 12:10:50,,83,75,0,8,0,0,0,9,2729767187238373,ArnoldMooneyForAlabama,/story.php?story_fbid=2729767187238373&id=1441934166021688
Arnold Mooney for Alabama,,2020-02-13 10:24:33,I’ve been endorsed by the most RESPECTED names in Conservatism! But I’m still missing your endorsement! Join our team today ahead of next month’s March 3rd Primary → https://bit.ly/31OQGo4,17,17,0,0,0,0,0,3,2722397507975341,ArnoldMooneyForAlabama,/story.php?story_fbid=2722397507975341&id=1441934166021688
Arnold Mooney for Alabama,,2020-02-07 12:01:22,"Have you registered for the March 3rd primary yet? We are a little over a week away from the Primary Registration Deadline on February 17th, 2020. We need every conservative REGISTERED and READY for March 3rd! Register at this link ➟ https://www.sos.alabama.gov/alabama-votes",12,10,0,1,0,0,1,1,2717639215117837,ArnoldMooneyForAlabama,/story.php?story_fbid=2717639215117837&id=1441934166021688
Arnold Mooney for Alabama,,2020-02-03 14:00:24,"🚨ELECTION ALERT🚨 We are one month out from the Alabama Primary! As your candidate, I will DEFEAT Doug Jones in November and restore Alabama's strong conservative principles to the Senate! Can I count on YOUR support on March 3rd?",37,33,0,3,0,0,1,2,2714475825434176,ArnoldMooneyForAlabama,/story.php?story_fbid=2714475825434176&id=1441934166021688
Arnold Mooney for Alabama,,2020-01-28 00:00:42,"#WeRemember the tragic death of the millions of Jews and others who were killed by the hands of the Nazis. On International Holocaust Remembrance Day, let us all pause and reflect on how life that was lost and say #NeverAgain.",21,15,0,0,0,6,0,0,2709337455948013,ArnoldMooneyForAlabama,/story.php?story_fbid=2709337455948013&id=1441934166021688
Arnold Mooney for Alabama,,2020-01-14 01:16:42,"Thank you to Bama Carry; Kelly and I had a wonderful time visiting and sharing with you why I am running for the U.S. Senate to serve the people of Alabama. As I said, our state must have representation that won’t buckle under the pressure of the Washington Elite. We must constantly defend our 1st and 2nd Amendments. stand and up for conservative values and principals, get control of our ever increasing national debt, stop over reaching court mandates, protect life, and defend our constitution against destruction of the radical, socialist left! #ArnoldforAlabama",30,28,1,1,0,0,0,0,2697751287106630,ArnoldMooneyForAlabama,/story.php?story_fbid=2697751287106630&id=1441934166021688
Arnold Mooney for Alabama,,2020-01-12 18:05:46,"Birthday Blessings for the “baby” of our family. What a gift from the Lord you have been to us and to so many. Arrington, we love you dearly! “I have no greater joy than to hear that my children are walking in the truth.” 3 John 1:4",49,37,0,12,0,0,0,1,2696514687230290,ArnoldMooneyForAlabama,/story.php?story_fbid=2696514687230290&id=1441934166021688
