source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-03-04 10:10:53,History is written by those who show up.,142,96,0,46,0,0,0,1,522134655377807,BeeKay4ME,/story.php?story_fbid=522134655377807&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-03-03 06:14:50,-Don’t forget to vote today! -Also: please don’t let Bloomberg buy this election. -Also: talk with petition gatherers on the way out! The RCV repeal is likely going to be out in force and that’s definitely not one to sign without thinking... but Team BeeKay4ME is gonna be around York and Cumberland counties today! Come say hi!,70,52,0,17,1,0,0,3,521333655457907,BeeKay4ME,/story.php?story_fbid=521333655457907&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-28 18:47:28,The headline really says it all... but don’t miss the ending. The best way to fight money in politics is not to put it there in the first place.,13,10,0,2,0,0,1,0,519006799023926,BeeKay4ME,/story.php?story_fbid=519006799023926&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-28 11:27:17,"With apologies to the southern portion of York County, I am essentially driving The Whole Maine today. Looking forward to meeting up with Democrats in Aroostook County tomorrow and talking with folks about what it means to #ShowUpForME",67,43,0,21,3,0,0,5,518797199044886,BeeKay4ME,/story.php?story_fbid=518797199044886&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020,The Bowdoin Orient",The Bowdoin Orient,2020-02-26 14:15:06,"Had a wonderful time visiting Bowdoin!Saco-based public defender, Bre Kidman, is the first non-binary person to run for U.S.  Senate. They spoke at Howell House last week about their platform centered on campaign finance and election reform.",117,62,0,54,1,0,0,1,517576035833669,BeeKay4ME,/story.php?story_fbid=517576035833669&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-15 13:17:51,One more push to put some cash towards a fantastic cause! Tonight’s the night! Southern Maine Workers’ Center deserves your support!,48,24,7,15,0,1,1,14,510160846575188,BeeKay4ME,/story.php?story_fbid=510160846575188&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-13 02:37:38,"Southern Maine Workers’ Center is a POWERHOUSE of human rights organizing. I’ll be at their fundraiser this Saturday to put my heart into a Tenacious D classic. Please, please consider contributing to this organization and helping them get the resources they need to continue fighting to improve working conditions for Mainers. Contributions on this form DO NOT go to our campaign—they go DIRECTLY to SMWC.",47,26,2,19,0,0,0,8,508313976759875,BeeKay4ME,/story.php?story_fbid=508313976759875&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-05 17:05:13,"I was gonna wait until tomorrow to show off these beauties, but Trump got acquitted and I feel like folks could use something to look forward to. So. Get ready for Merch-You-Can’t-Buy! You shouldn’t buy elections, so you can’t buy our locally silk screened, upcycled merch. We’ll be giving these shirts (& patches & buttons) to folks who talk with Mainers about our campaign to #StopElectingTheRich and #ShowUpForME.  More details on how to get your GuilloTee tomorrow! In the meantime, remember: there is not going to be a more convenient revolution.",197,90,3,93,4,0,7,91,503335853924354,BeeKay4ME,/story.php?story_fbid=503335853924354&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-05 07:14:40,,107,62,3,41,0,0,1,12,503040643953875,BeeKay4ME,/story.php?story_fbid=503040643953875&id=188439558747320
"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",,2020-02-04 16:44:28,,58,44,2,10,0,0,2,0,502673287323944,BeeKay4ME,/story.php?story_fbid=502673287323944&id=188439558747320
