source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Bill Hagerty,,2020-05-01 20:26:02,#BeijingBiden has never taken the threat China poses seriously. America needs #FourMoreYears of President Donald J. Trump.,86,56,0,2,0,3,25,0,864783530663839,BillHagertyTN,/story.php?story_fbid=864783530663839&id=656263988182462
Bill Hagerty,,2020-05-01 19:32:25,Couldn't agree more. Hope our players are back on the field as soon as possible.,138,131,1,7,0,0,0,0,864758800666312,BillHagertyTN,/story.php?story_fbid=864758800666312&id=656263988182462
Bill Hagerty,,2020-05-01 18:45:46,The time is almost here! #TeamHagerty is ready for Movie Night. Join us TONIGHT at 8:00 PM CT in watching Red Dawn here:,2,2,0,0,0,0,0,0,864060067402852,BillHagertyTN,/story.php?story_fbid=864060067402852&id=656263988182462
Bill Hagerty,,2020-05-01 16:25:37,The Wuhan coronavirus highlights how critical it is to bring our strategic supply chains back to the United States.  Read my plan to bring jobs back to the United States →,14,14,0,0,0,0,0,0,864059124069613,BillHagertyTN,/story.php?story_fbid=864059124069613&id=656263988182462
Bill Hagerty,,2020-05-01 14:32:27,JOIN Team Hagerty #TogetherApart Pizza + Movie Night tonight at 8:00 PM CT for our Movie + Pizza Night! We’re watching a movie picked by you -- Red Dawn. RSVP:,2,1,0,1,0,0,0,0,864058104069715,BillHagertyTN,/story.php?story_fbid=864058104069715&id=656263988182462
Bill Hagerty,,2020-05-01 13:37:50,The media’s bias against Tara Reade is unfathomable.,159,119,0,2,1,20,16,0,864056860736506,BillHagertyTN,/story.php?story_fbid=864056860736506&id=656263988182462
Bill Hagerty,,2020-05-01 12:01:21,We must hold China accountable for the spread of the Wuhan coronavirus. SIGN if you agree  →,191,187,0,1,1,0,2,0,864056394069886,BillHagertyTN,/story.php?story_fbid=864056394069886&id=656263988182462
Bill Hagerty,,2020-05-01 10:35:00,"As your Senator, I will never stop fighting to stop sanctuary cities.",22,20,0,2,0,0,0,0,864055137403345,BillHagertyTN,/story.php?story_fbid=864055137403345&id=656263988182462
Bill Hagerty,,2020-05-01 09:01:00,Happy National Space Day!,22,22,0,0,0,0,0,0,864054904070035,BillHagertyTN,/story.php?story_fbid=864054904070035&id=656263988182462
Bill Hagerty,,2020-04-30 19:47:47,RSVP for our #TeamHagerty Pizza + Movie Night this TOMORROW here:,2,2,0,0,0,0,0,0,863908750751317,BillHagertyTN,/story.php?story_fbid=863908750751317&id=656263988182462
Bill Hagerty,,2020-04-30 18:45:58,Volunteers needed in Hamilton County for tornado damage cleanup:,13,9,0,0,1,3,0,0,863907724084753,BillHagertyTN,/story.php?story_fbid=863907724084753&id=656263988182462
Bill Hagerty,,2020-04-30 17:08:36,Simple: Tennessee loves President Donald J. Trump because he puts #AmericaFirst. SHARE if you agree!,201,175,0,26,0,0,0,0,863872850754907,BillHagertyTN,/story.php?story_fbid=863872850754907&id=656263988182462
Bill Hagerty,,2020-04-30 15:45:43,Communist China's negligence is reprehensible and further proves why we must bring our supply chain back onshore. This is unfathomable.,20,14,0,1,1,0,4,0,863834847425374,BillHagertyTN,/story.php?story_fbid=863834847425374&id=656263988182462
,,2020-04-30 16:00:09,NEXT: President Trump delivers remarks on protecting America’s seniors!,29,27,0,2,0,0,0,0,863855984089927,BillHagertyTN,/story.php?story_fbid=863855984089927&id=656263988182462
Bill Hagerty,,2020-04-30 14:36:21,Senator Tom Cotton is right. Communist China is an enemy. The Communist regime has been trying to steal our intellectual property through government-backed companies like Huawei. We must protect our nation's intelligence by cracking down on Chinese espionage.,55,55,0,0,0,0,0,0,863801564095369,BillHagertyTN,/story.php?story_fbid=863801564095369&id=656263988182462
Bill Hagerty,,2020-04-30 13:43:23,The Communist Chinese regime continues to spread disinformation and coercion across the globe. Americans see past these lies. This is the crime if the century and they must be held accountable.,70,42,3,1,0,0,24,0,863770990765093,BillHagertyTN,/story.php?story_fbid=863770990765093&id=656263988182462
Bill Hagerty,,2020-04-30 17:26:06,"""Joe Biden is Joe Biden"" according to Nancy Pelosi. Therefore Democrats like Pelosi and the Leftist media have chosen to disregard the sexual assault allegations made against Biden by Tara Reade. Disgusting.",262,135,1,1,6,10,109,0,863876674087858,BillHagertyTN,/story.php?story_fbid=863876674087858&id=656263988182462
Bill Hagerty,,2020-04-30 13:05:35,"Hillary Clinton and Joe Biden’s failed, socialist policies would only increase taxes and provide fewer choices for hard-working Americans. That’s why Tennesseans resoundingly rejected Hillary at the ballot box in 2016 and will do the same for Beijing Biden. Read more in The Tennessee Star:",462,369,5,4,2,21,60,0,863750117433847,BillHagertyTN,/story.php?story_fbid=863750117433847&id=656263988182462
Bill Hagerty,,2020-04-30 11:51:32,"WATCH how Nancy Pelosi answers questions regarding Joe Biden's accuser, Tara Reade. This is a complete contradiction to how she handled Brett Kavanaugh.",197,47,30,0,6,4,110,0,863712150770977,BillHagertyTN,/story.php?story_fbid=863712150770977&id=656263988182462
Bill Hagerty,,2020-04-30 10:47:50,"Great read from Sen. Marsha Blackburn outlining the hypocrisy of the Leftist media in regards to Joe Biden’s accuser, Tara Reade.",219,177,1,4,1,10,27,0,863624387446420,BillHagertyTN,/story.php?story_fbid=863624387446420&id=656263988182462
Bill Hagerty,,2020-04-30 10:36:16,"As your Senator, I will work with President Donald J. Trump to bring jobs back to the United States.  Read my plan:",44,41,0,3,0,0,0,0,863623394113186,BillHagertyTN,/story.php?story_fbid=863623394113186&id=656263988182462
Bill Hagerty,,2020-04-30 09:23:08,TOMORROW #TeamHagerty is hosting our third virtual Pizza + Movie Night. This week we are watching Red Dawn.  Join us by RSVPing here:,4,4,0,0,0,0,0,0,863619874113538,BillHagertyTN,/story.php?story_fbid=863619874113538&id=656263988182462
Bill Hagerty,,2020-04-29 22:05:30,Don’t miss out on Movie Night with #TeamHagerty this Friday at 8:00 PM CT. Order your favorite pizza from a local restaurant and enjoy while keeping company virtually!  RSVP here:,4,4,0,0,0,0,0,0,863325477476311,BillHagertyTN,/story.php?story_fbid=863325477476311&id=656263988182462
Bill Hagerty,,2020-04-29 20:34:50,"Important Fox News report on the way the Leftist media and Democrats have treated Joe Biden's accuser, Tara Reade, in comparison to Kavanaugh.",54,29,0,0,3,1,21,0,863284500813742,BillHagertyTN,/story.php?story_fbid=863284500813742&id=656263988182462
,,2020-04-29 14:55:42,Today's #COVID19 briefing starts at 3:00 CT / 4:00 ET. Tune in.  ASL Interpretation: http://bit.ly/2INLPep,3,3,0,0,0,0,0,0,863188204156705,BillHagertyTN,/story.php?story_fbid=863188204156705&id=656263988182462
Bill Hagerty,,2020-04-29 18:43:02,The WHO has parroted Communist China's talking points and helped spread the Wuhan coronavirus. It is unbelievable that yet another Democrat has chosen to side with them over the American people.,62,12,11,0,4,0,35,0,863235290818663,BillHagertyTN,/story.php?story_fbid=863235290818663&id=656263988182462
Bill Hagerty,,2020-04-29 15:55:53,"The Tennesseans I seek to represent in the Senate stand with Israel — and Tennesseans know that, as their Senator, I will support Israel. Read my oped in The Times of Israel →",287,258,0,29,0,0,0,0,863160857492773,BillHagertyTN,/story.php?story_fbid=863160857492773&id=656263988182462
Bill Hagerty,,2020-04-29 13:29:51,"""The Democrat Party bosses got the candidate they wanted, but it’s not a candidate who inspires the kind of support necessary to defeat Donald J. Trump."" - Kimberly Guilfoyle",55,48,5,0,2,0,0,0,863088437500015,BillHagertyTN,/story.php?story_fbid=863088437500015&id=656263988182462
Bill Hagerty,,2020-04-29 12:17:00,It’s #WallpaperWednesday. Check out our new #CheckInTN wallpaper →,43,43,0,0,0,0,0,0,863040497504809,BillHagertyTN,/story.php?story_fbid=863040497504809&id=656263988182462
Bill Hagerty,,2020-04-29 13:08:53,"Today, on Israel’s Independence Day, I restate my promise to work with President Donald J. Trump and stand strong with Israel in the U.S. Senate. #StandWithIsrael Read my policy plan here:",62,60,0,2,0,0,0,0,863077554167770,BillHagertyTN,/story.php?story_fbid=863077554167770&id=656263988182462
Bill Hagerty,,2020-04-29 11:38:40,"The WHO has been misleading people since the beginning. Strong, secure borders work.  WATCH:",56,53,0,2,0,1,0,0,863031490839043,BillHagertyTN,/story.php?story_fbid=863031490839043&id=656263988182462
Bill Hagerty,,2020-04-29 10:15:28,JOIN US this FRIDAY at 8:00 PM CT for PIZZA + MOVIE NIGHT! This week we are watching Red Dawn. RSVP and share with your friends here:,15,15,0,0,0,0,0,0,862978387511020,BillHagertyTN,/story.php?story_fbid=862978387511020&id=656263988182462
Bill Hagerty,,2020-04-29 08:50:00,"Happy Independence Day, Israel! America stands with you!",202,184,0,18,0,0,0,0,862920024183523,BillHagertyTN,/story.php?story_fbid=862920024183523&id=656263988182462
,,2020-04-29 09:56:27,,8,8,0,0,0,0,0,0,528193257869720,BillHagertyTN,/events/528193257869720?view=permalink&id=528193261203053
Bill Hagerty,,2020-04-28 21:53:09,#TeamHagerty had to join in on the 2 for 1 pizza Tuesdays at Jonathan's Grille in Germantown! #ShopLocal,25,25,0,0,0,0,0,0,862670564208469,BillHagertyTN,/story.php?story_fbid=862670564208469&id=656263988182462
Bill Hagerty,,2020-04-28 15:36:42,"The Sullivan County, TN Sheriff's Office is hosting a virtual fallen officer memorial May 15th dedicated to 11 officers that have passed away in the line of duty protecting the community of Sullivan County. I hope you join in honoring our brave heroes.",29,20,0,1,0,8,0,0,862482117560647,BillHagertyTN,/story.php?story_fbid=862482117560647&id=656263988182462
Bill Hagerty,,2020-04-28 16:58:07,The residents of Wuhan are speaking out about the Chinese Communist regime's claims of zero coronavirus patients in China. This is the greatest coverup in human history. Read more in Breitbart:,15,12,0,0,2,0,1,0,862519910890201,BillHagertyTN,/story.php?story_fbid=862519910890201&id=656263988182462
Bill Hagerty,,2020-04-28 16:18:41,"Crooked Hillary Clinton and Joe Beijing Biden are cut from the same cloth, they both come from the deepest depths of the Washington swamp. Tennesseans support President Donald J. Trump, because he’s fighting to drain the swamp and put America first. Read my full statement on Hillary endorsing Joe Biden here:",92,90,0,2,0,0,0,0,862501987558660,BillHagertyTN,/story.php?story_fbid=862501987558660&id=656263988182462
