source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Charles Booker,,2020-03-05 11:49:41,"So many Kentuckians are fighting to be heard at the ballot box, including my Uncle. He lost the right to vote 30 yrs ago. Although his voice was silenced, he committed his life to minister to and uplift others. Yesterday, I got to tell him he is restored.  This movement is about breaking down barriers to our future. It is a declarative statement that we all matter, and that we deserve to take this stand together. Proud to be on this journey with you. Let’s win this. Love y’all.",80,31,0,48,1,0,0,6,786896981820113,Booker4KY,/story.php?story_fbid=786896981820113&id=305380096638473
Charles Booker,,2020-03-04 16:20:46,,37,31,0,6,0,0,0,1,489616911719114,Booker4KY,/events/489616911719114?view=permalink&id=489616915052447
Charles Booker,,2020-03-03 20:56:28,"If you had to count the beans in a jar to vote, would you be able to? Today, the House passed SB 2 - Kentucky’s voter ID law. History tells us about the ills of voter suppression. From literacy tests to ID requirements, democracy has been denied for so many. It ain’t right.",173,116,2,13,0,20,22,6,785767165266428,Booker4KY,/story.php?story_fbid=785767165266428&id=305380096638473
Charles Booker,,2020-03-03 14:49:07,,26,23,0,3,0,0,0,0,536953986948656,Booker4KY,/events/536953986948656?view=permalink&id=536954000281988
Charles Booker,,2020-03-02 17:48:00,"HUGE NEWS!!!  As the youngest black state legislator in Kentucky in nearly 90 years, I am standing to fight for our future. To win this fight, we need a president who will stand on the front lines with us. We need a leader who will see us. A leader who actually cares about our lives. That’s why I am loudly endorsing Sen. Bernie Sanders.",811,437,1,368,4,0,1,66,785013562008455,Booker4KY,/story.php?story_fbid=785013562008455&id=305380096638473
Charles Booker,,2020-03-02 16:37:34,,18,15,0,3,0,0,0,0,528302464488252,Booker4KY,/events/528302464488252?view=permalink&id=528302471154918
Charles Booker,,2020-02-29 14:59:41,"I meet so many incredible people across the Commonwealth. It is the most inspiring thing. One of those very special Kentuckians is Ms. Sylvia Walters. A singer, organizer, and tireless advocate, Ms. Sylvia is a perfect example of the brilliance and fighting spirit found all across Kentucky.  Excited to hear that she is being recognized at the Roots101: African American Museum this evening. It is certainly well deserved! Just taking a moment to applaud a strong voice in our movement to win the future. 🙌🏾",77,62,0,15,0,0,0,0,783373275505817,Booker4KY,/story.php?story_fbid=783373275505817&id=305380096638473
Charles Booker,,2020-02-29 13:01:11,"We are often told about our differences. Barriers and silos are built, and we find ourselves unable to see the common bonds we share. From the hood to the holler, we are family. It is imperative that we see this truth and stand together. That’s how we will win the future.",94,63,0,30,1,0,0,2,783319005511244,Booker4KY,/story.php?story_fbid=783319005511244&id=305380096638473
Charles Booker,,2020-02-28 16:23:42,"If you’re wondering whether Kentucky is ready to win our future, you can put that question to bed! Kentuckians For The Commonwealth, a people powered movement fighting to uplift all Kentuckians, has endorsed me for U.S. Senate!!! When I deduced to run, it was because of warriors like KFTC. They showed the proof that now is the time. I believe in you. I’m standing with you. It’s go time.💪🏾 Bookerforkentucky.com",196,140,0,56,0,0,0,5,782730635570081,Booker4KY,/story.php?story_fbid=782730635570081&id=305380096638473
Charles Booker,,2020-02-27 12:10:52,,22,19,0,3,0,0,0,0,203029307711116,Booker4KY,/events/203029307711116?view=permalink&id=203029314377782
Charles Booker,,2020-02-27 10:45:47,"Kentuckians like Debbie give me hope. She is a powerful voice for all of us, but for years she was silenced at the polls because she had a record. My fight for restoration was inspired by folks like her. Now, because of Gov. Beshear’s Executive Order, she can vote. She hugged me, and showed me her registration card. ❤️",190,121,0,68,1,0,0,3,781864695656675,Booker4KY,/story.php?story_fbid=781864695656675&id=305380096638473
Charles Booker,,2020-02-26 20:47:53,Joyful warriors leading a movement to win out future. Beating Mitch is something to smile about. Great event in Frankfort tonight. Let’s keep this going. Chip in what you can - Bookerforkentucky.com,154,111,0,43,0,0,0,2,781465252363286,Booker4KY,/story.php?story_fbid=781465252363286&id=305380096638473
Charles Booker,,2020-02-25 18:24:36,"HUGE NEWS!!! The movement to beat Mitch and win our future is gaining momentum! Excited to share that The Collective PAC is standing for Kentucky, and has endorsed me for U.S. Senate! We are the change we demand. This moment is ours. Let’s win this thing. Bookerforkentucky.com",332,226,1,104,1,0,0,9,780470309129447,Booker4KY,/story.php?story_fbid=780470309129447&id=305380096638473
Charles Booker,,2020-02-24 21:58:35,"‪I am heartbroken. ‬ ‪When her son Antonio was murdered, she became a tireless advocate. Her pain inspired her to stand. As a result, she inspired us all. She was a force.‬ She was a mom fighting for the legacy of her child. ‪At the Moms Demand Action rally a week ago, I gave her a big hug. I told her that her strength helps me to keep going. It still does.‬ ‪Rest well, Ms. Anita. Thank you for letting us survivors know that our pain is for a purpose. Thank you for being a light. My heart is full knowing you are with Antonio again.",378,120,0,100,0,158,0,10,778705329305945,Booker4KY,/story.php?story_fbid=778705329305945&id=305380096638473
Charles Booker,,2020-02-24 10:32:43,"Ms. Katherine Johnson helped send a nation into the stars. She pushed through the barriers of racism and sexism, and blazed a trail for future generations. A sheroic life of leadership, courage, bold vision, and determination. We are all blessed to be in her legacy. Hidden no more. Rest well, Dear Queen. We thank you.",166,86,0,76,0,4,0,2,778397772670034,Booker4KY,/story.php?story_fbid=778397772670034&id=305380096638473
Charles Booker,,2020-02-23 20:21:24,"So good to spend time in Mayfield today sharing our vision to win the future, and even more fortunate to see Representative Attica Scott when I showed up for the city’s Black History Month program.  Inspired to make more history/herstory/theirstory when we win this U.S. Senate race.✊🏾",407,279,0,128,0,0,0,7,778002856042859,Booker4KY,/story.php?story_fbid=778002856042859&id=305380096638473
Charles Booker,,2020-02-22 12:32:50,"I’m taking this stand because I love you. I see you, I honor your humanity, and I proudly stand by your side. This week, I joined fellow Kentuckians for the Fairness rally at the rotunda. We will win this fight in Frankfort, and in D.C. ✊🏾",455,278,0,177,0,0,0,17,777054996137645,Booker4KY,/story.php?story_fbid=777054996137645&id=305380096638473
Charles Booker,,2020-02-21 17:39:33,"Just because you are poor doesn’t mean you are deficient. Needing assistance for food and healthcare doesn’t mean you are fraudulent, lazy, or morally inept.  Healthcare is a right, period. HB 1 grossly disregards that fact, and creates the possibility of Kentuckians being permanently banned from the food and resources they need to live. I voted NO.",334,230,0,99,1,4,0,30,775944172915394,Booker4KY,/story.php?story_fbid=775944172915394&id=305380096638473
Charles Booker,,2020-02-21 16:15:10,,20,16,1,3,0,0,0,0,503528007212067,Booker4KY,/events/503528007212067?view=permalink&id=503528020545399
Charles Booker,,2020-02-21 15:21:05,,16,12,0,4,0,0,0,0,1047340102292719,Booker4KY,/events/1047340102292719?view=permalink&id=1047364005623662
Charles Booker,,2020-02-20 17:07:21,"‪Honored to be a part of making history, herstory, theirstory, and ourstory today.‬ ‪Moments ago, the Kentucky House of Representatives passed a bill to legalize medical cannabis. Proud to co-sponsor this important step toward helping families ease their pain.‬ ‪A good day, indeed.‬",635,446,0,186,2,0,1,27,775195882990223,Booker4KY,/story.php?story_fbid=775195882990223&id=305380096638473
Charles Booker,,2020-02-19 20:18:00,"I never thought I would talk so much about something that is so difficult for me.  I grew up being ashamed to admit that I am a Type 1 Diabetic. Now, I am grateful that I can use my testimony to make a difference. This afternoon, we made a difference. HB 12 was brought up for a vote in the House today...and it passed! A step closer to winning Insulin for All. 🙏🏾",341,215,0,126,0,0,0,14,774032776439867,Booker4KY,/story.php?story_fbid=774032776439867&id=305380096638473
Charles Booker,,2020-02-19 17:43:54,"Today was Diabetes Day at the Capitol. I joined many determined Kentuckians in the rotunda to share why I am co-sponsoring HB 12 and HB 21, and why I am absolutely dedicated to winning Insulin for All. This was before our big vote on HB 12 today. Doctors said that because of my diabetes, I’d be blind before 25. Well, I am 35 now, and my vision for a brighter Kentucky is clear. Honored to be in this fight with you. 🙏🏾",195,141,0,54,0,0,0,6,773972646445880,Booker4KY,/story.php?story_fbid=773972646445880&id=305380096638473
Charles Booker,,2020-02-18 19:01:49,"Proud to be a co-sponsor of HB 12. This bill will cap monthly co-pays for insulin to $100, and get us even closer to winning #Insulin4all   This is not about politics for me. We don’t have time for talking points. I’m fighting for you because I have lived this struggle...and nearly died from it. I’m fighting because healthcare is absolutely a right. I’m fighting because I give a damn. So much more work to do, but this is the type of leadership that can help us get there. I’m honored to stand by your side...in Frankfort, and soon, in Washington.",519,371,0,147,1,0,0,19,772737576569387,Booker4KY,/story.php?story_fbid=772737576569387&id=305380096638473
Charles Booker,,2020-02-17 15:56:51,,55,44,0,11,0,0,0,3,658850494656839,Booker4KY,/events/658850494656839?view=permalink&id=658850504656838
Charles Booker,,2020-02-16 18:47:43,Solar in the mountains. Let’s build a brighter future for our Commonwealth.💪🏾,779,572,0,207,0,0,0,19,770513816791763,Booker4KY,/story.php?story_fbid=770513816791763&id=305380096638473
Charles Booker,,2020-02-16 12:59:13,"Even in difficult times, Kentuckians are leading toward a sustainable future. While in Whitesburg, I met with Mimi, an incredible leader who is using solar to help power a community media arts center called Appalshop.  Leadership like this is how we break barriers to not only the arts, but our future. #GreenNewDealTour",357,268,0,89,0,0,0,7,770347850141693,Booker4KY,/story.php?story_fbid=770347850141693&id=305380096638473
Charles Booker,,2020-02-15 09:46:03,"Our support for a Green New Deal isn’t about politics or outside interests. It’s about good jobs, a healthy environment, and a thriving economy that uplifts us all. It is about us taking our power back from corporate greed that cares nothing about us. It is about our love for one another, and our Commonwealth. In Letcher Co., I met Ms. Gwen, a business owner using energy efficiency to sustain her local grocery. She working on installing solar next. This is how we lead to win the future.  #GreenNewDeal #KentuckyNewDeal",454,324,1,129,0,0,0,12,769556436887501,Booker4KY,/story.php?story_fbid=769556436887501&id=305380096638473
Charles Booker,,2020-02-14 12:20:49,"My Valentines. Here’s to celebrating love...today, and every day. ❤️",449,291,0,158,0,0,0,9,768105253699286,Booker4KY,/story.php?story_fbid=768105253699286&id=305380096638473
Charles Booker,,2020-02-13 14:57:02,,132,110,0,22,0,0,0,1,121669389246244,Booker4KY,/events/121669389246244?view=permalink&id=121709835908866
Charles Booker,,2020-02-12 18:02:34,"Today was an inspiring reminder that we all have important part to play in building the future we deserve. Our unique journeys, our challenges, and our testimonies help make us advocates. In short, your voice matters. Eric has been fighting to legalize cannabis for years. I see him in the halls every day. No matter how much he is hurting, he keeps speaking up. When I co-sponsored HB 136 to legalize medical cannabis, I told him I was honored to fight by his side. We got a big win today. HB 136 passed out of committee. The bill is far from perfect. There is so much more work to be done to help families heal, address structural inequity, and properly invest in the people of Kentucky. That said, this is an important step. Proud to vote YES today. Eric, thank you Brother. 🙏🏾",154,110,0,44,0,0,0,7,765767453933066,Booker4KY,/story.php?story_fbid=765767453933066&id=305380096638473
Charles Booker,,2020-02-11 23:35:49,"Honored to participate in this year’s Black History Celebration at the KY State Capitol. Especially proud to help pay tribute to Col. Charles Young, a man who fought past racism and discrimination to blaze a trail for generations to follow. With his posthumous honor today, we now refer to him as General. Humbled to stand on the shoulders of history. Grateful to be surrounded by history. Inspired to make history in my own right. A truly inspiring day.",148,112,0,36,0,0,0,2,765212627321882,Booker4KY,/story.php?story_fbid=765212627321882&id=305380096638473
Charles Booker,,2020-02-10 15:10:18,"All day. Everyday. I do this for the people. I do it for you. We are the movement, and this moment is ours.✊🏾",795,553,1,240,1,0,0,18,764341974075614,Booker4KY,/story.php?story_fbid=764341974075614&id=305380096638473
Charles Booker,,2020-02-09 21:06:41,"To build a future that is brighter and safer for all Kentuckians, it is critical that we come together and understand different perspectives. Working with representatives from all parts of the Commonwealth has given me the opportunity to fully appreciate the importance of this truth.  I wanted to share some of my remarks on a very tense discussion regarding SB 8. The bill is intended to promote school safety, and has many good elements to do just that. That said, there is a major unfunded mandate with the bill. In addition, there is a significant blindspot regarding the state removing local discretion over whether School Resource Officers should be armed. I know this is a full debate. I respect that. Be sure to follow the session and stay engaged on all of these challenging conversations.",157,114,0,42,0,1,0,8,763828690793609,Booker4KY,/story.php?story_fbid=763828690793609&id=305380096638473
Charles Booker,,2020-02-07 15:03:12,"Our communities and our planet depend on putting climate justice front and center. This is not a partisan issue, it’s a life-or-death issue. Change can’t wait. We’re demanding a Green New Deal.",268,161,1,17,23,61,5,9,762291044280707,Booker4KY,/story.php?story_fbid=762291044280707&id=305380096638473
Charles Booker,,2020-02-06 22:10:20,"We honor Black History by fighting for equity every single day. It is work that requires all of us. Today, I filed HB 396. This bill would ensure more representation of people of color in the screening process for school superintendents in relation to the make up of the student population. Our families need this. Kentucky deserves this. Honored to lead for greater equity in the advancement of public education in Kentucky. Proud to stand with JCPS Superintendent Dr. Marty Polio, Board Chair Diane Porter, Board Member Brady, and Board Member Craig as we push this bill. So much more work to do to remove barriers of inequity facing our students, faculty, and families...but this is an important step.",330,242,0,88,0,0,0,6,761797347663410,Booker4KY,/story.php?story_fbid=761797347663410&id=305380096638473
Charles Booker,,2020-02-06 14:17:16,Mitch McConnell is the type of guy who can only be defeated by a movement. Donate $10 or whatever you can right now to join the movement and kick Mitch out of office once and for all:,79,58,3,17,1,0,0,3,761589041017574,Booker4KY,/story.php?story_fbid=761589041017574&id=305380096638473
Charles Booker,,2020-02-05 18:28:18,"Mitch McConnell abandoned his constitutional duty — and he’ll sleep tonight just fine. He doesn’t care what principles he has to abandon, or about the people of Kentucky. Mitch gotta go. Donate to make that happen:",202,161,0,37,0,3,1,7,761063757736769,Booker4KY,/story.php?story_fbid=761063757736769&id=305380096638473
Charles Booker,,2020-02-05 14:42:40,,110,93,0,17,0,0,0,1,198625137925074,Booker4KY,/events/198625137925074?view=permalink&id=198625144591740
Charles Booker,,2020-02-03 19:00:16,It’s National Gun Violence Survivors Week — and I’m reminded of the trauma of losing my cousins to gun violence every day.  We must act on commonsense gun safety reform immediately. Our futures depend on it.,237,164,0,72,0,0,1,9,759731637869981,Booker4KY,/story.php?story_fbid=759731637869981&id=305380096638473
Charles Booker,,2020-02-02 15:39:06,"Whether you are rooting for a team, preparing for some wings, or just waiting for the commercials, take a minute today to help us kick Mitch out!!! Chip in here - https://secure.actblue.com/donate/cb-social?refcode=2020202fb Building a movement in KY...even with dad moves!😉🏈 #SuperBowlLIV #GirlDad #MitchGottaGo",511,301,2,208,0,0,0,19,759010217942123,Booker4KY,/story.php?story_fbid=759010217942123&id=305380096638473
Charles Booker,,2020-02-01 12:31:00,Working to break down barriers to democracy. Working to empower your voice. Change will only happen if we stand and demand it. That’s what this movement is about. I got you.,595,435,2,156,1,1,0,17,758245081351970,Booker4KY,/story.php?story_fbid=758245081351970&id=305380096638473
Charles Booker,,2020-01-31 20:43:55,"While Mitch is working overtime to hide the truth from the American people, I’m fighting to make sure the people of Kentucky have health care, clean air and water, and a universal basic income. Donate to keep up the momentum ahead of tonight’s midnight end-of-month deadline:",147,110,1,35,0,0,1,7,757781384731673,Booker4KY,/story.php?story_fbid=757781384731673&id=305380096638473
Charles Booker,,2020-01-30 16:55:04,"My whole family finds it hard to say no to Sasha’s puppy dog eyes. Today, she has a question for you: Will chip in to my campaign ahead of tomorrow’s midnight deadline? Donate here: bit.ly/2GEIRYx.",93,60,0,33,0,0,0,4,757008938142251,Booker4KY,/story.php?story_fbid=757008938142251&id=305380096638473
Charles Booker,,2020-01-29 22:45:21,"‪Let me be abundantly clear...I am hands down, flat out, and absolutely proud to be a Girldad.❤️❤️‬ ‪#girldad ‬",965,518,1,445,1,0,0,13,756400378203107,Booker4KY,/story.php?story_fbid=756400378203107&id=305380096638473
"Charles Booker,Kevin D. Bratcher",,2020-01-29 18:12:14,"We’re two days away from our first federal deadline, and Mitch McConnell has $11.5 million in the bank. His campaign is fueled by corporate money. We need to fight back. Will you chip in whatever you can to my campaign for U.S. Senate?We passed a bill in the House today to prevent Registered Sex Offenders from being around publicly leased playgrounds. (A loophole closed).",123,92,0,31,0,0,0,8,756284674881344,Booker4KY,/story.php?story_fbid=756284674881344&id=305380096638473
Charles Booker,,2020-01-28 16:56:49,"A fellow Kentuckian from Campbell County made this amazing piece as a tribute to the movement. I am humbled. I am inspired. I am grateful. This moment is about us. I am not the alternative to Mitch McConnell...WE are. Kentucky, let’s do this.",684,426,0,254,3,1,0,12,755605844949227,Booker4KY,/story.php?story_fbid=755605844949227&id=305380096638473
Charles Booker,,2020-01-27 17:18:41,"My daughters saved my life. They opened my eyes to my future, and showed me a level of love I never knew existed. They made me understand why my mom hugs me so tightly. They are my wings. Just taking a moment to be grateful.",617,358,0,259,0,0,0,13,754993745010437,Booker4KY,/story.php?story_fbid=754993745010437&id=305380096638473
