source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Bush For Senate,,2020-04-27 19:14:11,"Was a privilege to join so many fine, freedom loving Tennesseans today making sure our state legislators know it's time to safely restore our communities.  So many families are struggling to pay their bills and take care of each other--let's get back to work as much as possible, as soon as possible! Stay safe friends!",27,22,0,5,0,0,0,0,174022960758919,BushforSenate,/story.php?story_fbid=174022960758919&id=105334957627720
"Bush For Senate,Donald J. Trump",,2020-04-20 08:38:38,"Do you agree with Congressman Dan Crenshaw?BRILLIANT, A MUST WATCH!  Congressman Dan Crenshaw",4,4,0,0,0,0,0,0,172061880955027,BushforSenate,/story.php?story_fbid=172061880955027&id=105334957627720
Bush For Senate,,2020-04-18 17:09:20,"In case you missed it, we had exciting news heading into the weekend--we successfully defeated the rather underhanded attempt of an opposing campaign to challenge my place on the ballot.  I'll keep working hard to earn your vote in the August primary!  http://onthehill.tnjournal.net/bush-is-back-senate-candidate-restored-to-gop-ballot/",22,17,0,5,0,0,0,0,171621014332447,BushforSenate,/story.php?story_fbid=171621014332447&id=105334957627720
Bush For Senate,,2020-04-17 15:27:25,"GOOD NEWS!  We've won our candidacy challenge. Let's work together to bring the strong conservative leadership we need in the US Senate.  We can face these challenges with faith, not fear!  See our press release here: https://tinyurl.com/y8c7fosv",24,18,0,6,0,0,0,0,171325397695342,BushforSenate,/story.php?story_fbid=171325397695342&id=105334957627720
Bush For Senate,,2020-04-16 13:38:00,,26,23,0,3,0,0,0,0,171044391056776,BushforSenate,/story.php?story_fbid=171044391056776&id=105334957627720
"Bush For Senate,Donald J. Trump",,2020-04-12 09:12:03,Happy Easter Tennessee!!HAPPY EASTER!,79,62,0,17,0,0,0,0,169914174503131,BushforSenate,/story.php?story_fbid=169914174503131&id=105334957627720
Bush For Senate,,2020-04-09 20:21:20,"Five years ago I took this pic while flying at sunset.  The CROSS... though unseen during my flight gave me assurance that He was there all the time.  I posted,  ""What's so good about Good Friday?"" After all Jesus came, lived among us a sinless life and was put on trial on this day 2000 years ago.   Jesus was asked,  ""WHAT IS TRUTH?"" Pilate must have seen something in the eyes of Jesus because he then went out and spoke the truth... ""I find in Him no fault at all...!"" Soon after, Jesus was crucified... for you... for me.  But it's what happened on the third day that made Good Friday... good! JESUS AROSE... and LIVES.  He gives us purpose and meaning. That's why... ""IT MATTERS...""",43,33,0,10,0,0,0,0,169195594574989,BushforSenate,/story.php?story_fbid=169195594574989&id=105334957627720
Bush For Senate,,2020-04-05 21:51:33,,11,8,0,3,0,0,0,0,168084284686120,BushforSenate,/story.php?story_fbid=168084284686120&id=105334957627720
Bush For Senate,,2020-04-05 20:31:33,The beginning of HOLY WEEK,36,30,0,6,0,0,0,0,168072341353981,BushforSenate,/story.php?story_fbid=168072341353981&id=105334957627720
Bush For Senate,,2020-04-05 17:15:25,,18,18,0,0,0,0,0,0,168016454692903,BushforSenate,/story.php?story_fbid=168016454692903&id=105334957627720
Bush For Senate,,2020-03-24 11:16:13,Shameful 🤬,52,14,0,0,1,3,34,0,164459168381965,BushforSenate,/story.php?story_fbid=164459168381965&id=105334957627720
Bush For Senate,,2020-03-20 10:04:30,Life MATTERS,41,35,0,6,0,0,0,0,163231895171359,BushforSenate,/story.php?story_fbid=163231895171359&id=105334957627720
Bush For Senate,,2020-03-12 22:22:52,"Thrilled to join so many fellow patriots at the Hancock County Republican Party Lincoln Day Dinner this weekend. The year is off to a tough start, but we are going to work together to do great things for our country! GOP Donald J. Trump",32,28,0,4,0,0,0,0,161077602053455,BushforSenate,/story.php?story_fbid=161077602053455&id=105334957627720
Bush For Senate,,2020-03-10 12:06:37,Tennessee is “pulling together with faith and resilience”. Amen. 🙏🏻,27,25,0,2,0,0,0,0,160414065453142,BushforSenate,/story.php?story_fbid=160414065453142&id=105334957627720
"Bush For Senate,Donald J. Trump",,2020-03-06 16:21:13,"God Bless you President Donald J. Trump!!My Administration is with you all of the way, Tennessee. We love you!",181,145,0,34,1,0,1,0,159856748842207,BushforSenate,/story.php?story_fbid=159856748842207&id=105334957627720
Bush For Senate,,2020-03-06 09:16:45,The Trump economy keeps rolling!! 🇺🇸🚂,31,23,0,6,1,0,1,0,159202452240970,BushforSenate,/story.php?story_fbid=159202452240970&id=105334957627720
"Bush For Senate,Nashville Predators",,2020-03-03 09:45:34,"Dear Smashville Fam,  We love you and we want to help. We will be serving pizza at Bridgestone Arena beginning at 11 a.m. for all those affected by last night's storm. Please feel welcome to come and bring anyone who needs it. 💛🍕 Love,  Us",7,6,0,1,0,0,0,0,148900103271205,BushforSenate,/story.php?story_fbid=148900103271205&id=105334957627720
"Bush For Senate,Donald J. Trump",,2020-03-03 12:35:27,#PrayForNashville#PrayForNashville,67,52,0,8,0,6,1,0,148878159940066,BushforSenate,/story.php?story_fbid=148878159940066&id=105334957627720
Bush For Senate,,2020-03-03 12:21:39,God Bless President Donald J. Trump!,161,116,0,27,2,15,1,0,148853899942492,BushforSenate,/story.php?story_fbid=148853899942492&id=105334957627720
Bush For Senate,,2020-03-03 12:17:14,If you want to help those impact by last nights storm please check with your church or community organizations. Tennessee is strong and we will join together to rebuild and heal. God bless you. 🙏🏻,28,21,0,0,1,6,0,0,148852116609337,BushforSenate,/story.php?story_fbid=148852116609337&id=105334957627720
"Bush For Senate,Donald J. Trump",,2020-03-03 09:50:09,Thank you President Donald J. Trump.Prayers for all of those affected by the devastating tornadoes in Tennessee. We will continue to monitor the developments. The Federal Government is with you all of the way during this difficult time.,42,37,0,3,0,1,1,0,148794819948400,BushforSenate,/story.php?story_fbid=148794819948400&id=105334957627720
Bush For Senate,,2020-03-03 09:50:24,"May we lift up in prayer those impacted by the devastating tornado last night. God bless our first responders and all who banded together to help neighbors, family and strangers. We are strong. We are Tennessee.  God Bless. ￼🙏🏻",65,39,0,5,1,20,0,0,148276776666871,BushforSenate,/story.php?story_fbid=148276776666871&id=105334957627720
Bush For Senate,,2020-03-02 17:21:13,“Largest-ever points gain for the 30-stock average” Our markets and economy are resilient thanks to the leadership and pro-growth policies of President Donald J. Trump. 🇺🇸🇺🇸,42,38,0,4,0,0,0,0,141350910692791,BushforSenate,/story.php?story_fbid=141350910692791&id=105334957627720
Bush For Senate,,2020-02-26 15:11:55,"Do you like having the ability to choose your own health care plan? Well, elections have consequences. If the Democrats achieve their goal of socialized medicine, you'll no longer have any choice. Career politicians will decide what your care will look like, then force you to abide by it. We can do better, it matters! 🇺🇸",13,11,0,0,0,2,0,0,139858597508689,BushforSenate,/story.php?story_fbid=139858597508689&id=105334957627720
Bush For Senate,,2020-02-24 18:01:09,"Do you support President Donald J. Trump? As your next Senator I will work with our President to continue to deliver results for America. What a great opportunity we have, let’s not squander it!! 🇺🇸",194,160,0,33,0,0,1,0,139268314234384,BushforSenate,/story.php?story_fbid=139268314234384&id=105334957627720
,,2020-02-19 19:47:26,Live with Byron Bush! Tennessee Senate Candidate,2,2,0,0,0,0,0,0,137880471039835,BushforSenate,/story.php?story_fbid=137880471039835&id=105334957627720
Bush For Senate,,2020-02-17 14:13:47,"Today, we celebrate those whose leadership has shaped our nation-- from President George Washington to President Donald J. Trump! #PresidentsDay",60,53,0,7,0,0,0,0,137030861124796,BushforSenate,/story.php?story_fbid=137030861124796&id=105334957627720
Bush For Senate,,2020-02-14 15:18:44,We ❤️ our supporters! #HappyValentinesDay,24,20,0,4,0,0,0,0,136155944545621,BushforSenate,/story.php?story_fbid=136155944545621&id=105334957627720
Bush For Senate,,2020-02-10 17:21:25,Amen 🇺🇸,104,88,0,13,2,0,1,0,134881811339701,BushforSenate,/story.php?story_fbid=134881811339701&id=105334957627720
Bush For Senate,,2020-02-07 11:44:03,Thank you Mr. President and our US Military.,156,137,0,17,1,0,1,0,133909188103630,BushforSenate,/story.php?story_fbid=133909188103630&id=105334957627720
Bush For Senate,,2020-02-06 13:51:20,"Happy Birthday, President Ronald Reagan! 🇺🇸",68,58,0,10,0,0,0,0,133662498128299,BushforSenate,/story.php?story_fbid=133662498128299&id=105334957627720
Bush For Senate,,2020-02-05 16:28:28,Still. Your. President. 🇺🇸,237,184,0,52,0,0,1,0,133411004820115,BushforSenate,/story.php?story_fbid=133411004820115&id=105334957627720
Bush For Senate,,2020-02-05 00:21:59,In God We Trust #SOTU 🇺🇸,33,31,0,2,0,0,0,0,133209638173585,BushforSenate,/story.php?story_fbid=133209638173585&id=105334957627720
Bush For Senate,,2020-02-05 00:19:32,Speaker Pelosi just ripped up the story of a Tuskegee Airman. A child receiving the opportunity to go to the school of her choice. The survival of a child born at 21 weeks. The mourning families of Rocky Jones and Kayla Mueller. A service member's reunion with his family. That's her legacy.,119,43,2,0,1,25,48,0,133209164840299,BushforSenate,/story.php?story_fbid=133209164840299&id=105334957627720
,,2020-02-04 20:40:16,Watch my State of the Union address Text TRUMP to 88022 for Campaign Updates!,29,22,0,5,0,0,2,0,133166588177890,BushforSenate,/story.php?story_fbid=133166588177890&id=105334957627720
Bush For Senate,,2020-02-04 00:08:49,"The big wait for which Democrat won Iowa continues. Does it matter? They are all indistinguishable on policy. They all believe in government. I believe in you. Join us, because it matters!! www.bushforsenate.com",22,18,0,4,0,0,0,0,132918781536004,BushforSenate,/story.php?story_fbid=132918781536004&id=105334957627720
"Bush For Senate,Donald J. Trump",,2020-02-03 23:29:43,🇺🇸🇺🇸Big WIN for us in Iowa tonight. Thank you!,39,32,1,5,0,0,1,0,132913621536520,BushforSenate,/story.php?story_fbid=132913621536520&id=105334957627720
Bush For Senate,,2020-02-03 16:16:23,I personally know how cancer can destroy a family. Keeping Rush Limbaugh in our thoughts and prayers.,123,60,0,7,0,56,0,0,132840571543825,BushforSenate,/story.php?story_fbid=132840571543825&id=105334957627720
Bush For Senate,,2020-02-02 12:29:31,"Looking forward to watching #SuperBowl LIV with family & friends today.  Minor technical glitch means it will be a game of the NFL’s 2nd and 3rd best teams since our Tennessee Titans had prior commitments, but it will still be an exciting game.  Check out our TV ads as we get in on the action.  Tennessee deserves better.  Join Bush for Senate to #draintheswamp in DC and TN. https://www.bushforsenate.com/post/dr-byron-bush-unveils-major-super-bowl-ad-buy",14,12,0,2,0,0,0,0,132541121573770,BushforSenate,/story.php?story_fbid=132541121573770&id=105334957627720
Bush For Senate,,2020-01-31 20:43:38,"""This latest Bush for Senate advertising buy includes multiple TV ads airing in the pre- and post-game lineup, as well as coverage in the coveted live Super Bowl game.""  ""...will reach millions of registered Tennessee voters before, during, and after the Super Bowl game.""",32,24,0,8,0,0,0,0,132058688288680,BushforSenate,/story.php?story_fbid=132058688288680&id=105334957627720
Bush For Senate,,2020-01-28 22:44:46,Click on the link to view! https://vimeo.com/387504832/d933fc1509,18,15,0,3,0,0,0,0,131073081720574,BushforSenate,/story.php?story_fbid=131073081720574&id=105334957627720
Bush For Senate,,2020-01-28 22:21:28,Byron Bush for US Senate is now scheduling events and speaking engagements.  Please contact our campaign at 615-999-8741 or byron@bushforsenate.com for more information.,10,10,0,0,0,0,0,0,131070085054207,BushforSenate,/story.php?story_fbid=131070085054207&id=105334957627720
Bush For Senate,,2020-01-23 22:09:01,"""I've saved all my money. [My daughter] doesn't have any student loans. Am I going to get my money back?"" @eWarren: ""Of course not."" 🤯 How does this make any sense?? When liberal Democrats steal taxpayers hard-earned money to reward others irresponsibility your family gets stuck with the bill. Elizabeth Warren and other Democrats think they know better than you. I am going to Washington to fight for you and your family, because it matters!",21,14,0,3,1,0,3,0,129426468551902,BushforSenate,/story.php?story_fbid=129426468551902&id=105334957627720
Bush For Senate,,2020-01-23 14:16:24,"Following this impeachment trial causes me to wonder WHY all of this energy couldn't/shouldn't be used for a more productive purpose. We see the corruption in Washington and yet... we have a Tennessee ""Swamp to Drain"". Kelly and I have seen this firsthand. It is my desire and goal to represent Tennessee in Washington with integrity and principle. Please join our campaign today!  Because it matters!!  www.bushforsenate.com",29,24,0,4,0,1,0,0,129336468560902,BushforSenate,/story.php?story_fbid=129336468560902&id=105334957627720
Bush For Senate,,2020-01-20 11:03:51,"Dr. Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia. He took his message of racial equality to the doorstep of the “People’s House,” bringing the Civil Rights Movement—and ultimately human rights—into a new era. From 1958 to 1965, Dr. King and fellow civil rights leaders met with Presidents Eisenhower, Kennedy, and Johnson at the White House to advocate for full citizenship rights for African Americans. Dr. King’s work led to landmark civil rights and poverty legislation. In 1964, Dr. King came to the White House East Room to witness President Lyndon B. Johnson sign the Civil Rights Act, which guaranteed equal access to public places and outlawed racial discrimination. Tragically, Dr. King was assassinated less than four years later, in 1968. In 1983, President Ronald Reagan signed the bill that created a federal holiday in honor of Dr. King. In 1994, President Bill Clinton declared it a national day of service, calling on Americans across the nation to continue to fulfill Dr. King’s dream through good works and volunteering.",17,15,0,2,0,0,0,0,128200498674499,BushforSenate,/story.php?story_fbid=128200498674499&id=105334957627720
Bush For Senate,,2020-01-19 17:20:42,Go Tennessee Titans!! 🏈🏈🏈,24,22,0,2,0,0,0,0,127935132034369,BushforSenate,/story.php?story_fbid=127935132034369&id=105334957627720
Bush For Senate,,2020-01-13 18:20:18,"Have some extra time? Want to help Dr. Byron Bush fight for Tennessee in the U.S. Senate?  Get involved and join our team. Volunteer opportunities include walking door-to-door, phone banking, passing out yard signs, fundraising, working events and more! Sign up today: https://www.bushforsenate.com/get-involved #TN #Senate #GOP #2020election #BushforSenate",25,21,0,4,0,0,0,0,125247588969790,BushforSenate,/story.php?story_fbid=125247588969790&id=105334957627720
Bush For Senate,,2020-01-11 23:32:03,Titan's Victory!,14,11,0,3,0,0,0,0,124460702381812,BushforSenate,/story.php?story_fbid=124460702381812&id=105334957627720
Bush For Senate,,2020-01-09 15:09:37,Happy  ,28,25,0,3,0,0,0,0,123574885803727,BushforSenate,/BushforSenate/photos/a.107419507419265/123574885803727
Bush For Senate,,2020-01-08 20:27:41,"Kelly and I were devastated to hear of the passing of Officer Bristol. His wife and daughter will be in our prayers. We need leaders who support law enforcement and the incredible work they do keeping #TN safe. As your Senator, I will not tolerate sanctuary cities and anti-police policies.  https://mailtrack.io/trace/link/ef918783e02034f2c3af2cccc574b413ab533690?url=https%3A%2F%2Fwww.tennessean.com%2Fstory%2Fnews%2Flocal%2Fsumner%2Fhendersonville%2F2020%2F01%2F07%2Ffamily-and-fellow-officers-pay-respects-hendersonville-sgt-spencer-bristol%2F2832433001%2F&userId=1147037&signature=9e7e3d1b2fe09891",20,16,0,2,0,2,0,0,123273032500579,BushforSenate,/story.php?story_fbid=123273032500579&id=105334957627720
Bush For Senate,,2020-01-07 19:06:50,,9,9,0,0,0,0,0,0,122837089210840,BushforSenate,/story.php?story_fbid=122837089210840&id=105334957627720
Bush For Senate,,2020-01-03 20:01:14,A message from Dr Bush...,10,8,0,2,0,0,0,0,121241716037044,BushforSenate,/story.php?story_fbid=121241716037044&id=105334957627720
Bush For Senate,,2020-01-01 21:18:10,‪Happy New Year! I hope everyone enjoyed time with their family and friends. God Bless 🇺🇸 #TN #HappyNewYear ‬,7,7,0,0,0,0,0,0,120420956119120,BushforSenate,/story.php?story_fbid=120420956119120&id=105334957627720
Bush For Senate,,2019-12-30 11:17:50,"This is Jack Wilson. The courageous hero who stopped the shooter at West Freeway Church of Christ in Texas. Because of his bravery, the shooting was over in a matter of seconds saving countless lives. And it was because of his Second Amendment rights that Jack was able to jump into action. As your next Senator, I will fight to protect your Second Amendment rights.",15,13,0,2,0,0,0,0,119306106230605,BushforSenate,/story.php?story_fbid=119306106230605&id=105334957627720
