source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Captain Mark Kelly,,2020-03-06 14:44:47,Washington is doing nothing to lower the cost of health care for Arizonans. We need leaders who will protect those with pre-existing conditions and work to drive down costs.,246,193,0,3,2,37,11,26,2746388938749680,CaptMarkKelly,/story.php?story_fbid=2746388938749680&id=163148530407080
"Captain Mark Kelly,NASA - National Aeronautics and Space Administration",NASA - National Aeronautics and Space Administration,2020-02-11 16:15:17,"This is your reminder that applications are now open for the next class of NASA - National Aeronautics and Space Administration astronauts. If you think you’ve got what it takes then send in that application. After all, they let my brother in (NASA Astronaut Scott Kelly) so it can’t be that hard. #BeAnAstronautNeed some space? We’ve got the job for you! 👩‍🚀🚀🌕 We’re accepting applications March 2-31 for the next class of #Artemis Generation astronauts. Find out if you have what it takes to #BeAnAstronaut: https://go.nasa.gov/2vkC1F7",227,173,36,17,1,0,0,5,2744613795593861,CaptMarkKelly,/story.php?story_fbid=2744613795593861&id=163148530407080
Captain Mark Kelly,,2020-03-04 15:36:58,"‪Yesterday, I joined Francisco Heredia to meet with small business owners in Mesa’s Asian District. Locally owned businesses like these play a vital role in Arizona’s economy and communities, and I’m always interested to hear what can be done to support them.",525,459,2,62,2,0,0,9,2742301332491774,CaptMarkKelly,/story.php?story_fbid=2742301332491774&id=163148530407080
Captain Mark Kelly,,2020-03-04 11:31:03,"Our state needs a senator that fights for Arizona — not corporations. So, I’m not taking a dime of corporate PAC money. Instead, I'm counting on support from grassroots donors like you. If you can, chip in below to help provide some rocket fuel for our people-powered campaign.",354,303,5,40,5,1,0,17,2741928172529090,CaptMarkKelly,/story.php?story_fbid=2741928172529090&id=163148530407080
Captain Mark Kelly,,2020-03-03 10:10:22,"This court case could raise health care costs, end the expansion of AHCCCS, and eliminate protections for Arizonans with pre-existing conditions — the same protections Senator McSally has voted to gut repeatedly. Arizonans deserve better.",421,198,3,3,12,74,131,52,2739787976076443,CaptMarkKelly,/story.php?story_fbid=2739787976076443&id=163148530407080
Captain Mark Kelly,,2020-03-02 13:14:58,"If you told me when I was 16 that I’d reach my dream of being a Navy pilot and astronaut, I wouldn’t have believed you. Now, my hope for Arizona is that everybody gets a chance to achieve their own American dream.",727,602,1,121,3,0,0,36,2738053059583268,CaptMarkKelly,/story.php?story_fbid=2738053059583268&id=163148530407080
Captain Mark Kelly,,2020-03-01 13:47:22,‪I’ve said it before and I’ll say it again: Dreamers are just as American as my own kids. The only difference? A piece of paper. It’s past time we provide them with a clear path to citizenship.,1200,1000,4,214,7,0,2,52,2736093843112523,CaptMarkKelly,/story.php?story_fbid=2736093843112523&id=163148530407080
"Captain Mark Kelly,The Daily Caller",,2020-02-27 14:41:18,"It’s clear Arizona families need a senator who knows how to push through party politics to get the job done. I want to be that senator, but I can’t do it alone. Join our campaign and help me fix what is broken. #FullSpeedAheadWould you want to live here?",406,350,1,50,3,0,2,27,2729689120419662,CaptMarkKelly,/story.php?story_fbid=2729689120419662&id=163148530407080
Captain Mark Kelly,,2020-02-26 20:29:50,"The Grand Canyon is a treasure not just for the state of Arizona, but for the planet. It’s up to us to protect and preserve it so future generations can continue to enjoy its beauty for decades to come — and that includes protecting it from uranium mining.",1100,987,1,190,4,1,1,27,2728142860574288,CaptMarkKelly,/story.php?story_fbid=2728142860574288&id=163148530407080
Captain Mark Kelly,,2020-02-26 11:41:29,"Happy Birthday to one of the world's greatest treasures, the Grand Canyon National Park.",485,403,0,78,4,0,0,14,2727436673978240,CaptMarkKelly,/story.php?story_fbid=2727436673978240&id=163148530407080
