source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Chris Bell for US Senate,,2020-03-05 00:15:54,"Last night was tough and I won’t try to sugarcoat it. I want to congratulate MJ Hegar and Royce West for making it to the runoff and my other opponents for running. I would like to say I’m sorry to my incredible wife, Alison, who has had to put up with way too much of this, my sons Atlee and Connally, and the friends and supporters who have stood by me and continued to believe. I truly thought It would be different this time but It wasn’t. And I’m sorry. I guess, by way of explanation, dreams die hard. I loved my time in public service and always wanted another chance. Not for the reasons that some of you probably think…although, at times, it could be fun and heady stuff. For example, it was great to be in Congress and be the most public face advocating for the expansion of light rail in Houston in 2003 and crucifying the flailing chief opponent of expansion during a live television debate. It was great to be able to go on CNN and tell a national television audience that “Tom Delay’s moral compass was demagnetized a long time ago.” But there were also the things that most didn’t see: learning from the woman who cut my hair that one of her colleagues adored me because my City Council office had been able to intervene to save one of her pets. Being in a position to organize the rejuvenation of Baldwin Park so that it could go from being mainly a gathering place for drug dealers to become a great neighborhood asset. Those were the silent, unseen victories that made it so worthwhile. I can’t remember exactly when but, at some point, my friend and fellow Christ Church Cathedral parishioner, Chase Untermeyer, told me that after I left Congress, I would most likely not enjoy traveling anymore. Chase had worked in the George H.W. Bush administration and he knew how incredible it was to travel as a White House official or as a member of Congress. Basically, all you have to do is pack and show up…the rest is taken care of. But what neither Chase nor anyone else could tell me is that my life would never be the same after leaving Congress. Maybe if it had been a little more normal, that would have been one thing. But to watch this extraordinarily corrupt human being, Delay, wire a process in the spineless Republican controlled state legislature so that almost every white Democrat would be redistricted out of Congress  was quite unbelievable. Leaders like Garnet Coleman, Jim Dunnam, Rodney Ellis, Mario Gallegos, Elliot Shapleigh, Leticia Van de Putte, and Royce West didn’t think it was right and nor did almost all of their Democratic Senate and House colleagues. They fought lIke hell to block the unprecedented mid-decade redistricting. But sadly,  others took the bait and, with victory within their grasp, gave up. So all of that was rather difficult to accept but, Lord knows, I tried. And I kept running. And I didn’t and, I don’t, see shame in that. I think people should get back up and try again whether it’s politics or business, education or love. Life sucks a lot of the time and I don’t like the idea of surrendering. After losing the race for mayor in 2015, I poured myself back into my law practice and I don’t think anyone would tell you differently. It was hard, there were ups and downs, but I was certainly trying.  And then in the fall of 2018, something very strange happened:  I had four jury trials within the span of about three months, the last one ending just before Christmas. These weren’t huge trials, but every trial requires a lot of preparation and it was a bit overwhelming and stressful. But I won them all…and that felt great…for a moment. And then I felt I was right back at the grindstone, dealing with difficult clients, the stress, the anger, etcetera, etcetera…that every lawyer faces. One of the people I love most, Eric Burns, my former congressional communications director, suggested that I consider running for Senate. I told him I couldn’t leave my law practice to do that. But then my partner at the time, and a great lawyer, Andrew Cobos, said he was fine going out on his own and could take over our docket. That got me thinking about an article written a long time ago by my friend, Jim Zook. While at the Houston Chronicle, he did a profile about John O’Quinn, long before John and I had become friends. And the gist of the story was here’s this guy with more money than he will ever know what to do with, but he keeps finding himself in messy, ugly, controversial situations…why? And there was this quote in the article from Larry Dougherty, another lawyer and friend, and he said, “There’s not enough money in the world to fill the hole in John O’Quinn’s life.” It was such a powerful quote, and I never forgot it. Young people would come to Washington for school trips and I would always (after changing the names) share the story and tell them, “If you can ever find anything in your life to fill the hole, grab onto it, seize it with everything you have and, don’t let go.” That's because I had found something to fill the hole: public service in the United States Congress. I have never been humble about the success my staff and I were achieving there and I was extremely proud. But then, of course, I needed to let go but, I guess, in many ways, I never did. And I’m sorry. I will always cherish the love, support, encouragement and confidence so many of you have shown. It has meant the world to me and now, it’s time to look for a new path. Thank you so much for giving me this opportunity.",19,10,0,9,0,0,0,6,654911158590129,ChrisBellForSenate,/story.php?story_fbid=654911158590129&id=458724334875480
Chris Bell for US Senate,,2020-03-03 15:11:56,,21,18,0,3,0,0,0,2,232678791104306,ChrisBellForSenate,/story.php?story_fbid=232678791104306&id=458724334875480
Chris Bell for US Senate,,2020-03-03 13:20:01,"It's Super Tuesday! I voted this morning in the Democratic primary, all the way down the ballot. It took me about an hour to vote today but it was amazing to see how many people are   excited about having their voices heard.  I am running for US Senate because it is time for Texas to have a senator that will listen to the concerns of the people and be the leader they deserve.  In Harris County visit https://harrisvotes.com/map to find a voting location near you, as well as information about wait times. #txsen #supertuesday #bellforsenate",33,27,0,6,0,0,0,2,653975072017071,ChrisBellForSenate,/story.php?story_fbid=653975072017071&id=458724334875480
Chris Bell for US Senate,,2020-03-02 19:28:11,"“Experience is valuable regardless of what field you're in. For some reason people think that that's not true in politics. Well, nothing could be further from the truth,” Bell told Spectrum News. “It won't be a new place. I know how to get along. I know how to get things done.” https://spectrumlocalnews.com/tx/san-antonio/news/2020/03/02/chris-bell-believes-congressional-experience-gives-him-edge-in-senate-race-",14,13,0,1,0,0,0,0,653457038735541,ChrisBellForSenate,/story.php?story_fbid=653457038735541&id=458724334875480
Chris Bell for US Senate,,2020-03-02 18:05:14,"Due to the possibility of inclement weather, the Chris Bell GOTV Rally scheduled for tomorrow morning at Bell Park is canceled. However, please do not let rain stop you from getting out to vote tomorrow. 🗳",7,7,0,0,0,0,0,1,653422865405625,ChrisBellForSenate,/story.php?story_fbid=653422865405625&id=458724334875480
Chris Bell for US Senate,,2020-03-02 12:23:38,"Right now, nothing highlights the importance of voting for new leadership in our government than the coronavirus outbreak. Remember to go vote tomorrow, find more information about voting here: https://teamrv-mvp.sos.texas.gov/MVP/mvp.do #txsen",5,4,0,1,0,0,0,0,653271438754101,ChrisBellForSenate,/story.php?story_fbid=653271438754101&id=458724334875480
Chris Bell for US Senate,,2020-02-27 18:41:07,"Walking into the last weekend before Super Tuesday on March 3rd. This picture is from when I was walking with my two sons, headed to get sworn in as a member of the 108th Congress. Although they probably won’t let me hold their hands, I look forward to having my sons with me again, when I get sworn in as the next US Senator from Texas. #tbt",37,28,0,9,0,0,0,0,650698185678093,ChrisBellForSenate,/story.php?story_fbid=650698185678093&id=458724334875480
"Chris Bell for US Senate,Pod Bless Texas",Pod Bless Texas,2020-02-27 15:00:14,"Vote like your life despends on it! #GOTVSo much more hangs in the balance than just the presidency and the senate.  Co-host Lillian Salerno is worried people will put off voting until Tuesday, and end up not showing up cause of the weather or anything else in their life. That's why Early Voting is so important, you can get out and vote right now and not have to worry about it on Tuesday.",3,3,0,0,0,0,0,0,650591622355416,ChrisBellForSenate,/story.php?story_fbid=650591622355416&id=458724334875480
Chris Bell for US Senate,,2020-02-27 14:47:51,,2,2,0,0,0,0,0,1,2716434251779379,ChrisBellForSenate,/events/2716434251779379?view=permalink&id=2716434258446045
Chris Bell for US Senate,,2020-02-26 18:30:37,"‪My thoughts and prayers are with the victims, families, and community impacted by this tragedy.   Enough is enough. We need to act now to address the rise of gun violence in this country. How many deaths will it take to pass serious gun reform legislation? ‬  https://apnews.com/8b6f867e5f52baf2b699f564d177e899?utm_source=Twitter&utm_campaign=SocialFlow&utm_medium=AP",16,3,0,0,1,12,0,2,649976479083597,ChrisBellForSenate,/story.php?story_fbid=649976479083597&id=458724334875480
Chris Bell for US Senate,,2020-02-26 17:28:43,"Today the House passed the Emmett Till Anti-lynching Act. Many Black communities across the US have lost loved ones due to violent hate crimes and never received justice.  65 years after the brutal murder of young Emmett Till, lynching is finally a hate crime under federal law. https://www.nbcnews.com/news/nbcblk/congress-makes-lynching-federal-crime-65-years-after-emmett-till-n1143626?cid=sm_npd_ms_fb_ma&fbclid=IwAR1WskuWkrssK4tdg_rC67i1VuO8O0u8VFJ6rCLskCX3XHxgbct9gF7SJKU",27,20,0,6,1,0,0,2,649950989086146,ChrisBellForSenate,/story.php?story_fbid=649950989086146&id=458724334875480
Chris Bell for US Senate,,2020-02-25 09:15:49,"Excited to have my good friend, the legendary former Congressman Charlie Gonzales, in my corner. #txsen",16,14,0,2,0,0,0,0,648621642552414,ChrisBellForSenate,/story.php?story_fbid=648621642552414&id=458724334875480
Chris Bell for US Senate,,2020-02-23 14:39:06,🔮😬 I’m not superstitious at all... 😬🔮 https://t.co/Kdri1xjflB?amp=1,14,10,0,3,1,0,0,3,647860729295172,ChrisBellForSenate,/story.php?story_fbid=647860729295172&id=458724334875480
"Chris Bell for US Senate,Denton County Democratic Party",Denton County Democratic Party,2020-02-22 15:25:49,Watch the UNT Senate Forum live (updated stream) https://www.facebook.com/dentondemocrats/videos/2651657578414623/,2,2,0,0,0,0,0,0,647173536030558,ChrisBellForSenate,/story.php?story_fbid=647173536030558&id=458724334875480
Chris Bell for US Senate,,2020-02-21 16:11:00,"ICYMI: ""I have spoken truth to power, and I assure you that when I am the Democratic nominee for U.S. Senate, I am going to be John Cornyn and Donald Trump’s worst nightmare.” #txsen",9,8,0,1,0,0,0,0,646523629428882,ChrisBellForSenate,/story.php?story_fbid=646523629428882&id=458724334875480
Chris Bell for US Senate,,2020-02-21 14:34:57,Thank you Texas Democrats with Disabilities for your endorsement. Your advocacy efforts have helped me increase accessibility within my own campaign and I look forward to working with you all to incorporate issues that impact the disability community into mainstream policy platforms.,20,17,0,3,0,0,0,0,646479279433317,ChrisBellForSenate,/story.php?story_fbid=646479279433317&id=458724334875480
Chris Bell for US Senate,,2020-02-20 17:31:07,"I am proud to be a ""Certified Progressive"" with Progress Texas and to have received a 93% score with Indivisible Houston. The blue wave is coming, all the way down the ballot. It is time to bring progressive values back to Texas. Learn more at www.electchrisbell.com",23,22,0,1,0,0,0,2,645854229495822,ChrisBellForSenate,/story.php?story_fbid=645854229495822&id=458724334875480
Chris Bell for US Senate,,2020-02-19 09:00:00,Donald Trump is the dark underbelly of America and John Cornyn is just fine with that. I'm the only candidate who has served in Congress and can take both of them down. Please join me.,28,25,0,3,0,0,0,4,644296462984932,ChrisBellForSenate,/story.php?story_fbid=644296462984932&id=458724334875480
"Chris Bell for US Senate,KVUE",KVUE,2020-02-18 20:55:08,Chris Bell for US Senate says Congress and the NRA are to blame for the lack of action on gun control #VoteTexas Watch the full debate here: https://www.youtube.com/watch?v=TKwOouM-VX0,14,12,0,2,0,0,0,0,644521232962455,ChrisBellForSenate,/story.php?story_fbid=644521232962455&id=458724334875480
"Chris Bell for US Senate,WFAA",WFAA,2020-02-18 19:32:49,"https://www.facebook.com/wfaa/videos/1015206745516927/U.S. Senate Democratic Debate is live: On your Texas ballot, you will see a host of U.S. Senate Democratic candidates facing incumbent Republican Sen. John Cornyn in the upcoming election. Early voting is underway, so get to know where the candidates stand on the issues you care about before you hit the polls. The Texas primary election is March 3. MORE: https://www.wfaa.com/article/news/politics/us-senate-debate-democrat-candidates-against-john-cornyn-kvue-texas-tribune-kut/287-0e67674f-0f0d-4f32-a596-8051280b6447",4,3,0,1,0,0,0,0,644488736299038,ChrisBellForSenate,/story.php?story_fbid=644488736299038&id=458724334875480
Chris Bell for US Senate,,2020-02-18 19:28:48,‪The Texas U.S. Senate Debate is starting now. Watch live https://www.youtube.com/watch?v=TKwOouM-VX0 #VoteTexas #txsen ‬,22,21,0,0,1,0,0,2,644478536300058,ChrisBellForSenate,/story.php?story_fbid=644478536300058&id=458724334875480
Chris Bell for US Senate,,2020-02-18 16:51:41,Watch the Texas U.S. Senate Democratic Primary Debate tonight at 630pm. https://www.youtube.com/watch?v=TKwOouM-VX0,6,6,0,0,0,0,0,0,644402186307693,ChrisBellForSenate,/story.php?story_fbid=644402186307693&id=458724334875480
Chris Bell for US Senate,,2020-02-17 23:45:12,Tune in to watch the Texas U.S. Senate Democratic Primary Debate on Tuesday from 6:30pm-8pm. https://www.kvue.com/article/news/politics/vote-texas/us-senate-debate-democrat-candidates-against-john-cornyn-kvue-texas-tribune-kut/269-0e67674f-0f0d-4f32-a596-8051280b6447 #VoteTexas,9,7,0,2,0,0,0,0,643899933024585,ChrisBellForSenate,/story.php?story_fbid=643899933024585&id=458724334875480
Chris Bell for US Senate,,2020-02-17 18:06:27,"Today I attended the Witness at the Border event in Brownsville, Texas. I was able to cross the border and visit the Matamoros encampment.  I will never forget this visit for the rest of my life because I saw firsthand the impact policy has on human lives. There are countless stories of people who have worked and lived in the US for 20-40 years, and are now residing in the encampment after being deported. Women and children who have fled dangerous conditions, are no longer able to apply for asylum.  It is impossible to deny that we must fix the system that has small children living in tents for months on end because they are being deprived of safety and refuge. As a U.S. Senator, I will work with every fiber of my being to repeal section 1325 in order to decriminalize immigration and create a pathway for citizenship for the millions of undocumented immigrants currently living in the United States.",61,49,0,9,0,3,0,8,643754099705835,ChrisBellForSenate,/story.php?story_fbid=643754099705835&id=458724334875480
,,2020-02-16 15:24:26,,0,0,0,0,0,0,0,1,2551544355061620,ChrisBellForSenate,/story.php?story_fbid=2551544355061620&id=458724334875480
