source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
,,2020-05-01 12:26:32,The Homeland Heroes Foundation is hosting an amazing event today in Salem - filling up gas ⛽️ tanks for vets unemployed because of #COVID19. Thanks so much to HHF’s Julie Weymouth for all you do for vets in NH! Campaign Co-Chair Fred Doucette also in attendance! #nhpolitics #NHSen,23,19,0,4,0,0,0,0,244860806869004,CorkyForSenate,/story.php?story_fbid=244860806869004&id=105368190818267
"Corky Messner for Senate,New Hampshire Republican State Committee",,2020-05-01 09:43:41,Happy Birthday to our GREAT New Hampshire House Republicans Leader Rep. Dick Hinch!,5,5,0,0,0,0,0,0,244822353539516,CorkyForSenate,/story.php?story_fbid=244822353539516&id=105368190818267
"Corky Messner for Senate,Patriot Nissan",,2020-05-01 00:01:04,"I look forward to being there later today! -CorkGetting ready for a big day today (5/1/20)  at Patriot Nissan in Salem!   Thanks to the tanks of Broco Oil in conjunction with The Homeland Heroes Foundation,  they will be filling 100 tankfuls of gas to veterans who are unemployed due to the Covid situation.   Veterans may also invite a member of the medical community for a tank as well, to show them their appreciation.  11am-3pm and it is first come first serve.  Patriot made 100 gift bags - with assorted snacks and personal items - see Brittany Plowman, Joanne Drohan, and Brianna Smith assembling the bags. See you soon!   93 S Broadway, Salem   603-894-4300",19,17,0,0,0,0,0,0,244783976876687,CorkyForSenate,/story.php?story_fbid=244783976876687&id=105368190818267
Corky Messner for Senate,,2020-04-30 15:03:59,"I'm thrilled to have the full support of State Rep. Gates Lucas in my run for U.S. Senate! Gates will chair our Corky for Senate Millennial Steering Committee, and is another stellar addition to our team.",18,17,0,1,0,0,0,0,244220993599652,CorkyForSenate,/story.php?story_fbid=244220993599652&id=105368190818267
Corky Messner for Senate,,2020-04-30 10:17:14,More great folks joining Team Messner! #nhpolitics #NHSen #KAG2020,30,26,2,2,0,0,0,0,244065930281825,CorkyForSenate,/story.php?story_fbid=244065930281825&id=105368190818267
Corky Messner for Senate,,2020-04-30 09:51:02,Good morning Greater Nashua!  Hoping you’ll join us at 1:00pm today for our Granite State Conversations Tele-Town Hall.  Dial 📲 603-506-4097 to participate!  #NHPolitics #NHSen #KAG2020,4,4,0,0,0,0,0,0,244050510283367,CorkyForSenate,/story.php?story_fbid=244050510283367&id=105368190818267
,,2020-04-29 19:30:15,,17,13,0,4,0,0,0,0,226986205236288,CorkyForSenate,/story.php?story_fbid=226986205236288&id=105368190818267
Corky Messner for Senate,,2020-04-29 16:55:43,"Evidence is increasing that COVID-19 originated in a laboratory in Wuhan, China. The Chinese government has engaged in a massive cover up, and continually lied to the public. China needs to be held accountable. Demand action from Congress right now >>",22,20,0,1,1,0,0,0,243572326997852,CorkyForSenate,/story.php?story_fbid=243572326997852&id=105368190818267
,,2020-04-28 16:48:03,"COMMITTED TO CORKY! Proud Laconia 🌊 Resident & N.H. State Representative Peter J. Spanos, member of the N.H. House Finance Committee. #nhpolitics #NHSen #KAG2020",33,29,1,3,0,0,0,0,242871733734578,CorkyForSenate,/story.php?story_fbid=242871733734578&id=105368190818267
Corky Messner for Senate,,2020-04-28 14:37:00,"Our ""Granite State Conversations"" tour returns to the Seacoast with tonight's Tele-Town Hall at 6:30PM!  Dial-In From Home: 603-506-4097 RSVP:",5,5,0,0,0,0,0,0,242807767074308,CorkyForSenate,/story.php?story_fbid=242807767074308&id=105368190818267
Corky Messner for Senate,,2020-04-27 18:04:55,It's clear that China covered up the severity of COVID-19 since day one. Congress needs to act NOW to hold them accountable. And they can start by canceling U.S. debts to China to offset the enormous costs our country has incurred!,18,18,0,0,0,0,0,0,242193107135774,CorkyForSenate,/story.php?story_fbid=242193107135774&id=105368190818267
,,2020-04-26 18:04:53,"Time Matters in a Crisis. Tomorrow, small business #PPPloans will begin again. This is almost 3 weeks after Republicans proposed a 2-page amendment to the CARES Act to increase PPP loans from $350B to $600B. During that almost 3 week delay, tens of thousands of Granite Staters lost their jobs. Thousands of small New Hampshire businesses closed forever. How many of New Hampshire’s 16,000 veteran-owned businesses closed? Dreams evaporated. Jobs lost. For a small business, every day counts and every day in a crisis counts exponentially. Jeanne Shaheen should be held accountable for this carnage. Instead of fighting for Granite State businesses and employees, her loyalty was with Pelosi, Schumer and AOC. Instead of bragging about being a lead negotiator, Shaheen should have used that leadership position to fight for New Hampshire businesses and employees and insisted that the PPP funding be approved urgently to save those businesses. Yet, she dabbled in politics and many businesses and jobs were destroyed by this delay. Time matters in a crisis. I’m for hospitals receiving as much money as they need as a result of the #COVID19 virus.  Don’t be fooled by D.C. Jeanne Shaheen. She will brag that the delay resulted in an additional $75 billion for hospitals.  FACT: Hospitals were allocated $100B in the CARES Act.  FACT: $70B of that amount is still available for hospitals. Adding in the additional $75B, there is now available $145B for hospitals. Why delay PPP loans to leverage for more money for hospitals when there was already money available from the original CARES Act for hospitals? Well, it sounds good politically. D.C. Jeanne Shaheen’s political calculus is simple – let Granite State businesses close so she can have a political victory by pulling in more money for hospitals. You see, it doesn’t matter that the hospitals have plenty of money available. It’s good politics to say she got more money for hospitals. Time matters in a crisis. Don’t let politics matter in a crisis. -Corky",21,18,0,3,0,0,0,0,241541583867593,CorkyForSenate,/story.php?story_fbid=241541583867593&id=105368190818267
"Corky Messner for Senate,GOP",,2020-04-26 08:00:07,Happy Birthday to our First Lady!❤️ to wish our wonderful First Lady a very happy birthday!,24,21,0,3,0,0,0,0,241384223883329,CorkyForSenate,/story.php?story_fbid=241384223883329&id=105368190818267
Corky Messner for Senate,,2020-04-25 10:08:31,"Covering up evidence, lying about infection rates, lying about death numbers... These are just a few ways China betrayed the international community in their handling of the COVID-19 outbreak. Congress must act NOW to hold them accountable!",37,37,0,0,0,0,0,0,240195747335510,CorkyForSenate,/story.php?story_fbid=240195747335510&id=105368190818267
Corky Messner for Senate,,2020-04-24 17:17:33,I'm Corky Messner running for U.S. Senate in New Hampshire. It's crucial that we defeat career politician Jeanne Shaheen. Will you contribute $5 right now to help me retire her from politics?   https://secure.winred.com/messner-for-senate/fbo-careerpolitician,22,22,0,0,0,0,0,0,240167954004956,CorkyForSenate,/story.php?story_fbid=240167954004956&id=105368190818267
