source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
"Dean Hill for US Senate Tennessee,Todd Ferguson",,2020-04-24 23:30:54,Vote Independent Dean Hill US Senate TN 2020!!,0,0,0,0,0,0,0,0,2544952005721695,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2544952005721695&id=2061848640698703
"Dean Hill for US Senate Tennessee,Chris Sherman",,2020-04-28 00:59:38,Truth!!,4,2,1,1,0,0,0,0,2547215638828665,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2547215638828665&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-18 09:21:41,Some of you may need this today. Love and life in Tennessee!! My land!!,0,0,0,0,0,0,0,0,2539870069563222,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2539870069563222&id=2061848640698703
"Dean Hill for US Senate Tennessee,Todd Ferguson",,2020-04-25 02:07:03,Vote Independent Dean Hill US Senate TN 2020!!,4,3,1,0,0,0,0,0,2545026615714234,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2545026615714234&id=2061848640698703
"Dean Hill for US Senate Tennessee,Peter Liske",,2020-04-23 11:01:50,We are America!!!GREAT NEWS!! MORE WILL FOLLOW!!,3,2,0,0,1,0,0,0,2543762769173952,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2543762769173952&id=2061848640698703
"Dean Hill for US Senate Tennessee,Rance Stoddard",,2020-04-23 10:54:16,Crazy and the Republicans are not stopping it as usual.WAKE-UP AMERICANS!,2,2,0,0,0,0,0,0,2543758532507709,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2543758532507709&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-19 09:12:07,Vote Independent Dean Hill US Senate TN 2020!!,1,1,0,0,0,0,0,0,2540632352820327,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2540632352820327&id=2061848640698703
"Dean Hill for US Senate Tennessee,Tom Dodson",,2020-04-18 07:48:38,Vote Independent Dean Hill US Senate TN 2020!!,1,1,0,0,0,0,0,0,2539807566236139,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2539807566236139&id=2061848640698703
"Dean Hill for US Senate Tennessee,Michael Stewart",,2020-04-18 07:43:54,Both parties are crooked!! Wake up already!!,1,1,0,0,0,0,0,0,2539805222903040,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2539805222903040&id=2061848640698703
"Dean Hill for US Senate Tennessee,Todd Ferguson",,2020-04-19 09:09:27,Vote Independent Dean Hill US Senate TN 1020!!,1,1,0,0,0,0,0,0,2540630606153835,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2540630606153835&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-15 03:22:58,Questions you need to be asking!! DeanHillUSSenateTN2020@gmail.com,0,0,0,0,0,0,0,0,2537206296496266,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2537206296496266&id=2061848640698703
"Dean Hill for US Senate Tennessee,Rita Lloyd",,2020-04-16 12:14:02,We. We'd to defeat these people!! Vote Independent Dean Hill US Senate TN 2020!!,2,2,0,0,0,0,0,0,2538317776385118,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2538317776385118&id=2061848640698703
"Dean Hill for US Senate Tennessee,Nick Reeder",,2020-04-15 05:14:34,Stop the insanity!!Yeppppppppppp,4,4,0,0,0,0,0,0,2537266333156929,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2537266333156929&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-15 03:15:57,Keep going Americans! We love you Patriots!!,4,3,0,0,1,0,0,0,2537202513163311,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2537202513163311&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-10 23:53:24,Reading the Constitutional issues with repugnant lock down laws. Vote Independent Dean Hill US Senate TN 2020!!!,0,0,0,0,0,0,0,0,2533896596827236,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2533896596827236&id=2061848640698703
"Dean Hill for US Senate Tennessee,Stoney R. Harmon",,2020-04-14 06:40:46,Vote Independent Dean Hill US Senate TN 2020!!Accurate,5,4,0,1,0,0,0,0,2536464453237117,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2536464453237117&id=2061848640698703
"Dean Hill for US Senate Tennessee,Mark Williams",,2020-04-12 19:54:15,Vote Independent Dean Hill US Senate TN 2020!!WE THE PEOPLE,3,3,0,0,0,0,0,0,2535369570013272,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2535369570013272&id=2061848640698703
"Dean Hill for US Senate Tennessee,Frank Anthony",,2020-04-11 11:16:47,Vote Independent Dean Hill US Senate TN 2020!!!!Nuff said...,1,1,0,0,0,0,0,0,2534246426792253,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2534246426792253&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-10 09:59:41,Truth!!,5,5,0,0,0,0,0,0,2533448433538719,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2533448433538719&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-10 00:35:53,I told you! Vote Independent Dean Hill US Senate TN 2020!!,1,1,0,0,0,0,0,0,2533166226900273,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2533166226900273&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-09 23:39:08,,2,2,0,0,0,0,0,0,2533139710236258,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2533139710236258&id=2061848640698703
"Dean Hill for US Senate Tennessee,Hondo Trail",,2020-04-10 09:49:06,Vote Independent Dean Hill US Senate TN !!,2,2,0,0,0,0,0,0,2533441620206067,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2533441620206067&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-08 14:11:30,Why do people think our government is a charity. They make decisions where to send our money so do not think you have been charitable. They are being charitable with your money.,0,0,0,0,0,0,0,0,2532138430336386,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2532138430336386&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-06 21:04:40,,0,0,0,0,0,0,0,0,2530868273796735,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2530868273796735&id=2061848640698703
,,2020-04-04 22:19:00,,0,0,0,0,0,0,0,0,178268459810892,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=178268459810892&id=2061848640698703
"Dean Hill for US Senate Tennessee,Richard Daugherty",,2020-04-17 05:34:20,Vote Independent Dean Hill US Senate TN 2020!!,4,3,0,1,0,0,0,0,2538935319656697,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2538935319656697&id=2061848640698703
"Dean Hill for US Senate Tennessee,Badmus Saheed GuruOmania,Truth Revolution",,2020-04-09 20:15:03,Vote Independent Dean Hill US Senate TN!!,1,1,0,0,0,0,0,0,2533035650246664,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2533035650246664&id=2061848640698703
Dean Hill for US Senate Tennessee,,2020-04-15 09:45:50,Truth!! People who hurt children are heinous disgusting animals!! Vote Independent Dean Hill US Senate TN 2020!!,2,2,0,0,0,0,0,0,2537424996474396,DeanHillforUnitedStatesSenateTN,/story.php?story_fbid=2537424996474396&id=2061848640698703
