source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Dr. Tom Tarter,,2020-03-03 10:30:57,"Make plans to join us Wednesday, March 11th in Minooka! With Early Voting now live, it's time to rally and get out the vote! You deserve a Senator that represents ALL Illinoisans. Together, we can make that happen!",40,39,0,1,0,0,0,0,568993533961282,DrTarter,/story.php?story_fbid=568993533961282&id=387260852134552
Dr. Tom Tarter,,2020-03-02 18:52:27,"Early voting is now open! The wait is finally over for you to let your voice be heard on who you want as your Republican nominee to defeat Dick Durbin. This is an important election and your vote matters. Your early vote says that you agree that we need a US Senator who will: 🇺🇸 Represent All Illinoisans, Not Just Liberal Chicago 🇺🇸 Keep Americans Safe and Build the Wall 🇺🇸 Stand with President Trump Against Socialism There are hundreds of early voting locations across Illinois' 102 counties and we've made it as easy as possible for you. You can find the polling location nearest you and other voting information below.  Voting early gives you the flexibility to vote when convenient for you rather than on Election Day at a specific location. I'm counting on you to encourage your friends, family, and neighbors to do the same because we can't sit this election out. On your way home tonight, stop by an early voting location and vote Tom Tarter for US Senate! Throughout the campaign, I've had the honor of meeting with voters in every corner of our state and support is on our side. We have a strong, viable path to victory if we all make it a priority to do our civic duty and go vote now! With your support, I'll represent your values, fight against illegal immigration, and stand with President Trump.",66,65,0,1,0,0,0,5,568571630670139,DrTarter,/story.php?story_fbid=568571630670139&id=387260852134552
Dr. Tom Tarter,,2020-03-02 08:15:26,"It was great to join Rep Dan Caulkins and supporters for the Restore Our Constitution candidate forum in Decatur. The Founding Fathers were clear and it is critical, for the sake of our great nation, that Illinoisans are represented by someone who understands that. These men and women are fighting hard every day to protect our Constitutional rights. As your Senator, I will do the same. 🇺🇸🇺🇸🇺🇸 Spent some time in Cambridge (Henry County) as well!  Thank you, Jan Weber!  It was great to be with the DuPage County Republicans for their Lincoln Day Dinner. Check out the photo of me with Dan Hampton, Hall of Fame defensive tackle for Chicago Bears. Bear Down, Chicago Bears! 🐻🐻🐻",126,119,0,7,0,0,0,1,567887007405268,DrTarter,/story.php?story_fbid=567887007405268&id=387260852134552
Dr. Tom Tarter,,2020-03-02 00:14:33,"After St. Claire County Lincoln Day Dinner, got home at 11 PM last night, and took off this morning at 5:30 AM for Lake County. My son Andrei did the driving, while I worked the phone. Had a breakfast meeting with supporters there at 9:00 AM. Went to mass at St.Theresa’s in Palatine, and then dropped off literature to a Precinct Committeewoman in Kane County. Got back home in Springfield around 5:00 PM. This was a great and productive 12 hour day. Loved being with Andrei, who has been busy with his junior year of college. Sergei is getting stronger, and looking better every day. Pic is of him asleep just now. He looks a lot better than in my previous post. After tomorrow, there will no more time with my family, but we will get by for the next 16 days. Thank you for your prayers for Sergei’s recovery, and also for the campaign, which sustain us. God Bless you!",190,169,0,20,1,0,0,22,568064284054207,DrTarter,/story.php?story_fbid=568064284054207&id=387260852134552
Dr. Tom Tarter,,2020-03-01 19:46:21,"It was great to be with the St. Clair County Republicans last night for their annual Lincoln Day Dinner! A packed room of hard-working Republicans! It was great to hear from Congressman Mike Bost about what's going on in DC.  And this can't go without mentioning - check out Joyce's HUGE Trump hat! Thanks for the support, it means a lot!",228,220,0,8,0,0,0,1,567882964072339,DrTarter,/story.php?story_fbid=567882964072339&id=387260852134552
Dr. Tom Tarter,,2020-03-01 17:06:01,"ICYMI: ""Mark Curran claims he’s always supported President Trump, yet he’s on record multiple times having opposed Trump since 2015. Is he lying or has he flip-flopped? Either way, he can’t be trusted.""",141,137,0,3,0,0,1,10,567871187406850,DrTarter,/story.php?story_fbid=567871187406850&id=387260852134552
Dr. Tom Tarter,,2020-02-29 13:00:00,ICYMI: Check out my interview with WGIL out of Galesburg!,91,89,0,2,0,0,0,9,567449414115694,DrTarter,/story.php?story_fbid=567449414115694&id=387260852134552
Dr. Tom Tarter,,2020-02-29 13:00:00,"Help us defeat Dick Durbin by making a donation in the final stretch! As your Senator, I will represent ALL Illinoisans, stand with President Trump against radical socialist democrats and build the wall!  https://www.drtarter.com/donate",231,214,0,16,0,0,1,15,567450844115551,DrTarter,/story.php?story_fbid=567450844115551&id=387260852134552
Dr. Tom Tarter,,2020-02-27 16:53:31,Supporters of President Trump have a clear choice in this election. Mark Curran has a long record as being extremely liberal on immigration and opposing our president. I am the only conservative Republican in the race to defeat Dick Durbin. I am also the only candidate that can be trusted to stand with President Trump and build the southern border wall.,2700,2500,3,154,12,3,4,272,565786154282020,DrTarter,/story.php?story_fbid=565786154282020&id=387260852134552
Dr. Tom Tarter,,2020-02-27 12:59:28,Great turnout and great conversations at our Meet and Greet in Jacksonville last night! A huge thank you to  Dr. Jim and Janeen Bohan and Harry and Kaye Coop for hosting! Thank you also to Andy Coop and April Gregory Coop of Annabel Lee’s for the hospitality!,118,114,1,3,0,0,0,1,565683467625622,DrTarter,/story.php?story_fbid=565683467625622&id=387260852134552
