source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Ed Markey,,2020-03-09 10:00:09,"Thank you to the activists and organizers who came out to caucus this weekend. For the fourth week in a row, we saw wins across the state that demonstrate the strength of our movement.",8,7,0,1,0,0,0,0,2211763072260681,EdMarkeyforMA,/story.php?story_fbid=2211763072260681&id=303167829786891
Ed Markey,,2020-03-08 20:37:35,"Gender based discrimination impacts all aspects of a woman’s life from the personal to the professional and the political. We will fight for social and economic justice and guarantee women’s rights and autonomy.  Women still make 77 cents on average to a man’s dollar. Black women make 63 cents to a white man’s dollar. Latinas make 53 cents to a white man’s dollar. If we closed the gender pay gap, we could cut the poverty rate for working women and their families in half.  Women also face discrimination in the health system. Women’s pain is taken less seriously than men’s, and the concerns of women of color in particular are regularly dismissed by providers. The maternal mortality rate for black women is more than 3 times that of white women. Meanwhile, abortion access across America is in danger. After nearly 50 years of precedent, Roe v. Wade is as close as it has ever come to being rolled back and funding for reproductive healthcare services are being slashed. Women hold fewer than 25% of seats in Congress. And even though a record number of women ran for the presidency this year, we still have yet to elect our first female president.  Yet the women’s movement is stronger than ever. In 2018, a record shattering number of women ran for office–and won. They are paving the way for future female leaders and a more representative and just democracy.",68,58,0,10,0,0,0,5,2210689835701338,EdMarkeyforMA,/story.php?story_fbid=2210689835701338&id=303167829786891
Ed Markey,,2020-03-08 20:36:14,"Women are often the ones most affected by war and conflict. We will fight to stop endless wars, end nuclear proliferation, and create a free and peaceful world for all.  It is estimated that about 70% of those killed in today’s conflicts are civilians, mainly women and children. As of November 2019, 335,000 civilians in Iraq, Afghanistan, Yemen, Syria, and Pakistan were killed as a result of war.  Women make up the largest share of refugees and people displaced by conflict. Women in areas of conflict and displaced women are more vulnerable to physical and sexual abuse. One in five refugee women are estimated to have experienced sexual violence.  Conflict also drives gender based discrimination and inequity. During periods of violence, girls are often taken out of schools or prevented from receiving an education.  But women are leading the way toward peace. Malala Yousafzai defends girls' education in the face of war. Climate activist Jane Fonda is well known for her anti-war advocacy during the Vietnam War. And closer to home, Andrea Burns and others from Massachusetts Peace Action work to promote a more just and peaceful US foreign policy.",25,18,0,2,0,5,0,0,2210688002368188,EdMarkeyforMA,/story.php?story_fbid=2210688002368188&id=303167829786891
Ed Markey,,2020-03-08 20:33:07,"Gun violence is inextricably tied to intimate partner violence and violence against women. We must commit to passing common sense gun safety legislation and universal background checks to keep guns out of the hands of abusers and end gun violence. On average, 52 women are shot and killed by an intimate partner per month. Nearly 1 million American women alive today have reported being shot or shot at by an intimate partner. 4.5 million have been threatened with a gun. Women in the United States are 21 times more likely to die from firearm homicides than women in other wealthy nations.  But women are also leading the movement to end gun violence. From Moms Demand Action for Gun Sense in America, to Congresswoman Rep. Lucy McBath, to Chaplain Clementina Chéry, women are rising up to demand an end to the epidemic of gun violence in our country.",30,26,0,4,0,0,0,1,2210684189035236,EdMarkeyforMA,/story.php?story_fbid=2210684189035236&id=303167829786891
Ed Markey,,2020-03-08 20:30:42,"Globally, women face the harshest consequences of the climate crisis. We will fight to pass a Green New Deal and stand up for environmental justice everywhere.  Environmental destruction fuels violence against women and contributes to conflicts and war. Extreme weather events disproportionately affect poor populations. Women make up 70% of the world’s poor. 80% of people displaced by climate change are women.  Pollution and contamination contribute to worsening health, particularly for women. The growing prevalence of asthma for adolescent girls is attributed to the climate crisis. Rising temperatures, food insecurity, and other symptoms of the climate crisis are linked to maternal mortality.  Women and girls are also leading the fight to combat the climate crisis. Varshini Prakash founded the Sunrise Movement. Greta Thunberg is a leader of the climate movement worldwide. And other groups like Mothers Out Front are also leading the charge for environmental justice.",51,43,1,7,0,0,0,6,2210681272368861,EdMarkeyforMA,/story.php?story_fbid=2210681272368861&id=303167829786891
"Ed Markey,State of the Students",State of the Students,2020-03-07 10:23:31,"Young people are driving the movement for climate action and reshaping American politics. That’s why I was so happy to talk with State of the Students about their role in our democracy, my work in the Senate, and my position on pineapple pizza 🤭In the fourth installment of Pizza & Politics, Senator Ed Markey (D-MA) speaks about what he's accomplished as a US senator, the importance of young people engaging with government, and his opinion on pineapple pizza.",47,39,2,6,0,0,0,3,2208353252601663,EdMarkeyforMA,/story.php?story_fbid=2208353252601663&id=303167829786891
Ed Markey,,2020-03-07 12:03:28,Climate change is an existential threat and the movement for a Green New Deal is our best hope.,118,93,4,19,2,0,0,10,2208140842622904,EdMarkeyforMA,/story.php?story_fbid=2208140842622904&id=303167829786891
Ed Markey,,2020-03-06 19:39:51,I am outraged by the act of anti-semitism targeting Bernie Sanders and his supporters. To raise a Nazi flag against Sanders or any member of the Jewish faith is disgraceful and unacceptable. We condemn this act of white supremacy and stand against hate in all its forms.,617,317,1,13,4,106,176,35,2206809212756067,EdMarkeyforMA,/story.php?story_fbid=2206809212756067&id=303167829786891
Ed Markey,,2020-03-06 18:41:52,We are an energized grassroots movement winning Democratic caucuses everywhere in Massachusetts. Let's keep the momentum going. Sign up at bit.ly/markey-caucuses.,82,64,2,13,2,0,1,17,2206741399429515,EdMarkeyforMA,/story.php?story_fbid=2206741399429515&id=303167829786891
Ed Markey,,2020-03-06 15:11:04,"I am proud to stand with UNITE HERE Local 26 and working people everywhere to fight for just contracts, fair working conditions, and a livable planet.",129,112,1,14,0,0,2,9,2206492849454370,EdMarkeyforMA,/story.php?story_fbid=2206492849454370&id=303167829786891
