source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Mike Franken,,2020-03-04 17:30:48,,13,12,0,1,0,0,0,0,203993320688165,FrankenforIowa,/events/203993320688165?view=permalink&id=203993324021498
Mike Franken,,2020-03-04 11:24:48,"Last month, Democrats made their second biggest gains in Sioux County, my home. We know the history: Iowans need to nominate a Democrat who is not from Polk County. My campaign has support in all 99 counties, and that's how we will beat Joni Ernst and help J.D. Scholten knock off Steve King. Join me here: https://secure.actblue.com/donate/mtfsocialmedia",40,33,0,7,0,0,0,2,210870960280913,FrankenforIowa,/story.php?story_fbid=210870960280913&id=110022477032429
Mike Franken,,2020-03-03 21:34:57,Our travels took us to Hancock and Franklin Counties today. Voters want a Senator who can got toe-to-toe against Joni Ernst and negate everything she ran on. I’m ready to flip this #IASen seat.,74,73,0,1,0,0,0,1,210398673661475,FrankenforIowa,/story.php?story_fbid=210398673661475&id=110022477032429
Mike Franken,,2020-03-03 16:06:56,"Joni, Joni, Joni, I don't know where to start. You're accusing Barack Obama of Russian collusion, you're defending Donald J. Trump for firing Lt. Col Vindman, and you're BSing  Iowans about prescription drugs again. Every day, Joni Ernst reminds us who she is, and why we need to beat her. https://iowastartingline.com/2020/03/03/ernst-says-obamas-russia-actions-were-worse-than-trumps/ Join my campaign to end Joni Ernst's career here: https://secure.actblue.com/donate/mtffbad",164,144,0,20,0,0,0,12,210250437009632,FrankenforIowa,/story.php?story_fbid=210250437009632&id=110022477032429
Mike Franken,,2020-03-02 13:30:57,"I'm excited and honored to announce that Senator Bill Dotzler has endorsed me for U.S. Senate!  Senator Dotzler is a good friend, a fellow scientist and veteran, and a stalwart public servant. I'm very grateful to have his endorsement and I know my campaign is better off for having Bill on Team Franken.  Read Senator Dotzler's endorsement below:  ""I am more than excited to endorse and join Admiral Mike Franken’s team to defeat Joni Ernst. The Admiral has a lifetime of proven leadership that no other candidate can match. His experience of growing up in Iowa, educational attainment, and service to our country has developed him into an amazing candidate, with the core values that are central to the heart of Iowans. It is my sincere hope that voters make sure they attend one of his events. I'm sure they will come away as impressed as I am with Admiral Franken and recognize that he’s is the one who has the best chance to defeat Joni Ernst!""",142,129,0,13,0,0,0,3,209405607094115,FrankenforIowa,/story.php?story_fbid=209405607094115&id=110022477032429
Mike Franken,,2020-03-01 22:48:58,Congratulations to Robyn Reece for winning Best Chili Overall at Boone County Democrats of Iowa contest.,73,72,0,1,0,0,0,0,208923463808996,FrankenforIowa,/story.php?story_fbid=208923463808996&id=110022477032429
Mike Franken,,2020-03-01 22:22:16,The Boone County Democrats of Iowa know how to throw a chili cook-off with special guest judges #IASen candidates.,57,56,0,1,0,0,0,1,208911020476907,FrankenforIowa,/story.php?story_fbid=208911020476907&id=110022477032429
Mike Franken,,2020-02-28 13:46:55,"""'I came in the race to ensure there was a Democrat who negated how Joni Ernst got elected,' Franken said."" It's good to be above the fold. Read Bret Hayworth on why I'm Iowa Democratic Party's best change to beat Joni Ernst.  https://siouxcityjournal.com/news/local/govt-and-politics/franken-says-democratic-battle-to-oppose-ernst-about-to-shift/article_04ee70f2-57fd-5f05-a88b-2fe78873635e.html#tracking-source=home-top-story",159,139,0,20,0,0,0,9,207150893986253,FrankenforIowa,/story.php?story_fbid=207150893986253&id=110022477032429
Mike Franken,,2020-02-26 12:57:44,Dark money has found its way into our primary. I'm calling on Theresa Greenfield to reject the seven-figure ad buy that corporations and party bosses made for her. We should all honor our pledge to keep dark money and Washington influence out of our election. #IASen,29,28,0,1,0,0,0,1,205574540810555,FrankenforIowa,/story.php?story_fbid=205574540810555&id=110022477032429
"Mike Franken,Mike Franken",Mike Franken,2020-02-25 22:59:33,"We must all honor our vows to reject dark money. I'm calling on Theresa Greenfield to denounce the corporations and lobbyists in her corner. We should expect nothing less in this primary.  https://www.facebook.com/FrankenforIowa/videos/2856108721150141/?vh=e&d=nCorporate money is corrupting our democracy. That's why the Democratic field for Senate refused to accept it.  Now, Theresa Greenfield is being backed by a seven figure ad buy from a DC Super PAC supported by banks, media moguls and big pharma.  Tell Theresa Greenfield to keep her pledge and refuse corporate PAC donors >>",38,36,0,2,0,0,0,1,205130204188322,FrankenforIowa,/story.php?story_fbid=205130204188322&id=110022477032429
