source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Hirsh Singh,,2020-04-30 18:59:28,The far left and it’s media allies need to stop saying lies regarding where this came from.  Hint: It’s not from a wet market.  https://thehill.com/homenews/administration/495571-trump-says-he-has-seen-evidence-linking-coronavirus-to-wuhan-lab,210,189,1,6,4,1,9,0,1373447256178349,HirshSinghNJ,/story.php?story_fbid=1373447256178349&id=616163441906738
Hirsh Singh,,2020-04-28 12:54:06,https://www.insidernj.com/press-release/hirsh-singh-open-new-jersey-economy/,242,227,0,14,0,0,1,0,1371625693027172,HirshSinghNJ,/story.php?story_fbid=1371625693027172&id=616163441906738
Hirsh Singh,,2020-04-28 12:47:46,https://newjerseyglobe.com/congress/singh-seeks-partial-reopening-of-n-j-economy/,396,365,1,30,0,0,0,0,1371620116361063,HirshSinghNJ,/story.php?story_fbid=1371620116361063&id=616163441906738
Hirsh Singh,,2020-04-23 18:01:46,"For over 2 months, Rik Mehta knew his campaign was harboring an individual that would sink the Republican Party statewide. To protect the party we had to expose this tax cheating Democrat (pretending to be a Republican) to fire his racist lackey. We put out the press release immediately after being notified and verifying all the details.  Why is Republican Leadership, who endorsed Mehta, not asking him to now step down? His campaign is done, he has already lost the General. Democrats have all the ammunition they need to make us lose every single race in the State if Mehta is pushed through. I don’t care what backroom deal Mehta cut, now is the time to course correct before it’s too late!  We all know the Republican base will not come out for such a candidate.  http://shorenewsnetwork.com/2020/04/23/u-s-senate-candidate-rik-mehta-finally-lets-go-of-campaign-executive-caught-in-n-word-viral-video/",249,194,4,0,34,3,14,0,1367657476757327,HirshSinghNJ,/story.php?story_fbid=1367657476757327&id=616163441906738
Hirsh Singh,,2020-04-23 14:31:27,"There are three kinds of lies: lies, damned lies, and statistics.  Democrat puppets must stop this nonsense!   https://www.insidernj.com/press-release/republican-hirsh-singh-condemns-fake-study-hydroxychloroquine/ https://shorenewsnetwork.com/2020/04/23/hirsh-singh-condemns-democrat-plot-to-discredit-hydroxychloroquine-treatment-for-covid-19/",335,262,1,9,22,7,34,0,1367520060104402,HirshSinghNJ,/story.php?story_fbid=1367520060104402&id=616163441906738
Hirsh Singh,,2020-04-21 18:43:30,America First. Always.   https://www.washingtonpost.com/immigration/coronavirus-trump-suspend-immigration/2020/04/21/464e2440-838d-11ea-ae26-989cfce1c7c7_story.html,520,456,0,64,0,0,0,0,1366000366923038,HirshSinghNJ,/story.php?story_fbid=1366000366923038&id=616163441906738
Hirsh Singh,,2020-04-20 19:37:33,"Announcement: We teamed up with Sewa International USA to help our local hospitals and medical staff across NJ that are running out of medical essentials. Donate, spread the word, and join us in protecting our overburdened frontline medical professionals - every penny of every dollar will be used to provide Personal Protective Equipment.  - Hirsh Singh  https://www.hirshsingh.com/covidresponse",899,832,5,56,2,3,1,0,1365215850334823,HirshSinghNJ,/story.php?story_fbid=1365215850334823&id=616163441906738
Hirsh Singh,,2020-04-16 18:37:47,"Campaign Update: I’m truly humbled to report that we have Over 5000 individual donors from all 50 states, every county, and almost every municipality in New Jersey. The people are speaking - I will never let you down and I will never forget all this support!!   We will stop the Democrat takeover of our Republican Party and we will Remove Cory Booker from politics!  https://newjerseyglobe.com/congress/singh-has-26k-cash-on-hand-45k-debt-for-race-against-booker/",681,622,1,56,1,0,1,0,1361679497355125,HirshSinghNJ,/story.php?story_fbid=1361679497355125&id=616163441906738
Hirsh Singh,,2020-04-16 17:05:02,"Rik Mehta's “n-word” problem is an albatross around his neck and he is guaranteed to lose bad should he get the Republican nomination. What should be truly worrisome in that scenario for the Republican Party is that it will lead to a wipe-out of the Republican Party in the state with the GOP losing the Presidential race, every Congressional race, as well as all down ballot elections.  http://shorenewsnetwork.com/2020/04/16/u-s-candidate-rikin-mehta-has-an-n-word-problem-after-key-staffer-f-bomb-video-goes-viral-worldwide/",43,26,0,0,9,0,8,0,1361617544027987,HirshSinghNJ,/story.php?story_fbid=1361617544027987&id=616163441906738
Hirsh Singh,,2020-04-15 21:41:23,Tucker Carlson Tonight grills Governor Phil Murphy.    Watch for yourself.  https://youtu.be/dG7SglDjeOM,426,303,4,18,10,1,90,0,1360847677438307,HirshSinghNJ,/story.php?story_fbid=1360847677438307&id=616163441906738
Hirsh Singh,,2020-04-12 06:32:10,"Happy Easter & Chag Pesach Sameach!  Life is tough for many, but we will get through this stronger than ever before!!  Wishing peace and happiness for all!",162,140,0,22,0,0,0,0,1357456607777414,HirshSinghNJ,/story.php?story_fbid=1357456607777414&id=616163441906738
Hirsh Singh,,2020-04-09 16:43:27,We must give our doctors every tool to keep the population safe.  https://www.insidernj.com/press-release/hirsh-singh-calls-gov-murphy-allow-medical-community-preventative-use-hydroxychloroquine-treat-covid-19-patients/.,2100,1900,5,62,17,3,53,0,1355586627964412,HirshSinghNJ,/story.php?story_fbid=1355586627964412&id=616163441906738
