source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
JJ STITT for US Senate,,2020-04-27 12:12:24,,96,80,0,15,1,0,0,0,252207819477005,JJSTITTforUSSenate,/story.php?story_fbid=252207819477005&id=107429410621514
JJ STITT for US Senate,,2020-04-18 15:58:17,Looking for a 2A street fighter ?? I know a guy .....................,164,95,0,3,1,0,65,0,245935846770869,JJSTITTforUSSenate,/story.php?story_fbid=245935846770869&id=107429410621514
JJ STITT for US Senate,,2020-04-16 21:04:06,Democrats are the minority in the Senate - Republicans had to contribute in some way for them to block anything !!,35,10,1,1,1,1,21,0,244596816904772,JJSTITTforUSSenate,/story.php?story_fbid=244596816904772&id=107429410621514
JJ STITT for US Senate,,2020-04-12 11:38:57,In turbulent times - GOD remains constant.  Happy Easter from my family to yours !!,232,180,1,51,0,0,0,0,241161253914995,JJSTITTforUSSenate,/story.php?story_fbid=241161253914995&id=107429410621514
JJ STITT for US Senate,,2020-04-10 14:00:36,Now more than ever this nation needs a second amendment street fighter !! I am asking for your vote to send me to D.C.,232,103,1,1,5,2,120,0,239726827391771,JJSTITTforUSSenate,/story.php?story_fbid=239726827391771&id=107429410621514
JJ STITT for US Senate,,2020-04-10 12:07:01,,89,59,0,30,0,0,0,0,239666277397826,JJSTITTforUSSenate,/story.php?story_fbid=239666277397826&id=107429410621514
JJ STITT for US Senate,,2020-04-04 20:54:43,"I'm asking those who are currently serving or have served their community as a Police Officer/Deputy Sheriff/State Trooper to join the challenge of posting a picture of yourself in uniform. Just a picture, no description. The goal is to flood FB with positive photos instead of negativity. Please copy the text to your timeline, put up a picture and look at some great memories. 💙",400,356,4,40,0,0,0,0,235559007808553,JJSTITTforUSSenate,/story.php?story_fbid=235559007808553&id=107429410621514
JJ STITT for US Senate,,2020-04-04 17:22:12,"I choose to fight this battle for the people. With you, impossible becomes POSSIBLE. Let’s rise against them and Vote June 30th.",417,370,5,40,1,1,0,0,235467964484324,JJSTITTforUSSenate,/story.php?story_fbid=235467964484324&id=107429410621514
"JJ STITT for US Senate,Okarche Police Department",,2020-03-29 21:04:09,"👮‍♂️  How awesome is this patch!  🧩  We are excited to be part of Autism Awareness in the month of April!  Officers will proudly display this patch on their uniforms representing their support.  World Autism Awareness Day is on Thursday, April 2. An estimated 1 in 59 children in the United States have a form of autism spectrum disorder. I will post more information on this very special patch and how you can get one later this week!   #autism #autismawareness #awareness #support #autismawarenessmonth #autismspeaks #daretobedifferent",43,38,0,5,0,0,0,0,232384214792699,JJSTITTforUSSenate,/story.php?story_fbid=232384214792699&id=107429410621514
,,2020-03-30 12:15:22,,0,0,0,0,0,0,0,0,231633828201071,JJSTITTforUSSenate,/ufi/reaction/profile/browser/?ft_ent_identifier=107671037264018&refid=17&_ft_=top_level_post_id.231633828201071%3Atl_objid.231633828201071%3Apage_id.107429410621514%3Aphoto_attachments_list.%5B231633818201072%2C231633828201071%5D%3Aphoto_id.231633818201072%3Astory_location.4%3Astory_attachment_style.album%3Atds_flgs.3%3Apage_insights.%7B%22107429410621514%22%3A%7B%22page_id%22%3A107429410621514%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A107429410621514%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1585584922%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B231633818201072%2C107671037264018%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A107429410621514%2C%22page_id%22%3A107429410621514%2C%22post_id%22%3A231633818201072%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A107429410621514%2C%22page_id%22%3A107429410621514%2C%22post_id%22%3A107671037264018%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.107429410621514%3A306061129499414%3A43%3A0%3A1590994799%3A3501840987124763669&__tn__=%2AW-R#footer_action_list
