source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Jaime Harrison,,2020-05-01 15:15:01,"Lindsey Graham played political games with federal resources that South Carolina needs. And he just lost. Now, the folks at MCAS Beaufort lose $11 million for a desperately needed fire station. Shameful. When I'm elected, I'll always put SC first.",290,155,0,2,10,30,92,0,2827330854049999,JaimeHarrisonSC,/story.php?story_fbid=2827330854049999&id=328072970642479
Jaime Harrison,,2020-05-01 11:41:16,"If it's the right thing to do, it doesn't matter that it's tough 💪🏻💪🏽💪🏾",1000,825,1,239,0,0,0,0,2826923567424061,JaimeHarrisonSC,/story.php?story_fbid=2826923567424061&id=328072970642479
Jaime Harrison,,2020-04-30 14:13:01,"This headline isn’t surprising to businesses run by women or people of color. This virus is just exposing it and making it worse.  Glad to see the most recent PPP bill addresses this, but we need leaders who will fix the systemic problem when this is over.",196,59,1,1,7,45,83,0,2824774614305623,JaimeHarrisonSC,/story.php?story_fbid=2824774614305623&id=328072970642479
Jaime Harrison,,2020-04-30 09:41:04,"Campaign Update ➡️ The Cook Political Report just UPGRADED our chances of beating Lindsey Graham! We've been building grassroots momentum on the ground, talking to voters in every county of the state, and we're just getting started. I'm ready—are you with me?",690,560,2,128,0,0,0,0,2824258661023885,JaimeHarrisonSC,/story.php?story_fbid=2824258661023885&id=328072970642479
Jaime Harrison,,2020-04-29 18:07:22,"Let's get this straight: no one *wants* to be on unemployment. You do it because you lost your job and you need to feed your family and pay the rent for a few weeks.  Anyone who says otherwise hasn't spent enough time around real, hard-working South Carolinians.",253,209,2,37,3,0,0,0,2822750904507994,JaimeHarrisonSC,/story.php?story_fbid=2822750904507994&id=328072970642479
Jaime Harrison,,2020-04-29 15:15:11,"Our leadership in SC failed us. They took away the resources for us to manage one of the most precious gifts we have - our health. Now, we reap what they sowed.  Time to kick them out, starting with Lindsey Graham.",399,260,1,9,9,56,64,0,2822444197871998,JaimeHarrisonSC,/story.php?story_fbid=2822444197871998&id=328072970642479
Jaime Harrison,,2020-04-28 19:39:07,I’m sure those of y’all with young kids have been doing a LOT of story time recently (we sure have!). Wanted to share one of my favorites that we’ve been reading to my one year old son. Maybe this can help you rest your voice for a few minutes 😊,276,181,1,92,1,0,0,0,2820526288063789,JaimeHarrisonSC,/story.php?story_fbid=2820526288063789&id=328072970642479
Jaime Harrison,,2020-04-28 14:27:06,"Even Lindsey Graham’s strongest supporters know he’s forgotten about them and that it’s time for change. Dick Wilkerson brought jobs and opportunity to SC during his time at Michelin. Grateful for his support. Together, we’re going to #SendLindseyHome!",1400,1100,3,332,2,0,0,0,2820032684779816,JaimeHarrisonSC,/story.php?story_fbid=2820032684779816&id=328072970642479
Jaime Harrison,,2020-04-27 18:29:49,"This campaign is about bringing hope back to folks like this man. I'm ready to fight for him and working people across South Carolina, are you with me? 💪🏿",420,305,2,112,0,0,0,0,2818087224974362,JaimeHarrisonSC,/story.php?story_fbid=2818087224974362&id=328072970642479
Jaime Harrison,,2020-04-27 12:36:50,"Eliminating the Postal Service would sever a lifeline to South Carolinians living in small towns and in some of the most remote stretches of our state.  Members of Congress, especially our South Carolina congressional delegation, must do what is right. We must save the USPS. 📬 https://thetandd.com/opinion/columnist/commentary-save-the-postal-service/article_1eba9440-e494-5452-8641-a84a7da37cbb.html",374,327,2,45,0,0,0,0,2817520415031043,JaimeHarrisonSC,/story.php?story_fbid=2817520415031043&id=328072970642479
