source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Jessica Scarane,,2020-03-07 17:40:16,"In the late 80s, my dad decided he wanted to work for himself, so he quit his job and started his own business installing alarm systems. Shortly after that my mom got pregnant with my sister, but when my dad gave up working for a boss he also gave up my family’s health insurance.  When my mom went to her doctor to figure out how much having a baby without insurance would cost, she was told she’d need to pay $5,000 just for the doctor’s services. Oh, and because she didn’t have insurance, they’d require that payment in full by the fourth month of her pregnancy. When my mom balked at paying so early, she was dismissed and told she could just go to the free clinic if she couldn’t afford it. When my mom tells this story, even after all this time, you can hear how hurt she was in that moment. This is what a for-profit healthcare system continues to do today — value people based on their ability to pay. The last thing a pregnant person should be doing is stressing about the costs of birth. We absolutely don’t have to live this way. And with Medicare for All, we won’t.",14,12,0,1,0,1,0,1,195865971824872,JessforDelaware,/story.php?story_fbid=195865971824872&id=108506830560787
Jessica Scarane,,2020-03-07 12:33:53,Thanks so much Sussex County Democratic Committee for inviting me to speak at your monthly coffee this morning! Great to meet new people in Sussex who are excited to make a country that works for all of us!,36,31,0,5,0,0,0,0,204688887609247,JessforDelaware,/story.php?story_fbid=204688887609247&id=108506830560787
Jessica Scarane,,2020-03-06 17:51:05,"I had a great time talking to Rob on the Highlands Bunker podcast! Listen to our conversation about corporate welfare and homelessness in Delaware, Michael Bloomberg’s failed campaign, and the importance of this Senate race for both Delaware and the country. https://www.patreon.com/posts/34404796",19,17,0,2,0,0,0,0,204066941004775,JessforDelaware,/story.php?story_fbid=204066941004775&id=108506830560787
Jessica Scarane,,2020-03-05 19:47:18,"Yesterday, the Supreme Court heard a case intended to strike down Louisiana’s TRAP (targeted restrictions on abortion providers) law: an anti-abortion measure intended to close clinics.  Chris Coons claims to support Roe v. Wade, but he continues to vote for Trump judges who are determined to overturn it. In fact, in 2018 he sided with Republicans to confirm Kurt Engelhardt, one of the very judges who declined to rehear this case and sent it to the Supreme Court. These votes are putting our rights and bodies in danger. Chris Coons cannot say he supports abortion rights while siding with Trump’s anti-choice agenda.",8,7,0,0,0,0,1,1,203365841074885,JessforDelaware,/story.php?story_fbid=203365841074885&id=108506830560787
Jessica Scarane,,2020-03-04 18:22:35,"I know a lot of people are sad today. The election results from yesterday feel like a setback for progressives. But this fight is far from over. There are campaigns all over the country, & plenty of elections coming up. Our election is September 15th. We're going to keep fighting. Will you fight with us?",61,41,0,20,0,0,0,5,202533167824819,JessforDelaware,/story.php?story_fbid=202533167824819&id=108506830560787
Jessica Scarane,,2020-03-03 20:32:07,"We’ve got a record number of phone banks and canvasses scheduled for this week! Never volunteered before? We start every phone bank and canvass with a training, and we always pair new volunteers with someone experienced. Sign up below!  📞 PHONE BANK with us 📞 🔹 Tuesday, March 3rd - bit.ly/2TccpE1 🔹 Thursday, March 5th - bit.ly/3cw6RvM 🔹 Friday, March 6th - bit.ly/3a8FTYS  🚪 CANVASS with us 🚪 Thursday 3/5 🔹 3 pm in Wilmington: bit.ly/32Kk67i Saturday 3/7 🔹 10 am in Wilmington: bit.ly/2I5oT9Q 🔹 1 pm in Wilmington: bit.ly/2TpiI5X 🔹 4 pm in Wilmington: bit.ly/2Tk1k3Q 🔹 12 pm in New Castle: bit.ly/32Kuz2A 🔹 1 pm in Newark: bit.ly/39d32cv 🔹 2:30 pm in Middletown: bit.ly/2TrWrVa Sunday 3/8 🔹 10 am in Wilmington: bit.ly/32EZLk4 🔹 1 pm in Wilmington: bit.ly/2wQmBsT 🔹 4 pm in Wilmington: bit.ly/2TkGtxj 🔹 12 pm in New Castle: bit.ly/2Tkzbtg 🔹 1 pm in Newark: bit.ly/2wdIi5Y 🔹 1 pm in Dover: bit.ly/2IjtLsp",19,18,0,1,0,0,0,0,201854327892703,JessforDelaware,/story.php?story_fbid=201854327892703&id=108506830560787
Jessica Scarane,,2020-02-29 15:24:23,"Today is the last day of #BlackHistoryMonth, and a reminder to not only acknowledge our past, but to take action every day to fight for equity, elevate Black voices, and elect more Black leaders at every level of government. So instead of donating to me, I’m asking you to join me in supporting black progressive candidates running in Delaware. Donate here to support Madinah Wilson-Anton, Larry Lambert for 7th District State Representative 2020, and Marie Pinkney for State Senate in their campaigns for Delaware's General Assembly, and Coby Owens and Shané Darby in their campaigns for Wilmington City Council. We need them. https://secure.actblue.com/donate/bhmcandidates",21,15,0,6,0,0,0,1,199525368125599,JessforDelaware,/story.php?story_fbid=199525368125599&id=108506830560787
Jessica Scarane,,2020-02-29 09:03:21,"We recently canvassed a woman who didn't know where to vote because her normal polling place was Pulaski Elementary, which closed last year. We checked on the Department of Elections website and her polling place was still listed as Pulaski. We called the Department of Elections 3 times: got hung up on once, transferred to the Dover campaign finance department, then finally got through to someone on the third try. They said that her new polling place would either be Richardson Park or Claymore Senior Center...but they hadn't finalized it yet.  The school has been closed for almost a year. The presidential primary election is in 8 weeks.  I'm furious. There are people looking up where to vote who are getting the wrong polling place and won't know where to vote on election day. We asked them to put something on the website to let people know, but they said they probably wouldn't do that; they will just send people new polling cards when they finally decide where their new polling places are. And when people DO learn where they can vote, there are still concerns about how they will get to their new polling place. I talked to another woman in Browntown this weekend who told us her husband got his new polling place card that said they'll vote at Richardson Park, but she was really concerned about people — especially the elderly or those who don't drive — being able to get there. This is voter suppression at work. **UPDATE ** We followed up with this voter and she received her new voter card in the mail yesterday. The Department of Elections website has been updated with the correct polling location. There are many others out there who may have checked the Department of Elections website before these updates and have incorrect information about where to vote. If you have not received your updated voter card, or are unsure where to vote, please check ivote.de.gov or message us for help!",41,21,0,0,1,1,18,5,198924948185641,JessforDelaware,/story.php?story_fbid=198924948185641&id=108506830560787
Jessica Scarane,,2020-02-28 21:00:48,"🚨Party Change Deadline Today 🚨 If you live in Delaware, today is the last day to change your party so you can vote in the Presidential Primary on April 28th! Only registered Democrats can vote in the Democratic primary. Go to ivote.de.gov to update your voter registration today!",7,6,0,1,0,0,0,0,198929454851857,JessforDelaware,/story.php?story_fbid=198929454851857&id=108506830560787
Jessica Scarane,,2020-02-28 08:29:01,"This is Wilmington in 1968. Delaware’s governor deployed thousands of National Guard members to Wilmington to stifle protests after Dr. King's assassination, resulting in the longest peacetime occupation of an American city. The mostly white National Guard force kept the city under strict surveillance for 9 months, forcing businesses to close, trapping residents in their homes, and resulting in the murder of Douglas Henry Jr., who was shot to death even as he was complying with the guardsman’s orders. After the occupation ended, residents whose homes and businesses were damaged or closed never received compensation for their losses. Residents with lasting trauma from being violently surveilled never received the care they deserved. #BlackHistoryMonth is about more than remembering our history of anti-Black racism, it's about repairing the harm we've done and taking action to dismantle the systemic oppression that persists today. This is why I support reparations: just because a racist occupation or law no longer exists, the damage is already done. We can’t begin to repair these wrongs until we fairly compensate those who suffered under them. 📸: The News Journal",37,28,0,0,1,8,0,4,198263888251747,JessforDelaware,/story.php?story_fbid=198263888251747&id=108506830560787
