source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Joe Kennedy III,,2020-05-01 12:06:48,,7100,6200,4,903,4,1,7,0,3739779109396958,JoeKennedyIII,/story.php?story_fbid=3739779109396958&id=309993142375589
,,2020-04-30 20:04:53,"Impact of Covid-19 on Nursing Homes | Joined by Jodi Ouimette, Administrator at Williamstown Commons Nursing and Rehabilitation Center",1600,1100,1,240,13,299,2,0,585730125377125,JoeKennedyIII,/story.php?story_fbid=585730125377125&id=309993142375589
Joe Kennedy III,,2020-04-30 18:20:01,No more trickle down. In the next Congressional relief package we need funds for State and local governments. And we need to put money directly into the hands of every American. We need real relief.,8800,7900,8,835,4,9,9,0,3737138512994351,JoeKennedyIII,/story.php?story_fbid=3737138512994351&id=309993142375589
Joe Kennedy III,,2020-04-30 14:00:53,"Those in Massachusetts hardest hit by this virus are the same places that have been ravaged by climate and environmental injustice. For generations, we have left frontline communities unprotected and on their own. Chelsea, Brockton, Everett, Lynn, Randolph, and Lawrence need justice. We cannot and will not allow the erasure of frontline communities to continue. That’s why I was so proud to stand with my colleagues to introduce the Environmental Justice for All Act. We must keep fighting.",1500,876,2,15,95,557,29,0,3736484013059801,JoeKennedyIII,/story.php?story_fbid=3736484013059801&id=309993142375589
Joe Kennedy III,,2020-04-30 13:26:29,If you don’t have health care. If you don’t have a home. If you don’t have food. If you can’t educate your child... Then you are being denied the unalienable rights this country promises all. Life. Liberty. Pursuit of happiness. We are denying too many. We need change.,8600,7300,4,748,12,515,22,0,3736391949735674,JoeKennedyIII,/story.php?story_fbid=3736391949735674&id=309993142375589
Joe Kennedy III,,2020-04-30 09:52:11,"Our economy, our families, our communities have been changed forever. We need better than the status quo. We need to pass real, meaningful relief. We need to put money directly into the hands of Americans—not a bailout to those at the top. We can’t afford to wait any longer.",7300,4200,9,104,330,2400,103,0,3735750229799846,JoeKennedyIII,/story.php?story_fbid=3735750229799846&id=309993142375589
,,2020-04-30 08:58:10,Morning Everyone,6900,5300,6,1400,6,71,4,0,662941267828542,JoeKennedyIII,/story.php?story_fbid=662941267828542&id=309993142375589
,,2020-04-29 20:50:45,Answering your questions in the comments:Come join the conversation.  Ask questions below!,492,436,0,53,0,0,2,0,3733893403318862,JoeKennedyIII,/story.php?story_fbid=3733893403318862&id=309993142375589
,,2020-04-29 20:30:25,Come join the conversation.  Ask questions below!,2700,2000,5,637,1,9,6,0,234682337749776,JoeKennedyIII,/story.php?story_fbid=234682337749776&id=309993142375589
,,2020-04-29 13:20:08,Thank you for your service.,10000,9000,7,1100,4,2,3,0,3732718590103010,JoeKennedyIII,/story.php?story_fbid=3732718590103010&id=309993142375589
,,2020-04-29 11:10:31,More than one million confirmed cases.  More fatalities than the entire Vietnam War.  Going back to normal isn’t enough.,12000,8900,6,2000,49,1400,34,0,180022146461557,JoeKennedyIII,/story.php?story_fbid=180022146461557&id=309993142375589
Joe Kennedy III,,2020-04-29 10:47:22,Abolish the electoral college. End the filibuster. Enact vote by mail. Our voices must be heard and fairly represented.,34000,30000,29,4400,10,8,18,0,3732269923481210,JoeKennedyIII,/story.php?story_fbid=3732269923481210&id=309993142375589
,,2020-04-29 08:50:10,This is why I’m running.,9600,7300,10,2300,9,5,11,0,222745895725648,JoeKennedyIII,/story.php?story_fbid=222745895725648&id=309993142375589
Joe Kennedy III,,2020-04-28 17:04:56,Wear a mask. Lead by example. What are you trying to prove?,79000,31000,976,884,6600,3300,36000,0,3729670393741163,JoeKennedyIII,/story.php?story_fbid=3729670393741163&id=309993142375589
Joe Kennedy III,,2020-04-28 15:25:08,"Essential workers are fighting every day to protect us. We need to do the same.  We can’t rely on them to keep our nation running and not invest in them now, and forever going forward.",2400,2000,1,357,5,8,4,0,3729428090432060,JoeKennedyIII,/story.php?story_fbid=3729428090432060&id=309993142375589
Joe Kennedy III,,2020-04-28 13:17:08,"Thoughts on vote by mail: 1. Not instituting it is voter suppression — forcing people to choose between health and voting 2. The President votes by mail — it’s safe, despite his attacks 3. Threats to the USPS seem to be out of nowhere, huh? 4. We need vote by mail. Period.",15000,14000,7,1600,25,22,66,0,3729085120466357,JoeKennedyIII,/story.php?story_fbid=3729085120466357&id=309993142375589
,,2020-04-28 08:24:33,Happy Tuesday from the road to Fall River. And some thoughts on opening up...,10000,7900,9,2200,7,8,8,0,587647615187335,JoeKennedyIII,/story.php?story_fbid=587647615187335&id=309993142375589
,,2020-04-27 20:01:00,Essential workers deserve better | Joined by Rev. Dr. William J. Barber II,4800,3800,5,954,9,6,12,0,1354901738041057,JoeKennedyIII,/story.php?story_fbid=1354901738041057&id=309993142375589
,,2020-04-27 17:10:26,Wahlburgers!!,8100,6400,4,1600,14,3,1,0,666389964126544,JoeKennedyIII,/story.php?story_fbid=666389964126544&id=309993142375589
Joe Kennedy III,,2020-04-27 14:03:32,"Continuing our work with Wahlburgers today, delivering meals to those on the frontlines. To those at Brigham and Women’s Faulkner Hospital: Thank you for your service. Thank you for keeping us safe.",1800,1500,0,361,0,0,1,0,3725715927469943,JoeKennedyIII,/story.php?story_fbid=3725715927469943&id=309993142375589
Joe Kennedy III,,2020-04-27 13:23:00,"A month ago, those who prepare our food, deliver our packages, drive our buses, and clean our offices were called “service workers.” Now, they are called “essential workers.”  They’ve been essential all along. It’s time we acknowledge them as such.",13000,12000,8,1800,25,56,4,0,3725610830813786,JoeKennedyIII,/story.php?story_fbid=3725610830813786&id=309993142375589
Joe Kennedy III,,2020-04-27 10:42:49,"I got into this race because we need stronger leadership in the Senate. And if I thought that six months ago, I think it even more now. Here’s why: This virus has exposed what happens when communities in our Commonwealth are underserved and under-protected. Places like Chelsea and Brockton, disproportionately getting sick, going hungry, losing the people they love. Places like Springfield, forced to fight for their fair share of resources and protection. With everything we are up against – from COVID-19 to the daily wreckage of Donald J. Trump – our people cannot afford absent leadership.  Senator Markey isn’t here enough. He isn’t in Massachusetts enough. And in the months ahead, more than ever, we are going to need a Senator who will be on the ground – with us – as we recover and rebuild. We are also going to need a Senator with the judgment this moment demands. Senator Markey does not have a record of good judgment in times of crisis. In the wake of 9/11, he voted to give us the Iraq War and the Patriot Act. In the midst of a substance use and public health epidemic in the ‘90s, he voted for a Crime Bill that locked people up instead of got them well. At a time when our climate crisis was reaching an apex, when Democrats controlled all three chambers of government, he couldn’t get a bill through. He voted present when President Obama asked Congress for war powers in Syria. He voted present again when Mitch McConnell brought the Green New Deal to the Senate floor. Now, we face a crisis of unimaginable magnitude. And if you want to know what kind of leadership I will bring to this seat -- in contrast to Senator Markey --  just look at what we have done with our campaigns over the last month. I immediately suspended political activities and shifted to a digital operation focused on one thing: COVID-19. I paused fundraising for myself to raise nearly $100k for frontline organizations driving our response. I reoriented my entire volunteer and organizer network to make wellness calls and check in with seniors across the state. I have dedicated every inch of my time, my resources, and my staff to COVID-19. Senator Markey didn't. That’s the difference between us. As your U.S. Senator I will do better than the political status quo. I will do more than cast good votes or write good bills in Washington. I will show up on the frontlines in Massachusetts. I will fight in the trenches. I will listen, and I will lead.  Because that's what Massachusetts needs to get through this.",12000,10000,7,2300,10,6,9,0,3725158214192381,JoeKennedyIII,/story.php?story_fbid=3725158214192381&id=309993142375589
,,2020-04-27 09:19:06,"Happy rainy, windy and even slushy Monday.  And hurray for Wahlburgers!",8900,6900,14,2000,8,4,3,0,2259387601035748,JoeKennedyIII,/story.php?story_fbid=2259387601035748&id=309993142375589
