source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
John James,,2020-04-29 17:12:13,‪Thanks to Meshawn Maddock and the 11th Congressional District Republican Committee for inviting me to speak during your Frontline COVID Update today.‬,1200,1100,2,109,1,0,1,0,896189660842598,JohnJamesMI,/story.php?story_fbid=896189660842598&id=303061950155375
John James,,2020-04-26 15:00:30,"Hey, Coach Juwan Howard! This kid has skills! #hail #diaperdandy",576,459,6,111,0,0,0,0,894059371055627,JohnJamesMI,/story.php?story_fbid=894059371055627&id=303061950155375
John James,,2020-04-25 19:12:43,"‪During Ramadan, I want to wish everyone observing a blessed month. This season begins during a challenging time, and I pray we all find a renewed sense of devotion and charity. Ramadan Mubarak and Ramadan Kareem.‬",1300,1000,1,95,15,19,97,0,893466204448277,JohnJamesMI,/story.php?story_fbid=893466204448277&id=303061950155375
John James,,2020-04-22 17:26:10,"The more time we all spend inside together, the busier our days seem. 😳 I’m grateful for times like these to slow down, get outside and enjoy God’s beautiful creation. It reminds me the Earth doesn't belong to us. We are stewards and we must protect it for our children.",3400,2800,1,562,1,0,1,0,891158611345703,JohnJamesMI,/story.php?story_fbid=891158611345703&id=303061950155375
John James,,2020-04-19 15:26:22,We must repatriate the American Dream from overseas and restore hope for our families. It will bring jobs back to this nation and ensure that a foreign country cannot disrupt our supply chain on essential goods. https://fxn.ws/2Kgcwcf,1800,1600,2,183,0,1,1,0,889129961548568,JohnJamesMI,/story.php?story_fbid=889129961548568&id=303061950155375
John James,,2020-04-18 18:11:05,We’re in this together 💪🏾🇺🇸 THANK YOU to our frontline heroes during this crisis. - The James family,8500,7100,5,1400,0,0,5,0,888449448283286,JohnJamesMI,/story.php?story_fbid=888449448283286&id=303061950155375
John James,,2020-04-16 08:50:19,"US goods from US companies to fight COVID are being held up in China by the CCP while Michiganders are sick & dying. America should never be beholden to our “frenemies” for our health, wealth & security. We must bring US manufacturing back to the US.   https://on.wsj.com/3bkgwVe",2600,1900,2,67,64,48,494,0,886660035128894,JohnJamesMI,/story.php?story_fbid=886660035128894&id=303061950155375
John James,,2020-04-10 16:58:11,"On this Good Friday we are reminded to put our love into action, following Christ's example to help clothe the naked, feed the hungry & heal the sick. By God’s grace we were able to aid in the fight against COVID-19 in Michigan. All Glory to God! Thank you 🙏🏾",1800,1400,2,362,0,1,2,0,882342725560625,JohnJamesMI,/story.php?story_fbid=882342725560625&id=303061950155375
John James,,2020-04-10 09:38:51,"I want to thank, from the bottom of my heart, our National Guard for their work to combat the COVID crisis here in Michigan. You are putting yourselves in harm's way to protect our health, and we need to make sure we do everything we can to take care of yours.",1400,1300,0,187,1,0,2,0,882090762252488,JohnJamesMI,/story.php?story_fbid=882090762252488&id=303061950155375
John James,,2020-04-08 19:18:46,Wishing all my Jewish friends and neighbors a Happy Passover tonight,3600,3000,2,621,2,2,2,0,881019392359625,JohnJamesMI,/story.php?story_fbid=881019392359625&id=303061950155375
John James,,2020-04-04 16:53:46,Beginners luck!!,1000,764,196,40,3,0,0,0,878038462657718,JohnJamesMI,/JohnJamesMI/photos/a.306404846487752/878038462657718
John James,,2020-04-02 12:39:52,"‪Now, more than ever, it is important to maintain your physical health and your mental health.‬ ‪While you are at home today, take a moment to go for a walk or do some pushups with your “coworkers”. I promise it will help your brain and your body. 💪🏾🙂‬",2000,1600,34,329,16,0,0,0,876502539477977,JohnJamesMI,/story.php?story_fbid=876502539477977&id=303061950155375
John James,,2020-03-31 19:23:01,This hurts. Ben Hirschmann was only 24 years old and his passing hits close to home. Ben was a beloved volunteer and I never saw him once without a smile on his face. My prayers are with him and his loved ones during this difficult time. https://bit.ly/2V451dF,899,180,1,23,2,693,0,0,875333932928171,JohnJamesMI,/story.php?story_fbid=875333932928171&id=303061950155375
John James,,2020-03-31 18:02:11,"Enough of the Democrat v. Republican nonsense! We need to focus right here, right now. On Michigan, not Washington. On Detroit, not DC. On the poor, not politics.",4600,4000,5,606,2,1,0,0,875297679598463,JohnJamesMI,/story.php?story_fbid=875297679598463&id=303061950155375
John James,,2020-03-29 23:43:41,"‪It’s Sunday, nearly midnight, and my wife is working with her partners around the world to get medical PPE into Michigan. She’ll be up again at 4 AM for another call, a workout, and will have to be a Mom for the rest of the day after. ‬",5600,4200,3,1300,35,2,0,0,874031886391709,JohnJamesMI,/JohnJamesMI/photos/a.306404846487752/874031886391709
John James,,2020-03-29 16:01:47,"Our Vietnam Veterans, like my Dad, sacrificed for us & many came home to scorn, yet raised us to love the USA! Today they are among the most vulnerable to COVID19 & suicide. Thanks to my Dad & his bros in arms. Welcome home. You stepped up for us. Now we’ll step up for you.",3800,2900,0,876,2,16,1,0,873801706414727,JohnJamesMI,/story.php?story_fbid=873801706414727&id=303061950155375
John James,,2020-03-28 15:43:42,"Help is on the way: Thank you to the federal & state workers getting essential equipment to our hospitals & healthcare workers. Working together, we will get through this #michiganfirst https://bit.ly/2UMgaPS",3200,2700,1,491,3,1,0,0,873055769822654,JohnJamesMI,/story.php?story_fbid=873055769822654&id=303061950155375
John James,,2020-03-28 10:38:56,"Thank you President Donald J. Trump, Vice President Mike Pence and all the federal and state workers who helped make this happen. Together we will get through this. #michiganfirst https://bit.ly/39rPs4t",3700,3200,2,489,7,2,3,0,872883546506543,JohnJamesMI,/story.php?story_fbid=872883546506543&id=303061950155375
John James,,2020-03-27 20:57:31,Had a great call today with Vice President Mike Pence. Many in state and federal government are working to make Michigan healthy and safe. Some things are bigger than politics. This administration stands with the state and resources are on the way.  More to come.,3300,2800,3,510,0,1,1,0,872487673212797,JohnJamesMI,/story.php?story_fbid=872487673212797&id=303061950155375
John James,,2020-03-25 12:17:23,3 years ago this was just funny...now it’s my reality. I sympathize with this dad 💯  https://bit.ly/2mK4M5A,464,257,182,21,4,0,0,0,870571746737723,JohnJamesMI,/story.php?story_fbid=870571746737723&id=303061950155375
John James,,2020-03-24 22:07:03,"Today I spoke with farmers across MI about how they are tackling this tough time. Our farmers are family businesses that feed the world & I am so thankful, especially now. Gov’t must clear the way so family businesses can thrive. This  thank a farmer for the work they do!",2300,2000,3,336,0,0,1,0,870153006779597,JohnJamesMI,/JohnJamesMI/photos/a.306404846487752/870153006779597
John James,,2020-03-24 20:25:37,"Even though we are all cooped up in our homes doing our part to social distance, I want to make sure the James’ send a big THANK YOU out to our medical professionals on the frontlines of this crisis. You are our superheroes 🦸‍♀️ 👩‍⚕️🦸‍♂️ 👨‍⚕️",2700,2200,2,518,0,0,0,0,870109833450581,JohnJamesMI,/story.php?story_fbid=870109833450581&id=303061950155375
John James,,2020-03-23 13:03:59,M is for Monday 🍎📘 🖊 Let’s fly!  This new dad-teacher is more thankful than ever for our underappreciated teachers 🙏🏾 who dedicate their lives to educating our children every day.,693,562,1,130,0,0,0,0,869100296884868,JohnJamesMI,/story.php?story_fbid=869100296884868&id=303061950155375
John James,,2020-03-18 16:57:55,"I'm so proud of our volunteers & staff who gave their time to serve their community at the Food Bank of Eastern Michigan, while taking necessary precautions. Boxes packed today will serve our most vulnerable populations during this time of crisis. We will get through this by working together. 💪",442,390,0,52,0,0,0,0,865492330578998,JohnJamesMI,/story.php?story_fbid=865492330578998&id=303061950155375
John James,,2020-03-18 15:14:11,"These are scary times, but a united America is undefeated! We WILL emerge from this crisis; One Nation. Under God. INDIVISIBLE.",5100,3900,7,1100,5,2,0,0,865435733917991,JohnJamesMI,/story.php?story_fbid=865435733917991&id=303061950155375
John James,,2020-03-17 13:56:04,"🚨Parents, please help spread the word: You can pick up 2 meals per day at NO COST between now and April 5. This map makes it easy to find the location nearest to you ➡️ mi.gov/meetupeatup",460,407,3,49,1,0,0,0,864666333994931,JohnJamesMI,/story.php?story_fbid=864666333994931&id=303061950155375
