source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
"Johnny ""JJ"" Presley for U.S. Senate,Johnny ""JJ"" Presley for U.S. Senate",,2020-03-04 22:37:22,"UPDATE!🚨UPDATE : PER PUTNAM COUNTY EMA MISSING PERSONS UPDATE:  Our missing persons list is down to one person. Leah Suzanne Weeks remains missing, as verified by the TBI. If you have information to locate Ms. Weeks, please call the Emergency Operations Center at (931) 646-INFO. ••••••••••••••••••••••••••••••••••••• PLEASE PLEASE PLEASE stop what you are doing and share these names, lets FLOOD social media until every single person is accounted for! Names of those still missing in Putnam County.. 77 names. A friend. A father or mother. A grandmother or grandpa. Someone’s neighbor. A sister or brother.  A PRECIOUS child.  Lord have your hand on each and every single life. Amen.  Please share, folks.",0,0,0,0,0,0,0,0,140710060758085,JohnnyJJPresley,/story.php?story_fbid=140710060758085&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-04-13 22:21:46,"The Tennessee Republican Party is not allowing me on the ballot for The US Senate Primary Election in August. With your help, my voice and my message was heard. I will continue to fight and be a voice for rural Tennesseans and bring attention to our Healthcare crisis! Thank you to everyone who supported me in this endeavor!",113,66,0,2,13,31,1,0,152490452913379,JohnnyJJPresley,/story.php?story_fbid=152490452913379&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-19 11:34:38,"Now is the time to adhere to the the guidelines as recommended-avoid the public. Folks, if you don’t think this illness has reached your community yet, it is rampantly coming if not already there, and quick! Due to the downfall of rural hospitals (especially in TN, 14 closed as of now), the COVID-19 will put a hardship on our medical communities. No medical supplies or protective equipment for our providers on the front lines in the clinics, emergency care facilities, nor hospitals. Most of our rural hospitals and clinics are already in an uphill battle, we cannot stand the hit of having less and less hospital beds. You must adhere to the warnings and distance yourself—now.  This is the most contagious disease we have ever seen. There is no treatment, other than supplemental oxygen and mechanical ventilation for the severely ill, and even for those we lack in equipment. Just remember—4 out of 5 people are contagious and do not even realize it. Strict isolation is imperative in order to contain the spread. Do your part and stay away from others!  https://fox17.com/news/local/state-unsure-if-it-will-have-enough-hospital-beds-during-height-of-pandemic?jwsource=cl",34,22,0,2,1,8,1,0,144806847015073,JohnnyJJPresley,/story.php?story_fbid=144806847015073&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-03 21:31:26,"🚨UPDATE : PER PUTNAM COUNTY EMA MISSING PERSONS UPDATE:  Our missing persons list is down to one person. Leah Suzanne Weeks remains missing, as verified by the TBI. If you have information to locate Ms. Weeks, please call the Emergency Operations Center at (931) 646-INFO. ••••••••••••••••••••••••••••••••••••• PLEASE PLEASE PLEASE stop what you are doing and share these names, lets FLOOD social media until every single person is accounted for! Names of those still missing in Putnam County.. 77 names. A friend. A father or mother. A grandmother or grandpa. Someone’s neighbor. A sister or brother.  A PRECIOUS child.  Lord have your hand on each and every single life. Amen.  Please share, folks.",68,28,0,5,1,34,0,0,140394454122979,JohnnyJJPresley,/story.php?story_fbid=140394454122979&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-03 20:19:40,"🚨🚨IMPORTANT INFO🚨🚨 In the comment section below, emergency info has been shared for those in need or those who wish to lend a hand. Feel free to share or add to the list.  Praying continuously for our brothers and sisters across Tennessee.",11,9,0,2,0,0,0,0,140380987457659,JohnnyJJPresley,/story.php?story_fbid=140380987457659&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate,Randall Dye,Johnny ""JJ"" Presley for U.S. Senate",,2020-03-03 17:44:02,Johnny on the scene in Cookeville trying to help his neighbors. Thank You Johnny.,118,101,0,17,0,0,0,0,140354080793683,JohnnyJJPresley,/story.php?story_fbid=140354080793683&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate,WBIR Channel 10",,2020-03-03 14:17:10,"If you are trying to find information about a loved one, you can call 931-646-INFO.  https://www.facebook.com/80100579774/posts/10157437487099775/?d=nOfficials said the tornado hit around 2 a.m. while most people were sleeping and they had no time to take cover. If you are trying to get information about a loved one, you can call 931-646-INFO.",30,14,0,0,0,16,0,0,140315054130919,JohnnyJJPresley,/story.php?story_fbid=140315054130919&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-03 11:53:18,"Sending love and prayers to our fellow Tennesseans as we process the damage and lives lost this morning. Prayers to all the lineman, first responders, medical staff and all the good samaritans in this time of need. May God bless each and every one in this time of need who have lost homes, loved ones and those who are still out searching.  https://www.nashvillescene.com/news/pith-in-the-wind/blog/21119626/nashville-tornado-how-to-help-where-to-get-help",62,44,0,3,0,15,0,0,140284940800597,JohnnyJJPresley,/story.php?story_fbid=140284940800597&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-01 19:00:56,"Farming teaches us the very basics of accountability, discipline and responsibility. I'm a common man, ready to get to work for you!",113,109,0,4,0,0,0,0,139706534191771,JohnnyJJPresley,/story.php?story_fbid=139706534191771&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-01 10:41:07,Proud of my family and those families across the great state of Tennessee. Together we can represent Tennessee proud!,111,100,0,11,0,0,0,0,139705867525171,JohnnyJJPresley,/story.php?story_fbid=139705867525171&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-03-01 10:35:01,,68,66,0,2,0,0,0,0,139704910858600,JohnnyJJPresley,/JohnnyJJPresley/photos/a.100351638127261/139704910858600
"Johnny ""JJ"" Presley for U.S. Senate",,2020-02-29 13:03:09,,126,120,0,6,0,0,0,0,139425950886496,JohnnyJJPresley,/story.php?story_fbid=139425950886496&id=100351601460598
,,2020-02-28 23:33:23,"The continued demise of rural healthcare is all around us. The fine folks in Parsons, TN, invited me down to discuss the future of their rural hospital-Decatur County General Hospital. If this hospital closes, the lifeline of this county dies with it. I appreciate getting the chance to speak with the hospital administrator as well as several county commissioners. God Bless this small town, their hospital, as well as their fine people.",58,51,0,7,0,0,0,0,139269907568767,JohnnyJJPresley,/story.php?story_fbid=139269907568767&id=100351601460598
"Johnny ""JJ"" Presley for U.S. Senate",,2020-02-25 21:14:12,"“Free healthcare, free education, free college, free gun pickup..” Hey, let’s hand out free unicorns and rainbows and hugs, too! 🙄 #DemDebate #trump2020",112,76,33,3,0,0,0,0,138377930991298,JohnnyJJPresley,/story.php?story_fbid=138377930991298&id=100351601460598
