source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Kacey Morgan for U.S. Senate - Tennessee,,2020-04-03 10:21:09,,0,0,0,0,0,0,0,0,132977898278681,KaceyForSenate,/story.php?story_fbid=132977898278681&id=101499404759864
"Kacey Morgan for U.S. Senate - Tennessee,Ryan Jenkins",,2020-04-20 21:47:41,Really enjoyed my conversation with Ryan Jenkins this evening. Thanks again for having me on. Let’s change the game together. #NotMeUsGreat Discussion With Kacey Morgan,3,3,0,0,0,0,0,0,138617634381374,KaceyForSenate,/story.php?story_fbid=138617634381374&id=101499404759864
Kacey Morgan for U.S. Senate - Tennessee,,2020-03-30 17:23:30,We need to implement this for November and continue it moving forward,2,2,0,0,0,0,0,0,131764661733338,KaceyForSenate,/story.php?story_fbid=131764661733338&id=101499404759864
"Kacey Morgan for U.S. Senate - Tennessee,Sunrise Movement",,2020-03-27 12:16:37,"The current Stimulus bill wasn't made for you and me. It puts the interests of corporate CEOs above the health and economic security of the people.  14 million jobs are expected to be lost by summer, and right now only $1200 of relief per person is on the table- but this doesn't include undocumented folks, and it would take at least until the end of April to get to you.  We need a #PeoplesBailout now.",0,0,0,0,0,0,0,0,131762195066918,KaceyForSenate,/story.php?story_fbid=131762195066918&id=101499404759864
Kacey Morgan for U.S. Senate - Tennessee,,2020-04-18 10:49:51,"A lot of people are still pending, especially gig workers and self employed. But here are the new rules to certify for unemployment. The delay on this is honestly deplorable.",2,2,0,0,0,0,0,0,137852067791264,KaceyForSenate,/story.php?story_fbid=137852067791264&id=101499404759864
Kacey Morgan for U.S. Senate - Tennessee,,2020-03-26 09:52:21,In addition to the federal stimulus you can apply for local assistance if you need it.,0,0,0,0,0,0,0,0,130223391887465,KaceyForSenate,/story.php?story_fbid=130223391887465&id=101499404759864
Kacey Morgan for U.S. Senate - Tennessee,,2020-03-25 09:15:04,I’ll be going LIVE again at 4 PM today to discuss the environment - Green New Deal and more!  Register below for the Zoom code.  https://www.eventbrite.com/e/happy-hour-chat-live-w-kacey-morgan-tickets-100935213942,0,0,0,0,0,0,0,0,129859438590527,KaceyForSenate,/story.php?story_fbid=129859438590527&id=101499404759864
Kacey Morgan for U.S. Senate - Tennessee,,2020-03-25 20:21:10,,0,0,0,0,0,0,0,0,130023798574091,KaceyForSenate,/story.php?story_fbid=130023798574091&id=101499404759864
"Kacey Morgan for U.S. Senate - Tennessee,Kacey Morgan for U.S. Senate - Tennessee,Happy Hour Chat Live w/ Kacey",,2020-03-24 16:35:08,Going Live on Zoom in 30 minutesPlease register for the link to the Zoom Room - going live in 30 minutes  https://www.eventbrite.com/e/happy-hour-chat-live-w-kacey-morgan-tickets-100935213942?fbclid=IwAR3tesfkqeicUg-jAVDA10glRb5RZSnqt5CNFtEQqYhx_IBL1uKIAYWZtxQ,0,0,0,0,0,0,0,0,129611911948613,KaceyForSenate,/story.php?story_fbid=129611911948613&id=101499404759864
Kacey Morgan for U.S. Senate - Tennessee,,2020-03-24 14:35:27,"And just like that, we made the press! Thank you to the Citizen Tribune for covering our campaign!",0,0,0,0,0,0,0,0,129585655284572,KaceyForSenate,/story.php?story_fbid=129585655284572&id=101499404759864
