source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Kris Kobach,,2020-03-05 12:25:58,"We’re traveling across the state to talk about the Constitution! Join us for our next rapid-fire Constitution 101 class in Louisburg on March 10th. RSVP Now! Constitution 101 with Kris Kobach Timber Creek Bar and Grill, Louisburg, KS March 10th at 6:30 P.M.",61,55,0,6,0,0,0,2,10156955062557344,KrisKobach1787,/story.php?story_fbid=10156955062557344&id=58550347343
Kris Kobach,,2020-03-03 11:03:52,"Back in January, I noted how the coronavirus was making a compelling case for increased border security. It looks like the Establishment is now catching on.",50,46,1,3,0,0,0,1,10156949962547344,KrisKobach1787,/story.php?story_fbid=10156949962547344&id=58550347343
Kris Kobach,,2020-03-01 16:35:10,ICYMI.,205,172,0,2,3,10,18,20,10156945516402344,KrisKobach1787,/story.php?story_fbid=10156945516402344&id=58550347343
Kris Kobach,,2020-02-28 15:56:47,"The Trump administration did something that some people on the left criticized him for and that is shut down travel from China through our ports of entry, our airports and seaports in January. That was a great move.",481,445,1,34,0,0,1,13,10156940071187344,KrisKobach1787,/story.php?story_fbid=10156940071187344&id=58550347343
Kris Kobach,,2020-02-28 15:00:23,"As the 2020 campaign season heats up, we’re looking for the ELITE group of conservative fighters that will be our campaign’s TOP SUPPORTERS throughout this race! Join our team today to support a strong Conservative voice for Kansas!",42,39,1,2,0,0,0,0,10156939944862344,KrisKobach1787,/story.php?story_fbid=10156939944862344&id=58550347343
Kris Kobach,,2020-02-24 10:46:05,I appreciated the opportunity to talk to so many conservatives in Ottawa on Saturday night. Thank you so much for the invitation!,82,74,0,8,0,0,0,1,10156928762872344,KrisKobach1787,/story.php?story_fbid=10156928762872344&id=58550347343
Kris Kobach,,2020-02-21 12:27:26,"The Democrats' New Way Forward Act would allow already-deported criminals who have committed crimes such as auto theft, gun offenses, child abuse, rape, and even manslaughter to come back into the United States at taxpayer expense.",316,220,2,8,6,3,77,32,10156920858272344,KrisKobach1787,/story.php?story_fbid=10156920858272344&id=58550347343
Kris Kobach,,2020-02-21 09:20:53,"I sat down with Goodland Star-News' Kevin Bottrell earlier this week. You can read the story on the cover of today's paper. Thank you for the time, Kevin!",37,37,0,0,0,0,0,2,10156920690047344,KrisKobach1787,/story.php?story_fbid=10156920690047344&id=58550347343
Kris Kobach,,2020-02-20 18:33:54,"I traveled through parts of Kansas earlier this week visiting with voters, presenting Constitution 101, and enjoying the endless beauty of Kansas. Many thanks to excellent hosts!",285,260,1,23,0,1,0,27,10156919298352344,KrisKobach1787,/story.php?story_fbid=10156919298352344&id=58550347343
Kris Kobach,,2020-02-20 12:05:08,"This poll confirms what we’ve known all along. Kansans want a Republican in the U.S. Senate with a known, conservative track record, who has backed Donald Trump since early 2016 and will continue to do so",234,215,0,18,0,1,0,11,10156918294992344,KrisKobach1787,/story.php?story_fbid=10156918294992344&id=58550347343
Kris Kobach,,2020-02-19 15:29:01,,660,561,1,95,1,0,2,28,10156916208052344,KrisKobach1787,/story.php?story_fbid=10156916208052344&id=58550347343
Kris Kobach,,2020-02-19 11:21:42,"A poll last week showed I would win the general election against the presumed Democratic nominee, and now a new poll shows I have a big lead in the Republican primary. I'm pleased that Kansas Republicans are supporting my campaign in such high numbers. The fact that I stood beside President Trump for the past four years, that I will fight to secure our border, and that I have always been a consistent conservative is resonating with Kansans. We will continue to run hard, and we will win in November.",522,446,2,72,1,0,1,53,10156915627847344,KrisKobach1787,/story.php?story_fbid=10156915627847344&id=58550347343
Kris Kobach,,2020-02-18 19:56:22,"Constitution 101. The third in three days. Salina, Russell, and now Emporia.",133,122,0,11,0,0,0,7,10156914243282344,KrisKobach1787,/story.php?story_fbid=10156914243282344&id=58550347343
Kris Kobach,,2020-02-18 14:19:09,I hope to see you this evening in Emporia.,110,106,0,3,1,0,0,4,10156913024852344,KrisKobach1787,/story.php?story_fbid=10156913024852344&id=58550347343
Kris Kobach,,2020-02-18 12:51:30,"At the 25th annual Wabaunsee and Pottawatomie counties GOP Spaghetti Feed in Wamego this weekend, I reconnected with old friends and made new ones. Thank you for the invite and for a delicious lunch.",112,109,0,3,0,0,0,1,10156913011992344,KrisKobach1787,/story.php?story_fbid=10156913011992344&id=58550347343
Kris Kobach,,2020-02-18 08:36:34,"I really enjoyed meeting some of the students and instructors of the Precision Ag program at Northwest Kansas Technical College in Goodland yesterday. They are the future of farming and ranching. They're using drones for crop dusting and GIS technology for precision planting. They are mastering economics, soil, vet and other sciences, marketing and gaining knowledge of a dozen other subjects to feed the world. It's so much more than digging a hole, planting a seed, covering it with dirt and watching it grow.",148,140,0,8,0,0,0,8,10156912896697344,KrisKobach1787,/story.php?story_fbid=10156912896697344&id=58550347343
Kris Kobach,,2020-02-17 16:26:26,Just imagine being a victim of a previously-deported alien criminal who was flown back into the country courtesy of the U.S. government. Attacked by a criminal alien and betrayed by your country. “Insanity” isn’t a strong enough word to describe the Democratic plan known as the New Way Forward.,95,53,0,0,3,2,37,1,10156911434832344,KrisKobach1787,/story.php?story_fbid=10156911434832344&id=58550347343
Kris Kobach,,2020-02-17 09:28:58,Thank you for joining me to learn more about the U.S.Constituition in Salina last night!,83,78,0,5,0,0,0,4,10156910373537344,KrisKobach1787,/story.php?story_fbid=10156910373537344&id=58550347343
Kris Kobach,,2020-02-14 17:39:04,Great news today. Did you see the latest poll results?,605,532,2,70,1,0,0,58,10156903482847344,KrisKobach1787,/story.php?story_fbid=10156903482847344&id=58550347343
Kris Kobach,,2020-02-14 15:55:28,"This shatters the myth being propagated by the Washington establishment that a conservative cannot win the general election. That never was true, and it’s not true now.",379,323,0,54,2,0,0,27,10156903182227344,KrisKobach1787,/story.php?story_fbid=10156903182227344&id=58550347343
Kris Kobach,,2020-02-13 15:09:03,"In this clip from the Kansas GOP Senatorial debate, I speak from personal experience about ways to drive down the cost of healthcare. https://youtu.be/exESeo149GM",27,26,0,1,0,0,0,3,10156899467482344,KrisKobach1787,/story.php?story_fbid=10156899467482344&id=58550347343
Kris Kobach,,2020-02-13 09:43:11,"Bernie Sanders, the self-described ""democratic socialist"" and Democratic presidential frontrunner, openly advocates for radical redistribution of wealth. He openly admits his plans will require enormous tax increases on the middle class, and he's called for a federal takeover of electricity production. That's electricity brought to you by the same people who ran the Democratic caucuses in Iowa. In practice, it looks a lot like North Korea photographed from space at night -- a place shrouded in darkness. America is a shining city on a hill, but keeping those lights shining brightly requires the efforts of freedom-loving Americans everywhere. Find out ways to say ""NO"" to socialism at the link.",258,232,1,18,0,0,7,25,10156899439167344,KrisKobach1787,/story.php?story_fbid=10156899439167344&id=58550347343
Kris Kobach,,2020-02-12 09:04:34,Join me for coffee and cinnamon rolls on Feb. 17 in Colby.,16,13,1,1,1,0,0,1,10156896900767344,KrisKobach1787,/story.php?story_fbid=10156896900767344&id=58550347343
Kris Kobach,,2020-02-12 09:03:28,,4,4,0,0,0,0,0,0,2935933289803061,KrisKobach1787,/events/2935933289803061?view=permalink&id=2935933303136393
Kris Kobach,,2020-02-11 15:34:57,"Liberals use a number of mischaracterizations to advance their cause, but I will tell the truth about the Second Amendment. Watch the video and share it with friends and family, because as I say in the video, ""The only thing that stops a bad candidate armed with a lie is a good candidate armed with the truth.""  https://youtu.be/-sF-tUAPajM",84,76,0,8,0,0,0,0,10156894577527344,KrisKobach1787,/story.php?story_fbid=10156894577527344&id=58550347343
Kris Kobach,,2020-02-11 13:25:48,"While the U.S. quarantined our own citizens for nearly two weeks after returning from China, no one is talking about the Chinese nationals who illegally crossed into the U.S. through our southern border last year. A secure border is part of our defense against against pandemics.",75,69,2,3,0,0,1,4,10156894562692344,KrisKobach1787,/story.php?story_fbid=10156894562692344&id=58550347343
Kris Kobach,,2020-02-11 11:30:28,I hope you can join us on Sunday evening in Salina.,16,16,0,0,0,0,0,1,10156894595797344,KrisKobach1787,/story.php?story_fbid=10156894595797344&id=58550347343
Kris Kobach,,2020-02-11 10:32:08,,52,45,0,7,0,0,0,0,10156894693182344,KrisKobach1787,/story.php?story_fbid=10156894693182344&id=58550347343
Kris Kobach,,2020-02-11 09:09:56,"I love bringing out-of-state visitors to Kansas. They're always surprised by the natural beauty of the Sunflower State and of course, by the friendliness of her people. I appreciated the chance to brag a little bit about our great state during the last debate. Check out the short clip.",59,53,0,6,0,0,0,1,10156894554942344,KrisKobach1787,/story.php?story_fbid=10156894554942344&id=58550347343
Kris Kobach,,2020-02-10 18:53:02,I'm going to be in Salina on Sunday evening and I would love to see you while I'm in town.,26,22,0,4,0,0,0,1,10156892245662344,KrisKobach1787,/story.php?story_fbid=10156892245662344&id=58550347343
Kris Kobach,,2020-02-10 14:51:12,"In my closing statement during the last debate, I said that you can tell a lot about a candidate by the company he keeps. You can also tell a lot by a person's enemies. Take a listen.",112,101,1,9,1,0,0,8,10156892242172344,KrisKobach1787,/story.php?story_fbid=10156892242172344&id=58550347343
Kris Kobach,,2020-02-10 12:46:16,Have you signed up to keep in touch with my Senate campaign? Here's the link!,90,79,0,11,0,0,0,3,10156892232902344,KrisKobach1787,/story.php?story_fbid=10156892232902344&id=58550347343
Kris Kobach,,2020-02-10 09:29:49,Join me in Salina next Sunday for a rapid-fire lesson on the U.S. Constitution. Class is free. Space is limited.,32,28,0,4,0,0,0,2,10156892224677344,KrisKobach1787,/story.php?story_fbid=10156892224677344&id=58550347343
Kris Kobach,,2020-02-10 09:24:14,,9,9,0,0,0,0,0,1,861405870944157,KrisKobach1787,/events/861405870944157?view=permalink&id=861405877610823
Kris Kobach,,2020-02-09 17:46:56,Thank you to Rett and Terry Rogers and the Leavenworth County Republican Party for a wonderful Lincoln Days dinner last night. My daughter Reagan and I loved putting on our formal attire. I'm going to be on the lookout for the perfect disco wear if you're serious about that theme for next year.,325,295,0,29,1,0,0,10,10156890737362344,KrisKobach1787,/story.php?story_fbid=10156890737362344&id=58550347343
