source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Lauren Witzke for Delaware,,2020-03-07 21:41:04,Thank you Norman Jones for inviting me as your guest as Ellendale’s Fire Dept celebrated 100 years of service to our community.  We are so grateful for you all.  A wonderful evening. I’m abundantly grateful for all of our service members and first responders who sacrifice (sometimes everything) to keep our families safe.  Thank you!,51,44,0,7,0,0,0,0,145361377005497,LaurenWitzkeforDE,/story.php?story_fbid=145361377005497&id=100240821517553
Lauren Witzke for Delaware,,2020-03-07 16:03:05,"#TeamWitzke was back at it again! Knocking on almost 150 doors today.  Thank you for taking on the wind, and for all your hard work today!  Let’s win this and send Do-Nothing #LooneyCoons into retirement.  #AmericaFirst 🇺🇸 #Witzke2020",107,100,0,7,0,0,0,2,145280703680231,LaurenWitzkeforDE,/story.php?story_fbid=145280703680231&id=100240821517553
Lauren Witzke for Delaware,,2020-03-07 09:27:16,"Huge!! Thank you, USA.Life for recognizing my fight to put #AmericanWorkers First.  #AmericaFirst 🇺🇸 #NoS386  #AmericanGraduatesFirst #AmericanFamiliesFirst #Witzke2020",48,42,0,6,0,0,0,0,145139553694346,LaurenWitzkeforDE,/story.php?story_fbid=145139553694346&id=100240821517553
Lauren Witzke for Delaware,,2020-03-07 07:19:04,Numbers don’t lie.,41,38,0,2,0,0,1,3,145096833698618,LaurenWitzkeforDE,/story.php?story_fbid=145096833698618&id=100240821517553
Lauren Witzke for Delaware,,2020-03-07 06:38:45,"Thank you for believing in Delaware.  We are still making deliveries, but because of your contributions- We have ordered our second batch of yard signs!  A huge thank you to our volunteer team, and to all those that contributed! We have placed a few signs at the NCC and Sussex County GOP office. If you are unable to go by there, email Michael@LaurenWitzke.com to have one delivered.  ➡️www.laurenwitzke.com  #AmericaFirst🇺🇸",95,88,0,6,1,0,0,7,145079267033708,LaurenWitzkeforDE,/story.php?story_fbid=145079267033708&id=100240821517553
Lauren Witzke for Delaware,,2020-03-06 20:30:22,"A beautiful evening and event at the 41st RD club dinner tonight! Thank you so much for the opportunity to share my restore the family platform, and discuss my plans to make Delaware great again!  What a great group of patriots!  Thank you!  #AmericaFirst 🇺🇸",79,74,0,5,0,0,0,0,144916040383364,LaurenWitzkeforDE,/story.php?story_fbid=144916040383364&id=100240821517553
Lauren Witzke for Delaware,,2020-03-06 13:43:09,"Thank you Don Beishl Jr and the Dean Malik show for a great interview this morning.  Great conversation with you and the other candidates about F1, H1B, and immigration reform. So glad we are having these conversations for future generations.   #AmericaFirst 🇺🇸 #Witzke2020 #MDGA",50,49,0,1,0,0,0,1,144756517065983,LaurenWitzkeforDE,/story.php?story_fbid=144756517065983&id=100240821517553
Lauren Witzke for Delaware,,2020-03-06 08:40:53,"Family is the smallest form of government.  A broken government system has left us with one of the highest single parent rates in the world & an opioid crisis that has reached epidemic proportions.  When our families are in crisis, our nation is in crisis.  By supplementing successful long term recovery solutions and restoring the American nuclear family, we can save America.  ➡️www.LaurenWitzke.com 🇺🇸 #AmericaFirst #FamilyFirst #MDGA 🇺🇸",90,80,0,10,0,0,0,3,144661117075523,LaurenWitzkeforDE,/story.php?story_fbid=144661117075523&id=100240821517553
"Lauren Witzke for Delaware,Reactionary Times",Reactionary Times,2020-03-05 12:18:24,Check out my interview for US Senate with Reactionary Times!  #AmericaFirst 🇺🇸 #MDGASenate Candidate Lauren Witzke joins Reactionary Times at #CPAC2020.,34,29,0,5,0,0,0,1,144642420410726,LaurenWitzkeforDE,/story.php?story_fbid=144642420410726&id=100240821517553
Lauren Witzke for Delaware,,2020-03-05 17:24:42,"Popping up all over Sussex, Kent, and New Castle Counties!  We will be making deliveries, however you can pick up Lauren Witzke For US Senate signs also at the Sussex and New Castle County GOP office.  To have one delivered, please email: Michael@LaurenWitzke.com  ➡️www.LaurenWitzke.com",116,102,0,14,0,0,0,12,144402620434706,LaurenWitzkeforDE,/story.php?story_fbid=144402620434706&id=100240821517553
