source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Matt Lieberman,,2020-03-04 17:35:50,Enjoyed talking to the media today about how we’re going to win this Senate seat. Got some new polling data this morning that shows us leading the democratic field. Let’s flip the Senate this November! #gapol,33,28,0,5,0,0,0,0,227260785342427,LiebermanForGA,/story.php?story_fbid=227260785342427&id=111702860231554
Matt Lieberman,,2020-03-04 15:46:22,"Making a difference starts today. I am proud to have qualified for the special election in Georgia, and I look forward to flipping the Senate blue.",74,64,0,10,0,0,0,3,227208892014283,LiebermanForGA,/story.php?story_fbid=227208892014283&id=111702860231554
Matt Lieberman,,2020-03-04 14:41:58,Excited to officially be a #QUALIFIED candidate in Georgia’s Special Election! Fired up to continue on this next leg of the journey. Let’s turn Georgia blue! #FliptheSenate #gapol #bluewave2020,174,146,0,28,0,0,0,14,227170668684772,LiebermanForGA,/story.php?story_fbid=227170668684772&id=111702860231554
Matt Lieberman,,2020-02-28 17:49:45,Well-said.,83,61,21,1,0,0,0,0,223168205751685,LiebermanForGA,/story.php?story_fbid=223168205751685&id=111702860231554
Matt Lieberman,,2020-02-24 11:15:41,"Happy Birthday to this great guy, great dad, super granddad, and role model for public service.  Much love on your 78th birthday.",128,107,1,20,0,0,0,18,219559982779174,LiebermanForGA,/story.php?story_fbid=219559982779174&id=111702860231554
Matt Lieberman,,2020-02-20 10:01:43,Had a great night talking with the Cherokee County Democrats at their meeting this week!,27,27,0,0,0,0,0,1,216117326456773,LiebermanForGA,/story.php?story_fbid=216117326456773&id=111702860231554
Matt Lieberman,,2020-02-17 13:52:42,It was great to speak with the Gwinnett High School Democrats this morning! Love to see young folks in GA energized about the election!,33,32,0,1,0,0,0,0,213696170032222,LiebermanForGA,/story.php?story_fbid=213696170032222&id=111702860231554
Matt Lieberman,,2020-02-13 20:07:50,Great night to gather with friends and talk about my run for Senate!,59,57,0,2,0,0,0,3,210398893695283,LiebermanForGA,/story.php?story_fbid=210398893695283&id=111702860231554
Matt Lieberman,,2020-02-06 10:21:46,It was an honor to speak at the Rabun County Democrats meeting earlier this week. I love seeing so many Georgians ready to fight and WIN this November! Let's do this!,73,65,0,8,0,0,0,1,203928771008962,LiebermanForGA,/story.php?story_fbid=203928771008962&id=111702860231554
Matt Lieberman,,2020-02-05 09:52:19,"The GOP has served up some high quality candidates for this race: the Trump kiss-up and the fake farmer. Actually, the fake farmer is also a Trump kiss-up.",93,68,23,1,1,0,0,10,203055064429666,LiebermanForGA,/story.php?story_fbid=203055064429666&id=111702860231554
